Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dean Allison,Ian Bingham,Shaunalee Derkson,Harold Jonker,Joanna Kocsis,Nameer Rahman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Niagara West/Niagara-Ouest"," 70","Lincoln",83,43,12,2,6,16,4,166,397
35068,"Niagara West/Niagara-Ouest"," 71","Lincoln",85,44,8,2,9,33,0,181,446
35068,"Niagara West/Niagara-Ouest"," 72","Lincoln",98,30,15,8,2,22,0,175,382
35068,"Niagara West/Niagara-Ouest"," 73","Lincoln",97,61,11,6,5,27,0,207,489
35068,"Niagara West/Niagara-Ouest"," 74","Lincoln",81,31,9,6,2,16,0,145,412
35068,"Niagara West/Niagara-Ouest"," 75","Lincoln",112,62,48,2,5,40,0,269,570
35068,"Niagara West/Niagara-Ouest"," 76","Lincoln",95,74,8,4,7,27,0,215,485
35068,"Niagara West/Niagara-Ouest"," 77","Lincoln",98,44,13,9,19,14,0,197,343
35068,"Niagara West/Niagara-Ouest"," 78","Lincoln",61,32,21,1,5,35,0,155,446
35068,"Niagara West/Niagara-Ouest"," 79","Lincoln",161,115,16,1,7,55,1,356,886
35068,"Niagara West/Niagara-Ouest"," 80","Lincoln",95,66,8,1,2,29,2,203,480
35068,"Niagara West/Niagara-Ouest"," 81","Lincoln",58,67,10,6,10,32,0,183,486
35068,"Niagara West/Niagara-Ouest"," 82","Lincoln",51,41,13,0,14,19,0,138,433
35068,"Niagara West/Niagara-Ouest"," 83","Lincoln",63,58,11,5,5,29,2,173,390
35068,"Niagara West/Niagara-Ouest"," 84","Lincoln",86,72,17,2,12,24,0,213,516
35068,"Niagara West/Niagara-Ouest"," 85","Lincoln",182,136,41,2,16,70,0,447,1059
35068,"Niagara West/Niagara-Ouest"," 86","St. Catharines",118,61,15,0,8,38,0,240,463
35068,"Niagara West/Niagara-Ouest"," 87","Lincoln",110,38,24,6,4,28,0,210,421
35068,"Niagara West/Niagara-Ouest"," 88","Grimsby",81,39,21,4,13,23,1,182,430
35068,"Niagara West/Niagara-Ouest"," 89","Grimsby",83,43,19,6,8,27,1,187,474
35068,"Niagara West/Niagara-Ouest"," 90","Grimsby",70,37,15,3,9,20,0,154,397
35068,"Niagara West/Niagara-Ouest"," 91","Grimsby",135,64,24,3,3,37,1,267,589
35068,"Niagara West/Niagara-Ouest"," 92","West Lincoln",Merged with No./Fusionné avec le n°93,,,,,,,,223
35068,"Niagara West/Niagara-Ouest"," 93","Fulton",108,55,33,9,2,29,0,236,345
35068,"Niagara West/Niagara-Ouest"," 94","Lincoln",100,50,13,1,11,17,0,192,491
35068,"Niagara West/Niagara-Ouest"," 95","Lincoln",150,52,29,14,8,42,2,297,639
35068,"Niagara West/Niagara-Ouest"," 96","West Lincoln",Merged with No./Fusionné avec le n°98,,,,,,,,371
35068,"Niagara West/Niagara-Ouest"," 97","West Lincoln",Merged with No./Fusionné avec le n°99,,,,,,,,345
35068,"Niagara West/Niagara-Ouest"," 98","West Lincoln",172,60,21,7,16,41,0,317,405
35068,"Niagara West/Niagara-Ouest"," 99","West Lincoln",151,90,35,13,12,51,0,352,495
35068,"Niagara West/Niagara-Ouest"," 100","Lincoln",69,41,18,8,7,11,3,157,356
35068,"Niagara West/Niagara-Ouest"," 101","West Lincoln",107,61,25,4,10,32,0,239,575
35068,"Niagara West/Niagara-Ouest"," 102","Smithville",47,28,9,2,5,20,1,112,387
35068,"Niagara West/Niagara-Ouest"," 103","West Lincoln",75,26,19,0,1,31,1,153,428
35068,"Niagara West/Niagara-Ouest"," 104","Pelham",74,47,14,3,5,16,0,159,367
35068,"Niagara West/Niagara-Ouest"," 105","Pelham",79,34,10,1,2,19,1,146,388
35068,"Niagara West/Niagara-Ouest"," 106","Pelham",80,46,9,3,9,28,0,175,366
35068,"Niagara West/Niagara-Ouest"," 107","Pelham",61,27,16,5,8,17,0,134,369
35068,"Niagara West/Niagara-Ouest"," 108","West Lincoln",87,36,24,4,2,17,1,171,375
35068,"Niagara West/Niagara-Ouest"," 109","West Lincoln",137,35,24,14,3,25,0,238,427
35068,"Niagara West/Niagara-Ouest"," 110","St. Anns",129,25,31,13,5,32,2,237,427
35068,"Niagara West/Niagara-Ouest"," 111","Pelham",49,62,7,0,1,19,1,139,391
35068,"Niagara West/Niagara-Ouest"," 112","Pelham",73,68,4,0,9,15,0,169,438
35068,"Niagara West/Niagara-Ouest"," 113","Pelham",59,37,12,1,7,28,0,144,438
35068,"Niagara West/Niagara-Ouest"," 114","Pelham",124,123,8,0,9,35,1,300,682
35068,"Niagara West/Niagara-Ouest"," 115","Pelham",75,64,5,1,4,21,1,171,447
35068,"Niagara West/Niagara-Ouest"," 116","Pelham",84,87,28,0,3,60,0,262,623
35068,"Niagara West/Niagara-Ouest"," 117","Pelham",78,62,9,0,12,41,1,203,531
35068,"Niagara West/Niagara-Ouest"," 118","Pelham",76,99,11,0,9,36,1,232,643
35068,"Niagara West/Niagara-Ouest"," 119","Pelham",56,61,3,0,8,23,0,151,330
35068,"Niagara West/Niagara-Ouest"," 120","Pelham",80,65,3,0,0,21,0,169,447
35068,"Niagara West/Niagara-Ouest"," 121","Pelham",46,76,7,4,3,24,1,161,385
35068,"Niagara West/Niagara-Ouest"," 122","West Lincoln",134,109,12,2,4,38,1,300,829
35068,"Niagara West/Niagara-Ouest"," 123","West Lincoln",112,54,22,1,9,33,0,231,622
35068,"Niagara West/Niagara-Ouest"," 124","West Lincoln",75,32,6,2,6,20,1,142,348
35068,"Niagara West/Niagara-Ouest"," 125","West Lincoln",87,43,14,2,8,47,0,201,512
35068,"Niagara West/Niagara-Ouest"," 126","West Lincoln",72,27,13,2,0,13,0,127,278
35068,"Niagara West/Niagara-Ouest"," 127","West Lincoln",104,23,21,10,3,13,2,176,383
35068,"Niagara West/Niagara-Ouest"," 128","Pelham",80,64,16,1,5,29,1,196,452
35068,"Niagara West/Niagara-Ouest"," 129","Pelham",50,83,8,3,3,28,1,176,414
35068,"Niagara West/Niagara-Ouest"," 130","Pelham",75,67,3,0,10,24,0,179,403
35068,"Niagara West/Niagara-Ouest"," 131","Pelham",76,86,6,0,6,28,0,202,431
35068,"Niagara West/Niagara-Ouest"," 132","Pelham",65,90,4,1,3,24,1,188,384
35068,"Niagara West/Niagara-Ouest"," 133","Pelham",87,51,18,1,8,18,1,184,433
35068,"Niagara West/Niagara-Ouest"," 134","Pelham",71,41,12,0,2,20,0,146,391
35068,"Niagara West/Niagara-Ouest"," 135","Pelham",94,54,19,2,1,26,0,196,420
35068,"Niagara West/Niagara-Ouest"," 136","Pelham",74,56,3,0,4,25,1,163,429
35068,"Niagara West/Niagara-Ouest"," 137","West Lincoln",93,51,13,0,4,17,0,178,383
35068,"Niagara West/Niagara-Ouest"," 138","West Lincoln",91,20,14,7,2,20,0,154,389
35068,"Niagara West/Niagara-Ouest"," 139","West Lincoln",103,31,17,0,4,41,2,198,429
35068,"Niagara West/Niagara-Ouest"," 140","West Lincoln",154,66,35,12,5,46,1,319,375
35068,"Niagara West/Niagara-Ouest"," 141","Pelham",57,71,4,2,3,19,1,157,477
35068,"Niagara West/Niagara-Ouest"," 142","Pelham",47,71,2,0,2,24,0,146,365
35068,"Niagara West/Niagara-Ouest"," 143","Pelham",67,67,11,2,2,33,0,182,435
35068,"Niagara West/Niagara-Ouest"," 144","Pelham",73,80,6,2,7,22,0,190,428
35068,"Niagara West/Niagara-Ouest"," 145","Pelham",83,76,6,2,5,43,1,216,405
35068,"Niagara West/Niagara-Ouest"," 146","Pelham",79,86,12,1,9,32,0,219,426
35068,"Niagara West/Niagara-Ouest"," 147","West Lincoln",70,16,15,7,1,20,0,129,241
35068,"Niagara West/Niagara-Ouest"," 148","Boyle",99,17,22,5,9,31,0,183,310
35068,"Niagara West/Niagara-Ouest"," 149","Wellandport",58,11,19,9,2,17,0,116,353
35068,"Niagara West/Niagara-Ouest"," 150","Pelham",82,47,7,0,4,35,0,175,438
35068,"Niagara West/Niagara-Ouest"," 151","Pelham",96,56,15,2,6,17,1,193,404
35068,"Niagara West/Niagara-Ouest"," 152","Pelham",98,39,20,4,3,29,0,193,424
35068,"Niagara West/Niagara-Ouest"," 153","Pelham",135,52,19,1,7,34,0,248,592
35068,"Niagara West/Niagara-Ouest"," 154","Caistorville",104,46,26,3,7,22,0,208,433
35068,"Niagara West/Niagara-Ouest"," 155","West Lincoln",Merged with No./Fusionné avec le n°140,,,,,,,,322
35068,"Niagara West/Niagara-Ouest"," 156","West Lincoln",108,18,30,4,1,16,0,177,382
35068,"Niagara West/Niagara-Ouest"," 157","Wellandport",76,16,20,3,5,9,0,129,319
35068,"Niagara West/Niagara-Ouest"," 158","Wainfleet",101,17,20,5,4,13,0,160,372
35068,"Niagara West/Niagara-Ouest"," 159","Wainfleet",98,24,26,9,2,24,1,184,430
35068,"Niagara West/Niagara-Ouest"," 160","Wainfleet",82,40,18,3,4,23,1,171,408
35068,"Niagara West/Niagara-Ouest"," 161","Wainfleet",88,36,14,0,3,26,0,167,373
35068,"Niagara West/Niagara-Ouest"," 162","Wainfleet",80,23,14,2,3,17,1,140,346
35068,"Niagara West/Niagara-Ouest"," 163","Wainfleet",104,37,15,3,11,22,0,192,368
35068,"Niagara West/Niagara-Ouest"," 164","Wainfleet",120,29,19,6,3,34,0,211,352
35068,"Niagara West/Niagara-Ouest"," 165","Wainfleet",81,38,20,8,2,19,0,168,345
35068,"Niagara West/Niagara-Ouest"," 166","Wainfleet",85,24,19,4,7,20,0,159,373
35068,"Niagara West/Niagara-Ouest"," 167","Wainfleet",Merged with No./Fusionné avec le n°168,,,,,,,,311
35068,"Niagara West/Niagara-Ouest"," 168","Wainfleet",134,90,26,1,5,45,1,302,339
35068,"Niagara West/Niagara-Ouest"," 169","Wainfleet",78,34,21,0,1,16,1,151,374
35068,"Niagara West/Niagara-Ouest"," 170","Wainfleet",117,60,11,0,10,20,0,218,509
35068,"Niagara West/Niagara-Ouest"," 171","Wainfleet",89,58,12,0,8,29,1,197,425
35068,"Niagara West/Niagara-Ouest"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°24,,,,,,,,33
35068,"Niagara West/Niagara-Ouest"," 501","Mobile poll/Bureau itinérant",12,21,1,0,5,1,1,41,74
35068,"Niagara West/Niagara-Ouest"," 502","Mobile poll/Bureau itinérant",10,9,0,0,0,3,2,24,61
35068,"Niagara West/Niagara-Ouest"," 503","Mobile poll/Bureau itinérant",45,5,1,17,0,2,1,71,183
35068,"Niagara West/Niagara-Ouest"," 504","Mobile poll/Bureau itinérant",16,25,1,0,4,1,0,47,70
35068,"Niagara West/Niagara-Ouest"," 505","Mobile poll/Bureau itinérant",17,20,4,0,4,4,1,50,222
35068,"Niagara West/Niagara-Ouest"," 506","Mobile poll/Bureau itinérant",20,21,0,1,1,2,1,46,80
35068,"Niagara West/Niagara-Ouest"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°74,,,,,,,,90
35068,"Niagara West/Niagara-Ouest"," 508","Mobile poll/Bureau itinérant",3,5,0,0,0,4,0,12,22
35068,"Niagara West/Niagara-Ouest"," 509","Mobile poll/Bureau itinérant",16,16,0,1,0,5,0,38,41
35068,"Niagara West/Niagara-Ouest"," 510","Mobile poll/Bureau itinérant",37,32,0,0,2,6,3,80,168
35068,"Niagara West/Niagara-Ouest"," 511","Mobile poll/Bureau itinérant",10,13,0,2,0,3,0,28,49
35068,"Niagara West/Niagara-Ouest"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509,,,,,,,,41
35068,"Niagara West/Niagara-Ouest"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°74,,,,,,,,55
35068,"Niagara West/Niagara-Ouest"," 514","Mobile poll/Bureau itinérant",14,11,0,0,1,1,0,27,36
35068,"Niagara West/Niagara-Ouest"," 600","Grimsby",542,463,95,7,30,158,0,1295,
35068,"Niagara West/Niagara-Ouest"," 601","Grimsby",561,472,65,2,30,140,7,1277,
35068,"Niagara West/Niagara-Ouest"," 602","Grimsby",569,588,70,6,52,172,10,1467,
35068,"Niagara West/Niagara-Ouest"," 603","Grimsby",670,521,82,11,31,124,3,1442,
35068,"Niagara West/Niagara-Ouest"," 604","Lincoln",637,465,118,11,57,141,5,1434,
35068,"Niagara West/Niagara-Ouest"," 605","Lincoln",655,426,127,10,37,203,5,1463,
35068,"Niagara West/Niagara-Ouest"," 606","Lincoln",688,462,83,19,47,120,11,1430,
35068,"Niagara West/Niagara-Ouest"," 607","Lincoln",454,220,66,7,18,73,0,838,
35068,"Niagara West/Niagara-Ouest"," 608","Pelham",605,343,83,12,25,86,3,1157,
35068,"Niagara West/Niagara-Ouest"," 609","West Lincoln",797,383,134,22,43,132,2,1513,
35068,"Niagara West/Niagara-Ouest"," 610","West Lincoln",377,204,70,12,16,68,1,748,
35068,"Niagara West/Niagara-Ouest"," 611","West Lincoln",371,126,54,16,12,64,3,646,
35068,"Niagara West/Niagara-Ouest"," 612","St. Anns",552,108,121,38,18,66,2,905,
35068,"Niagara West/Niagara-Ouest"," 613","Pelham",717,581,78,7,28,160,6,1577,
35068,"Niagara West/Niagara-Ouest"," 614","Pelham",812,806,113,2,30,247,7,2017,
35068,"Niagara West/Niagara-Ouest"," 615","Wainfleet",552,278,62,3,19,108,0,1022,
35068,"Niagara West/Niagara-Ouest",,Group 1/Groupe 1, 126,133,17,0,8,70,20,374,144
35068,"Niagara West/Niagara-Ouest",,Group 2/Groupe 2, 916,737,135,28,43,156,37,2052,
