Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Arcand,Marie-Philippe Gagnon Gauthier,Chamroeun Khuon,Hélène Lefebvre,Marie-Christine Richard,Daniel Vaillancourt,Dominique Vien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 59","Lévis",3,10,1,5,50,27,65,1,162,393
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 60","Lévis",3,16,1,5,34,28,44,0,131,312
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 61","Lévis",2,11,0,4,24,26,24,0,91,274
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 62","Lévis",10,21,4,8,67,10,49,1,170,387
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 63","Lévis",3,14,2,3,44,30,32,2,130,335
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 64A","Saint-Nérée",9,2,2,2,34,12,92,3,156,318
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 64B","Mobile poll/Bureau itinérant",2,0,0,0,0,1,4,0,7,14
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 65","Saint-Nérée",1,4,0,1,36,9,87,3,141,287
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 66","Saint-Charles-de-Bellechasse",1,4,0,0,19,20,109,6,159,291
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 67","Saint-Charles-de-Bellechasse",10,12,0,5,32,18,85,4,166,359
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 68","Saint-Charles-de-Bellechasse",4,7,0,0,42,6,98,1,158,325
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 69","Saint-Charles-de-Bellechasse",0,6,0,3,19,14,97,3,142,301
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 70","Saint-Charles-de-Bellechasse",6,6,1,4,28,11,79,2,137,296
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 71","Saint-Charles-de-Bellechasse",3,10,0,1,26,13,128,2,183,348
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 72","Lévis",0,8,0,1,21,18,31,0,79,357
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 73","Lévis",2,4,1,2,19,9,58,4,99,323
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 74","Lévis",4,15,1,6,45,29,59,5,164,526
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 75A","Lévis",0,16,1,5,42,18,27,2,111,373
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 75B","Mobile poll/Bureau itinérant",Results combined with no. 75A/Résultats combinés au n° 75A,,,,,,,,,1
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 76","Lévis",4,7,0,3,36,14,53,4,121,343
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 77","Lévis",2,21,1,5,32,26,40,2,129,334
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 78","Lévis",3,18,3,1,24,17,61,3,130,340
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 79","Lévis",3,16,0,1,33,29,73,4,159,412
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 80","Lévis",7,13,0,5,56,27,73,3,184,440
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 81","Lévis",3,6,0,4,30,14,59,1,117,318
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 82","Lévis",4,8,0,2,32,19,40,4,109,443
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 83","Lévis",4,23,1,5,44,20,91,2,190,458
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 84A","Lévis",3,9,1,5,51,47,102,3,221,470
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 84B","Lévis",6,5,1,2,43,27,93,3,180,467
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 85","Lévis",4,38,3,6,86,95,201,4,437,1091
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 86","Lévis",8,10,0,2,35,26,44,2,127,364
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 87","Lévis",1,14,2,1,39,18,40,4,119,361
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 88","Lévis",6,18,1,2,86,76,116,0,305,810
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 89","Lévis",3,14,0,3,36,24,45,7,132,432
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 90","Lévis",4,19,3,4,23,18,56,5,132,378
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 91","Lévis",4,11,1,3,22,18,68,8,135,355
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 92","Lévis",5,15,2,4,20,25,43,4,118,396
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 93","Lévis",5,7,0,4,47,28,49,2,142,383
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 94","Lévis",2,5,0,0,27,16,44,4,98,303
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 95","Lévis",8,17,1,6,73,49,135,6,295,716
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 96","Lévis",2,7,0,3,50,20,31,1,114,317
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 97","Lévis",5,16,4,7,34,23,29,2,120,384
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 98","Lévis",7,11,0,2,52,30,48,1,151,527
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 99","Lévis",8,8,0,5,33,30,35,1,120,361
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 100","Lévis",4,7,1,2,26,21,31,1,93,395
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 101","Lévis",5,20,0,3,36,29,48,2,143,418
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 102","Lévis",7,6,2,5,20,35,27,4,106,407
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 103","Lévis",2,9,0,7,32,36,57,2,145,399
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 104","Lévis",3,20,1,3,47,37,75,7,193,559
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 105","Lévis",6,18,2,4,36,20,84,0,170,518
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 106","Lévis",3,17,0,0,18,25,60,1,124,361
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 107","Lévis",2,14,0,2,29,33,76,1,157,389
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 108","Saint-Magloire",4,1,0,3,31,18,92,5,154,258
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 109","Saint-Magloire",9,2,0,4,36,25,98,3,177,291
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 110","Saint-Gervais",3,7,1,3,30,10,153,1,208,367
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 111","Saint-Gervais",10,4,1,1,30,18,143,7,214,331
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 112","Saint-Gervais",3,4,0,0,19,18,118,2,164,296
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 113","Saint-Gervais",4,4,0,3,13,13,96,1,134,229
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 114","Saint-Gervais",3,13,1,3,39,17,144,0,220,393
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 115","Lévis",0,15,1,2,44,23,94,0,179,432
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 116","Lévis",3,9,0,1,15,9,52,3,92,356
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 117","Lévis",0,8,0,3,31,14,36,1,93,332
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 118","Lévis",0,13,0,1,25,14,124,5,182,459
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 119","Lévis",1,6,0,1,29,19,69,0,125,399
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 120","Lévis",5,16,1,0,22,20,69,0,133,428
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 121","Lévis",4,4,0,0,28,17,50,3,106,363
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 122A","Lévis",4,15,0,6,27,13,54,1,120,448
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 122B","Lévis",5,20,1,8,29,14,67,4,148,500
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 123","Lévis",4,10,1,5,37,21,56,2,136,420
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 124","Lévis",3,6,0,3,14,5,47,1,79,321
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 125","Lévis",6,4,2,1,22,19,41,1,96,394
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 126","Lévis",3,7,1,1,37,12,49,1,111,299
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 127","Lévis",7,23,4,7,57,25,39,3,165,310
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 128","Lévis",1,17,2,1,43,42,55,7,168,577
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 129","Lévis",1,7,2,2,47,19,54,3,135,436
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 130","Buckland",4,4,0,0,24,27,139,1,199,341
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 131","Buckland",3,4,2,0,28,29,104,5,175,307
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 132","Lévis",6,12,0,1,43,30,71,3,166,397
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 133","Lévis",3,21,0,3,52,50,128,8,265,613
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 134","Lévis",4,14,0,2,36,18,97,0,171,403
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 135","Lévis",6,13,0,1,47,26,62,4,159,414
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 136","Lévis",6,10,2,4,31,24,48,6,131,400
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 137","Lévis",4,16,1,2,30,33,108,3,197,476
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 138","Lévis",7,8,1,2,36,23,83,7,167,386
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 139","Lévis",1,11,0,3,34,23,71,1,144,387
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 140","Lévis",2,17,1,5,40,29,169,1,264,569
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 141","Lévis",0,14,2,2,26,31,64,3,142,413
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 142","Lévis",0,1,0,1,43,36,36,1,118,437
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 143","Lévis",4,9,1,2,33,21,81,1,152,432
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 144","Lévis",2,10,1,2,36,22,60,2,135,442
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 145","Lévis",6,18,1,6,59,27,87,4,208,457
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 146","Lévis",2,14,0,3,7,17,46,0,89,310
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 147","Lévis",2,5,1,0,29,30,71,2,140,375
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 148","Lévis",4,9,0,5,34,16,61,2,131,380
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 149","Lévis",4,11,1,3,40,27,79,3,168,418
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 150","Lévis",4,5,2,1,37,18,83,5,155,432
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 151","Saint-Damien-de-Buckland",4,5,0,0,22,13,89,4,137,359
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 152","Saint-Damien-de-Buckland",2,4,2,0,20,15,55,1,99,266
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 153","Saint-Damien-de-Buckland",2,6,1,0,24,10,82,4,129,368
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 154","Saint-Damien-de-Buckland",3,1,0,3,29,8,108,5,157,383
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 155","Saint-Lazare",6,2,0,5,31,21,122,2,189,321
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 156","Saint-Lazare",2,6,0,2,35,8,125,6,184,301
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 157","Saint-Lazare-de-Bellechasse",3,9,0,2,49,14,164,1,242,361
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 158","Lévis",7,13,1,2,43,21,35,4,126,393
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 159","Lévis",7,15,2,3,41,27,57,2,154,407
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 160","Lévis",7,24,2,7,51,35,59,0,185,485
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 161","Lévis",5,25,0,2,44,25,32,7,140,335
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 162","Lévis",5,15,1,7,55,37,92,0,212,444
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 163","Lévis",2,11,2,5,55,45,114,1,235,525
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 164","Lévis",5,18,0,2,36,34,51,1,147,420
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 165","Lévis",5,14,0,4,40,33,73,1,170,444
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 166","Lévis",4,7,1,4,34,38,27,3,118,318
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 167","Lévis",8,8,1,2,31,38,52,4,144,314
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 168","Lévis",6,11,0,7,73,48,69,0,214,507
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 169","Lévis",6,23,1,2,18,18,37,3,108,318
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 170","Lévis",9,5,2,2,42,35,70,3,168,372
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 171","Lévis",3,19,0,2,38,26,41,5,134,387
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 172","Lévis",2,8,0,2,9,7,29,3,60,230
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 173","Lévis",4,11,0,8,58,30,71,4,186,417
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 174","Lévis",3,8,0,2,52,24,55,0,144,385
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 175","Lévis",1,11,0,3,38,36,85,3,177,391
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 176","Lévis",4,21,2,4,48,47,77,0,203,458
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 177","Lévis",5,25,1,5,55,42,103,7,243,598
