Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelby Bertrand,Carol Clemenhagen,Richard "Rich" Joyal,Angela Keller-Herzog,Angella MacEwen,Alex McDonald,Yasir Naqvi,Regina Watteel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 16","Ottawa",0,38,0,3,14,0,47,5,1,108,390
35075,"Ottawa Centre/Ottawa-Centre"," 17","Ottawa",1,27,1,5,75,1,77,8,0,195,488
35075,"Ottawa Centre/Ottawa-Centre"," 18","Ottawa",0,30,0,6,30,0,65,2,1,134,512
35075,"Ottawa Centre/Ottawa-Centre"," 19","Ottawa",0,23,0,2,56,0,60,3,1,145,401
35075,"Ottawa Centre/Ottawa-Centre"," 20","Ottawa",Void/Supprimé,,,,,,,,,,
35075,"Ottawa Centre/Ottawa-Centre"," 21","Ottawa",2,19,0,5,73,1,63,10,2,175,409
35075,"Ottawa Centre/Ottawa-Centre"," 22","Ottawa",1,38,0,7,102,4,88,7,2,249,599
35075,"Ottawa Centre/Ottawa-Centre"," 23","Ottawa",0,27,0,5,66,0,42,11,3,154,487
35075,"Ottawa Centre/Ottawa-Centre"," 24","Ottawa",1,15,0,4,89,0,57,6,1,173,408
35075,"Ottawa Centre/Ottawa-Centre"," 25","Ottawa",1,26,0,5,28,0,54,2,0,116,367
35075,"Ottawa Centre/Ottawa-Centre"," 26","Ottawa",2,34,0,5,104,0,83,6,2,236,591
35075,"Ottawa Centre/Ottawa-Centre"," 27","Ottawa",0,34,0,5,35,0,58,4,1,137,553
35075,"Ottawa Centre/Ottawa-Centre"," 28","Ottawa",1,24,0,3,50,0,68,1,3,150,533
35075,"Ottawa Centre/Ottawa-Centre"," 29","Ottawa",0,53,1,6,101,1,122,4,1,289,872
35075,"Ottawa Centre/Ottawa-Centre"," 30","Ottawa",0,13,1,2,30,0,65,4,0,115,377
35075,"Ottawa Centre/Ottawa-Centre"," 31","Ottawa",2,13,1,1,54,1,79,5,1,157,504
35075,"Ottawa Centre/Ottawa-Centre"," 32","Ottawa",0,13,1,4,63,0,57,6,1,145,439
