Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shola Agboola,Scott A. A. Anderson,Denis Berthiaume,Jean-Denis Boudreault,Sébastien CoRhino,Matthew Correia,Naomi Crisostomo,Charles Currie,Manon Lili Desbiens,Alexandra Engering,Scott Falkingham,Kerri Hildebrandt,Ryan Huard,Conrad Lukawski,Jane MacDiarmid,Laurent Poliquin,Eliana Rosenblum,Patrick Strzalkowski,Tomas Szuchewycz,Dan Vandal,Meghan Waters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 81","Winnipeg",Merged with No./Fusionné avec le n°82,,,,,,,,,,,,,,,,,,,,,,,173
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 82","Winnipeg",84,3,0,1,0,0,0,1,0,1,0,0,0,0,21,7,0,0,0,82,59,5,264,398
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 83","Winnipeg",45,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,0,0,0,28,38,0,118,373
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 84","Winnipeg",45,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,68,60,1,189,510
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 85","Winnipeg",27,0,0,1,1,0,0,0,0,0,0,0,0,0,7,1,0,0,1,63,33,1,135,371
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 86","Winnipeg",36,0,0,1,1,0,0,0,0,0,0,0,0,0,8,2,1,0,0,51,59,2,161,391
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 87","Winnipeg",47,1,1,1,1,0,0,0,0,0,0,0,0,0,10,3,0,0,0,66,42,0,172,488
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 88","Winnipeg",81,0,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,66,53,2,208,368
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 89","Winnipeg",63,1,1,0,1,0,0,0,0,0,0,0,0,0,11,2,0,0,0,63,28,0,170,349
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 90","Winnipeg",89,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,89,40,1,234,410
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 91","Winnipeg",27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,42,27,1,104,331
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 92","Winnipeg",96,0,0,0,0,0,0,1,0,0,0,1,0,0,9,3,1,0,0,146,47,6,310,675
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 93","Winnipeg",45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,68,28,1,144,502
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 94","Winnipeg",33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,52,20,0,108,403
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 95","Winnipeg",33,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,68,38,0,148,492
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 96","Winnipeg",49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,63,30,3,149,473
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 97","Winnipeg",46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,57,39,0,150,447
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 98","Winnipeg",35,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,34,25,0,104,396
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 99","Winnipeg",23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,50,36,0,113,427
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 100A","Winnipeg",43,1,0,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,69,26,3,154,350
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 100B","Mobile poll/Bureau itinérant",25,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,61,14,0,107,162
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 101","Winnipeg",68,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,68,35,1,193,473
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 102","Winnipeg",39,2,0,0,0,0,0,0,0,0,0,1,0,0,10,2,0,0,0,60,47,3,164,484
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 103","Winnipeg",49,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,65,33,3,161,477
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 104","Winnipeg",52,0,0,0,0,1,0,0,0,0,0,0,1,0,12,1,0,0,0,88,37,3,195,449
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 105","Winnipeg",41,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,45,35,1,135,425
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 106","Winnipeg",62,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,103,41,2,223,532
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 107","Winnipeg",31,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,0,0,36,37,0,116,324
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 108","Winnipeg",18,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,41,48,1,114,393
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 109A","Winnipeg",14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,22,13,3,57,236
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 109B","Winnipeg",17,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,1,0,0,16,15,0,59,235
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 110","Winnipeg",53,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,1,70,31,1,167,452
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 111","Winnipeg",41,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,48,31,2,129,293
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 112","Winnipeg",46,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,97,44,3,202,400
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 113","Winnipeg",42,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,71,27,1,149,506
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 114","Winnipeg",35,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,55,26,1,125,412
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 115","Winnipeg",83,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,0,0,0,86,26,2,210,400
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 116","Winnipeg",55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,59,27,0,143,443
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 117","Winnipeg",39,1,0,1,1,1,0,0,0,1,0,0,0,0,8,2,0,0,0,84,61,3,202,324
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 118","Winnipeg",Merged with No./Fusionné avec le n°117,,,,,,,,,,,,,,,,,,,,,,,305
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 119A","Winnipeg",15,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,29,12,1,63,56
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 119B","Mobile poll/Bureau itinérant",19,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,38,7,0,69,248
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 120","Winnipeg",25,0,0,0,0,0,1,0,0,0,0,0,0,0,8,2,0,0,0,64,56,2,158,526
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 121","Winnipeg",29,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,41,33,0,117,508
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 122","Winnipeg",47,0,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,62,46,2,167,495
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 123","Winnipeg",60,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,95,58,1,231,535
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 124","Winnipeg",34,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,71,35,1,149,504
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 125","Winnipeg",30,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,83,31,0,152,478
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 126","Winnipeg",64,0,0,0,0,1,0,0,0,0,0,0,0,0,9,2,0,0,0,83,22,1,182,499
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 127","Winnipeg",49,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,66,27,1,149,362
