Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Candice Bergen,Andrew Carrier,Jerome Dondo,Ken Friesen,Solomon Wiebe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Portage--Lisgar/Portage--Lisgar"," 85","Notre-Dame-de-Lourdes",113,35,3,19,16,1,187,279
46007,"Portage--Lisgar/Portage--Lisgar"," 86","Bruxelles",97,11,4,10,17,1,140,205
46007,"Portage--Lisgar/Portage--Lisgar"," 87","Barnsley",85,4,18,9,31,0,147,281
46007,"Portage--Lisgar/Portage--Lisgar"," 88","Homewood",85,7,10,14,13,0,129,296
46007,"Portage--Lisgar/Portage--Lisgar"," 89","Graysville",64,7,5,9,43,3,131,379
46007,"Portage--Lisgar/Portage--Lisgar"," 90","Carman",84,17,5,24,15,1,146,356
46007,"Portage--Lisgar/Portage--Lisgar"," 91","Carman",100,23,4,35,19,2,183,445
46007,"Portage--Lisgar/Portage--Lisgar"," 92","Carman",73,21,6,31,21,0,152,417
46007,"Portage--Lisgar/Portage--Lisgar"," 93","Carman",81,16,6,17,11,1,132,334
46007,"Portage--Lisgar/Portage--Lisgar"," 94","Carman",61,15,6,18,13,1,114,295
46007,"Portage--Lisgar/Portage--Lisgar"," 95","Carman",82,18,10,12,10,0,132,293
46007,"Portage--Lisgar/Portage--Lisgar"," 96","Carman",112,24,17,16,28,3,200,385
46007,"Portage--Lisgar/Portage--Lisgar"," 97","Swan Lake",66,7,3,6,18,1,101,223
46007,"Portage--Lisgar/Portage--Lisgar"," 98","Swan Lake",91,28,1,14,6,3,143,263
46007,"Portage--Lisgar/Portage--Lisgar"," 99","Somerset",165,44,3,45,31,1,289,453
46007,"Portage--Lisgar/Portage--Lisgar"," 100","Sperling",91,10,1,25,47,0,174,299
46007,"Portage--Lisgar/Portage--Lisgar"," 101","Mariapolis",82,5,0,9,2,0,98,143
46007,"Portage--Lisgar/Portage--Lisgar"," 102","Swan Lake  7",7,11,0,53,3,0,74,132
46007,"Portage--Lisgar/Portage--Lisgar"," 103","Altamont",51,8,0,24,27,0,110,231
46007,"Portage--Lisgar/Portage--Lisgar"," 104","Rosenort",117,13,0,18,29,0,177,354
46007,"Portage--Lisgar/Portage--Lisgar"," 105","McTavish",83,10,0,5,29,0,127,316
46007,"Portage--Lisgar/Portage--Lisgar"," 106","Rosenort",152,8,2,16,41,2,221,369
46007,"Portage--Lisgar/Portage--Lisgar"," 107","Aubigny",46,15,0,12,5,0,78,116
46007,"Portage--Lisgar/Portage--Lisgar"," 108","Miami",87,13,1,14,14,0,129,303
46007,"Portage--Lisgar/Portage--Lisgar"," 109","Miami",139,20,0,38,27,0,224,355
46007,"Portage--Lisgar/Portage--Lisgar"," 110","Rosebank",108,6,6,16,35,0,171,335
46007,"Portage--Lisgar/Portage--Lisgar"," 111","St. Leon",92,31,1,9,12,1,146,202
46007,"Portage--Lisgar/Portage--Lisgar"," 112","Roland",92,11,2,14,55,0,174,272
46007,"Portage--Lisgar/Portage--Lisgar"," 113","Roland",110,19,0,22,65,1,217,397
46007,"Portage--Lisgar/Portage--Lisgar"," 114","Lowe Farm",150,9,5,17,103,2,286,510
46007,"Portage--Lisgar/Portage--Lisgar"," 115","Morris",76,17,0,27,17,0,137,408
46007,"Portage--Lisgar/Portage--Lisgar"," 116","Morris",68,27,1,36,17,1,150,348
46007,"Portage--Lisgar/Portage--Lisgar"," 117","Morris",77,13,1,17,34,1,143,363
46007,"Portage--Lisgar/Portage--Lisgar"," 118","Morris",82,12,1,25,21,0,141,362
46007,"Portage--Lisgar/Portage--Lisgar"," 119","Morden",55,11,5,10,29,0,110,311
46007,"Portage--Lisgar/Portage--Lisgar"," 120","Morden",103,18,1,42,25,0,189,444
46007,"Portage--Lisgar/Portage--Lisgar"," 121","Morden",111,15,1,36,13,0,176,448
46007,"Portage--Lisgar/Portage--Lisgar"," 122A","Morden",69,25,1,42,19,1,157,349
46007,"Portage--Lisgar/Portage--Lisgar"," 122B","Morden",70,9,0,34,22,2,137,319
46007,"Portage--Lisgar/Portage--Lisgar"," 123","Morden",88,15,0,43,24,2,172,350
46007,"Portage--Lisgar/Portage--Lisgar"," 124","Morden",69,16,2,28,22,1,138,365
46007,"Portage--Lisgar/Portage--Lisgar"," 125","Morden",66,11,1,34,23,0,135,394
46007,"Portage--Lisgar/Portage--Lisgar"," 126","Morden",99,22,2,32,22,2,179,398
46007,"Portage--Lisgar/Portage--Lisgar"," 127","Morden",36,4,2,9,6,0,57,157
46007,"Portage--Lisgar/Portage--Lisgar"," 128","Morden",77,9,1,23,8,1,119,325
46007,"Portage--Lisgar/Portage--Lisgar"," 129","Morden",62,11,1,34,20,0,128,349
46007,"Portage--Lisgar/Portage--Lisgar"," 130","Winkler",78,7,1,14,61,0,161,604
46007,"Portage--Lisgar/Portage--Lisgar"," 131","Winkler",32,4,3,14,52,0,105,421
46007,"Portage--Lisgar/Portage--Lisgar"," 132","Reinfeld",50,0,2,7,48,1,108,380
46007,"Portage--Lisgar/Portage--Lisgar"," 133","Winkler",72,4,4,8,54,2,144,475
46007,"Portage--Lisgar/Portage--Lisgar"," 134","Winkler",90,7,1,22,24,1,145,431
46007,"Portage--Lisgar/Portage--Lisgar"," 135","Winkler",90,5,2,10,38,1,146,425
46007,"Portage--Lisgar/Portage--Lisgar"," 136","Winkler",110,4,1,21,61,1,198,473
46007,"Portage--Lisgar/Portage--Lisgar"," 137","Reinfeld",78,0,3,4,66,2,153,448
46007,"Portage--Lisgar/Portage--Lisgar"," 138","Winkler",82,8,2,6,34,0,132,389
46007,"Portage--Lisgar/Portage--Lisgar"," 139","Winkler",87,9,6,15,51,1,169,471
46007,"Portage--Lisgar/Portage--Lisgar"," 140","La Rivière",120,10,4,28,22,0,184,315
46007,"Portage--Lisgar/Portage--Lisgar"," 141","Manitou",61,10,2,18,14,0,105,238
46007,"Portage--Lisgar/Portage--Lisgar"," 142","Manitou",63,8,0,20,17,0,108,283
46007,"Portage--Lisgar/Portage--Lisgar"," 143","Manitou",121,5,3,12,24,0,165,383
46007,"Portage--Lisgar/Portage--Lisgar"," 144","Darlingford",115,11,1,18,40,1,186,336
46007,"Portage--Lisgar/Portage--Lisgar"," 145","Pembina",43,11,1,14,52,0,121,249
46007,"Portage--Lisgar/Portage--Lisgar"," 146","Winkler",85,18,1,12,32,0,148,370
46007,"Portage--Lisgar/Portage--Lisgar"," 147A","Winkler",64,8,1,12,35,0,120,298
46007,"Portage--Lisgar/Portage--Lisgar"," 147B","Winkler",56,6,2,14,27,1,106,309
46007,"Portage--Lisgar/Portage--Lisgar"," 148A","Winkler",93,3,0,24,10,1,131,303
46007,"Portage--Lisgar/Portage--Lisgar"," 148B","Winkler",74,7,0,3,38,0,122,301
46007,"Portage--Lisgar/Portage--Lisgar"," 149","Winkler",40,7,3,25,48,1,124,413
46007,"Portage--Lisgar/Portage--Lisgar"," 150","Winkler",40,4,1,15,26,0,86,350
46007,"Portage--Lisgar/Portage--Lisgar"," 151","Winkler",72,6,2,16,37,1,134,366
46007,"Portage--Lisgar/Portage--Lisgar"," 152","Plum Coulee",109,8,5,9,67,1,199,462
46007,"Portage--Lisgar/Portage--Lisgar"," 153","Horndean",76,2,2,9,53,0,142,407
46007,"Portage--Lisgar/Portage--Lisgar"," 154","Plum Coulee",71,2,1,8,62,1,145,397
46007,"Portage--Lisgar/Portage--Lisgar"," 155","Winkler",79,7,0,12,36,0,134,380
46007,"Portage--Lisgar/Portage--Lisgar"," 156","Winkler",75,4,6,16,34,0,135,413
46007,"Portage--Lisgar/Portage--Lisgar"," 157","Winkler",52,10,3,13,26,1,105,406
46007,"Portage--Lisgar/Portage--Lisgar"," 158","Winkler",68,4,5,7,17,0,101,283
46007,"Portage--Lisgar/Portage--Lisgar"," 159","Winkler",51,5,5,18,46,0,125,485
46007,"Portage--Lisgar/Portage--Lisgar"," 160","Winkler",78,16,1,20,33,0,148,382
46007,"Portage--Lisgar/Portage--Lisgar"," 161","Winkler",78,8,12,14,35,0,147,448
46007,"Portage--Lisgar/Portage--Lisgar"," 162","Rosenfeld",75,5,2,14,56,1,153,346
46007,"Portage--Lisgar/Portage--Lisgar"," 163","Thornhill",90,13,3,30,52,0,188,477
46007,"Portage--Lisgar/Portage--Lisgar"," 164","Morden",56,11,2,41,33,2,145,432
46007,"Portage--Lisgar/Portage--Lisgar"," 165","Morden",49,17,0,24,17,0,107,403
46007,"Portage--Lisgar/Portage--Lisgar"," 166","Morden",51,20,1,40,13,0,125,352
46007,"Portage--Lisgar/Portage--Lisgar"," 167","Morden",98,31,3,37,38,0,207,488
46007,"Portage--Lisgar/Portage--Lisgar"," 168","Morden",72,17,1,44,26,0,160,405
46007,"Portage--Lisgar/Portage--Lisgar"," 169","Stanley",82,2,2,23,42,1,152,382
46007,"Portage--Lisgar/Portage--Lisgar"," 170","Brown",108,4,6,14,47,0,179,363
46007,"Portage--Lisgar/Portage--Lisgar"," 171","Schanzenfeld",74,0,2,2,59,1,138,377
46007,"Portage--Lisgar/Portage--Lisgar"," 172","Schanzenfeld",48,0,3,3,73,2,129,364
46007,"Portage--Lisgar/Portage--Lisgar"," 173","Chortitz",59,1,2,1,32,0,95,261
46007,"Portage--Lisgar/Portage--Lisgar"," 174","Altona",49,5,0,9,3,0,66,170
46007,"Portage--Lisgar/Portage--Lisgar"," 175","Altbergthal",139,13,3,19,27,1,202,456
46007,"Portage--Lisgar/Portage--Lisgar"," 176","Altona",62,10,1,14,8,0,95,259
46007,"Portage--Lisgar/Portage--Lisgar"," 177","Altona",101,28,0,39,36,1,205,475
46007,"Portage--Lisgar/Portage--Lisgar"," 178","Altona",55,7,0,26,21,0,109,281
46007,"Portage--Lisgar/Portage--Lisgar"," 179","Altona",57,6,0,15,13,0,91,239
46007,"Portage--Lisgar/Portage--Lisgar"," 180","Altona",79,15,2,18,19,0,133,285
46007,"Portage--Lisgar/Portage--Lisgar"," 181","Altona",57,4,3,12,22,0,98,287
46007,"Portage--Lisgar/Portage--Lisgar"," 182","Altona",77,18,2,22,16,0,135,354
46007,"Portage--Lisgar/Portage--Lisgar"," 183","Altona",99,17,1,22,28,3,170,440
46007,"Portage--Lisgar/Portage--Lisgar"," 184","Halbstadt",64,6,1,18,35,1,125,271
46007,"Portage--Lisgar/Portage--Lisgar"," 185","Hochfeld",77,1,9,8,135,2,232,487
46007,"Portage--Lisgar/Portage--Lisgar"," 186","Gnadenthal",52,3,2,1,69,0,127,382
46007,"Portage--Lisgar/Portage--Lisgar"," 187","Blumenfeld",73,1,4,2,99,0,179,417
46007,"Portage--Lisgar/Portage--Lisgar"," 188","Gretna",83,5,6,27,48,1,170,322
46007,"Portage--Lisgar/Portage--Lisgar"," 189","Gretna",80,15,1,29,50,1,176,329
46007,"Portage--Lisgar/Portage--Lisgar"," 500","Mobile poll/Bureau itinérant",7,5,6,9,1,3,31,174
46007,"Portage--Lisgar/Portage--Lisgar"," 501","Portage la Prairie",Merged with No./Fusionné avec le n°7,,,,,,,74
46007,"Portage--Lisgar/Portage--Lisgar"," 502","Mobile poll/Bureau itinérant",8,5,0,3,1,1,18,63
46007,"Portage--Lisgar/Portage--Lisgar"," 503","Portage la Prairie",Merged with No./Fusionné avec le n°26,,,,,,,31
46007,"Portage--Lisgar/Portage--Lisgar"," 504","Portage la Prairie",Merged with No./Fusionné avec le n°27,,,,,,,47
46007,"Portage--Lisgar/Portage--Lisgar"," 505","Portage la Prairie",Merged with No./Fusionné avec le n°29A,,,,,,,77
46007,"Portage--Lisgar/Portage--Lisgar"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°513,,,,,,,7
46007,"Portage--Lisgar/Portage--Lisgar"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°513,,,,,,,6
46007,"Portage--Lisgar/Portage--Lisgar"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°513,,,,,,,10
46007,"Portage--Lisgar/Portage--Lisgar"," 509","Portage la Prairie",Merged with No./Fusionné avec le n°29B,,,,,,,57
46007,"Portage--Lisgar/Portage--Lisgar"," 510","Mobile poll/Bureau itinérant",29,14,0,5,2,2,52,72
46007,"Portage--Lisgar/Portage--Lisgar"," 511","Portage la Prairie",Merged with No./Fusionné avec le n°26,,,,,,,50
46007,"Portage--Lisgar/Portage--Lisgar"," 512","Mobile poll/Bureau itinérant",18,8,0,2,0,0,28,45
46007,"Portage--Lisgar/Portage--Lisgar"," 513","Mobile poll/Bureau itinérant",13,9,0,4,1,0,27,17
46007,"Portage--Lisgar/Portage--Lisgar"," 514","Mobile poll/Bureau itinérant",13,4,0,5,2,0,24,38
46007,"Portage--Lisgar/Portage--Lisgar"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°68,,,,,,,0
46007,"Portage--Lisgar/Portage--Lisgar"," 516","Mobile poll/Bureau itinérant",6,6,1,2,0,0,15,23
46007,"Portage--Lisgar/Portage--Lisgar"," 517","Mobile poll/Bureau itinérant",10,10,0,5,1,1,27,37
46007,"Portage--Lisgar/Portage--Lisgar"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°59,,,,,,,1
46007,"Portage--Lisgar/Portage--Lisgar"," 519","Carman",Merged with No./Fusionné avec le n°90,,,,,,,7
46007,"Portage--Lisgar/Portage--Lisgar"," 520","Carman",Merged with No./Fusionné avec le n°90,,,,,,,15
46007,"Portage--Lisgar/Portage--Lisgar"," 521","Carman",Merged with No./Fusionné avec le n°90,,,,,,,8
46007,"Portage--Lisgar/Portage--Lisgar"," 522","Mobile poll/Bureau itinérant",18,7,0,2,1,1,29,47
46007,"Portage--Lisgar/Portage--Lisgar"," 523","Mobile poll/Bureau itinérant",32,8,1,5,0,0,46,83
46007,"Portage--Lisgar/Portage--Lisgar"," 524","Miami",Merged with No./Fusionné avec le n°109,,,,,,,10
46007,"Portage--Lisgar/Portage--Lisgar"," 525","Rosenort",Merged with No./Fusionné avec le n°104,,,,,,,17
46007,"Portage--Lisgar/Portage--Lisgar"," 526","Mobile poll/Bureau itinérant",11,2,5,3,1,0,22,28
46007,"Portage--Lisgar/Portage--Lisgar"," 527","Morris",Merged with No./Fusionné avec le n°116,,,,,,,26
46007,"Portage--Lisgar/Portage--Lisgar"," 528","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°143,,,,,,,14
46007,"Portage--Lisgar/Portage--Lisgar"," 529","Mobile poll/Bureau itinérant",29,7,1,4,4,2,47,62
46007,"Portage--Lisgar/Portage--Lisgar"," 530","Morden",Merged with No./Fusionné avec le n°164,,,,,,,22
46007,"Portage--Lisgar/Portage--Lisgar"," 531","Morden",Merged with No./Fusionné avec le n°166,,,,,,,36
46007,"Portage--Lisgar/Portage--Lisgar"," 532","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°533,,,,,,,29
46007,"Portage--Lisgar/Portage--Lisgar"," 533","Mobile poll/Bureau itinérant",22,5,1,8,2,1,39,41
46007,"Portage--Lisgar/Portage--Lisgar"," 534","Morden",Merged with No./Fusionné avec le n°168,,,,,,,19
46007,"Portage--Lisgar/Portage--Lisgar"," 535","Morden",Merged with No./Fusionné avec le n°168,,,,,,,9
46007,"Portage--Lisgar/Portage--Lisgar"," 536","Mobile poll/Bureau itinérant",45,12,2,4,1,2,66,95
46007,"Portage--Lisgar/Portage--Lisgar"," 537","Mobile poll/Bureau itinérant",16,0,0,3,4,3,26,128
46007,"Portage--Lisgar/Portage--Lisgar"," 538","Mobile poll/Bureau itinérant",29,1,4,4,7,1,46,76
46007,"Portage--Lisgar/Portage--Lisgar"," 539","Mobile poll/Bureau itinérant",11,0,0,0,2,0,13,29
46007,"Portage--Lisgar/Portage--Lisgar"," 540","Mobile poll/Bureau itinérant",43,4,1,2,1,0,51,85
46007,"Portage--Lisgar/Portage--Lisgar"," 541","Mobile poll/Bureau itinérant",49,8,0,0,2,1,60,90
46007,"Portage--Lisgar/Portage--Lisgar"," 542","Mobile poll/Bureau itinérant",4,0,0,0,3,0,7,11
46007,"Portage--Lisgar/Portage--Lisgar"," 543","Mobile poll/Bureau itinérant",40,3,2,1,5,3,54,97
46007,"Portage--Lisgar/Portage--Lisgar"," 544","Winkler",Merged with No./Fusionné avec le n°159,,,,,,,17
46007,"Portage--Lisgar/Portage--Lisgar"," 545","Winkler",Merged with No./Fusionné avec le n°159,,,,,,,15
46007,"Portage--Lisgar/Portage--Lisgar"," 546","Mobile poll/Bureau itinérant",28,2,3,0,6,2,41,73
46007,"Portage--Lisgar/Portage--Lisgar"," 547","Winkler",Merged with No./Fusionné avec le n°159,,,,,,,13
46007,"Portage--Lisgar/Portage--Lisgar"," 548","Mobile poll/Bureau itinérant",48,19,1,5,7,0,80,92
46007,"Portage--Lisgar/Portage--Lisgar"," 549","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°548,,,,,,,6
46007,"Portage--Lisgar/Portage--Lisgar"," 550","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°548,,,,,,,6
46007,"Portage--Lisgar/Portage--Lisgar"," 551","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°548,,,,,,,12
46007,"Portage--Lisgar/Portage--Lisgar"," 552","Mobile poll/Bureau itinérant",9,2,0,1,2,0,14,17
46007,"Portage--Lisgar/Portage--Lisgar"," 553","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°554,,,,,,,14
46007,"Portage--Lisgar/Portage--Lisgar"," 554","Mobile poll/Bureau itinérant",28,4,0,1,3,4,40,18
46007,"Portage--Lisgar/Portage--Lisgar"," 555","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°554,,,,,,,16
46007,"Portage--Lisgar/Portage--Lisgar"," 556","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°554,,,,,,,45
46007,"Portage--Lisgar/Portage--Lisgar"," 557","Altona",Merged with No./Fusionné avec le n°179,,,,,,,14
46007,"Portage--Lisgar/Portage--Lisgar"," 558","Altona",Merged with No./Fusionné avec le n°179,,,,,,,14
46007,"Portage--Lisgar/Portage--Lisgar"," 559","Altona",Merged with No./Fusionné avec le n°181,,,,,,,19
46007,"Portage--Lisgar/Portage--Lisgar"," 560","Mobile poll/Bureau itinérant",18,2,2,7,1,0,30,42
46007,"Portage--Lisgar/Portage--Lisgar"," 600","Portage la Prairie",205,34,1,32,57,1,330,
46007,"Portage--Lisgar/Portage--Lisgar"," 601","Portage la Prairie",259,70,7,83,65,4,488,
46007,"Portage--Lisgar/Portage--Lisgar"," 602","Portage la Prairie",484,123,5,150,67,3,832,
