Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kemal Ahmed,Joel Yakov Etienne,Nixon Nguyen,Ya'ara Saks,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35118,"York Centre/York-Centre"," 71","Toronto",18,58,9,64,0,149,534
35118,"York Centre/York-Centre"," 72","Toronto",33,55,10,112,3,213,768
35118,"York Centre/York-Centre"," 73","Toronto",25,50,13,94,4,186,513
35118,"York Centre/York-Centre"," 74","Toronto",Merged with No./Fusionné avec le n°97,,,,,,378
35118,"York Centre/York-Centre"," 75","Toronto",19,49,2,87,2,159,538
35118,"York Centre/York-Centre"," 76","Toronto",26,23,2,98,2,151,551
35118,"York Centre/York-Centre"," 77","Toronto",21,17,5,75,4,122,580
35118,"York Centre/York-Centre"," 78","Toronto",18,39,5,94,2,158,628
35118,"York Centre/York-Centre"," 79","Toronto",Merged with No./Fusionné avec le n°92,,,,,,396
35118,"York Centre/York-Centre"," 80A","Toronto",37,38,2,62,1,140,499
35118,"York Centre/York-Centre"," 80B","Toronto",28,38,8,66,0,140,540
35118,"York Centre/York-Centre"," 81","Toronto",14,65,15,136,3,233,386
35118,"York Centre/York-Centre"," 82","Toronto",11,39,10,38,2,100,382
35118,"York Centre/York-Centre"," 83","Toronto",Merged with No./Fusionné avec le n°81,,,,,,382
35118,"York Centre/York-Centre"," 84","Toronto",23,41,9,76,4,153,408
35118,"York Centre/York-Centre"," 85","Toronto",12,27,7,53,2,101,456
35118,"York Centre/York-Centre"," 86","Toronto",Merged with No./Fusionné avec le n°61,,,,,,342
35118,"York Centre/York-Centre"," 87","Toronto",11,35,13,56,1,116,447
35118,"York Centre/York-Centre"," 88","Toronto",Merged with No./Fusionné avec le n°100,,,,,,350
35118,"York Centre/York-Centre"," 89","Toronto",18,25,1,53,4,101,502
35118,"York Centre/York-Centre"," 90","Toronto",25,26,9,97,2,159,604
35118,"York Centre/York-Centre"," 91","Toronto",23,39,6,84,4,156,409
35118,"York Centre/York-Centre"," 92","Toronto",43,62,13,89,1,208,431
35118,"York Centre/York-Centre"," 93","Toronto",10,51,4,64,2,131,462
35118,"York Centre/York-Centre"," 94","Toronto",20,31,6,71,0,128,493
35118,"York Centre/York-Centre"," 95","Toronto",Merged with No./Fusionné avec le n°91,,,,,,333
