Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tariq Chaudary,Shawn Gray,Melanie Hoffman,Matt Jeneroux,Jennifer Peace,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48018,"Edmonton Riverbend/Edmonton Riverbend"," 122","Edmonton",Merged with No./Fusionné avec le n°127,,,,,,,399
48018,"Edmonton Riverbend/Edmonton Riverbend"," 123","Edmonton",48,31,0,62,0,0,141,458
48018,"Edmonton Riverbend/Edmonton Riverbend"," 124","Edmonton",68,98,2,96,15,4,283,635
48018,"Edmonton Riverbend/Edmonton Riverbend"," 125","Edmonton",75,67,4,78,2,2,228,535
48018,"Edmonton Riverbend/Edmonton Riverbend"," 126","Edmonton",50,51,4,62,10,1,178,445
48018,"Edmonton Riverbend/Edmonton Riverbend"," 127","Edmonton",87,81,7,135,11,2,323,427
48018,"Edmonton Riverbend/Edmonton Riverbend"," 128","Edmonton",27,75,2,79,17,0,200,614
48018,"Edmonton Riverbend/Edmonton Riverbend"," 129","Edmonton",41,64,2,73,17,0,197,548
48018,"Edmonton Riverbend/Edmonton Riverbend"," 130","Edmonton",Merged with No./Fusionné avec le n°134,,,,,,,439
48018,"Edmonton Riverbend/Edmonton Riverbend"," 131","Edmonton",47,78,1,99,2,0,227,492
48018,"Edmonton Riverbend/Edmonton Riverbend"," 132","Edmonton",Merged with No./Fusionné avec le n°133,,,,,,,314
48018,"Edmonton Riverbend/Edmonton Riverbend"," 133","Edmonton",64,88,0,127,25,0,304,363
48018,"Edmonton Riverbend/Edmonton Riverbend"," 134","Edmonton",70,160,4,117,21,0,372,448
48018,"Edmonton Riverbend/Edmonton Riverbend"," 135","Edmonton",40,47,0,113,4,0,204,475
48018,"Edmonton Riverbend/Edmonton Riverbend"," 136","Edmonton",56,43,1,88,9,0,197,467
48018,"Edmonton Riverbend/Edmonton Riverbend"," 137","Edmonton",83,35,1,114,6,0,239,533
48018,"Edmonton Riverbend/Edmonton Riverbend"," 138","Edmonton",50,50,1,94,4,0,199,477
48018,"Edmonton Riverbend/Edmonton Riverbend"," 139","Edmonton",61,64,4,122,6,0,257,698
48018,"Edmonton Riverbend/Edmonton Riverbend"," 140","Edmonton",64,59,2,100,4,0,229,572
48018,"Edmonton Riverbend/Edmonton Riverbend"," 141","Edmonton",77,57,3,171,7,0,315,681
48018,"Edmonton Riverbend/Edmonton Riverbend"," 142","Edmonton",41,73,3,102,8,0,227,693
48018,"Edmonton Riverbend/Edmonton Riverbend"," 143","Edmonton",44,50,4,108,21,0,227,719
48018,"Edmonton Riverbend/Edmonton Riverbend"," 144","Edmonton",39,53,1,70,14,0,177,546
48018,"Edmonton Riverbend/Edmonton Riverbend"," 145","Edmonton",44,62,2,101,7,0,216,555
48018,"Edmonton Riverbend/Edmonton Riverbend"," 146A","Edmonton",33,42,4,88,3,0,170,439
48018,"Edmonton Riverbend/Edmonton Riverbend"," 146B","Edmonton",Merged with No./Fusionné avec le n°403,,,,,,,178
48018,"Edmonton Riverbend/Edmonton Riverbend"," 147","Edmonton",57,45,2,84,1,0,189,443
48018,"Edmonton Riverbend/Edmonton Riverbend"," 148","Edmonton",63,39,2,82,8,0,194,473
48018,"Edmonton Riverbend/Edmonton Riverbend"," 149","Edmonton",Merged with No./Fusionné avec le n°150,,,,,,,395
48018,"Edmonton Riverbend/Edmonton Riverbend"," 150","Edmonton",83,113,7,156,19,0,378,408
48018,"Edmonton Riverbend/Edmonton Riverbend"," 151","Edmonton",Merged with No./Fusionné avec le n°152,,,,,,,419
48018,"Edmonton Riverbend/Edmonton Riverbend"," 152","Edmonton",64,135,6,146,20,0,371,425
48018,"Edmonton Riverbend/Edmonton Riverbend"," 153","Edmonton",Merged with No./Fusionné avec le n°154,,,,,,,419
48018,"Edmonton Riverbend/Edmonton Riverbend"," 154","Edmonton",67,61,5,159,17,2,311,444
48018,"Edmonton Riverbend/Edmonton Riverbend"," 155","Edmonton",50,73,2,72,10,0,207,528
48018,"Edmonton Riverbend/Edmonton Riverbend"," 156","Edmonton",Merged with No./Fusionné avec le n°160,,,,,,,417
48018,"Edmonton Riverbend/Edmonton Riverbend"," 157","Edmonton",42,40,2,68,8,0,160,475
48018,"Edmonton Riverbend/Edmonton Riverbend"," 158","Edmonton",52,39,5,48,6,3,153,522
48018,"Edmonton Riverbend/Edmonton Riverbend"," 159","Edmonton",Merged with No./Fusionné avec le n°161,,,,,,,406
48018,"Edmonton Riverbend/Edmonton Riverbend"," 160","Edmonton",68,68,4,125,16,0,281,450
48018,"Edmonton Riverbend/Edmonton Riverbend"," 161","Edmonton",83,58,7,135,13,0,296,457
48018,"Edmonton Riverbend/Edmonton Riverbend"," 162","Edmonton",Merged with No./Fusionné avec le n°163,,,,,,,417
48018,"Edmonton Riverbend/Edmonton Riverbend"," 163","Edmonton",94,97,3,124,20,0,338,434
48018,"Edmonton Riverbend/Edmonton Riverbend"," 164","Edmonton",47,87,3,91,8,3,239,379
48018,"Edmonton Riverbend/Edmonton Riverbend"," 165","Edmonton",Merged with No./Fusionné avec le n°164,,,,,,,334
48018,"Edmonton Riverbend/Edmonton Riverbend"," 166","Edmonton",16,44,2,57,6,0,125,345
48018,"Edmonton Riverbend/Edmonton Riverbend"," 167","Edmonton",32,42,3,71,11,1,160,370
48018,"Edmonton Riverbend/Edmonton Riverbend"," 168","Edmonton",61,58,4,97,2,1,223,506
48018,"Edmonton Riverbend/Edmonton Riverbend"," 169","Edmonton",72,63,1,117,4,5,262,537
48018,"Edmonton Riverbend/Edmonton Riverbend"," 170","Edmonton",56,58,2,135,19,0,270,433
48018,"Edmonton Riverbend/Edmonton Riverbend"," 171","Edmonton",35,53,2,73,10,0,173,463
48018,"Edmonton Riverbend/Edmonton Riverbend"," 172","Edmonton",51,54,1,77,5,0,188,457
48018,"Edmonton Riverbend/Edmonton Riverbend"," 173","Edmonton",53,56,9,73,12,0,203,446
48018,"Edmonton Riverbend/Edmonton Riverbend"," 174","Edmonton",35,52,2,56,8,0,153,454
48018,"Edmonton Riverbend/Edmonton Riverbend"," 175","Edmonton",55,64,2,80,10,2,213,537
48018,"Edmonton Riverbend/Edmonton Riverbend"," 176","Edmonton",59,63,3,102,19,0,246,523
48018,"Edmonton Riverbend/Edmonton Riverbend"," 177","Edmonton",33,49,2,84,8,1,177,459
48018,"Edmonton Riverbend/Edmonton Riverbend"," 178","Edmonton",27,50,0,68,6,1,152,401
48018,"Edmonton Riverbend/Edmonton Riverbend"," 179","Edmonton",51,62,2,122,13,1,251,727
48018,"Edmonton Riverbend/Edmonton Riverbend"," 180","Edmonton",53,50,4,101,4,2,214,469
48018,"Edmonton Riverbend/Edmonton Riverbend"," 181","Edmonton",35,33,0,98,9,1,176,430
48018,"Edmonton Riverbend/Edmonton Riverbend"," 182","Edmonton",83,49,0,104,16,1,253,593
48018,"Edmonton Riverbend/Edmonton Riverbend"," 400","Edmonton",Merged with No./Fusionné avec le n°96,,,,,,,216
48018,"Edmonton Riverbend/Edmonton Riverbend"," 401","Edmonton",Merged with No./Fusionné avec le n°57,,,,,,,204
48018,"Edmonton Riverbend/Edmonton Riverbend"," 402","Edmonton",Void/Supprimé,,,,,,,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 403","Edmonton",34,35,0,46,2,0,117,230
48018,"Edmonton Riverbend/Edmonton Riverbend"," 500","Mobile poll/Bureau itinérant",19,6,5,42,1,6,79,105
48018,"Edmonton Riverbend/Edmonton Riverbend"," 501","Mobile poll/Bureau itinérant",10,8,2,9,3,0,32,40
48018,"Edmonton Riverbend/Edmonton Riverbend"," 502","Mobile poll/Bureau itinérant",10,9,2,23,0,1,45,83
48018,"Edmonton Riverbend/Edmonton Riverbend"," 503","Mobile poll/Bureau itinérant",16,1,2,3,0,0,22,48
48018,"Edmonton Riverbend/Edmonton Riverbend"," 504","Edmonton",Merged with No./Fusionné avec le n°116,,,,,,,29
48018,"Edmonton Riverbend/Edmonton Riverbend"," 505","Edmonton",Merged with No./Fusionné avec le n°116,,,,,,,13
48018,"Edmonton Riverbend/Edmonton Riverbend"," 506","Edmonton",Merged with No./Fusionné avec le n°116,,,,,,,35
48018,"Edmonton Riverbend/Edmonton Riverbend"," 507","Mobile poll/Bureau itinérant",21,8,2,35,5,0,71,82
48018,"Edmonton Riverbend/Edmonton Riverbend"," 508","Mobile poll/Bureau itinérant",5,2,0,2,0,0,9,18
48018,"Edmonton Riverbend/Edmonton Riverbend"," 509","Mobile poll/Bureau itinérant",Results combined with no. 512/Résultats combinés au n° 512,,,,,,,59
48018,"Edmonton Riverbend/Edmonton Riverbend"," 510","Mobile poll/Bureau itinérant",15,4,2,24,1,0,46,127
48018,"Edmonton Riverbend/Edmonton Riverbend"," 511","Mobile poll/Bureau itinérant",Results combined with no. 512/Résultats combinés au n° 512,,,,,,,71
48018,"Edmonton Riverbend/Edmonton Riverbend"," 512","Mobile poll/Bureau itinérant",18,10,2,74,1,6,111,89
48018,"Edmonton Riverbend/Edmonton Riverbend"," 513","Edmonton",Merged with No./Fusionné avec le n°116,,,,,,,155
48018,"Edmonton Riverbend/Edmonton Riverbend"," 514","Mobile poll/Bureau itinérant",11,1,0,18,0,1,31,58
48018,"Edmonton Riverbend/Edmonton Riverbend"," 515","Mobile poll/Bureau itinérant",5,9,0,26,0,2,42,88
48018,"Edmonton Riverbend/Edmonton Riverbend"," 600","Edmonton",313,189,16,460,40,1,1019,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 601","Edmonton",337,152,11,729,24,4,1257,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 602","Edmonton",320,161,18,708,41,1,1249,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 603","Edmonton",385,414,26,540,59,4,1428,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 604","Edmonton",239,318,22,481,35,3,1098,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 605","Edmonton",190,213,13,442,17,3,878,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 606","Edmonton",359,165,7,554,28,1,1114,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 607","Edmonton",269,299,15,430,49,8,1070,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 608","Edmonton",250,230,10,602,45,4,1141,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 609","Edmonton",401,262,10,798,47,1,1519,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 610","Edmonton",255,157,9,668,30,5,1124,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 611","Edmonton",247,195,12,466,46,2,968,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 612","Edmonton",192,158,6,356,45,5,762,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 613","Edmonton",223,129,8,549,21,1,931,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 614","Edmonton",475,266,16,887,66,3,1713,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 615","Edmonton",228,208,14,455,49,3,957,
48018,"Edmonton Riverbend/Edmonton Riverbend",,Group 1/Groupe 1, 197,152,12,287,30,25,703,267
48018,"Edmonton Riverbend/Edmonton Riverbend",,Group 2/Groupe 2, 938,646,45,1432,55,75,3191,
