Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gölök Buday,Mauro Francis,Natasha Hale,Jenny Kwan,Karin Litzcke,Cheryl Matthew,Josh Vander Vies,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59035,"Vancouver East/Vancouver-Est"," 20","Vancouver",0,24,1,61,12,4,26,0,128,466
59035,"Vancouver East/Vancouver-Est"," 21","Vancouver",2,35,0,34,0,5,33,2,111,416
59035,"Vancouver East/Vancouver-Est"," 22","Vancouver",2,6,0,47,1,4,12,2,74,406
59035,"Vancouver East/Vancouver-Est"," 23","Vancouver",1,30,2,32,10,7,36,0,118,497
59035,"Vancouver East/Vancouver-Est"," 24","Vancouver",2,7,2,46,7,11,23,0,98,574
59035,"Vancouver East/Vancouver-Est"," 25","Vancouver",9,12,2,60,6,7,18,2,116,396
59035,"Vancouver East/Vancouver-Est"," 26","Vancouver",3,5,0,62,2,3,19,2,96,348
59035,"Vancouver East/Vancouver-Est"," 27","Vancouver",4,10,0,71,2,7,24,2,120,456
59035,"Vancouver East/Vancouver-Est"," 28","Vancouver",9,10,0,62,5,1,31,0,118,551
59035,"Vancouver East/Vancouver-Est"," 29","Vancouver",6,9,1,52,2,14,16,0,100,404
59035,"Vancouver East/Vancouver-Est"," 30","Vancouver",5,17,1,118,4,25,23,5,198,522
59035,"Vancouver East/Vancouver-Est"," 31","Vancouver",4,17,1,84,2,5,21,1,135,354
59035,"Vancouver East/Vancouver-Est"," 32A","Vancouver",3,11,1,99,6,12,30,1,163,456
59035,"Vancouver East/Vancouver-Est"," 32B","Vancouver",0,13,0,97,3,14,24,3,154,459
59035,"Vancouver East/Vancouver-Est"," 33","Vancouver",0,13,6,83,2,18,31,1,154,376
59035,"Vancouver East/Vancouver-Est"," 34","Vancouver",5,10,3,79,7,25,33,1,163,346
59035,"Vancouver East/Vancouver-Est"," 35","Vancouver",7,12,2,106,4,6,38,6,181,505
59035,"Vancouver East/Vancouver-Est"," 36","Vancouver",0,7,2,100,8,12,27,0,156,499
59035,"Vancouver East/Vancouver-Est"," 37","Vancouver",3,7,1,113,3,20,24,0,171,406
59035,"Vancouver East/Vancouver-Est"," 38","Vancouver",0,4,0,57,2,6,22,0,91,316
59035,"Vancouver East/Vancouver-Est"," 39","Vancouver",2,22,0,140,4,23,48,0,239,639
59035,"Vancouver East/Vancouver-Est"," 40","Vancouver",3,8,2,96,8,19,19,0,155,495
59035,"Vancouver East/Vancouver-Est"," 41","Vancouver",0,20,1,77,7,15,34,1,155,398
59035,"Vancouver East/Vancouver-Est"," 42","Vancouver",0,11,0,85,3,10,16,1,126,413
59035,"Vancouver East/Vancouver-Est"," 43","Vancouver",6,15,0,88,1,15,28,1,154,454
59035,"Vancouver East/Vancouver-Est"," 44","Vancouver",1,13,2,150,4,8,21,2,201,503
59035,"Vancouver East/Vancouver-Est"," 45","Vancouver",3,14,3,89,7,11,15,3,145,370
59035,"Vancouver East/Vancouver-Est"," 46","Vancouver",1,23,2,87,3,11,43,2,172,376
59035,"Vancouver East/Vancouver-Est"," 47","Vancouver",2,30,2,76,2,8,29,1,150,451
59035,"Vancouver East/Vancouver-Est"," 48","Vancouver",1,25,2,83,3,20,30,1,165,434
59035,"Vancouver East/Vancouver-Est"," 49","Vancouver",1,17,0,45,6,6,27,2,104,431
59035,"Vancouver East/Vancouver-Est"," 50","Vancouver",5,7,3,86,5,12,17,2,137,489
59035,"Vancouver East/Vancouver-Est"," 51","Vancouver",3,26,0,101,13,22,18,0,183,490
59035,"Vancouver East/Vancouver-Est"," 52","Vancouver",1,9,3,111,5,20,21,2,172,444
59035,"Vancouver East/Vancouver-Est"," 53","Vancouver",1,7,3,101,3,16,14,1,146,420
59035,"Vancouver East/Vancouver-Est"," 54","Vancouver",0,11,0,87,3,11,17,0,129,345
59035,"Vancouver East/Vancouver-Est"," 55","Vancouver",1,10,1,134,5,22,19,0,192,435
59035,"Vancouver East/Vancouver-Est"," 56","Vancouver",1,17,3,140,7,17,34,1,220,582
59035,"Vancouver East/Vancouver-Est"," 57","Vancouver",6,12,2,98,8,16,24,5,171,497
59035,"Vancouver East/Vancouver-Est"," 58","Vancouver",4,18,3,86,4,10,22,2,149,440
59035,"Vancouver East/Vancouver-Est"," 59","Vancouver",3,9,0,66,6,7,11,0,102,391
59035,"Vancouver East/Vancouver-Est"," 60","Vancouver",1,15,1,88,5,11,18,2,141,424
59035,"Vancouver East/Vancouver-Est"," 61","Vancouver",2,9,1,93,3,13,17,1,139,431
59035,"Vancouver East/Vancouver-Est"," 62","Vancouver",3,12,2,82,5,7,22,3,136,493
59035,"Vancouver East/Vancouver-Est"," 63","Vancouver",4,22,5,83,5,10,41,1,171,458
59035,"Vancouver East/Vancouver-Est"," 64","Vancouver",4,21,1,81,1,9,19,0,136,413
59035,"Vancouver East/Vancouver-Est"," 65","Vancouver",2,17,2,69,7,6,21,2,126,428
59035,"Vancouver East/Vancouver-Est"," 66","Vancouver",5,19,0,79,7,11,27,2,150,431
59035,"Vancouver East/Vancouver-Est"," 67","Vancouver",6,21,4,73,5,14,26,0,149,527
59035,"Vancouver East/Vancouver-Est"," 68","Vancouver",0,11,0,62,4,7,13,1,98,403
59035,"Vancouver East/Vancouver-Est"," 69","Vancouver",2,8,3,87,6,19,19,1,145,380
59035,"Vancouver East/Vancouver-Est"," 70","Vancouver",1,23,2,142,3,13,73,0,257,581
59035,"Vancouver East/Vancouver-Est"," 71","Vancouver",2,7,1,111,3,14,21,1,160,405
59035,"Vancouver East/Vancouver-Est"," 72","Vancouver",0,10,2,81,8,12,38,1,152,480
59035,"Vancouver East/Vancouver-Est"," 73","Vancouver",5,18,3,155,5,18,54,2,260,569
59035,"Vancouver East/Vancouver-Est"," 74","Vancouver",2,34,3,134,5,20,73,2,273,557
59035,"Vancouver East/Vancouver-Est"," 75","Vancouver",0,9,2,85,4,9,30,1,140,488
59035,"Vancouver East/Vancouver-Est"," 76","Vancouver",2,27,1,105,3,15,62,4,219,634
59035,"Vancouver East/Vancouver-Est"," 77","Vancouver",0,24,0,81,2,8,44,0,159,504
59035,"Vancouver East/Vancouver-Est"," 78","Vancouver",1,24,2,119,6,24,30,0,206,446
59035,"Vancouver East/Vancouver-Est"," 79","Vancouver",0,8,1,106,3,15,16,1,150,360
59035,"Vancouver East/Vancouver-Est"," 80","Vancouver",4,16,2,109,2,19,34,1,187,400
59035,"Vancouver East/Vancouver-Est"," 81","Vancouver",1,10,1,117,2,19,31,2,183,394
59035,"Vancouver East/Vancouver-Est"," 82","Vancouver",0,17,2,77,3,11,18,0,128,407
59035,"Vancouver East/Vancouver-Est"," 83","Vancouver",0,18,2,90,3,28,31,1,173,348
59035,"Vancouver East/Vancouver-Est"," 84","Vancouver",2,9,1,103,3,17,25,0,160,475
59035,"Vancouver East/Vancouver-Est"," 85","Vancouver",4,9,2,111,5,19,26,0,176,398
59035,"Vancouver East/Vancouver-Est"," 86","Vancouver",1,9,1,90,3,12,6,1,123,336
59035,"Vancouver East/Vancouver-Est"," 87","Vancouver",1,10,0,111,7,15,40,0,184,429
59035,"Vancouver East/Vancouver-Est"," 88","Vancouver",2,14,0,97,7,17,41,2,180,360
59035,"Vancouver East/Vancouver-Est"," 89","Vancouver",5,18,1,73,9,11,28,0,145,410
59035,"Vancouver East/Vancouver-Est"," 90","Vancouver",5,14,0,69,1,10,37,1,137,395
59035,"Vancouver East/Vancouver-Est"," 91","Vancouver",5,22,0,54,2,9,26,0,118,375
59035,"Vancouver East/Vancouver-Est"," 92","Vancouver",3,20,1,77,3,11,47,0,162,432
59035,"Vancouver East/Vancouver-Est"," 93","Vancouver",4,37,0,111,3,21,63,0,239,700
59035,"Vancouver East/Vancouver-Est"," 94","Vancouver",3,17,4,114,6,22,36,2,204,468
59035,"Vancouver East/Vancouver-Est"," 95","Vancouver",4,14,1,86,1,10,22,0,138,332
59035,"Vancouver East/Vancouver-Est"," 96","Vancouver",0,21,0,96,4,23,38,0,182,455
59035,"Vancouver East/Vancouver-Est"," 97","Vancouver",0,8,2,42,2,7,15,0,76,171
59035,"Vancouver East/Vancouver-Est"," 98","Vancouver",2,8,1,93,6,13,29,0,152,416
59035,"Vancouver East/Vancouver-Est"," 99","Vancouver",1,14,0,85,2,5,29,0,136,375
59035,"Vancouver East/Vancouver-Est"," 100","Vancouver",2,14,0,102,5,14,32,0,169,435
59035,"Vancouver East/Vancouver-Est"," 101","Vancouver",1,15,0,83,6,9,36,0,150,427
59035,"Vancouver East/Vancouver-Est"," 102","Vancouver",0,12,1,102,1,10,24,2,152,410
59035,"Vancouver East/Vancouver-Est"," 103","Vancouver",0,13,2,85,2,15,40,0,157,444
59035,"Vancouver East/Vancouver-Est"," 104","Vancouver",1,10,0,94,2,15,31,0,153,482
59035,"Vancouver East/Vancouver-Est"," 105","Vancouver",4,12,2,91,6,14,32,0,161,503
59035,"Vancouver East/Vancouver-Est"," 106","Vancouver",2,4,2,64,3,11,23,0,109,401
59035,"Vancouver East/Vancouver-Est"," 107","Vancouver",1,4,2,102,6,16,26,0,157,499
59035,"Vancouver East/Vancouver-Est"," 108","Vancouver",1,7,3,99,5,5,15,0,135,507
59035,"Vancouver East/Vancouver-Est"," 109","Vancouver",3,10,0,113,2,12,34,0,174,539
59035,"Vancouver East/Vancouver-Est"," 110","Vancouver",3,13,5,103,7,21,40,0,192,489
59035,"Vancouver East/Vancouver-Est"," 111","Vancouver",2,20,1,76,6,8,16,1,130,411
59035,"Vancouver East/Vancouver-Est"," 112","Vancouver",4,6,2,75,2,10,21,1,121,408
59035,"Vancouver East/Vancouver-Est"," 113","Vancouver",2,13,2,112,2,34,28,1,194,389
59035,"Vancouver East/Vancouver-Est"," 114","Vancouver",2,14,4,94,4,18,27,0,163,359
59035,"Vancouver East/Vancouver-Est"," 115","Vancouver",5,28,0,93,3,13,32,0,174,419
59035,"Vancouver East/Vancouver-Est"," 116","Vancouver",5,9,0,82,9,25,47,1,178,394
59035,"Vancouver East/Vancouver-Est"," 117","Vancouver",3,12,1,81,1,16,16,0,130,357
59035,"Vancouver East/Vancouver-Est"," 118","Vancouver",5,22,3,95,5,8,37,1,176,447
59035,"Vancouver East/Vancouver-Est"," 119","Vancouver",3,23,1,90,2,12,24,0,155,359
59035,"Vancouver East/Vancouver-Est"," 120","Vancouver",9,27,1,65,5,4,25,13,149,372
59035,"Vancouver East/Vancouver-Est"," 121","Vancouver",3,15,7,136,2,21,31,1,216,457
59035,"Vancouver East/Vancouver-Est"," 122","Vancouver",2,10,1,92,5,10,30,0,150,371
59035,"Vancouver East/Vancouver-Est"," 123","Vancouver",1,7,0,94,1,6,10,1,120,315
59035,"Vancouver East/Vancouver-Est"," 124","Vancouver",3,9,1,108,5,22,26,0,174,431
59035,"Vancouver East/Vancouver-Est"," 125","Vancouver",2,12,4,135,6,33,30,1,223,531
59035,"Vancouver East/Vancouver-Est"," 126","Vancouver",4,15,0,59,4,5,10,0,97,410
59035,"Vancouver East/Vancouver-Est"," 127","Vancouver",7,38,0,96,6,6,42,1,196,497
59035,"Vancouver East/Vancouver-Est"," 128","Vancouver",6,15,1,60,2,7,28,0,119,359
59035,"Vancouver East/Vancouver-Est"," 129","Vancouver",7,29,1,77,14,10,67,3,208,461
59035,"Vancouver East/Vancouver-Est"," 130","Vancouver",3,28,0,53,3,7,44,2,140,396
59035,"Vancouver East/Vancouver-Est"," 131","Vancouver",8,21,0,79,2,4,45,1,160,447
59035,"Vancouver East/Vancouver-Est"," 132","Vancouver",1,22,1,45,3,7,30,1,110,299
59035,"Vancouver East/Vancouver-Est"," 133","Vancouver",9,30,1,79,3,8,41,0,171,440
59035,"Vancouver East/Vancouver-Est"," 134","Vancouver",7,56,1,86,4,19,71,2,246,467
59035,"Vancouver East/Vancouver-Est"," 135","Vancouver",4,38,1,106,6,16,51,3,225,468
59035,"Vancouver East/Vancouver-Est"," 136","Vancouver",9,45,0,113,5,17,53,5,247,541
59035,"Vancouver East/Vancouver-Est"," 137","Vancouver",8,23,4,87,8,9,43,1,183,456
59035,"Vancouver East/Vancouver-Est"," 138","Vancouver",4,30,0,78,6,3,41,2,164,396
59035,"Vancouver East/Vancouver-Est"," 139","Vancouver",9,31,0,74,3,4,40,1,162,418
59035,"Vancouver East/Vancouver-Est"," 140","Vancouver",5,9,1,59,4,5,23,3,109,360
59035,"Vancouver East/Vancouver-Est"," 141","Vancouver",3,18,1,84,3,9,30,2,150,382
59035,"Vancouver East/Vancouver-Est"," 142","Vancouver",5,29,2,33,6,5,36,2,118,377
59035,"Vancouver East/Vancouver-Est"," 143","Vancouver",3,16,0,101,4,15,28,4,171,446
59035,"Vancouver East/Vancouver-Est"," 144","Vancouver",1,13,3,104,2,36,30,0,189,395
59035,"Vancouver East/Vancouver-Est"," 145","Vancouver",2,15,0,98,6,12,47,0,180,453
59035,"Vancouver East/Vancouver-Est"," 146","Vancouver",1,17,1,115,8,29,32,0,203,502
59035,"Vancouver East/Vancouver-Est"," 147","Vancouver",3,13,4,76,3,19,27,0,145,485
59035,"Vancouver East/Vancouver-Est"," 148","Vancouver",3,14,0,77,1,9,21,0,125,425
59035,"Vancouver East/Vancouver-Est"," 149","Vancouver",1,16,2,96,1,22,37,0,175,487
59035,"Vancouver East/Vancouver-Est"," 150","Vancouver",0,8,2,104,4,19,29,2,168,609
59035,"Vancouver East/Vancouver-Est"," 151","Vancouver",1,33,2,155,5,13,50,4,263,616
59035,"Vancouver East/Vancouver-Est"," 152","Vancouver",1,18,2,90,1,13,20,1,146,438
59035,"Vancouver East/Vancouver-Est"," 153","Vancouver",Void/Supprimé,,,,,,,,,
59035,"Vancouver East/Vancouver-Est"," 154","Vancouver",4,12,0,83,5,7,17,0,128,378
59035,"Vancouver East/Vancouver-Est"," 155","Vancouver",2,17,0,75,0,5,33,1,133,427
59035,"Vancouver East/Vancouver-Est"," 156","Vancouver",3,15,3,79,5,11,28,1,145,469
59035,"Vancouver East/Vancouver-Est"," 157","Vancouver",2,15,2,84,2,18,27,0,150,459
59035,"Vancouver East/Vancouver-Est"," 158","Vancouver",8,25,2,92,5,14,26,2,174,386
59035,"Vancouver East/Vancouver-Est"," 159","Vancouver",9,33,2,79,5,10,35,2,175,444
59035,"Vancouver East/Vancouver-Est"," 160","Vancouver",6,19,0,71,2,15,28,0,141,392
59035,"Vancouver East/Vancouver-Est"," 161","Vancouver",7,20,0,86,5,16,56,2,192,467
59035,"Vancouver East/Vancouver-Est"," 162","Vancouver",10,28,2,67,2,3,35,1,148,380
59035,"Vancouver East/Vancouver-Est"," 163","Vancouver",18,24,2,92,5,9,50,3,203,498
59035,"Vancouver East/Vancouver-Est"," 164","Vancouver",2,10,1,122,11,8,17,1,172,451
59035,"Vancouver East/Vancouver-Est"," 165","Vancouver",4,10,1,119,4,12,24,3,177,429
59035,"Vancouver East/Vancouver-Est"," 166","Vancouver",0,5,1,99,2,11,21,0,139,366
59035,"Vancouver East/Vancouver-Est"," 167","Vancouver",4,14,2,86,3,5,17,3,134,355
59035,"Vancouver East/Vancouver-Est"," 168","Vancouver",1,18,0,99,0,11,15,1,145,364
59035,"Vancouver East/Vancouver-Est"," 169","Vancouver",1,16,0,96,2,11,37,2,165,430
59035,"Vancouver East/Vancouver-Est"," 170","Vancouver",2,21,1,122,5,12,36,4,203,446
59035,"Vancouver East/Vancouver-Est"," 171","Vancouver",5,16,2,99,4,11,22,0,159,371
59035,"Vancouver East/Vancouver-Est"," 172","Vancouver",3,8,1,88,4,17,21,2,144,334
59035,"Vancouver East/Vancouver-Est"," 173","Vancouver",1,18,0,88,3,27,34,0,171,423
59035,"Vancouver East/Vancouver-Est"," 174","Vancouver",8,31,0,76,6,12,39,3,175,425
59035,"Vancouver East/Vancouver-Est"," 175","Vancouver",11,36,0,76,3,8,61,1,196,507
59035,"Vancouver East/Vancouver-Est"," 176","Vancouver",2,20,0,51,0,1,37,1,112,375
59035,"Vancouver East/Vancouver-Est"," 177","Vancouver",8,17,1,91,5,11,38,0,171,517
59035,"Vancouver East/Vancouver-Est"," 178","Vancouver",8,42,0,76,6,10,47,5,194,524
59035,"Vancouver East/Vancouver-Est"," 179","Vancouver",4,32,1,66,10,2,59,3,177,491
59035,"Vancouver East/Vancouver-Est"," 180","Vancouver",5,19,1,62,5,2,32,3,129,441
59035,"Vancouver East/Vancouver-Est"," 181","Vancouver",10,27,0,69,5,3,39,0,153,402
59035,"Vancouver East/Vancouver-Est"," 182","Vancouver",4,14,3,62,2,16,30,0,131,431
59035,"Vancouver East/Vancouver-Est"," 183","Vancouver",3,20,1,73,2,16,29,1,145,453
59035,"Vancouver East/Vancouver-Est"," 184","Vancouver",4,13,1,39,4,8,23,1,93,437
59035,"Vancouver East/Vancouver-Est"," 185","Vancouver",5,17,1,113,4,17,45,0,202,484
59035,"Vancouver East/Vancouver-Est"," 186","Vancouver",3,5,1,99,5,13,22,0,148,461
59035,"Vancouver East/Vancouver-Est"," 187","Vancouver",4,18,1,84,3,9,26,1,146,394
59035,"Vancouver East/Vancouver-Est"," 188","Vancouver",3,15,2,64,1,7,36,2,130,422
59035,"Vancouver East/Vancouver-Est"," 189","Vancouver",0,18,0,67,1,8,22,2,118,425
59035,"Vancouver East/Vancouver-Est"," 190","Vancouver",3,8,0,61,2,10,43,2,129,421
59035,"Vancouver East/Vancouver-Est"," 191","Vancouver",3,22,1,49,4,7,35,2,123,400
59035,"Vancouver East/Vancouver-Est"," 192","Vancouver",2,20,0,56,5,12,30,4,129,474
59035,"Vancouver East/Vancouver-Est"," 193","Vancouver",5,13,2,67,1,9,30,1,128,565
59035,"Vancouver East/Vancouver-Est"," 194","Vancouver",3,26,0,81,3,10,35,0,158,492
59035,"Vancouver East/Vancouver-Est"," 195","Vancouver",8,18,0,41,3,7,22,0,99,372
59035,"Vancouver East/Vancouver-Est"," 196","Vancouver",0,10,1,59,8,2,24,1,105,406
59035,"Vancouver East/Vancouver-Est"," 197","Vancouver",6,37,0,57,6,3,46,0,155,498
59035,"Vancouver East/Vancouver-Est"," 198","Vancouver",9,40,1,87,5,6,59,7,214,410
59035,"Vancouver East/Vancouver-Est"," 199","Vancouver",4,21,0,77,4,10,38,4,158,460
59035,"Vancouver East/Vancouver-Est"," 200","Vancouver",7,24,2,70,2,11,32,2,150,485
59035,"Vancouver East/Vancouver-Est"," 201","Vancouver",7,31,1,91,4,10,52,3,199,442
59035,"Vancouver East/Vancouver-Est"," 202","Vancouver",3,14,2,44,5,7,40,1,116,395
59035,"Vancouver East/Vancouver-Est"," 203","Vancouver",4,18,0,114,3,7,52,2,200,511
59035,"Vancouver East/Vancouver-Est"," 500","Mobile poll/Bureau itinérant",2,8,1,14,0,3,53,1,82,73
59035,"Vancouver East/Vancouver-Est"," 501","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,,,,33
59035,"Vancouver East/Vancouver-Est"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°5,,,,,,,,,64
59035,"Vancouver East/Vancouver-Est"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°10,,,,,,,,,11
59035,"Vancouver East/Vancouver-Est"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°10,,,,,,,,,44
59035,"Vancouver East/Vancouver-Est"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°10,,,,,,,,,21
59035,"Vancouver East/Vancouver-Est"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°10,,,,,,,,,53
59035,"Vancouver East/Vancouver-Est"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°10,,,,,,,,,48
59035,"Vancouver East/Vancouver-Est"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°24,,,,,,,,,17
59035,"Vancouver East/Vancouver-Est"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°38,,,,,,,,,64
59035,"Vancouver East/Vancouver-Est"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°80,,,,,,,,,51
59035,"Vancouver East/Vancouver-Est"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°99,,,,,,,,,60
59035,"Vancouver East/Vancouver-Est"," 512","Mobile poll/Bureau itinérant",1,6,0,3,1,1,22,3,37,59
59035,"Vancouver East/Vancouver-Est"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°151,,,,,,,,,11
59035,"Vancouver East/Vancouver-Est"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°190,,,,,,,,,8
59035,"Vancouver East/Vancouver-Est"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°197,,,,,,,,,16
59035,"Vancouver East/Vancouver-Est"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°198,,,,,,,,,43
59035,"Vancouver East/Vancouver-Est"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°198,,,,,,,,,99
59035,"Vancouver East/Vancouver-Est"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°201,,,,,,,,,51
59035,"Vancouver East/Vancouver-Est"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°198,,,,,,,,,66
59035,"Vancouver East/Vancouver-Est"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°141,,,,,,,,,58
59035,"Vancouver East/Vancouver-Est"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°198,,,,,,,,,70
59035,"Vancouver East/Vancouver-Est"," 600","Vancouver",8,89,2,265,14,33,152,2,565,
59035,"Vancouver East/Vancouver-Est"," 601","Vancouver",3,54,1,235,23,26,128,1,471,
59035,"Vancouver East/Vancouver-Est"," 602","Vancouver",3,41,4,193,16,25,67,5,354,
59035,"Vancouver East/Vancouver-Est"," 603","Vancouver",7,59,8,317,15,42,85,12,545,
59035,"Vancouver East/Vancouver-Est"," 604","Vancouver",3,65,5,382,26,45,100,0,626,
59035,"Vancouver East/Vancouver-Est"," 605","Vancouver",1,77,8,411,17,70,128,0,712,
59035,"Vancouver East/Vancouver-Est"," 606","Vancouver",5,67,0,357,8,47,138,5,627,
59035,"Vancouver East/Vancouver-Est"," 607","Vancouver",7,64,5,549,25,82,169,2,903,
59035,"Vancouver East/Vancouver-Est"," 608","Vancouver",11,62,5,553,19,80,160,3,893,
59035,"Vancouver East/Vancouver-Est"," 609","Vancouver",5,65,5,314,8,35,103,1,536,
59035,"Vancouver East/Vancouver-Est"," 610","Vancouver",5,20,3,252,13,37,53,2,385,
59035,"Vancouver East/Vancouver-Est"," 611","Vancouver",1,34,3,304,16,57,56,4,475,
59035,"Vancouver East/Vancouver-Est"," 612","Vancouver",1,36,2,297,13,48,71,0,468,
59035,"Vancouver East/Vancouver-Est"," 613","Vancouver",17,146,9,675,28,71,216,10,1172,
59035,"Vancouver East/Vancouver-Est"," 614","Vancouver",11,52,0,154,10,13,66,4,310,
59035,"Vancouver East/Vancouver-Est"," 615","Vancouver",8,78,2,199,23,16,114,2,442,
59035,"Vancouver East/Vancouver-Est"," 616","Vancouver",6,63,5,223,23,29,87,4,440,
59035,"Vancouver East/Vancouver-Est"," 617","Vancouver",7,62,5,416,15,66,117,5,693,
59035,"Vancouver East/Vancouver-Est"," 618","Vancouver",5,21,0,197,14,34,28,0,299,
59035,"Vancouver East/Vancouver-Est"," 619","Vancouver",9,37,7,337,22,42,61,0,515,
59035,"Vancouver East/Vancouver-Est"," 620","Vancouver",5,52,10,388,20,33,64,2,574,
59035,"Vancouver East/Vancouver-Est"," 621","Vancouver",14,133,4,545,38,76,207,8,1025,
59035,"Vancouver East/Vancouver-Est"," 622","Vancouver",14,77,8,250,16,27,85,3,480,
59035,"Vancouver East/Vancouver-Est"," 623","Vancouver",11,64,4,220,20,18,88,3,428,
59035,"Vancouver East/Vancouver-Est"," 624","Vancouver",3,30,0,119,13,11,52,0,228,
59035,"Vancouver East/Vancouver-Est",,Group 1/Groupe 1, 4,71,6,431,24,64,161,37,798,493
59035,"Vancouver East/Vancouver-Est",,Group 2/Groupe 2, 8,328,27,2555,50,328,785,160,4241,
