Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel Boudrias,Frédérick Desjardins,Eric Forget,Nathan Fortin-Dubé,David Hamelin-Schuilenburg,Luke Mayba,Nathalie Sinclair-Desgagné,Louis Stinziani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Terrebonne/Terrebonne"," 26","Terrebonne",6,9,50,4,2,4,70,2,3,150,463
24075,"Terrebonne/Terrebonne"," 27A","Terrebonne",2,20,60,1,0,11,82,1,1,178,467
24075,"Terrebonne/Terrebonne"," 27B","Terrebonne",6,24,65,1,1,15,73,5,1,191,593
24075,"Terrebonne/Terrebonne"," 28","Terrebonne",8,32,110,4,3,25,79,3,3,267,533
24075,"Terrebonne/Terrebonne"," 29","Terrebonne",7,30,68,5,2,12,99,3,3,229,536
24075,"Terrebonne/Terrebonne"," 30","Terrebonne",9,20,89,2,4,20,59,4,2,209,461
24075,"Terrebonne/Terrebonne"," 31","Terrebonne",7,11,81,4,4,14,62,15,4,202,496
24075,"Terrebonne/Terrebonne"," 32","Terrebonne",8,20,87,5,4,16,78,1,3,222,454
24075,"Terrebonne/Terrebonne"," 33","Terrebonne",8,18,119,5,4,19,63,3,3,242,546
24075,"Terrebonne/Terrebonne"," 34","Terrebonne",9,13,81,3,6,16,57,10,4,199,529
24075,"Terrebonne/Terrebonne"," 35","Terrebonne",18,19,71,5,2,20,78,14,8,235,527
24075,"Terrebonne/Terrebonne"," 36","Terrebonne",19,23,65,7,3,15,108,7,8,255,562
24075,"Terrebonne/Terrebonne"," 37","Terrebonne",11,27,75,6,6,22,91,13,7,258,564
24075,"Terrebonne/Terrebonne"," 38","Terrebonne",8,21,61,2,2,21,73,5,8,201,526
24075,"Terrebonne/Terrebonne"," 39","Terrebonne",11,25,50,1,5,18,88,11,10,219,570
24075,"Terrebonne/Terrebonne"," 40","Terrebonne",18,25,53,9,4,16,91,9,9,234,541
24075,"Terrebonne/Terrebonne"," 41","Terrebonne",13,16,40,3,8,16,69,7,7,179,531
24075,"Terrebonne/Terrebonne"," 42","Terrebonne",14,28,37,4,2,16,85,3,7,196,479
24075,"Terrebonne/Terrebonne"," 43","Terrebonne",12,23,59,0,3,6,66,9,6,184,505
24075,"Terrebonne/Terrebonne"," 44","Terrebonne",21,29,62,3,10,17,73,6,4,225,456
24075,"Terrebonne/Terrebonne"," 45","Terrebonne",31,7,48,2,3,26,80,4,8,209,487
24075,"Terrebonne/Terrebonne"," 46","Terrebonne",10,23,79,2,5,24,80,1,1,225,393
24075,"Terrebonne/Terrebonne"," 47","Terrebonne",5,27,62,1,3,16,71,6,2,193,413
24075,"Terrebonne/Terrebonne"," 48","Terrebonne",11,14,30,2,5,18,72,7,7,166,517
24075,"Terrebonne/Terrebonne"," 49","Terrebonne",14,27,62,0,2,12,103,3,5,228,472
24075,"Terrebonne/Terrebonne"," 50","Terrebonne",20,11,54,4,4,13,99,10,3,218,498
24075,"Terrebonne/Terrebonne"," 51","Terrebonne",16,28,79,5,5,25,82,7,4,251,510
24075,"Terrebonne/Terrebonne"," 52","Terrebonne",5,25,74,2,2,20,98,4,2,232,481
24075,"Terrebonne/Terrebonne"," 53","Terrebonne",12,18,65,1,2,28,88,5,4,223,524
24075,"Terrebonne/Terrebonne"," 54A","Terrebonne",2,12,46,2,1,14,46,9,0,132,375
24075,"Terrebonne/Terrebonne"," 54B","Terrebonne",7,12,59,2,2,17,42,7,0,148,394
24075,"Terrebonne/Terrebonne"," 55","Terrebonne",4,37,120,2,3,23,76,4,6,275,596
24075,"Terrebonne/Terrebonne"," 56","Terrebonne",3,22,95,0,4,17,71,6,1,219,519
24075,"Terrebonne/Terrebonne"," 57","Terrebonne",6,17,67,2,1,10,53,4,1,161,457
24075,"Terrebonne/Terrebonne"," 58","Terrebonne",8,25,71,1,4,21,90,6,6,232,496
24075,"Terrebonne/Terrebonne"," 59","Terrebonne",8,26,82,1,1,14,78,5,5,220,501
24075,"Terrebonne/Terrebonne"," 60","Terrebonne",7,25,87,5,7,11,94,5,6,247,518
24075,"Terrebonne/Terrebonne"," 61","Terrebonne",8,30,108,2,4,11,85,9,6,263,491
24075,"Terrebonne/Terrebonne"," 62","Terrebonne",7,21,100,4,4,20,88,5,0,249,506
24075,"Terrebonne/Terrebonne"," 63","Terrebonne",8,22,77,4,4,19,67,2,3,206,522
24075,"Terrebonne/Terrebonne"," 64","Terrebonne",14,31,73,4,5,16,89,3,4,239,543
24075,"Terrebonne/Terrebonne"," 65","Terrebonne",3,17,85,1,3,21,91,2,11,234,479
24075,"Terrebonne/Terrebonne"," 66","Terrebonne",6,12,58,5,0,17,73,1,4,176,502
24075,"Terrebonne/Terrebonne"," 67","Terrebonne",8,35,82,2,3,9,102,5,2,248,505
24075,"Terrebonne/Terrebonne"," 68","Terrebonne",9,26,59,5,4,11,98,5,1,218,536
24075,"Terrebonne/Terrebonne"," 69","Terrebonne",10,27,81,6,4,24,85,13,4,254,659
24075,"Terrebonne/Terrebonne"," 70","Terrebonne",13,22,71,2,3,16,84,3,5,219,435
24075,"Terrebonne/Terrebonne"," 71A","Terrebonne",6,19,48,1,1,7,71,3,3,159,537
24075,"Terrebonne/Terrebonne"," 71B","Terrebonne",8,14,40,2,0,5,46,2,1,118,478
24075,"Terrebonne/Terrebonne"," 72","Terrebonne",12,28,62,3,1,16,65,5,2,194,479
24075,"Terrebonne/Terrebonne"," 73","Terrebonne",9,40,101,4,2,20,98,5,7,286,540
24075,"Terrebonne/Terrebonne"," 74","Terrebonne",7,29,51,1,1,11,98,4,5,207,407
24075,"Terrebonne/Terrebonne"," 75","Terrebonne",14,42,110,1,1,19,102,3,6,298,444
24075,"Terrebonne/Terrebonne"," 76","Terrebonne",29,19,63,1,11,23,101,15,17,279,539
24075,"Terrebonne/Terrebonne"," 77","Terrebonne",24,28,78,1,4,16,112,7,4,274,491
24075,"Terrebonne/Terrebonne"," 78","Terrebonne",18,11,92,2,6,25,96,3,10,263,536
24075,"Terrebonne/Terrebonne"," 79","Terrebonne",15,32,41,4,1,15,101,7,3,219,485
24075,"Terrebonne/Terrebonne"," 80","Terrebonne",22,13,76,4,3,27,134,4,11,294,548
24075,"Terrebonne/Terrebonne"," 81","Terrebonne",14,20,65,0,5,17,79,6,6,212,452
24075,"Terrebonne/Terrebonne"," 82","Terrebonne",6,13,52,1,3,5,102,7,2,191,568
24075,"Terrebonne/Terrebonne"," 83","Terrebonne",13,14,77,5,3,25,68,0,4,209,460
24075,"Terrebonne/Terrebonne"," 84","Terrebonne",9,19,60,5,6,15,60,6,6,186,416
24075,"Terrebonne/Terrebonne"," 85","Terrebonne",7,19,57,2,1,18,69,6,6,185,422
24075,"Terrebonne/Terrebonne"," 86","Terrebonne",8,29,63,1,9,8,74,3,1,196,469
24075,"Terrebonne/Terrebonne"," 87","Terrebonne",13,12,57,1,5,15,81,4,4,192,404
24075,"Terrebonne/Terrebonne"," 88","Terrebonne",11,34,55,3,0,11,97,1,8,220,491
24075,"Terrebonne/Terrebonne"," 89","Terrebonne",14,9,31,1,3,8,51,11,5,133,458
24075,"Terrebonne/Terrebonne"," 90","Terrebonne",28,17,55,1,3,19,85,3,2,213,591
24075,"Terrebonne/Terrebonne"," 91","Terrebonne",10,13,36,0,3,17,75,0,4,158,528
