Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Annaliese Bos,Naomi Hunter,Cecilia Melanson,Andrew Scheer,Andrew Yubeta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 33","Pasqua 79",50,5,43,3,4,1,106,268
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 34","Balcarres",20,0,12,45,2,0,79,245
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 35","Katepwa",15,1,7,69,6,0,98,330
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 36","Balcarres",14,2,4,34,3,0,57,214
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 37","Regina--Zehner",14,1,7,87,7,0,116,278
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 38","Regina",25,3,22,58,4,1,113,428
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 39","Regina",34,5,13,50,9,1,112,373
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 40","Regina",25,2,8,61,5,0,101,360
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 41","Fort San",9,3,13,56,1,0,82,312
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 41-1","Fort San",10,1,15,73,7,1,107,449
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 42","Fort Qu'Appelle",15,2,11,45,4,0,77,322
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 43","Fort Qu'Appelle",40,2,21,58,4,0,125,517
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 44","Fort Qu'Appelle",35,1,13,78,4,0,131,515
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 45","Fort Qu'Appelle",19,0,13,52,5,0,89,333
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 46","North Qu'Appelle No. 187",10,1,6,59,4,0,80,374
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 47","Edenwold",11,2,8,95,7,0,123,260
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 48","Edenwold",29,2,6,121,5,0,163,330
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 49","Abernethy",15,3,5,115,16,1,155,343
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 50","Edgeley",13,1,4,116,6,0,140,235
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 51","Regina",59,1,18,75,9,0,162,641
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 52A","Regina",40,5,16,88,2,0,151,421
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 52B","Regina",49,0,23,64,4,1,141,400
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 53","Regina",24,1,15,53,6,0,99,380
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 54","Regina",54,5,26,83,12,1,181,533
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 55","Regina",37,0,14,87,8,0,146,455
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 56","Regina",48,3,19,98,6,1,175,427
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 57","Regina",52,0,8,76,7,1,144,360
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 58","Regina",32,3,14,75,2,1,127,329
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 59","Regina",30,0,21,88,6,0,145,369
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 60","Regina",39,5,19,45,3,1,112,365
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 61","Regina",68,2,17,126,7,1,221,475
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 62","Regina",41,5,17,77,6,0,146,398
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 63","Regina",34,4,18,117,24,0,197,462
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 64","Regina",44,5,21,66,9,2,147,384
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 65","Regina",38,4,10,83,4,1,140,442
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 66","Regina",24,3,20,72,8,1,128,347
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 67","Regina",23,7,31,91,2,1,155,338
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 68","Regina",36,0,17,77,9,2,141,356
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 69","Regina",54,3,32,65,4,3,161,403
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 70","Regina",27,0,23,45,1,2,98,340
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 71","Regina",25,3,17,33,7,1,86,326
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 72","Pilot Butte",23,2,11,92,11,0,139,431
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73A","Pilot Butte",25,1,7,85,5,0,123,373
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73B","Pilot Butte",23,2,9,101,6,1,142,382
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 74","Pilot Butte",36,5,3,133,7,0,184,462
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 75","Pilot Butte",19,0,11,60,6,0,96,337
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 76","Pilot Butte",35,4,17,147,10,1,214,617
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 77","Pilot Butte",11,1,5,90,4,0,111,380
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 78","Regina",52,2,11,87,5,1,158,471
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 79","Regina",31,5,16,58,10,0,120,401
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 80","Regina",39,3,18,63,4,4,131,449
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 81","Regina",52,6,15,59,7,1,140,416
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 82","Regina",42,2,22,72,15,0,153,434
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 83","Regina",38,1,18,58,6,0,121,362
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 84","Regina",53,8,15,59,8,2,145,429
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 85","Regina",43,1,24,61,4,1,134,440
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 86","Regina",39,7,17,38,2,0,103,447
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 87","Regina",38,6,29,87,2,0,162,420
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 88","Regina",56,3,23,72,11,0,165,487
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 89","Regina",36,4,22,80,8,0,150,399
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 90","Regina",31,4,14,52,11,2,114,429
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 91","Regina",45,4,11,95,8,0,163,474
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 92","Regina",69,10,16,70,12,2,179,473
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 93","Regina",69,4,36,99,10,2,220,480
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 94A","Regina",47,7,17,61,8,0,140,384
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 94B","Mobile poll/Bureau itinérant",9,0,4,13,0,0,26,43
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 94C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°94B,,,,,,,9
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 95","Regina",31,7,13,60,14,0,125,427
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 96","Regina",27,1,14,62,7,0,111,402
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 97","Regina",42,3,20,80,9,1,155,440
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 98","Regina",32,0,17,58,12,1,120,424
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 99","Regina",34,2,16,50,5,2,109,423
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 100","Regina",27,2,7,64,16,0,116,438
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 101","Regina",21,2,17,32,6,0,78,397
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 102","Regina",35,4,14,55,11,1,120,367
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 103","Regina",24,3,6,22,1,1,57,402
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 104","Regina",29,2,12,29,9,2,83,398
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 105","Regina",19,3,14,30,3,0,69,343
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 106","Regina",23,4,17,36,1,2,83,393
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 107","Regina",47,1,15,21,4,2,90,397
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 108","Regina",28,7,9,39,7,0,90,424
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 109","Regina",34,10,16,52,18,0,130,496
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 110","Regina",18,2,17,25,4,0,66,436
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 111","Regina",26,0,8,26,0,2,62,197
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 112","Regina",26,3,6,21,5,0,61,415
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 113","Regina",50,4,16,33,16,3,122,453
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 114","Regina",25,1,18,13,6,1,64,424
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 115","Regina",36,4,11,32,7,0,90,501
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 116","Regina",34,2,11,19,11,1,78,418
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 117","Regina",51,8,11,33,8,0,111,386
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 118","Regina",34,4,17,15,6,1,77,335
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 119","Balgonie",26,4,14,169,16,0,229,454
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 120","Balgonie",38,2,13,179,8,1,241,435
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 121","Balgonie",56,1,6,173,15,1,252,431
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 122","Balgonie",45,3,11,149,12,1,221,426
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 123","Balgonie",18,2,8,82,10,1,121,322
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 124","Indian Head",47,4,19,153,4,1,228,363
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 125","Indian Head",20,4,12,148,8,1,193,348
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 126","Indian Head",41,7,23,151,10,0,232,403
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 127","Indian Head",41,3,20,150,10,1,225,490
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 128","McLean",35,2,12,212,14,0,275,496
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 129","White City",13,1,5,75,8,0,102,310
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 130","White City",28,4,6,81,8,0,127,350
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 131","White City",10,5,10,73,5,3,106,417
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 132","White City",13,1,9,97,2,1,123,406
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 133","White City",37,6,16,131,10,0,200,471
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 134","White City",18,0,12,86,12,1,129,364
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 135","White City",40,2,21,173,10,0,246,597
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 136","White City",29,3,11,108,14,1,166,408
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 137","White City",42,0,23,158,8,2,233,653
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 138","Qu'Appelle",7,4,7,88,6,0,112,336
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 139","Qu'Appelle",24,2,6,111,11,0,154,412
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 140","Sintaluta",9,0,2,93,8,1,113,290
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 141","Wolseley",29,5,22,153,24,0,233,382
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 142","Wolseley",16,1,17,118,22,1,175,217
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 501","Mobile poll/Bureau itinérant",4,1,1,7,0,4,17,28
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 502","Mobile poll/Bureau itinérant",4,0,2,5,0,1,12,14
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 503","Mobile poll/Bureau itinérant",0,2,1,1,0,0,4,5
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 504","Mobile poll/Bureau itinérant",1,0,3,2,0,0,6,14
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 505","Mobile poll/Bureau itinérant",0,0,4,5,0,1,10,24
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 506","Mobile poll/Bureau itinérant",3,0,3,13,0,0,19,38
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 507","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 508","Mobile poll/Bureau itinérant",1,1,4,7,0,2,15,42
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 509","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 510","Mobile poll/Bureau itinérant",1,1,1,4,0,0,7,12
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 511","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 512","Mobile poll/Bureau itinérant",1,2,6,7,0,1,17,49
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 513","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 514","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 515","Mobile poll/Bureau itinérant",8,1,6,10,1,5,31,40
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 516","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 517","Mobile poll/Bureau itinérant",9,1,8,21,0,0,39,64
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 518","Mobile poll/Bureau itinérant",3,1,2,4,0,0,10,22
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 519","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 520","Mobile poll/Bureau itinérant",11,1,3,15,0,1,31,45
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 521","Mobile poll/Bureau itinérant",0,2,0,6,1,1,10,31
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 522","Mobile poll/Bureau itinérant",3,0,3,12,0,0,18,18
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 523","Mobile poll/Bureau itinérant",3,2,10,14,1,4,34,63
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 524","Mobile poll/Bureau itinérant",4,1,2,4,1,0,12,12
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 525","Mobile poll/Bureau itinérant",2,0,0,3,0,2,7,0
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 526","Mobile poll/Bureau itinérant",6,0,10,41,1,1,59,41
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 600","Wynyard",83,13,29,481,28,5,639,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 601","Raymore",35,5,22,247,22,3,334,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 602","Ituna",25,2,14,304,23,1,369,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 603","Balcarres",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 604","Balcarres",26,6,26,231,12,2,303,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 605","Fort Qu'Appelle",148,34,85,771,32,6,1076,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 606","Qu'Appelle",67,10,27,411,29,2,546,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 607","White City",200,14,105,1594,82,7,2002,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 608","Pilot Butte",154,14,66,903,51,6,1194,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 609","Regina",212,27,100,526,53,3,921,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 610","Regina",211,10,102,716,46,2,1087,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 611","Regina",323,25,162,914,90,6,1520,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 612","Regina",204,28,109,488,59,3,891,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 613","Regina",187,26,73,220,39,0,545,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle",,Group 1/Groupe 1, 104,7,67,127,10,38,353,208
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle",,Group 2/Groupe 2, 399,35,237,755,25,39,1490,
