Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,Chantale Giguère,François Jacques-Côté,Philippe-Alexandre Langlois,Richard Lehoux,Sébastien Tanguay,Solange Thibodeau,Andrzej Wisniowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24007,"Beauce/Beauce"," 29","Sainte-Marie",29,3,5,20,147,1,13,1,5,224,570
24007,"Beauce/Beauce"," 30","Sainte-Marie",23,1,10,19,111,0,31,6,5,206,577
24007,"Beauce/Beauce"," 31","Sainte-Marie",19,5,6,32,111,0,29,2,6,210,591
24007,"Beauce/Beauce"," 32","Sainte-Marie",25,3,8,29,125,2,24,0,0,216,505
24007,"Beauce/Beauce"," 33","Sainte-Marie",30,1,5,18,51,1,16,0,2,124,359
24007,"Beauce/Beauce"," 34","Sainte-Marie",16,2,2,20,103,0,29,1,3,176,448
24007,"Beauce/Beauce"," 35","Sainte-Marie",12,0,11,20,114,0,30,1,4,192,503
24007,"Beauce/Beauce"," 36","Sainte-Marie",15,1,9,20,87,0,13,2,2,149,377
24007,"Beauce/Beauce"," 37","Sainte-Marie",26,2,19,19,129,0,37,1,3,236,624
24007,"Beauce/Beauce"," 38","Sainte-Marie",47,6,5,25,122,1,33,5,5,249,510
24007,"Beauce/Beauce"," 39A","Sainte-Marie",17,0,11,29,132,1,26,0,3,219,460
24007,"Beauce/Beauce"," 39B","Sainte-Marie",23,5,9,30,141,0,22,2,4,236,513
24007,"Beauce/Beauce"," 40","Sainte-Marie",10,5,11,19,88,0,22,1,0,156,362
24007,"Beauce/Beauce"," 41","Sainte-Marie",24,2,9,25,108,1,25,4,1,199,465
24007,"Beauce/Beauce"," 42","Sainte-Marie",33,1,2,34,89,1,25,4,7,196,487
24007,"Beauce/Beauce"," 43","Sainte-Marie",25,5,9,32,124,0,40,4,2,241,509
24007,"Beauce/Beauce"," 44","Sainte-Marie",23,2,0,13,97,2,22,2,0,161,414
24007,"Beauce/Beauce"," 45","Sainte-Marie",1,0,3,7,14,1,13,1,0,40,163
24007,"Beauce/Beauce"," 46","Sainte-Marie",26,3,3,32,90,2,36,1,0,193,500
24007,"Beauce/Beauce"," 47","Sainte-Marie",24,1,5,8,134,0,16,2,2,192,453
24007,"Beauce/Beauce"," 48","Saint-Odilon-de-Cranbourne",42,1,1,16,92,2,26,2,3,185,302
24007,"Beauce/Beauce"," 49","Saint-Odilon-de-Cranbourne",38,6,5,21,108,0,21,0,4,203,308
24007,"Beauce/Beauce"," 50","Saint-Odilon-de-Cranbourne",67,4,3,25,135,0,18,0,6,258,445
24007,"Beauce/Beauce"," 51","Vallée-Jonction",51,3,6,25,157,1,36,1,2,282,467
24007,"Beauce/Beauce"," 52","Vallée-Jonction",45,3,8,21,86,0,21,1,4,189,307
24007,"Beauce/Beauce"," 53","Vallée-Jonction",37,5,10,18,80,1,24,2,4,181,347
24007,"Beauce/Beauce"," 54","Vallée-Jonction",66,1,7,24,111,0,23,3,4,239,379
24007,"Beauce/Beauce"," 55","Saint-Elzéar",19,2,4,5,149,0,9,1,3,192,300
24007,"Beauce/Beauce"," 56","Saint-Elzéar",17,2,2,18,141,0,10,1,1,192,328
24007,"Beauce/Beauce"," 57","Saint-Elzéar",20,4,4,10,196,1,5,0,1,241,401
24007,"Beauce/Beauce"," 58","Saint-Elzéar",29,0,12,18,160,0,19,0,3,241,433
24007,"Beauce/Beauce"," 59","Saint-Elzéar",12,2,6,15,204,0,31,5,3,278,437
24007,"Beauce/Beauce"," 60","Saint-Benjamin",45,6,9,28,87,4,42,3,4,228,391
24007,"Beauce/Beauce"," 61","Saint-Benjamin",67,0,4,25,74,1,51,2,4,228,423
24007,"Beauce/Beauce"," 62","Saint-Joseph-de-Beauce",35,2,1,16,83,0,27,0,0,164,388
24007,"Beauce/Beauce"," 63","Saint-Joseph-de-Beauce",50,4,7,10,90,3,20,2,5,191,488
24007,"Beauce/Beauce"," 64","Saint-Joseph-de-Beauce",22,4,3,33,80,0,25,1,2,170,408
24007,"Beauce/Beauce"," 65","Saint-Joseph-de-Beauce",21,1,4,21,44,1,20,1,1,114,390
24007,"Beauce/Beauce"," 66","Saint-Joseph-de-Beauce",23,2,5,14,81,0,22,1,3,151,413
24007,"Beauce/Beauce"," 67","Saint-Joseph-de-Beauce",33,3,2,8,96,0,18,1,1,162,410
24007,"Beauce/Beauce"," 68","Saint-Joseph-de-Beauce",31,1,4,17,108,1,19,0,0,181,411
24007,"Beauce/Beauce"," 69","Saint-Joseph-de-Beauce",21,4,4,12,63,0,11,0,0,115,390
24007,"Beauce/Beauce"," 70","Saint-Joseph-de-Beauce",16,0,3,12,60,0,10,1,2,104,304
24007,"Beauce/Beauce"," 71","Saint-Joseph-des-Érables",32,2,5,9,65,0,18,2,1,134,359
24007,"Beauce/Beauce"," 72","Saint-Prosper",26,1,2,13,79,0,22,0,1,144,374
24007,"Beauce/Beauce"," 73","Saint-Prosper",31,4,5,18,68,0,28,0,1,155,394
24007,"Beauce/Beauce"," 74","Saint-Prosper",25,0,8,9,79,1,28,0,4,154,367
24007,"Beauce/Beauce"," 75","Saint-Prosper",27,5,4,14,53,3,24,4,0,134,366
24007,"Beauce/Beauce"," 76","Saint-Prosper",31,0,5,20,59,1,26,1,1,144,338
24007,"Beauce/Beauce"," 77","Saint-Prosper",19,3,5,7,55,0,10,3,5,107,318
24007,"Beauce/Beauce"," 78","Saint-Prosper",43,5,5,16,63,2,15,0,1,150,354
24007,"Beauce/Beauce"," 79","Saint-Prosper",24,3,4,17,76,1,15,2,3,145,338
24007,"Beauce/Beauce"," 80","Sainte-Aurélie",25,5,11,36,102,2,18,2,6,207,351
24007,"Beauce/Beauce"," 81","Sainte-Aurélie",55,4,8,20,86,3,33,0,1,210,335
24007,"Beauce/Beauce"," 82","Beauceville",27,7,6,19,82,0,24,3,1,169,402
24007,"Beauce/Beauce"," 83","Beauceville",56,4,2,23,67,2,23,1,1,179,465
24007,"Beauce/Beauce"," 84","Beauceville",42,1,4,21,103,2,39,3,5,220,499
24007,"Beauce/Beauce"," 85","Beauceville",30,2,14,13,85,2,28,2,1,177,503
24007,"Beauce/Beauce"," 86","Beauceville",28,4,5,31,54,0,33,1,3,159,462
24007,"Beauce/Beauce"," 87","Beauceville",41,4,3,20,53,1,29,0,4,155,427
24007,"Beauce/Beauce"," 88","Saint-Séverin",26,1,6,12,76,0,23,5,6,155,242
24007,"Beauce/Beauce"," 89","Saint-Frédéric",39,0,7,20,117,1,27,4,4,219,372
24007,"Beauce/Beauce"," 90","Saint-Frédéric",49,3,9,24,128,0,19,0,2,234,384
24007,"Beauce/Beauce"," 91","Saint-Simon-les-Mines",35,5,8,27,138,0,35,3,3,254,438
24007,"Beauce/Beauce"," 92","Saint-Zacharie",45,5,8,23,78,2,25,2,1,189,372
24007,"Beauce/Beauce"," 93","Saint-Zacharie",50,8,5,16,88,3,31,0,2,203,335
24007,"Beauce/Beauce"," 94","Saint-Zacharie",53,4,6,17,76,3,30,2,4,195,333
24007,"Beauce/Beauce"," 95","Saint-Zacharie",57,5,4,18,76,1,21,1,1,184,363
24007,"Beauce/Beauce"," 96","Tring-Jonction",53,1,4,17,142,1,13,1,1,233,384
24007,"Beauce/Beauce"," 97","Tring-Jonction",49,4,7,25,141,2,38,2,3,271,388
24007,"Beauce/Beauce"," 98","Tring-Jonction",58,4,5,13,144,3,23,1,1,252,386
24007,"Beauce/Beauce"," 99","Saint-Georges",56,4,10,15,84,0,22,1,3,195,484
24007,"Beauce/Beauce"," 100","Saint-Georges",58,2,3,19,91,0,22,1,2,198,476
24007,"Beauce/Beauce"," 101","Saint-Georges",51,2,7,26,88,1,44,5,5,229,626
24007,"Beauce/Beauce"," 102","Saint-Georges",38,1,13,12,59,0,28,2,4,157,523
24007,"Beauce/Beauce"," 103","Saint-Georges",41,2,6,28,50,0,24,0,3,154,443
24007,"Beauce/Beauce"," 104","Saint-Georges",30,1,5,32,65,1,25,1,3,163,446
24007,"Beauce/Beauce"," 105","Saint-Georges",39,2,8,22,87,0,29,0,4,191,476
24007,"Beauce/Beauce"," 106","Saint-Georges",23,5,9,21,86,0,40,3,2,189,502
24007,"Beauce/Beauce"," 107","Saint-Georges",24,4,8,22,56,1,32,2,2,151,559
24007,"Beauce/Beauce"," 108","Notre-Dame-des-Pins",34,6,1,29,97,1,38,4,4,214,439
24007,"Beauce/Beauce"," 109","Notre-Dame-des-Pins",60,2,9,22,144,0,39,3,7,286,494
24007,"Beauce/Beauce"," 110","Notre-Dame-des-Pins",47,2,8,20,82,0,34,1,1,195,360
24007,"Beauce/Beauce"," 111","Saint-Philibert",60,4,7,16,63,1,33,2,4,190,295
24007,"Beauce/Beauce"," 112","Beauceville",35,1,4,18,65,0,14,0,4,141,429
24007,"Beauce/Beauce"," 113","Beauceville",30,0,8,26,94,1,34,2,1,196,493
24007,"Beauce/Beauce"," 114","Beauceville",48,2,11,40,102,0,36,4,0,243,588
24007,"Beauce/Beauce"," 115","Beauceville",35,0,2,27,90,1,42,0,1,198,545
24007,"Beauce/Beauce"," 116","Saint-Jules-de-Beauce",51,3,8,21,155,0,23,2,4,267,403
24007,"Beauce/Beauce"," 117","Saint-Georges",46,4,7,15,97,1,27,5,2,204,512
24007,"Beauce/Beauce"," 118","Saint-Georges",24,1,4,17,72,1,16,1,3,139,518
24007,"Beauce/Beauce"," 119","Saint-Georges",41,2,2,12,115,0,17,4,0,193,535
24007,"Beauce/Beauce"," 120","Saint-Georges",31,0,13,29,116,0,44,5,7,245,618
24007,"Beauce/Beauce"," 121","Saint-Georges",30,5,5,12,82,1,33,2,4,174,514
24007,"Beauce/Beauce"," 122","Saint-Georges",29,4,9,25,45,2,20,1,3,138,427
24007,"Beauce/Beauce"," 123","Saint-Georges",22,1,4,11,63,0,31,4,1,137,448
24007,"Beauce/Beauce"," 124","Saint-Georges",22,4,8,20,82,0,29,2,3,170,516
24007,"Beauce/Beauce"," 125","Saint-Georges",35,5,7,15,51,1,26,1,0,141,460
24007,"Beauce/Beauce"," 126","Saint-Georges",24,0,6,17,54,3,20,0,0,124,458
24007,"Beauce/Beauce"," 127","Saint-Georges",36,3,3,16,45,2,14,3,2,124,472
24007,"Beauce/Beauce"," 128","Saint-Georges",25,0,8,15,23,0,17,0,2,90,441
24007,"Beauce/Beauce"," 129","Saint-Georges",16,2,4,8,24,2,8,2,1,67,375
24007,"Beauce/Beauce"," 130","Saint-Georges",22,2,5,15,41,1,18,3,1,108,491
24007,"Beauce/Beauce"," 131","Saint-Georges",22,1,4,14,23,1,9,3,6,83,505
24007,"Beauce/Beauce"," 132","Saint-Georges",8,3,2,28,20,1,15,0,2,79,127
24007,"Beauce/Beauce"," 133","Saint-Alfred",52,6,11,22,106,0,46,2,5,250,410
24007,"Beauce/Beauce"," 134","Saint-Georges",67,8,7,24,101,2,27,2,4,242,584
24007,"Beauce/Beauce"," 135","Saint-Georges",59,3,6,29,184,2,41,4,3,331,785
24007,"Beauce/Beauce"," 136","Saint-Georges",23,1,3,26,61,1,30,3,3,151,447
24007,"Beauce/Beauce"," 137","Saint-Georges",45,1,6,21,85,0,50,3,3,214,533
24007,"Beauce/Beauce"," 138","Saint-Georges",61,3,3,16,79,1,23,2,6,194,563
24007,"Beauce/Beauce"," 139","Saint-Georges",32,1,8,18,94,1,22,2,5,183,505
24007,"Beauce/Beauce"," 140","Saint-Georges",37,1,2,29,70,0,26,0,0,165,483
24007,"Beauce/Beauce"," 141","Saint-Georges",31,1,11,13,55,1,30,1,4,147,458
24007,"Beauce/Beauce"," 142","Saint-Georges",36,6,4,26,98,2,27,1,4,204,537
24007,"Beauce/Beauce"," 143","Saint-Georges",36,1,6,29,68,0,27,3,2,172,468
24007,"Beauce/Beauce"," 144","Saint-Georges",38,5,10,27,63,0,23,3,3,172,465
24007,"Beauce/Beauce"," 145","Saint-Georges",44,1,6,19,104,0,27,4,0,205,488
24007,"Beauce/Beauce"," 146","Saint-Georges",33,5,13,25,53,0,15,3,5,152,474
24007,"Beauce/Beauce"," 147","Saint-Georges",21,2,9,27,55,0,33,2,3,152,436
24007,"Beauce/Beauce"," 148","Saint-Georges",42,3,5,19,77,0,31,0,4,181,437
24007,"Beauce/Beauce"," 149","Saint-Georges",44,3,4,17,89,0,31,2,1,191,460
24007,"Beauce/Beauce"," 150","Saint-Georges",30,2,5,24,91,1,26,1,4,184,537
24007,"Beauce/Beauce"," 151","Saint-Côme--Linière",95,4,5,18,127,1,23,2,4,279,441
24007,"Beauce/Beauce"," 152","Saint-Côme--Linière",67,6,5,22,117,0,14,6,1,238,417
24007,"Beauce/Beauce"," 153","Saint-Côme--Linière",61,0,5,13,90,1,36,2,1,209,384
24007,"Beauce/Beauce"," 154","Saint-Côme--Linière",50,6,4,25,82,4,28,4,4,207,410
24007,"Beauce/Beauce"," 155","Saint-Côme--Linière",48,8,4,33,70,0,23,1,5,192,366
24007,"Beauce/Beauce"," 156","Saint-Côme--Linière",36,7,8,24,99,0,31,4,2,211,429
24007,"Beauce/Beauce"," 157","Saint-Victor-Station",21,2,10,18,88,0,16,3,1,159,379
24007,"Beauce/Beauce"," 158","Saint-Victor",28,2,7,25,67,1,27,1,2,160,385
24007,"Beauce/Beauce"," 159","Saint-Victor",32,3,8,27,88,0,23,2,5,188,396
24007,"Beauce/Beauce"," 160","Saint-Victor",21,4,2,21,72,1,13,2,3,139,393
24007,"Beauce/Beauce"," 161","Saint-Victor",28,4,1,15,60,0,16,0,2,126,341
24007,"Beauce/Beauce"," 162","Saint-Georges",34,4,3,11,38,2,30,2,2,126,528
24007,"Beauce/Beauce"," 163","Saint-Georges",42,1,8,16,69,2,37,0,2,177,475
24007,"Beauce/Beauce"," 164","Saint-Georges",32,0,5,15,46,1,18,1,0,118,416
24007,"Beauce/Beauce"," 165","Saint-Georges",37,5,3,26,68,1,35,2,4,181,519
24007,"Beauce/Beauce"," 166","Saint-Georges",27,2,2,20,62,2,25,3,1,144,462
24007,"Beauce/Beauce"," 167","Saint-Georges",51,1,8,30,69,1,43,1,1,205,516
24007,"Beauce/Beauce"," 168","Saint-Georges",35,1,7,18,99,0,35,1,7,203,516
24007,"Beauce/Beauce"," 169","Saint-Georges",57,1,9,18,125,0,34,4,3,251,667
24007,"Beauce/Beauce"," 170","Saint-Benoît-Labre",39,2,5,17,94,0,37,1,2,197,368
24007,"Beauce/Beauce"," 171","Saint-Benoît-Labre",38,3,2,29,105,0,27,1,2,207,365
24007,"Beauce/Beauce"," 172","Saint-Benoît-Labre",68,0,6,15,87,2,27,1,4,210,367
24007,"Beauce/Beauce"," 173","Saint-Benoît-Labre",60,1,6,12,73,0,20,2,5,179,330
24007,"Beauce/Beauce"," 174","Saint-René",74,1,5,18,64,0,30,1,1,194,369
24007,"Beauce/Beauce"," 175","Saint-René",69,2,3,16,53,3,27,2,1,176,308
24007,"Beauce/Beauce"," 176","Saint-Georges",44,1,6,14,80,0,34,0,3,182,293
24007,"Beauce/Beauce"," 177","Saint-Georges",50,2,3,6,90,0,24,1,2,178,292
24007,"Beauce/Beauce"," 178","Saint-Éphrem-de-Beauce",58,5,0,14,98,0,27,0,2,204,359
24007,"Beauce/Beauce"," 179","Saint-Éphrem-de-Beauce",37,7,1,24,92,0,34,3,4,202,363
24007,"Beauce/Beauce"," 180","Saint-Éphrem-de-Beauce",49,3,4,27,84,0,31,1,1,200,342
24007,"Beauce/Beauce"," 181","Saint-Éphrem-de-Beauce",26,2,4,21,105,1,22,2,5,188,367
24007,"Beauce/Beauce"," 182","Saint-Éphrem-de-Beauce",50,1,4,28,98,3,19,0,2,205,372
24007,"Beauce/Beauce"," 183","Saint-Théophile",47,3,3,16,69,0,31,0,4,173,266
24007,"Beauce/Beauce"," 184","Saint-Théophile",52,2,5,19,76,0,21,3,2,180,289
24007,"Beauce/Beauce"," 185","Saint-Martin",35,0,7,17,68,1,14,1,5,148,371
24007,"Beauce/Beauce"," 186","Saint-Martin",44,5,3,14,75,0,14,2,4,161,398
24007,"Beauce/Beauce"," 187","Saint-Martin",34,2,4,13,59,1,12,0,2,127,382
24007,"Beauce/Beauce"," 188","Saint-Martin",54,6,7,16,82,0,24,0,2,191,424
24007,"Beauce/Beauce"," 189","Saint-Martin",43,2,2,12,54,0,20,1,6,140,371
24007,"Beauce/Beauce"," 190","Saint-Honoré-de-Shenley",70,4,3,24,109,0,14,0,2,226,390
24007,"Beauce/Beauce"," 191","Shenley",68,4,2,25,106,2,22,0,8,237,400
24007,"Beauce/Beauce"," 192","Saint-Honoré",44,5,2,25,94,0,18,2,5,195,373
24007,"Beauce/Beauce"," 193","La Guadeloupe",48,2,2,27,92,1,27,0,2,201,339
24007,"Beauce/Beauce"," 194","La Guadeloupe",58,7,6,21,70,2,41,0,2,207,329
24007,"Beauce/Beauce"," 195","La Guadeloupe",70,3,2,18,76,0,24,1,4,198,327
24007,"Beauce/Beauce"," 196","La Guadeloupe",42,3,3,20,55,0,20,0,4,147,304
24007,"Beauce/Beauce"," 197","Saint-Évariste-de-Forsyth",39,3,2,24,48,0,22,3,2,143,233
24007,"Beauce/Beauce"," 198","Saint-Évariste-de-Forsyth",38,2,1,11,56,0,17,0,1,126,194
24007,"Beauce/Beauce"," 199","Saint-Gédéon-de-Beauce",48,3,0,16,82,1,25,1,4,180,323
24007,"Beauce/Beauce"," 200","Saint-Gédéon-de-Beauce",38,7,0,25,69,1,26,0,2,168,330
24007,"Beauce/Beauce"," 201","Saint-Gédéon-de-Beauce",30,1,7,32,75,0,17,1,2,165,317
24007,"Beauce/Beauce"," 202","Saint-Gédéon-de-Beauce",33,7,2,19,88,1,24,3,5,182,345
24007,"Beauce/Beauce"," 203","Saint-Gédéon-de-Beauce",50,5,2,21,75,0,25,0,0,178,323
24007,"Beauce/Beauce"," 204","Saint-Hilaire-de-Dorset",9,6,2,7,25,0,8,0,0,57,88
24007,"Beauce/Beauce"," 400","Sainte-Marie",10,5,3,57,86,1,20,1,20,203,267
24007,"Beauce/Beauce"," 401","Notre-Dame-des-Pins",5,2,1,30,25,1,11,0,4,79,123
24007,"Beauce/Beauce"," 402","Saint-Georges",11,6,3,77,72,0,28,1,7,205,276
24007,"Beauce/Beauce"," 403","Saint-Georges",22,1,1,51,61,0,32,0,16,184,268
24007,"Beauce/Beauce"," 404","Saint-Georges",17,4,1,53,74,0,29,0,10,188,313
24007,"Beauce/Beauce"," 500","Mobile poll/Bureau itinérant",0,0,1,1,0,0,0,0,0,2,11
24007,"Beauce/Beauce"," 501","Mobile poll/Bureau itinérant",1,0,0,5,6,0,1,0,0,13,24
24007,"Beauce/Beauce"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24007,"Beauce/Beauce"," 503","Mobile poll/Bureau itinérant",1,0,0,1,5,0,0,0,2,9,24
24007,"Beauce/Beauce"," 504","Mobile poll/Bureau itinérant",0,0,0,2,2,0,0,0,0,4,19
24007,"Beauce/Beauce"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24007,"Beauce/Beauce"," 506","Mobile poll/Bureau itinérant",1,0,0,5,6,0,1,0,0,13,28
24007,"Beauce/Beauce"," 507","Mobile poll/Bureau itinérant",0,0,1,0,6,0,0,0,0,7,5
24007,"Beauce/Beauce"," 508","Mobile poll/Bureau itinérant",0,0,0,3,3,0,0,0,0,6,14
24007,"Beauce/Beauce"," 509","Mobile poll/Bureau itinérant",1,0,0,3,1,0,0,0,0,5,11
24007,"Beauce/Beauce"," 510","Mobile poll/Bureau itinérant",0,0,0,1,5,0,0,0,0,6,23
24007,"Beauce/Beauce"," 511","Mobile poll/Bureau itinérant",2,0,0,3,3,0,2,0,0,10,16
24007,"Beauce/Beauce"," 512","Mobile poll/Bureau itinérant",0,0,0,1,4,0,0,0,0,5,20
24007,"Beauce/Beauce"," 513","Mobile poll/Bureau itinérant",2,1,0,1,3,1,0,0,2,10,9
24007,"Beauce/Beauce"," 514","Mobile poll/Bureau itinérant",0,0,0,3,3,0,0,0,2,8,9
24007,"Beauce/Beauce"," 515","Mobile poll/Bureau itinérant",3,0,0,7,4,0,2,0,2,18,23
24007,"Beauce/Beauce"," 516","Mobile poll/Bureau itinérant",1,0,0,8,1,0,3,0,0,13,20
24007,"Beauce/Beauce"," 517","Mobile poll/Bureau itinérant",2,1,0,5,6,0,1,0,0,15,16
24007,"Beauce/Beauce"," 518","Mobile poll/Bureau itinérant",3,0,0,7,17,0,0,0,1,28,40
24007,"Beauce/Beauce"," 519","Mobile poll/Bureau itinérant",3,5,0,9,6,0,1,0,0,24,37
24007,"Beauce/Beauce"," 520","Mobile poll/Bureau itinérant",6,1,0,0,4,0,0,0,0,11,21
24007,"Beauce/Beauce"," 521","Mobile poll/Bureau itinérant",0,0,0,3,10,0,1,0,1,15,21
24007,"Beauce/Beauce"," 522","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24007,"Beauce/Beauce"," 523","Mobile poll/Bureau itinérant",0,0,0,2,0,0,3,0,0,5,45
24007,"Beauce/Beauce"," 524","Mobile poll/Bureau itinérant",3,3,2,28,16,0,3,1,4,60,72
24007,"Beauce/Beauce"," 525","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24007,"Beauce/Beauce"," 526","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24007,"Beauce/Beauce"," 527","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24007,"Beauce/Beauce"," 528","Mobile poll/Bureau itinérant",0,0,0,1,0,0,0,1,0,2,8
24007,"Beauce/Beauce"," 529","Mobile poll/Bureau itinérant",0,0,0,2,10,0,3,0,0,15,23
24007,"Beauce/Beauce"," 530","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°76,,,,,,,,,,4
24007,"Beauce/Beauce"," 531","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24007,"Beauce/Beauce"," 532","Mobile poll/Bureau itinérant",1,0,0,3,1,1,1,0,0,7,24
24007,"Beauce/Beauce"," 533","Mobile poll/Bureau itinérant",2,0,0,1,2,0,1,0,0,6,72
24007,"Beauce/Beauce"," 534","Mobile poll/Bureau itinérant",0,0,0,1,1,0,0,0,0,2,19
24007,"Beauce/Beauce"," 535","Mobile poll/Bureau itinérant",0,1,0,0,1,0,1,0,0,3,9
24007,"Beauce/Beauce"," 536","Mobile poll/Bureau itinérant",1,0,0,3,0,0,0,0,0,4,13
24007,"Beauce/Beauce"," 537","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24007,"Beauce/Beauce"," 538","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,,15
24007,"Beauce/Beauce"," 539","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24007,"Beauce/Beauce"," 540","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24007,"Beauce/Beauce"," 541","Mobile poll/Bureau itinérant",0,1,0,4,3,0,1,0,4,13,21
24007,"Beauce/Beauce"," 542","Mobile poll/Bureau itinérant",9,1,2,6,2,0,1,0,0,21,30
24007,"Beauce/Beauce"," 543","Mobile poll/Bureau itinérant",2,0,0,1,2,0,2,0,0,7,13
24007,"Beauce/Beauce"," 544","Mobile poll/Bureau itinérant",3,0,1,0,10,0,2,0,2,18,22
24007,"Beauce/Beauce"," 545","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24007,"Beauce/Beauce"," 546","Mobile poll/Bureau itinérant",1,0,1,3,5,0,3,0,0,13,17
24007,"Beauce/Beauce"," 547","Mobile poll/Bureau itinérant",1,0,0,4,3,0,0,0,0,8,14
24007,"Beauce/Beauce"," 548","Mobile poll/Bureau itinérant",3,1,0,4,6,0,0,0,3,17,27
24007,"Beauce/Beauce"," 549","Mobile poll/Bureau itinérant",4,1,1,3,4,0,0,0,2,15,23
24007,"Beauce/Beauce"," 600","Saint-Isidore",16,13,8,27,85,0,36,1,3,189,
24007,"Beauce/Beauce"," 601","Scott",48,10,15,45,229,0,50,5,0,402,
24007,"Beauce/Beauce"," 602","Saint-Bernard--Saint-Elzéar",41,7,8,39,204,0,47,3,5,354,
24007,"Beauce/Beauce"," 603","Sainte-Marie",106,9,16,123,610,5,153,8,11,1041,
24007,"Beauce/Beauce"," 604","Sainte-Marie",147,33,36,147,690,6,180,13,14,1266,
24007,"Beauce/Beauce"," 605","Frampton--Saint-Odilon-de-Cranbourne",67,14,8,27,130,1,25,0,2,274,
