Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ziad Aboultaif,Martin Halvorson,Donna Lynn Smith,Charmaine St. Germain,Andre Vachon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48016,"Edmonton Manning/Edmonton Manning"," 161B","Edmonton",Merged with No./Fusionné avec le n°164,,,,,,,189
48016,"Edmonton Manning/Edmonton Manning"," 162","Edmonton",73,18,59,73,0,1,224,602
48016,"Edmonton Manning/Edmonton Manning"," 163","Edmonton",49,11,19,45,2,3,129,496
48016,"Edmonton Manning/Edmonton Manning"," 164","Edmonton",67,17,23,65,0,0,172,432
48016,"Edmonton Manning/Edmonton Manning"," 165","Edmonton",45,6,29,60,0,1,141,455
48016,"Edmonton Manning/Edmonton Manning"," 166","Edmonton",71,22,41,87,0,1,222,557
48016,"Edmonton Manning/Edmonton Manning"," 167","Edmonton",94,17,59,87,1,2,260,529
48016,"Edmonton Manning/Edmonton Manning"," 168","Edmonton",76,18,21,50,0,4,169,504
48016,"Edmonton Manning/Edmonton Manning"," 169","Edmonton",104,16,41,77,0,0,238,561
48016,"Edmonton Manning/Edmonton Manning"," 170","Edmonton",102,14,39,90,0,0,245,493
48016,"Edmonton Manning/Edmonton Manning"," 171","Edmonton",123,29,40,98,1,0,291,482
48016,"Edmonton Manning/Edmonton Manning"," 172","Edmonton",131,13,49,82,0,0,275,561
48016,"Edmonton Manning/Edmonton Manning"," 173A","Edmonton",Merged with No./Fusionné avec le n°171,,,,,,,200
48016,"Edmonton Manning/Edmonton Manning"," 173B","Edmonton",Merged with No./Fusionné avec le n°172,,,,,,,199
48016,"Edmonton Manning/Edmonton Manning"," 174A","Edmonton",Merged with No./Fusionné avec le n°170,,,,,,,192
48016,"Edmonton Manning/Edmonton Manning"," 174B","Edmonton",Merged with No./Fusionné avec le n°169,,,,,,,188
48016,"Edmonton Manning/Edmonton Manning"," 175","Edmonton",37,11,35,41,0,1,125,459
48016,"Edmonton Manning/Edmonton Manning"," 176","Edmonton",89,16,21,79,1,0,206,528
48016,"Edmonton Manning/Edmonton Manning"," 177","Edmonton",103,18,28,67,2,2,220,498
48016,"Edmonton Manning/Edmonton Manning"," 178","Edmonton",72,19,37,54,0,0,182,535
48016,"Edmonton Manning/Edmonton Manning"," 179","Edmonton",73,9,38,53,1,2,176,531
48016,"Edmonton Manning/Edmonton Manning"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,57
48016,"Edmonton Manning/Edmonton Manning"," 501","Mobile poll/Bureau itinérant",52,3,27,16,0,10,108,89
48016,"Edmonton Manning/Edmonton Manning"," 502","Mobile poll/Bureau itinérant",19,6,12,13,1,2,53,53
48016,"Edmonton Manning/Edmonton Manning"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,10
48016,"Edmonton Manning/Edmonton Manning"," 504","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,81
48016,"Edmonton Manning/Edmonton Manning"," 505","Mobile poll/Bureau itinérant",13,4,11,5,0,8,41,56
48016,"Edmonton Manning/Edmonton Manning"," 506","Mobile poll/Bureau itinérant",130,16,8,12,1,3,170,102
48016,"Edmonton Manning/Edmonton Manning"," 507","Mobile poll/Bureau itinérant",2,1,9,5,1,3,21,71
48016,"Edmonton Manning/Edmonton Manning"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,120
48016,"Edmonton Manning/Edmonton Manning"," 600","Edmonton",355,45,172,192,0,7,771,
48016,"Edmonton Manning/Edmonton Manning"," 601","Edmonton",364,59,172,245,1,2,843,
48016,"Edmonton Manning/Edmonton Manning"," 602","Edmonton",352,43,157,192,0,3,747,
48016,"Edmonton Manning/Edmonton Manning"," 603","Edmonton",582,74,266,329,7,3,1261,
48016,"Edmonton Manning/Edmonton Manning"," 604","Edmonton",556,55,239,270,2,5,1127,
48016,"Edmonton Manning/Edmonton Manning"," 605","Edmonton",546,55,221,269,0,1,1092,
48016,"Edmonton Manning/Edmonton Manning"," 606","Edmonton",464,53,171,228,1,6,923,
48016,"Edmonton Manning/Edmonton Manning"," 607","Edmonton",434,54,180,289,1,4,962,
48016,"Edmonton Manning/Edmonton Manning"," 608","Edmonton",486,59,238,372,0,0,1155,
48016,"Edmonton Manning/Edmonton Manning"," 609","Edmonton",109,16,18,44,1,1,189,
48016,"Edmonton Manning/Edmonton Manning"," 610","Edmonton",437,87,134,351,4,4,1017,
48016,"Edmonton Manning/Edmonton Manning"," 611","Edmonton",380,35,106,192,2,1,716,
48016,"Edmonton Manning/Edmonton Manning"," 612","Edmonton",293,61,143,223,3,2,725,
48016,"Edmonton Manning/Edmonton Manning"," 613","Edmonton",358,49,146,232,3,0,788,
48016,"Edmonton Manning/Edmonton Manning"," 614","Edmonton",449,65,163,277,3,2,959,
48016,"Edmonton Manning/Edmonton Manning"," 615","Edmonton",323,40,159,241,2,6,771,
48016,"Edmonton Manning/Edmonton Manning"," 616","Edmonton",178,49,80,150,2,2,461,
48016,"Edmonton Manning/Edmonton Manning"," 617","Edmonton",353,69,160,273,4,5,864,
48016,"Edmonton Manning/Edmonton Manning",,Group 1/Groupe 1, 331,53,112,162,4,32,694,134
48016,"Edmonton Manning/Edmonton Manning",,Group 2/Groupe 2, 460,87,331,479,1,62,1420,
