Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Boychuk,Robert Doucette,Dave Greenfield,Ruben Rajakumar,Brad Redekopp,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47012,"Saskatoon West/Saskatoon-Ouest"," 71","Saskatoon",10,51,0,4,61,0,126,511
47012,"Saskatoon West/Saskatoon-Ouest"," 72","Saskatoon",8,64,0,7,61,0,140,424
47012,"Saskatoon West/Saskatoon-Ouest"," 73","Saskatoon",14,40,1,9,60,2,126,456
47012,"Saskatoon West/Saskatoon-Ouest"," 74","Saskatoon",8,52,2,16,71,1,150,438
47012,"Saskatoon West/Saskatoon-Ouest"," 75","Saskatoon",18,58,1,11,43,1,132,503
47012,"Saskatoon West/Saskatoon-Ouest"," 76","Saskatoon",7,51,3,14,38,1,114,472
47012,"Saskatoon West/Saskatoon-Ouest"," 77","Saskatoon",9,26,1,14,32,2,84,410
47012,"Saskatoon West/Saskatoon-Ouest"," 78","Saskatoon",3,40,1,12,22,1,79,412
47012,"Saskatoon West/Saskatoon-Ouest"," 79","Saskatoon",4,89,1,15,39,1,149,387
47012,"Saskatoon West/Saskatoon-Ouest"," 80","Saskatoon",10,81,2,10,26,0,129,375
47012,"Saskatoon West/Saskatoon-Ouest"," 81","Saskatoon",13,50,3,5,34,1,106,443
47012,"Saskatoon West/Saskatoon-Ouest"," 82","Saskatoon",6,81,2,10,35,0,134,422
47012,"Saskatoon West/Saskatoon-Ouest"," 83","Saskatoon",9,112,2,12,50,0,185,455
47012,"Saskatoon West/Saskatoon-Ouest"," 84","Saskatoon",7,49,1,5,28,1,91,376
47012,"Saskatoon West/Saskatoon-Ouest"," 85","Saskatoon",9,77,2,11,48,0,147,459
47012,"Saskatoon West/Saskatoon-Ouest"," 86","Saskatoon",7,94,1,13,37,1,153,383
47012,"Saskatoon West/Saskatoon-Ouest"," 87","Saskatoon",10,73,1,9,27,0,120,287
47012,"Saskatoon West/Saskatoon-Ouest"," 88","Saskatoon",10,95,2,4,43,0,154,431
47012,"Saskatoon West/Saskatoon-Ouest"," 89","Saskatoon",6,71,2,4,29,5,117,405
