Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Barber,Margaret Bennett,Nigel Cheriyan,Matthew Green,Fabian Grenning,Avra Caroline Weinstein,Nathalie Xian Yi Yan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35035,"Hamilton Centre/Hamilton-Centre"," 34","Hamilton",1,25,0,76,15,6,0,2,125,448
35035,"Hamilton Centre/Hamilton-Centre"," 35","Hamilton",7,54,1,105,26,4,3,0,200,628
35035,"Hamilton Centre/Hamilton-Centre"," 36","Hamilton",8,19,0,57,30,2,3,0,119,391
35035,"Hamilton Centre/Hamilton-Centre"," 37","Hamilton",11,20,6,59,25,5,0,0,126,468
35035,"Hamilton Centre/Hamilton-Centre"," 38","Hamilton",14,39,0,81,37,3,0,1,175,503
35035,"Hamilton Centre/Hamilton-Centre"," 39","Hamilton",16,27,0,78,26,5,0,1,153,428
35035,"Hamilton Centre/Hamilton-Centre"," 40","Hamilton",9,34,0,97,43,5,0,0,188,500
35035,"Hamilton Centre/Hamilton-Centre"," 41","Hamilton",20,28,1,68,24,6,0,2,149,536
35035,"Hamilton Centre/Hamilton-Centre"," 42","Hamilton",14,47,0,93,34,4,1,0,193,565
35035,"Hamilton Centre/Hamilton-Centre"," 43","Hamilton",10,36,1,95,15,4,0,1,162,447
35035,"Hamilton Centre/Hamilton-Centre"," 44","Hamilton",8,39,2,67,20,4,0,3,143,438
35035,"Hamilton Centre/Hamilton-Centre"," 45","Hamilton",5,25,0,49,11,4,1,2,97,414
35035,"Hamilton Centre/Hamilton-Centre"," 46","Hamilton",16,41,1,77,26,6,1,5,173,484
35035,"Hamilton Centre/Hamilton-Centre"," 47","Hamilton",16,42,3,70,13,1,1,1,147,451
35035,"Hamilton Centre/Hamilton-Centre"," 48","Hamilton",9,68,1,79,21,1,0,1,180,523
35035,"Hamilton Centre/Hamilton-Centre"," 49","Hamilton",13,27,1,91,18,1,0,1,152,435
35035,"Hamilton Centre/Hamilton-Centre"," 50","Hamilton",6,19,0,77,15,3,0,1,121,326
35035,"Hamilton Centre/Hamilton-Centre"," 51","Hamilton",16,53,0,89,14,11,1,0,184,357
35035,"Hamilton Centre/Hamilton-Centre"," 52","Hamilton",8,73,1,77,17,2,2,0,180,330
35035,"Hamilton Centre/Hamilton-Centre"," 53","Hamilton",19,47,0,132,40,11,1,1,251,587
35035,"Hamilton Centre/Hamilton-Centre"," 54","Hamilton",13,25,0,58,25,5,0,2,128,419
35035,"Hamilton Centre/Hamilton-Centre"," 55","Hamilton",Merged with No./Fusionné avec le n°2,,,,,,,,,383
35035,"Hamilton Centre/Hamilton-Centre"," 56","Hamilton",19,27,1,76,27,4,0,1,155,464
35035,"Hamilton Centre/Hamilton-Centre"," 57","Hamilton",13,34,0,83,21,2,0,1,154,393
35035,"Hamilton Centre/Hamilton-Centre"," 58","Hamilton",3,51,0,63,21,1,0,3,142,483
35035,"Hamilton Centre/Hamilton-Centre"," 59","Hamilton",11,33,0,63,20,5,3,1,136,406
35035,"Hamilton Centre/Hamilton-Centre"," 60","Hamilton",19,55,0,157,38,5,2,3,279,447
35035,"Hamilton Centre/Hamilton-Centre"," 61","Hamilton",12,45,2,104,30,5,0,0,198,465
35035,"Hamilton Centre/Hamilton-Centre"," 62","Hamilton",Merged with No./Fusionné avec le n°60,,,,,,,,,397
35035,"Hamilton Centre/Hamilton-Centre"," 63","Hamilton",7,38,5,89,23,2,0,0,164,476
35035,"Hamilton Centre/Hamilton-Centre"," 64","Hamilton",9,24,2,42,15,3,0,3,98,430
35035,"Hamilton Centre/Hamilton-Centre"," 65","Hamilton",13,29,0,55,14,4,0,2,117,469
35035,"Hamilton Centre/Hamilton-Centre"," 66","Hamilton",9,20,0,72,25,1,1,1,129,488
35035,"Hamilton Centre/Hamilton-Centre"," 67","Hamilton",Merged with No./Fusionné avec le n°68,,,,,,,,,375
35035,"Hamilton Centre/Hamilton-Centre"," 68","Hamilton",21,59,2,154,43,11,1,1,292,348
35035,"Hamilton Centre/Hamilton-Centre"," 69","Hamilton",9,69,0,75,39,4,0,1,197,587
35035,"Hamilton Centre/Hamilton-Centre"," 70","Hamilton",4,39,1,56,19,2,0,0,121,418
35035,"Hamilton Centre/Hamilton-Centre"," 71","Hamilton",2,33,0,74,14,6,0,0,129,387
35035,"Hamilton Centre/Hamilton-Centre"," 72","Hamilton",Merged with No./Fusionné avec le n°27,,,,,,,,,277
35035,"Hamilton Centre/Hamilton-Centre"," 73","Hamilton",8,25,0,43,8,4,0,0,88,372
35035,"Hamilton Centre/Hamilton-Centre"," 74","Hamilton",21,81,3,91,27,7,1,0,231,489
35035,"Hamilton Centre/Hamilton-Centre"," 75","Hamilton",9,56,3,60,20,4,0,3,155,371
35035,"Hamilton Centre/Hamilton-Centre"," 76","Hamilton",5,50,0,109,26,6,1,1,198,350
35035,"Hamilton Centre/Hamilton-Centre"," 77","Hamilton",9,60,0,126,34,5,0,0,234,477
35035,"Hamilton Centre/Hamilton-Centre"," 78","Hamilton",13,60,1,120,25,7,0,0,226,458
35035,"Hamilton Centre/Hamilton-Centre"," 79","Hamilton",17,53,1,112,29,7,0,1,220,427
35035,"Hamilton Centre/Hamilton-Centre"," 80","Hamilton",3,50,2,89,27,3,0,0,174,408
35035,"Hamilton Centre/Hamilton-Centre"," 81","Hamilton",Merged with No./Fusionné avec le n°25,,,,,,,,,328
35035,"Hamilton Centre/Hamilton-Centre"," 82","Hamilton",14,36,3,48,7,3,1,0,112,477
35035,"Hamilton Centre/Hamilton-Centre"," 83","Hamilton",3,44,0,60,16,1,0,0,124,384
35035,"Hamilton Centre/Hamilton-Centre"," 84","Hamilton",11,21,0,69,17,2,1,0,121,370
35035,"Hamilton Centre/Hamilton-Centre"," 85","Hamilton",12,43,0,81,26,5,0,0,167,552
35035,"Hamilton Centre/Hamilton-Centre"," 86","Hamilton",10,40,1,71,13,5,0,0,140,493
35035,"Hamilton Centre/Hamilton-Centre"," 87","Hamilton",27,33,0,76,25,4,0,2,167,385
35035,"Hamilton Centre/Hamilton-Centre"," 88","Hamilton",3,20,0,59,25,4,0,0,111,337
35035,"Hamilton Centre/Hamilton-Centre"," 89","Hamilton",23,50,0,106,30,13,1,0,223,474
35035,"Hamilton Centre/Hamilton-Centre"," 90","Hamilton",29,37,0,115,32,9,0,3,225,439
35035,"Hamilton Centre/Hamilton-Centre"," 91","Hamilton",18,20,2,92,28,6,0,1,167,492
35035,"Hamilton Centre/Hamilton-Centre"," 92A","Hamilton",Merged with No./Fusionné avec le n°89,,,,,,,,,195
35035,"Hamilton Centre/Hamilton-Centre"," 92B","Hamilton",Merged with No./Fusionné avec le n°90,,,,,,,,,216
35035,"Hamilton Centre/Hamilton-Centre"," 93","Hamilton",10,27,1,103,34,4,0,0,179,553
35035,"Hamilton Centre/Hamilton-Centre"," 94","Hamilton",11,26,0,82,23,2,0,0,144,441
35035,"Hamilton Centre/Hamilton-Centre"," 95","Hamilton",8,39,0,85,25,3,0,3,163,480
35035,"Hamilton Centre/Hamilton-Centre"," 96","Hamilton",18,35,2,89,26,4,0,1,175,468
35035,"Hamilton Centre/Hamilton-Centre"," 97","Hamilton",21,23,0,89,28,4,0,1,166,459
35035,"Hamilton Centre/Hamilton-Centre"," 98","Hamilton",11,23,0,67,18,1,1,0,121,420
35035,"Hamilton Centre/Hamilton-Centre"," 99","Hamilton",13,28,0,94,30,4,0,1,170,447
35035,"Hamilton Centre/Hamilton-Centre"," 100","Hamilton",20,26,0,77,35,13,1,0,172,428
35035,"Hamilton Centre/Hamilton-Centre"," 101","Hamilton",10,20,0,84,46,0,0,0,160,450
35035,"Hamilton Centre/Hamilton-Centre"," 102","Hamilton",6,29,0,91,24,1,0,4,155,449
35035,"Hamilton Centre/Hamilton-Centre"," 103","Hamilton",12,55,2,102,32,9,0,1,213,494
35035,"Hamilton Centre/Hamilton-Centre"," 104","Hamilton",12,26,0,60,22,6,1,1,128,382
35035,"Hamilton Centre/Hamilton-Centre"," 105","Hamilton",19,74,0,143,28,7,0,0,271,507
35035,"Hamilton Centre/Hamilton-Centre"," 106","Hamilton",8,84,0,158,29,12,1,2,294,538
35035,"Hamilton Centre/Hamilton-Centre"," 107","Hamilton",7,59,1,99,37,8,0,3,214,366
35035,"Hamilton Centre/Hamilton-Centre"," 108","Hamilton",8,63,1,115,47,6,0,2,242,398
35035,"Hamilton Centre/Hamilton-Centre"," 109","Hamilton",14,44,1,149,36,12,1,1,258,442
35035,"Hamilton Centre/Hamilton-Centre"," 110","Hamilton",14,27,0,104,19,2,2,0,168,519
35035,"Hamilton Centre/Hamilton-Centre"," 111A","Hamilton",Merged with No./Fusionné avec le n°108,,,,,,,,,210
35035,"Hamilton Centre/Hamilton-Centre"," 111B","Hamilton",Merged with No./Fusionné avec le n°109,,,,,,,,,216
35035,"Hamilton Centre/Hamilton-Centre"," 112","Hamilton",7,59,0,50,26,8,0,4,154,358
35035,"Hamilton Centre/Hamilton-Centre"," 113","Hamilton",13,45,0,67,18,3,1,0,147,407
35035,"Hamilton Centre/Hamilton-Centre"," 114","Hamilton",6,60,2,115,24,3,0,0,210,391
35035,"Hamilton Centre/Hamilton-Centre"," 115","Hamilton",8,64,1,101,42,7,0,1,224,537
35035,"Hamilton Centre/Hamilton-Centre"," 116","Hamilton",11,72,2,138,26,9,0,1,259,470
35035,"Hamilton Centre/Hamilton-Centre"," 117","Hamilton",13,51,0,77,18,4,0,0,163,353
35035,"Hamilton Centre/Hamilton-Centre"," 118","Hamilton",14,22,0,81,20,2,0,0,139,462
35035,"Hamilton Centre/Hamilton-Centre"," 119","Hamilton",10,30,0,70,19,4,1,0,134,369
35035,"Hamilton Centre/Hamilton-Centre"," 120","Hamilton",13,32,1,79,30,5,2,1,163,368
35035,"Hamilton Centre/Hamilton-Centre"," 121","Hamilton",13,41,0,105,24,6,0,4,193,391
35035,"Hamilton Centre/Hamilton-Centre"," 122","Hamilton",8,19,0,50,23,2,0,0,102,371
35035,"Hamilton Centre/Hamilton-Centre"," 123A","Hamilton",Merged with No./Fusionné avec le n°120,,,,,,,,,194
35035,"Hamilton Centre/Hamilton-Centre"," 123B","Hamilton",Merged with No./Fusionné avec le n°121,,,,,,,,,209
35035,"Hamilton Centre/Hamilton-Centre"," 124","Hamilton",11,54,1,99,40,8,0,0,213,554
35035,"Hamilton Centre/Hamilton-Centre"," 125","Hamilton",8,42,1,87,15,5,0,2,160,393
35035,"Hamilton Centre/Hamilton-Centre"," 126","Hamilton",7,61,0,89,45,10,0,3,215,467
35035,"Hamilton Centre/Hamilton-Centre"," 127","Hamilton",18,76,3,139,34,6,0,2,278,576
35035,"Hamilton Centre/Hamilton-Centre"," 128","Hamilton",12,77,4,81,20,1,0,3,198,471
35035,"Hamilton Centre/Hamilton-Centre"," 129","Hamilton",13,48,1,97,28,6,1,2,196,410
35035,"Hamilton Centre/Hamilton-Centre"," 130","Hamilton",10,39,0,85,35,4,1,2,176,472
35035,"Hamilton Centre/Hamilton-Centre"," 131","Hamilton",16,43,1,118,24,8,0,1,211,502
35035,"Hamilton Centre/Hamilton-Centre"," 132","Hamilton",17,36,1,94,27,7,0,0,182,385
35035,"Hamilton Centre/Hamilton-Centre"," 133","Hamilton",12,34,1,96,26,5,2,0,176,367
35035,"Hamilton Centre/Hamilton-Centre"," 134","Hamilton",15,88,1,110,34,4,0,1,253,602
35035,"Hamilton Centre/Hamilton-Centre"," 135","Hamilton",6,38,0,56,19,1,0,0,120,330
35035,"Hamilton Centre/Hamilton-Centre"," 136","Hamilton",14,51,0,95,20,5,0,2,187,424
35035,"Hamilton Centre/Hamilton-Centre"," 137","Hamilton",15,30,1,95,22,5,0,0,168,466
35035,"Hamilton Centre/Hamilton-Centre"," 138","Hamilton",6,36,0,43,28,1,1,3,118,447
35035,"Hamilton Centre/Hamilton-Centre"," 139","Hamilton",15,30,0,80,16,7,0,3,151,578
35035,"Hamilton Centre/Hamilton-Centre"," 140","Hamilton",4,55,2,106,25,5,2,2,201,352
35035,"Hamilton Centre/Hamilton-Centre"," 141","Hamilton",6,62,0,79,30,5,0,2,184,334
35035,"Hamilton Centre/Hamilton-Centre"," 142","Hamilton",2,81,0,84,23,4,0,0,194,352
35035,"Hamilton Centre/Hamilton-Centre"," 143","Hamilton",4,70,0,110,42,6,1,0,233,402
35035,"Hamilton Centre/Hamilton-Centre"," 144","Hamilton",3,79,0,91,37,11,0,0,221,377
35035,"Hamilton Centre/Hamilton-Centre"," 145","Hamilton",4,67,0,46,51,9,0,2,179,359
35035,"Hamilton Centre/Hamilton-Centre"," 146","Hamilton",24,19,0,89,32,4,1,0,169,418
35035,"Hamilton Centre/Hamilton-Centre"," 147","Hamilton",11,57,0,103,41,6,1,2,221,464
35035,"Hamilton Centre/Hamilton-Centre"," 148","Hamilton",13,50,1,86,30,5,2,0,187,481
35035,"Hamilton Centre/Hamilton-Centre"," 149","Hamilton",12,66,2,64,26,4,0,1,175,395
35035,"Hamilton Centre/Hamilton-Centre"," 150","Hamilton",13,39,1,87,36,2,0,2,180,447
35035,"Hamilton Centre/Hamilton-Centre"," 151","Hamilton",23,55,0,104,28,5,1,0,216,487
35035,"Hamilton Centre/Hamilton-Centre"," 152","Hamilton",4,64,0,105,27,6,0,2,208,404
35035,"Hamilton Centre/Hamilton-Centre"," 153","Hamilton",10,100,1,129,33,5,0,1,279,544
35035,"Hamilton Centre/Hamilton-Centre"," 154","Hamilton",4,130,0,102,51,4,0,0,291,578
35035,"Hamilton Centre/Hamilton-Centre"," 155","Hamilton",13,92,1,137,34,11,1,0,289,536
35035,"Hamilton Centre/Hamilton-Centre"," 156","Hamilton",17,52,1,88,32,3,0,2,195,404
35035,"Hamilton Centre/Hamilton-Centre"," 157","Hamilton",10,37,0,110,36,3,1,0,197,400
35035,"Hamilton Centre/Hamilton-Centre"," 158","Hamilton",24,67,2,93,57,6,0,0,249,449
35035,"Hamilton Centre/Hamilton-Centre"," 159","Hamilton",11,59,1,100,33,6,0,2,212,403
35035,"Hamilton Centre/Hamilton-Centre"," 160","Hamilton",15,56,0,100,50,4,0,0,225,460
35035,"Hamilton Centre/Hamilton-Centre"," 400","Hamilton",13,31,0,43,15,1,0,1,104,215
35035,"Hamilton Centre/Hamilton-Centre"," 401","Hamilton",8,76,0,90,33,8,1,3,219,399
35035,"Hamilton Centre/Hamilton-Centre"," 402","Hamilton",5,48,1,74,17,3,0,0,148,306
35035,"Hamilton Centre/Hamilton-Centre"," 403","Hamilton",16,55,5,68,23,5,0,5,177,351
35035,"Hamilton Centre/Hamilton-Centre"," 404","Hamilton",11,54,2,65,28,2,0,0,162,286
35035,"Hamilton Centre/Hamilton-Centre"," 500","Mobile poll/Bureau itinérant",1,31,0,9,6,2,0,3,52,84
35035,"Hamilton Centre/Hamilton-Centre"," 501","Mobile poll/Bureau itinérant",0,6,0,6,5,0,0,0,17,71
35035,"Hamilton Centre/Hamilton-Centre"," 502","Mobile poll/Bureau itinérant",1,4,0,8,6,0,0,0,19,56
35035,"Hamilton Centre/Hamilton-Centre"," 503","Mobile poll/Bureau itinérant",2,27,0,13,9,2,0,2,55,91
35035,"Hamilton Centre/Hamilton-Centre"," 504","Mobile poll/Bureau itinérant",0,4,1,5,1,1,1,0,13,23
35035,"Hamilton Centre/Hamilton-Centre"," 505","Mobile poll/Bureau itinérant",0,2,0,5,1,1,0,1,10,41
35035,"Hamilton Centre/Hamilton-Centre"," 506","Mobile poll/Bureau itinérant",0,6,0,9,1,1,0,1,18,40
35035,"Hamilton Centre/Hamilton-Centre"," 507","Mobile poll/Bureau itinérant",1,10,3,13,3,0,1,5,36,130
35035,"Hamilton Centre/Hamilton-Centre"," 508","Mobile poll/Bureau itinérant",0,0,0,8,0,0,1,0,9,13
35035,"Hamilton Centre/Hamilton-Centre"," 509","Mobile poll/Bureau itinérant",2,12,0,19,5,2,0,2,42,65
35035,"Hamilton Centre/Hamilton-Centre"," 510","Mobile poll/Bureau itinérant",0,9,0,11,6,2,0,4,32,63
35035,"Hamilton Centre/Hamilton-Centre"," 511","Mobile poll/Bureau itinérant",2,0,0,2,1,1,0,0,6,10
35035,"Hamilton Centre/Hamilton-Centre"," 512","Mobile poll/Bureau itinérant",0,18,0,15,12,0,3,3,51,103
35035,"Hamilton Centre/Hamilton-Centre"," 513","Mobile poll/Bureau itinérant",0,2,0,3,0,0,1,0,6,25
35035,"Hamilton Centre/Hamilton-Centre"," 514","Mobile poll/Bureau itinérant",0,5,0,1,0,0,0,0,6,20
35035,"Hamilton Centre/Hamilton-Centre"," 515","Hamilton",Merged with No./Fusionné avec le n°120,,,,,,,,,10
35035,"Hamilton Centre/Hamilton-Centre"," 516","Mobile poll/Bureau itinérant",1,8,0,7,7,1,0,3,27,44
35035,"Hamilton Centre/Hamilton-Centre"," 517","Mobile poll/Bureau itinérant",1,8,1,11,5,1,1,2,30,47
35035,"Hamilton Centre/Hamilton-Centre"," 518","Mobile poll/Bureau itinérant",0,5,0,3,0,1,0,0,9,31
35035,"Hamilton Centre/Hamilton-Centre"," 519","Hamilton",Merged with No./Fusionné avec le n°149,,,,,,,,,12
35035,"Hamilton Centre/Hamilton-Centre"," 520","Mobile poll/Bureau itinérant",0,3,1,3,0,0,1,0,8,7
35035,"Hamilton Centre/Hamilton-Centre"," 521","Hamilton",Merged with No./Fusionné avec le n°118,,,,,,,,,9
35035,"Hamilton Centre/Hamilton-Centre"," 522","Mobile poll/Bureau itinérant",1,2,0,9,6,0,0,1,19,23
35035,"Hamilton Centre/Hamilton-Centre"," 523","Mobile poll/Bureau itinérant",1,7,0,3,1,0,0,0,12,14
35035,"Hamilton Centre/Hamilton-Centre"," 524","Hamilton",Merged with No./Fusionné avec le n°120,,,,,,,,,12
35035,"Hamilton Centre/Hamilton-Centre"," 525","Hamilton",Merged with No./Fusionné avec le n°110,,,,,,,,,10
35035,"Hamilton Centre/Hamilton-Centre"," 526","Hamilton",Merged with No./Fusionné avec le n°90,,,,,,,,,19
35035,"Hamilton Centre/Hamilton-Centre"," 527","Hamilton",Merged with No./Fusionné avec le n°109,,,,,,,,,16
35035,"Hamilton Centre/Hamilton-Centre"," 528","Hamilton",Merged with No./Fusionné avec le n°68,,,,,,,,,15
35035,"Hamilton Centre/Hamilton-Centre"," 600","Hamilton ",32,127,2,247,42,11,2,0,463,
35035,"Hamilton Centre/Hamilton-Centre"," 601","Hamilton ",39,119,3,234,80,9,4,1,489,
35035,"Hamilton Centre/Hamilton-Centre"," 602","Hamilton ",60,165,5,341,122,10,2,7,712,
35035,"Hamilton Centre/Hamilton-Centre"," 603","Hamilton ",67,180,1,340,158,12,2,2,762,
35035,"Hamilton Centre/Hamilton-Centre"," 604","Hamilton ",78,185,1,390,146,12,2,4,818,
35035,"Hamilton Centre/Hamilton-Centre"," 605","Hamilton ",50,181,7,430,120,27,1,7,823,
35035,"Hamilton Centre/Hamilton-Centre"," 606","Hamilton ",53,180,4,323,100,12,0,2,674,
35035,"Hamilton Centre/Hamilton-Centre"," 607","Hamilton ",42,113,1,225,65,8,0,2,456,
35035,"Hamilton Centre/Hamilton-Centre"," 608","Hamilton ",33,121,3,231,65,15,1,4,473,
35035,"Hamilton Centre/Hamilton-Centre"," 609","Hamilton ",34,177,4,305,86,19,0,5,630,
35035,"Hamilton Centre/Hamilton-Centre"," 610","Hamilton ",38,216,3,298,109,20,0,3,687,
35035,"Hamilton Centre/Hamilton-Centre"," 611","Hamilton ",29,195,2,358,125,31,0,3,743,
35035,"Hamilton Centre/Hamilton-Centre"," 612","Hamilton ",29,259,1,331,121,20,3,7,771,
35035,"Hamilton Centre/Hamilton-Centre"," 613","Hamilton ",31,239,4,352,98,19,1,0,744,
35035,"Hamilton Centre/Hamilton-Centre",,Group 1/Groupe 1, 12,110,1,186,50,11,0,26,396,268
35035,"Hamilton Centre/Hamilton-Centre",,Group 2/Groupe 2, 110,772,8,1402,301,54,5,70,2722,
