Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathan Lang,Philip Lawrence,Alison Lester,Kim McArthur-Jackson,Christina Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 39","Trent Hills",12,49,32,12,5,0,110,327
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 40","Trent Hills",5,63,42,26,2,0,138,411
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 41","Trent Hills",14,58,26,28,7,1,134,378
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 42","Port Hope",12,89,64,32,8,0,205,645
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 43","Port Hope",3,41,41,17,4,0,106,304
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 44","Port Hope",3,50,33,27,5,0,118,282
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 45","Port Hope",5,46,27,22,3,0,103,319
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 46","Port Hope",3,49,63,29,3,0,147,444
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 47","Alnwick/Haldimand",12,119,49,30,6,4,220,405
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 48","Alnwick/Haldimand",5,105,66,36,8,0,220,414
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 49","Trent Hills",7,73,33,21,6,0,140,419
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 50","Trent Hills",11,77,32,17,5,0,142,432
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 51","Keene",6,74,51,26,6,0,163,393
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 52","Keene",10,59,34,26,4,0,133,318
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 53","Otonabee-South Monaghan",5,54,36,8,0,0,103,334
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 54","Otonabee-South Monaghan",0,42,32,12,3,1,90,288
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 55","Brighton",14,87,34,22,2,0,159,397
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 56","Brighton",17,63,31,14,2,1,128,356
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 57","Brighton",14,78,34,23,2,0,151,385
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 58","Brighton",11,63,17,21,4,0,116,333
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 59","Alderville First Nation",14,37,61,58,6,1,177,442
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 60","Otonabee-South Monaghan",13,125,61,56,6,0,261,472
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 61","Otonabee-South Monaghan",11,152,84,37,9,0,293,394
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 62","Otonabee-South Monaghan",6,71,27,29,1,2,136,337
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 63","Alnwick/Haldimand",21,92,57,24,0,3,197,400
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 64","Hiawatha First Nation",6,90,82,75,9,1,263,477
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 65","Cramahe",13,74,35,18,4,0,144,335
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 66","Cramahe",15,82,48,41,9,0,195,417
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 67","Cramahe",21,90,48,39,9,2,209,425
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 68","Alnwick/Haldimand",11,137,81,36,2,6,273,379
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 69","Alnwick/Haldimand",Merged with No./Fusionné avec le n°68,,,,,,,357
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 70","Otonabee-South Monaghan",5,56,14,13,1,0,89,198
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 71","Otonabee-South Monaghan",8,73,44,22,3,1,151,354
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 72","Otonabee-South Monaghan",19,102,46,20,3,1,191,381
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 73","Hamilton ",29,70,49,39,2,0,189,339
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 74","Hamilton ",8,76,44,37,2,2,169,326
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 75","Hamilton ",15,64,48,25,7,2,161,331
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 76","Brighton",13,96,37,29,3,0,178,416
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 77","Brighton",10,41,35,16,4,0,106,335
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 78","Brighton",11,72,33,20,8,0,144,427
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 79","Brighton",8,47,46,23,3,1,128,455
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 80","Brighton",2,90,35,14,2,1,144,446
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 81","Brighton",9,52,45,16,4,2,128,486
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 82","Brighton",10,55,37,18,4,2,126,375
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 83","Brighton",11,30,31,31,0,0,103,308
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 84","Brighton",7,52,32,26,11,0,128,416
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 85","Brighton",9,29,24,14,4,0,80,370
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 86","Brighton",11,40,60,29,7,0,147,434
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 87","Cramahe",18,105,46,23,4,0,196,470
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 88","Cramahe",26,117,58,31,3,0,235,470
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 89","Brighton",4,36,22,20,4,0,86,364
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 90","Brighton",15,39,24,17,6,0,101,360
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 91","Brighton",5,28,32,20,3,1,89,285
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 92","Alnwick/Haldimand",Merged with No./Fusionné avec le n°63,,,,,,,295
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 93","Alnwick/Haldimand",Merged with No./Fusionné avec le n°94,,,,,,,269
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 94","Alnwick/Haldimand",17,136,61,39,7,2,262,432
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 95","Alnwick/Haldimand",15,86,41,30,9,1,182,491
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 96","Brighton",5,54,38,21,6,0,124,385
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 97","Brighton",4,53,44,19,2,1,123,329
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 98","Brighton",3,38,35,20,5,1,102,332
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 99","Brighton",11,56,63,30,4,0,164,466
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 100","Brighton",4,36,34,15,2,0,91,341
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 101","Brighton",3,19,26,8,4,0,60,244
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 102","Hamilton ",11,96,64,33,9,1,214,454
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 103","Bewdley",11,75,53,25,6,2,172,359
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 104","Bewdley",13,67,23,36,3,0,142,357
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 105","Hamilton ",16,57,34,35,5,0,147,324
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 106","Brighton",15,60,38,25,3,0,141,366
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 107","Brighton",4,89,56,23,5,0,177,491
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 108","Cramahe",15,79,55,20,2,0,171,456
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 109","Brighton",7,50,37,15,2,1,112,395
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 110","Cramahe",16,95,51,25,6,4,197,456
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 111","Colborne",15,92,62,44,7,0,220,518
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 112","Colborne",7,51,34,26,1,3,122,402
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 113","Colborne",14,50,38,29,2,0,133,400
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 114","Hamilton ",13,90,59,22,7,0,191,388
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 115","Hamilton ",8,68,67,24,5,3,175,461
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 116","Hamilton ",5,90,35,24,5,0,159,347
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 117","Alnwick/Haldimand",5,77,42,16,4,0,144,363
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 118","Hamilton ",6,71,45,30,11,1,164,418
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 119","Hamilton ",9,60,66,24,3,1,163,419
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 120","Hamilton ",10,69,45,16,4,0,144,329
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 121","Hamilton ",12,106,73,28,3,3,225,575
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 122","Colborne",3,51,37,20,3,0,114,267
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 123","Alnwick/Haldimand",11,51,23,15,3,3,106,314
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 124","Cramahe",13,75,47,26,6,0,167,451
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 125","Colborne",7,81,44,35,7,0,174,518
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 126","Hamilton ",8,88,46,20,2,0,164,435
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 127","Hamilton ",12,102,67,27,5,0,213,441
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 128","Hamilton ",13,114,51,25,7,0,210,408
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 129","Hamilton ",15,72,62,31,4,0,184,433
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 130","Port Hope",13,112,37,24,6,0,192,461
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 131","Port Hope",11,101,41,22,9,0,184,449
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 132","Port Hope",17,48,28,15,6,1,115,247
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 133","Port Hope",11,51,41,13,2,3,121,269
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 134","Alnwick/Haldimand",9,84,57,25,6,0,181,341
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 135","Alnwick/Haldimand",5,18,20,6,1,0,50,207
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 136","Alnwick/Haldimand",10,61,54,13,3,0,141,265
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 137","Alnwick/Haldimand",8,86,56,21,7,0,178,348
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 138","Alnwick/Haldimand",7,76,39,20,7,1,150,344
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 139","Alnwick/Haldimand",4,89,52,25,5,0,175,311
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 140","Alnwick/Haldimand",7,80,65,19,3,4,178,366
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 141","Port Hope",11,74,60,23,4,2,174,355
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 142","Port Hope",5,74,56,13,5,1,154,317
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 143","Port Hope",10,82,41,21,12,0,166,317
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 144","Cobourg",2,56,39,19,5,2,123,397
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 145","Cobourg",11,87,70,27,2,0,197,550
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 146","Cobourg",3,61,53,12,2,1,132,415
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 147","Cobourg",12,81,80,53,6,0,232,617
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 148","Cobourg",12,40,42,44,4,0,142,436
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 149","Cobourg",8,49,43,35,4,0,139,337
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 150","Cobourg",7,52,56,34,3,1,153,363
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 151","Cobourg",18,68,58,34,5,0,183,522
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 152","Hamilton ",10,95,80,32,7,0,224,490
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 153","Hamilton ",13,119,79,40,7,0,258,513
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 154","Hamilton ",15,102,61,25,8,2,213,439
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 155","Cobourg",9,80,78,39,2,1,209,544
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 156","Cobourg",20,88,73,32,7,1,221,586
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 157","Cobourg",1,31,23,17,2,0,74,222
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 158","Clarington",13,82,56,30,2,1,184,445
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 159","Clarington",7,78,50,15,5,0,155,402
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 160","Port Hope",19,81,40,30,5,1,176,413
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 161","Clarington",14,85,28,20,3,0,150,391
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 162","Cobourg",11,27,39,23,5,0,105,382
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 163","Cobourg",7,40,66,6,4,1,124,391
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 164","Cobourg",7,25,34,21,3,0,90,324
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 165","Cobourg",12,62,47,32,5,1,159,396
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 166","Cobourg",8,58,103,48,14,3,234,475
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 167","Cobourg",12,74,56,33,2,1,178,421
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 168","Cobourg",10,53,44,24,3,3,137,405
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 169","Cobourg",2,33,19,7,1,0,62,326
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 170","Cobourg",6,49,56,20,2,1,134,374
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 171","Cobourg",1,20,44,8,2,1,76,298
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 172","Cobourg",7,55,55,25,1,1,144,395
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 173","Cobourg",2,92,84,39,1,1,219,754
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 174","Cobourg",6,42,56,23,6,1,134,331
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 175","Cobourg",8,51,73,17,4,1,154,394
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 176","Cobourg",2,68,58,13,3,0,144,344
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 177","Hamilton",2,69,55,14,2,0,142,401
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 178","Cobourg",4,65,42,29,1,0,141,370
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 179","Cobourg",7,63,49,41,8,0,168,437
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 180","Cobourg",11,44,24,25,7,0,111,321
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 181","Cobourg",5,42,86,24,2,0,159,517
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 182","Cobourg",3,26,39,18,3,1,90,268
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 183","Cobourg",2,42,72,20,7,1,144,523
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 184","Cobourg",9,40,48,28,9,0,134,507
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 185","Cobourg",5,25,69,25,3,0,127,398
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 186","Cobourg",10,27,55,19,3,0,114,343
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 187","Cobourg",12,29,60,19,3,0,123,339
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 188","Cobourg",5,45,67,8,3,0,128,403
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 189","Cobourg",5,86,94,24,8,11,228,337
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 190","Port Hope",11,51,25,22,4,1,114,257
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 191","Port Hope",5,46,38,19,1,0,109,289
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 192","Port Hope",5,45,23,30,4,0,107,249
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 193","Port Hope",8,60,76,46,4,1,195,579
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 194","Clarington",9,90,27,18,2,0,146,292
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 195","Clarington",7,68,39,28,4,0,146,315
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 196","Port Hope",17,41,23,35,3,0,119,288
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 197","Port Hope",12,53,34,29,4,0,132,297
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 198","Port Hope",15,62,50,32,4,1,164,358
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 199","Port Hope",11,54,29,29,6,0,129,337
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 200","Port Hope",8,85,32,25,5,0,155,368
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 201","Port Hope",19,60,50,37,5,2,173,397
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 202","Port Hope",2,44,63,30,8,1,148,401
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 203","Port Hope",7,47,45,18,4,0,121,345
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 204","Hamilton ",5,85,30,33,5,0,158,462
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 205","Cobourg",2,42,44,12,3,0,103,314
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 206","Cobourg",10,56,64,26,10,0,166,448
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 207","Cobourg",8,41,71,35,3,0,158,395
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 208","Port Hope",6,46,52,30,7,3,144,359
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 209","Port Hope",7,46,43,24,5,0,125,389
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 210","Port Hope",15,41,36,21,2,1,116,279
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 211","Port Hope",11,76,63,37,7,0,194,522
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 212","Port Hope",11,40,90,41,11,0,193,489
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 213","Port Hope",5,32,40,30,3,4,114,283
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 214","Port Hope",6,27,53,24,4,0,114,309
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 215","Port Hope",7,34,75,37,3,0,156,376
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 216","Port Hope",6,52,42,24,11,3,138,361
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 217","Port Hope",4,33,48,30,3,0,118,318
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 218","Port Hope",4,48,61,11,7,1,132,320
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 219","Clarington",7,59,48,38,2,3,157,303
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 220","Port Hope",6,55,51,17,4,0,133,413
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 221","Port Hope",5,90,96,18,1,0,210,789
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 222","Port Hope",2,14,10,1,2,0,29,94
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 223","Clarington",11,71,40,34,5,1,162,288
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 224","Clarington",11,72,35,25,5,0,148,292
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 225","Clarington",8,54,35,26,1,0,124,298
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 226","Clarington",8,75,44,31,7,0,165,305
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 227","Clarington",9,74,39,8,4,0,134,398
