Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Cotter,Sean Fraser,Chris Frazer,Harvey Henderson,Betsy MacDonald,Al Muir,Katerina Nikas,Ryan Smyth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Central Nova/Nova-Centre"," 106","Stellarton",50,65,0,0,30,8,0,0,0,153,363
12002,"Central Nova/Nova-Centre"," 107","New Glasgow",43,68,0,0,31,6,1,0,0,149,478
12002,"Central Nova/Nova-Centre"," 108","Mount William",70,62,0,1,21,11,2,1,3,171,455
12002,"Central Nova/Nova-Centre"," 109","Plymouth",61,60,0,0,25,13,4,0,1,164,410
12002,"Central Nova/Nova-Centre"," 110","Stellarton",23,29,0,0,16,3,0,0,1,72,238
12002,"Central Nova/Nova-Centre"," 111","Stellarton",34,29,0,0,18,10,1,0,0,92,276
12002,"Central Nova/Nova-Centre"," 112","Stellarton",34,35,0,1,10,8,0,0,0,88,268
12002,"Central Nova/Nova-Centre"," 113","Stellarton",20,30,1,0,16,8,1,0,0,76,226
12002,"Central Nova/Nova-Centre"," 114","Stellarton",35,49,0,0,27,8,2,0,0,121,355
12002,"Central Nova/Nova-Centre"," 115","Scotsburn",46,63,0,8,19,7,1,0,0,144,318
12002,"Central Nova/Nova-Centre"," 116","Elmfield",28,62,1,15,22,9,2,0,0,139,255
12002,"Central Nova/Nova-Centre"," 117","Stellarton",39,57,1,1,19,4,0,0,1,122,280
12002,"Central Nova/Nova-Centre"," 118","Durham",67,66,0,5,39,4,6,0,0,187,466
12002,"Central Nova/Nova-Centre"," 119","Pictou, Subd. A",28,45,0,5,32,5,4,0,1,120,364
12002,"Central Nova/Nova-Centre"," 120","Westville",37,43,0,1,16,9,1,0,1,108,282
12002,"Central Nova/Nova-Centre"," 121","Westville",34,55,0,0,36,7,5,0,1,138,408
12002,"Central Nova/Nova-Centre"," 122","Westville",59,53,0,2,17,7,1,1,0,140,397
12002,"Central Nova/Nova-Centre"," 123","McLellans Brook",45,51,0,0,13,7,2,0,1,119,280
12002,"Central Nova/Nova-Centre"," 124","McLellans Brook",42,34,0,2,13,2,2,0,0,95,257
12002,"Central Nova/Nova-Centre"," 125","Stellarton",39,40,0,1,12,6,1,1,0,100,254
12002,"Central Nova/Nova-Centre"," 126","Stellarton",32,53,1,0,24,2,1,0,0,113,320
12002,"Central Nova/Nova-Centre"," 127","Stellarton",46,52,2,3,21,5,1,0,0,130,371
12002,"Central Nova/Nova-Centre"," 128","Stellarton",38,29,0,0,11,5,0,0,1,84,225
12002,"Central Nova/Nova-Centre"," 129","Stellarton",48,75,0,2,14,0,0,0,0,139,317
12002,"Central Nova/Nova-Centre"," 130","Westville",36,39,0,0,11,5,0,0,3,94,240
12002,"Central Nova/Nova-Centre"," 131","Westville",45,46,0,0,16,7,1,0,2,117,354
12002,"Central Nova/Nova-Centre"," 132","Westville",33,44,1,0,9,5,0,0,1,93,283
12002,"Central Nova/Nova-Centre"," 133","Westville",39,40,0,1,22,7,1,0,0,110,304
12002,"Central Nova/Nova-Centre"," 134","Westville",48,49,1,2,25,11,0,0,1,137,387
12002,"Central Nova/Nova-Centre"," 135","Westville",43,36,0,0,11,8,0,0,0,98,282
12002,"Central Nova/Nova-Centre"," 136","Greenhill",69,86,2,11,36,10,2,0,3,219,395
12002,"Central Nova/Nova-Centre"," 137","Garden of Eden",24,25,0,0,2,1,0,0,0,52,79
12002,"Central Nova/Nova-Centre"," 138","Mountville",42,36,0,1,15,3,0,0,0,97,276
12002,"Central Nova/Nova-Centre"," 139","Churchville",35,43,0,0,17,14,0,0,0,109,263
12002,"Central Nova/Nova-Centre"," 140","Hazel Glen",58,72,0,0,22,7,2,1,0,162,302
12002,"Central Nova/Nova-Centre"," 141","West Branch",52,62,1,8,12,8,1,0,1,145,251
12002,"Central Nova/Nova-Centre"," 142","Riverton",64,45,0,0,12,5,1,0,0,127,336
12002,"Central Nova/Nova-Centre"," 143","Eureka",58,60,0,0,35,5,6,0,0,164,372
12002,"Central Nova/Nova-Centre"," 144","Hopewell",80,56,0,1,26,10,0,0,1,174,385
12002,"Central Nova/Nova-Centre"," 145","Bridgeville",61,64,0,0,22,11,1,0,0,159,308
12002,"Central Nova/Nova-Centre"," 146","Salt Springs",64,65,3,3,30,10,6,0,1,182,362
12002,"Central Nova/Nova-Centre"," 147","Sunnybrae",30,22,0,0,6,4,0,0,1,63,139
12002,"Central Nova/Nova-Centre"," 148","Port Bickerton",48,45,2,2,6,1,2,0,0,106,167
12002,"Central Nova/Nova-Centre"," 149","Port Bickerton",47,59,0,1,13,3,0,1,0,124,252
12002,"Central Nova/Nova-Centre"," 150","Millbrook",111,75,0,3,43,16,11,2,0,261,345
12002,"Central Nova/Nova-Centre"," 151","Mount Thom",Merged with No./Fusionné avec le n°150,,,,,,,,,,219
12002,"Central Nova/Nova-Centre"," 152","Aspen",114,118,0,0,27,13,2,1,3,278,347
12002,"Central Nova/Nova-Centre"," 153","White Hill",44,45,1,4,19,6,5,0,0,124,241
12002,"Central Nova/Nova-Centre"," 154","Sherbrooke",42,60,1,0,23,1,1,0,0,128,294
12002,"Central Nova/Nova-Centre"," 155","Sonora",25,19,0,0,5,4,0,0,0,53,102
12002,"Central Nova/Nova-Centre"," 156","Lorne",49,42,0,4,8,5,0,0,0,108,187
12002,"Central Nova/Nova-Centre"," 157","Liscomb",50,53,0,0,3,0,0,0,2,108,189
12002,"Central Nova/Nova-Centre"," 158","Ecum Secum",35,46,1,1,12,4,0,1,0,100,231
12002,"Central Nova/Nova-Centre"," 159","Dean",41,38,0,3,31,2,2,0,0,117,199
12002,"Central Nova/Nova-Centre"," 160","Moser River",43,79,1,0,10,3,1,1,0,138,278
12002,"Central Nova/Nova-Centre"," 161","East River Sheet Harbour",34,59,2,0,17,8,1,0,0,121,416
12002,"Central Nova/Nova-Centre"," 162","Sheet Harbour",29,72,1,0,22,0,1,0,2,127,367
12002,"Central Nova/Nova-Centre"," 163","Upper Musquodoboit",Merged with No./Fusionné avec le n°164,,,,,,,,,,246
12002,"Central Nova/Nova-Centre"," 164","Upper Musquodoboit",97,62,0,0,58,5,3,0,0,225,250
12002,"Central Nova/Nova-Centre"," 165","Port Dufferin--Beaver Harbour--West Quoddy",59,78,0,3,23,7,1,0,0,171,349
12002,"Central Nova/Nova-Centre"," 166","West Sheet Harbour--Sheet Harbour 36",18,44,2,0,16,2,1,0,1,84,251
12002,"Central Nova/Nova-Centre"," 167","Mushaboom",23,12,0,0,7,1,0,0,0,43,126
12002,"Central Nova/Nova-Centre"," 168","Mooseland",15,17,0,0,5,1,0,0,1,39,58
12002,"Central Nova/Nova-Centre"," 169A","Middle Musquodoboit",Merged with No./Fusionné avec le n°170A,,,,,,,,,,114
12002,"Central Nova/Nova-Centre"," 169B","Middle Musquodoboit",Merged with No./Fusionné avec le n°170B,,,,,,,,,,117
12002,"Central Nova/Nova-Centre"," 170A","Middle Musquodoboit",130,94,0,0,57,14,3,0,0,298,209
12002,"Central Nova/Nova-Centre"," 170B","Middle Musquodoboit",Results combined with no. 170A/Résultats combinés au n° 170A,,,,,,,,,,215
12002,"Central Nova/Nova-Centre"," 171A","Middle Musquodoboit",Merged with No./Fusionné avec le n°170A,,,,,,,,,,104
12002,"Central Nova/Nova-Centre"," 171B","Middle Musquodoboit",Merged with No./Fusionné avec le n°170B,,,,,,,,,,133
12002,"Central Nova/Nova-Centre"," 172","Tangier--Spry Harbour",51,61,0,1,21,1,3,1,0,139,358
12002,"Central Nova/Nova-Centre"," 173","Cooks Brook",44,48,0,0,20,10,0,0,0,122,287
12002,"Central Nova/Nova-Centre"," 174","East Ship Harbour",38,86,1,1,26,5,2,1,3,163,246
12002,"Central Nova/Nova-Centre"," 175","Carrolls Corner",50,62,0,1,20,10,3,0,0,146,444
12002,"Central Nova/Nova-Centre"," 176","Antrim",43,44,1,1,26,14,1,1,0,131,283
12002,"Central Nova/Nova-Centre"," 177","Dutch Settlement",22,26,1,1,16,2,0,0,1,69,203
12002,"Central Nova/Nova-Centre"," 178","Ship Harbour",39,59,0,0,20,3,1,0,0,122,200
12002,"Central Nova/Nova-Centre"," 179","Lake Charlotte",19,33,0,1,19,2,2,1,0,77,329
12002,"Central Nova/Nova-Centre"," 180","Clam Harbour",62,37,0,0,13,5,0,0,0,117,335
12002,"Central Nova/Nova-Centre"," 181","East Jeddore",53,40,1,0,19,3,2,0,0,118,399
12002,"Central Nova/Nova-Centre"," 182","Elderbank",34,24,0,0,13,5,0,0,0,76,189
12002,"Central Nova/Nova-Centre"," 183","Meaghers Grant",44,65,0,2,35,9,3,1,2,161,310
12002,"Central Nova/Nova-Centre"," 184","Dutch Settlement",66,74,1,3,57,12,7,1,0,221,588
12002,"Central Nova/Nova-Centre"," 185","Musquodoboit Harbour",35,43,0,0,29,2,0,0,0,109,289
12002,"Central Nova/Nova-Centre"," 186","Musquodoboit Harbour",25,43,0,0,22,8,0,0,0,98,348
12002,"Central Nova/Nova-Centre"," 187","Musquodoboit Harbour",45,42,0,0,24,8,2,1,0,122,330
12002,"Central Nova/Nova-Centre"," 188","West Petpeswick",47,74,0,0,33,6,0,0,0,160,405
12002,"Central Nova/Nova-Centre"," 189","East Petpeswick",57,77,0,0,41,4,6,0,1,186,442
12002,"Central Nova/Nova-Centre"," 190","Goffs",13,14,0,0,10,1,0,0,0,38,133
12002,"Central Nova/Nova-Centre"," 191","Goffs",50,62,3,1,39,6,3,1,0,165,430
12002,"Central Nova/Nova-Centre"," 192","Conrod Settlement",16,16,1,2,21,0,2,1,1,60,133
12002,"Central Nova/Nova-Centre"," 193","Gaetz Brook",66,79,0,0,46,3,2,1,0,197,403
12002,"Central Nova/Nova-Centre"," 194","Head of Jeddore",61,51,0,2,40,9,4,0,0,167,328
12002,"Central Nova/Nova-Centre"," 195","Head of Jeddore",44,75,0,0,33,4,1,0,0,157,367
12002,"Central Nova/Nova-Centre"," 196","West Jeddore",64,76,2,4,36,15,5,0,0,202,450
12002,"Central Nova/Nova-Centre"," 400","New Glasgow",14,17,0,0,2,1,2,0,7,43,112
12002,"Central Nova/Nova-Centre"," 500","Mobile poll/Bureau itinérant",0,2,1,1,0,0,0,0,0,4,9
12002,"Central Nova/Nova-Centre"," 501","Mobile poll/Bureau itinérant",8,44,1,0,4,0,0,0,0,57,65
12002,"Central Nova/Nova-Centre"," 502","Mobile poll/Bureau itinérant",13,11,0,0,4,0,0,0,1,29,68
12002,"Central Nova/Nova-Centre"," 503","Mobile poll/Bureau itinérant",5,15,0,0,0,0,0,1,0,21,30
12002,"Central Nova/Nova-Centre"," 504","Mobile poll/Bureau itinérant",5,6,1,0,0,0,0,0,2,14,15
12002,"Central Nova/Nova-Centre"," 505","Mobile poll/Bureau itinérant",8,14,0,1,3,0,0,0,1,27,40
12002,"Central Nova/Nova-Centre"," 506","Mobile poll/Bureau itinérant",3,6,0,1,1,0,0,0,1,12,22
12002,"Central Nova/Nova-Centre"," 507","Mobile poll/Bureau itinérant",6,5,0,1,1,0,0,0,0,13,25
12002,"Central Nova/Nova-Centre"," 508","Mobile poll/Bureau itinérant",2,8,2,0,2,0,0,0,0,14,27
12002,"Central Nova/Nova-Centre"," 509","Mobile poll/Bureau itinérant",8,3,0,0,2,0,0,0,1,14,19
12002,"Central Nova/Nova-Centre"," 510","Mobile poll/Bureau itinérant",12,15,1,0,2,0,0,0,0,30,70
12002,"Central Nova/Nova-Centre"," 511","Mobile poll/Bureau itinérant",16,16,1,3,3,0,2,0,0,41,85
12002,"Central Nova/Nova-Centre"," 512","Mobile poll/Bureau itinérant",6,6,0,0,2,0,0,0,0,14,26
12002,"Central Nova/Nova-Centre"," 513","Mobile poll/Bureau itinérant",3,3,0,0,2,0,1,0,0,9,14
12002,"Central Nova/Nova-Centre"," 514","Mobile poll/Bureau itinérant",2,5,0,0,0,0,0,0,0,7,11
12002,"Central Nova/Nova-Centre"," 515","Mobile poll/Bureau itinérant",3,11,0,0,0,1,0,0,0,15,17
12002,"Central Nova/Nova-Centre"," 600","Antigonish",151,351,3,1,77,9,4,1,0,597,
12002,"Central Nova/Nova-Centre"," 601","North Grant",130,241,5,0,61,13,3,0,3,456,
12002,"Central Nova/Nova-Centre"," 602","Antigonish",154,498,3,0,108,10,8,1,1,783,
12002,"Central Nova/Nova-Centre"," 603","Antigonish",131,226,0,1,64,5,5,1,1,434,
12002,"Central Nova/Nova-Centre"," 604","Beech Hill",265,533,5,0,108,16,4,1,4,936,
12002,"Central Nova/Nova-Centre"," 605","Thorburn",254,276,0,7,30,9,5,0,1,582,
12002,"Central Nova/Nova-Centre"," 606","Little Harbour",165,228,1,1,41,21,2,0,1,460,
12002,"Central Nova/Nova-Centre"," 607","Pictou",294,548,2,11,101,35,17,0,5,1013,
12002,"Central Nova/Nova-Centre"," 608","River John",142,135,1,21,28,7,5,1,0,340,
12002,"Central Nova/Nova-Centre"," 609","Durham",313,345,1,20,79,30,12,0,4,804,
12002,"Central Nova/Nova-Centre"," 610","Trenton",266,346,0,6,86,11,3,1,10,729,
12002,"Central Nova/Nova-Centre"," 611","New Glasgow",287,588,2,7,86,26,12,2,5,1015,
12002,"Central Nova/Nova-Centre"," 612","New Glasgow",236,509,3,1,84,29,8,0,9,879,
12002,"Central Nova/Nova-Centre"," 613","Stellarton",265,351,1,3,72,34,5,0,0,731,
12002,"Central Nova/Nova-Centre"," 614","Westville",188,240,1,3,42,21,6,0,3,504,
12002,"Central Nova/Nova-Centre"," 615","Westville",196,155,1,2,49,10,3,1,1,418,
12002,"Central Nova/Nova-Centre"," 616","Plymouth",252,327,0,7,58,24,6,0,0,674,
12002,"Central Nova/Nova-Centre"," 617","Sherbrooke",101,141,1,0,14,12,5,1,0,275,
12002,"Central Nova/Nova-Centre"," 618","Halifax",142,186,2,1,49,5,5,0,2,392,
12002,"Central Nova/Nova-Centre"," 619","Halifax",174,155,1,0,82,12,6,2,1,433,
12002,"Central Nova/Nova-Centre"," 620","Halifax",135,137,0,1,68,17,14,2,1,375,
12002,"Central Nova/Nova-Centre"," 621","Halifax",144,169,0,1,56,11,6,0,2,389,
12002,"Central Nova/Nova-Centre"," 622","Halifax",148,250,3,3,73,5,6,1,3,492,
12002,"Central Nova/Nova-Centre",,Group 1/Groupe 1, 79,132,1,2,70,11,2,0,11,308,91
12002,"Central Nova/Nova-Centre",,Group 2/Groupe 2, 338,672,3,10,123,16,15,0,31,1208,
