Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laurel Collins,Hannah Hodson,Nick Loughton,Nikki Macdonald,John Randal Phipps,Jordan Reichert,Janis Zroback,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59041,"Victoria/Victoria"," 26","Victoria",91,16,28,35,10,0,0,0,180,612
59041,"Victoria/Victoria"," 27","Victoria",63,9,8,14,5,2,0,1,102,465
59041,"Victoria/Victoria"," 28","Victoria",89,14,16,25,3,0,0,4,151,497
59041,"Victoria/Victoria"," 29","Victoria",71,39,12,45,7,0,0,0,174,560
59041,"Victoria/Victoria"," 30","Victoria",106,23,19,31,10,1,1,1,192,572
59041,"Victoria/Victoria"," 31","Victoria",85,12,9,22,2,0,0,0,130,366
59041,"Victoria/Victoria"," 32","Victoria",54,18,11,20,0,0,0,0,103,403
59041,"Victoria/Victoria"," 33","Victoria",83,17,30,38,5,0,2,1,176,521
59041,"Victoria/Victoria"," 34A","Victoria",80,13,18,24,11,0,2,4,152,560
59041,"Victoria/Victoria"," 34B","Mobile poll/Bureau itinérant",34,10,5,41,0,1,0,4,95,85
59041,"Victoria/Victoria"," 35","Victoria",113,14,24,39,7,1,3,0,201,596
59041,"Victoria/Victoria"," 36","Victoria",122,16,29,27,8,0,2,1,205,615
59041,"Victoria/Victoria"," 37","Victoria",113,14,20,31,7,0,1,0,186,595
59041,"Victoria/Victoria"," 38","Saanich",75,28,29,55,8,1,0,0,196,509
59041,"Victoria/Victoria"," 39","Victoria",88,23,17,25,4,1,2,0,160,533
59041,"Victoria/Victoria"," 40","Victoria",73,8,20,31,5,0,0,0,137,553
59041,"Victoria/Victoria"," 41","Saanich",84,19,35,48,9,1,0,0,196,576
59041,"Victoria/Victoria"," 42","Victoria",80,11,22,36,11,0,0,1,161,484
59041,"Victoria/Victoria"," 43","Saanich",78,18,36,34,11,0,1,0,178,579
59041,"Victoria/Victoria"," 44","Victoria",64,10,10,21,3,0,0,1,109,395
59041,"Victoria/Victoria"," 45","Saanich",87,28,25,45,1,1,0,1,188,544
59041,"Victoria/Victoria"," 46","Victoria",74,31,28,48,11,2,2,1,197,578
59041,"Victoria/Victoria"," 47","Victoria",56,39,18,43,8,0,0,0,164,569
59041,"Victoria/Victoria"," 48","Victoria",92,19,21,37,7,1,3,0,180,456
59041,"Victoria/Victoria"," 49","Victoria",90,30,16,53,3,3,1,3,199,568
59041,"Victoria/Victoria"," 50","Victoria",34,33,10,39,2,0,0,0,118,432
59041,"Victoria/Victoria"," 51","Victoria",68,32,14,78,5,1,2,0,200,588
59041,"Victoria/Victoria"," 52","Victoria",38,51,14,77,7,1,0,2,190,711
59041,"Victoria/Victoria"," 53","Saanich",310,74,60,54,11,1,1,0,511,696
59041,"Victoria/Victoria"," 54","Saanich",58,31,36,65,5,0,1,1,197,551
59041,"Victoria/Victoria"," 55","Saanich",76,43,44,77,7,0,0,0,247,559
59041,"Victoria/Victoria"," 56","Saanich",66,40,29,58,7,1,1,2,204,591
59041,"Victoria/Victoria"," 57","Saanich",34,49,23,62,5,0,0,0,173,549
59041,"Victoria/Victoria"," 58","Saanich",30,42,30,74,5,3,0,0,184,524
59041,"Victoria/Victoria"," 59","Saanich",48,56,53,69,6,0,1,1,234,574
59041,"Victoria/Victoria"," 60","Saanich",62,30,18,20,7,0,0,0,137,416
59041,"Victoria/Victoria"," 61","Oak Bay",50,30,17,53,2,1,1,0,154,547
59041,"Victoria/Victoria"," 62","Oak Bay",27,22,13,33,1,0,0,0,96,370
59041,"Victoria/Victoria"," 63","Oak Bay",38,38,14,32,1,0,0,1,124,469
59041,"Victoria/Victoria"," 64","Oak Bay",34,40,14,46,6,0,1,1,142,405
59041,"Victoria/Victoria"," 65","Oak Bay",17,70,15,54,1,0,0,0,157,551
59041,"Victoria/Victoria"," 66","Oak Bay",67,48,15,44,12,0,1,0,187,465
59041,"Victoria/Victoria"," 67","Victoria",98,15,22,26,10,0,1,0,172,537
59041,"Victoria/Victoria"," 68","Victoria",78,19,23,27,2,1,1,2,153,462
59041,"Victoria/Victoria"," 69","Victoria",99,10,31,25,10,1,0,2,178,502
59041,"Victoria/Victoria"," 70","Victoria",57,12,19,29,7,0,0,0,124,468
59041,"Victoria/Victoria"," 71","Victoria",67,10,15,27,6,2,1,0,128,376
59041,"Victoria/Victoria"," 72","Victoria",64,7,12,18,8,0,0,0,109,382
59041,"Victoria/Victoria"," 73","Victoria",83,16,22,21,4,0,0,0,146,507
59041,"Victoria/Victoria"," 74","Victoria",108,24,22,31,5,1,0,0,191,572
59041,"Victoria/Victoria"," 75","Victoria",86,6,26,23,1,1,1,1,145,570
59041,"Victoria/Victoria"," 76","Victoria",88,15,25,38,2,0,0,1,169,527
59041,"Victoria/Victoria"," 77","Victoria",103,16,23,26,8,0,1,2,179,592
59041,"Victoria/Victoria"," 78","Victoria",71,16,24,20,6,0,5,0,142,541
59041,"Victoria/Victoria"," 79","Victoria",100,12,17,20,3,0,0,2,154,539
59041,"Victoria/Victoria"," 80","Victoria",56,9,12,25,7,2,0,0,111,531
59041,"Victoria/Victoria"," 81","Victoria",69,10,18,31,9,0,2,0,139,471
59041,"Victoria/Victoria"," 82","Victoria",64,24,11,19,2,1,2,1,124,518
59041,"Victoria/Victoria"," 83","Victoria",75,12,20,25,3,1,3,1,140,547
59041,"Victoria/Victoria"," 84","Victoria",142,19,32,34,14,2,6,2,251,848
59041,"Victoria/Victoria"," 85","Victoria",84,7,32,30,3,0,3,0,159,520
59041,"Victoria/Victoria"," 86","Victoria",68,8,51,17,7,2,2,0,155,500
59041,"Victoria/Victoria"," 87","Saanich",70,21,23,37,8,0,3,0,162,545
59041,"Victoria/Victoria"," 88","Saanich",85,24,29,50,4,0,0,0,192,481
59041,"Victoria/Victoria"," 89","Victoria",55,14,23,29,2,0,1,0,124,417
59041,"Victoria/Victoria"," 90","Victoria",99,26,34,48,12,3,1,0,223,597
59041,"Victoria/Victoria"," 91","Saanich",63,15,25,18,2,0,1,0,124,404
59041,"Victoria/Victoria"," 92","Oak Bay",74,22,27,43,3,2,0,2,173,503
59041,"Victoria/Victoria"," 93","Victoria",47,20,14,33,2,2,1,0,119,506
59041,"Victoria/Victoria"," 94","Victoria",67,14,20,25,4,0,0,0,130,436
59041,"Victoria/Victoria"," 95","Victoria",44,8,13,24,4,0,0,0,93,395
59041,"Victoria/Victoria"," 96","Victoria",62,16,18,25,9,0,1,0,131,500
59041,"Victoria/Victoria"," 97","Victoria",48,13,14,29,4,0,0,0,108,389
59041,"Victoria/Victoria"," 98","Victoria",57,21,15,25,3,0,1,1,123,567
59041,"Victoria/Victoria"," 99","Victoria",44,15,13,19,10,1,1,0,103,389
59041,"Victoria/Victoria"," 100","Victoria",50,18,15,22,0,2,0,0,107,395
59041,"Victoria/Victoria"," 101","Victoria",67,29,15,31,2,0,0,0,144,612
59041,"Victoria/Victoria"," 102","Victoria",106,24,21,51,9,1,0,0,212,752
59041,"Victoria/Victoria"," 103","Victoria",75,29,21,52,5,0,1,1,184,667
59041,"Victoria/Victoria"," 104","Victoria",45,20,21,35,3,0,2,0,126,599
59041,"Victoria/Victoria"," 105","Victoria",76,23,38,53,3,0,2,0,195,658
59041,"Victoria/Victoria"," 106","Victoria",68,7,18,26,5,0,0,0,124,501
59041,"Victoria/Victoria"," 107","Victoria",68,16,17,37,9,2,1,0,150,447
59041,"Victoria/Victoria"," 108","Victoria",71,35,31,38,14,0,0,0,189,727
59041,"Victoria/Victoria"," 109","Victoria",47,8,9,28,2,1,1,1,97,433
59041,"Victoria/Victoria"," 110","Victoria",68,17,18,28,7,0,0,0,138,502
59041,"Victoria/Victoria"," 111","Victoria",68,16,16,22,4,0,0,2,128,531
59041,"Victoria/Victoria"," 112","Victoria",52,11,5,18,5,1,2,0,94,399
59041,"Victoria/Victoria"," 113","Victoria",78,8,21,26,13,2,1,0,149,575
59041,"Victoria/Victoria"," 114","Victoria",56,8,12,30,6,2,0,0,114,487
59041,"Victoria/Victoria"," 115","Victoria",49,11,12,29,9,0,0,0,110,484
59041,"Victoria/Victoria"," 116","Victoria",129,58,22,51,9,1,1,1,272,978
59041,"Victoria/Victoria"," 117","Victoria",101,25,23,33,18,1,3,1,205,750
59041,"Victoria/Victoria"," 118","Victoria",94,9,18,36,4,0,2,1,164,516
59041,"Victoria/Victoria"," 119","Victoria",108,10,24,38,9,0,2,1,192,628
59041,"Victoria/Victoria"," 120","Victoria",68,15,27,24,7,2,0,1,144,521
59041,"Victoria/Victoria"," 121","Victoria",76,16,35,22,1,3,0,1,154,557
59041,"Victoria/Victoria"," 122","Victoria",95,13,13,30,5,1,0,0,157,533
59041,"Victoria/Victoria"," 123","Victoria",86,13,27,22,7,0,2,0,157,514
59041,"Victoria/Victoria"," 124","Victoria",68,14,12,30,7,1,0,2,134,566
59041,"Victoria/Victoria"," 125","Victoria",80,10,15,25,8,1,0,0,139,511
59041,"Victoria/Victoria"," 126","Victoria",72,9,13,31,9,0,0,0,134,511
59041,"Victoria/Victoria"," 127","Victoria",61,17,16,43,5,1,2,0,145,593
59041,"Victoria/Victoria"," 128","Victoria",89,18,15,39,6,1,0,0,168,607
59041,"Victoria/Victoria"," 129","Victoria",60,13,10,34,4,1,0,0,122,412
59041,"Victoria/Victoria"," 130","Victoria",65,9,19,22,4,1,0,0,120,441
59041,"Victoria/Victoria"," 131","Victoria",98,17,32,34,11,0,2,0,194,556
59041,"Victoria/Victoria"," 132","Victoria",83,20,17,42,5,2,1,2,172,507
59041,"Victoria/Victoria"," 133","Victoria",44,7,11,40,6,3,0,0,111,434
59041,"Victoria/Victoria"," 134","Victoria",50,14,22,37,1,1,1,0,126,487
59041,"Victoria/Victoria"," 135","Victoria",39,6,3,41,1,1,0,1,92,392
59041,"Victoria/Victoria"," 136","Victoria",42,11,21,30,10,1,0,0,115,469
59041,"Victoria/Victoria"," 137","Victoria",93,22,20,37,7,0,0,0,179,592
59041,"Victoria/Victoria"," 138","Victoria",59,21,19,26,3,4,0,0,132,479
59041,"Victoria/Victoria"," 139","Victoria",69,28,20,40,5,0,2,1,165,549
59041,"Victoria/Victoria"," 140","Victoria",69,14,21,34,10,0,2,0,150,566
59041,"Victoria/Victoria"," 141","Victoria",63,24,18,55,3,3,2,0,168,605
59041,"Victoria/Victoria"," 142","Victoria",76,28,35,39,1,2,1,0,182,522
59041,"Victoria/Victoria"," 143","Victoria",35,22,12,38,4,0,1,0,112,384
59041,"Victoria/Victoria"," 144","Victoria",79,16,16,34,1,1,0,0,147,475
59041,"Victoria/Victoria"," 145","Victoria",56,19,17,58,5,0,0,0,155,462
59041,"Victoria/Victoria"," 146","Victoria",84,17,17,26,9,1,2,0,156,532
59041,"Victoria/Victoria"," 147","Victoria",76,15,14,27,4,1,0,0,137,549
59041,"Victoria/Victoria"," 148","Victoria",44,8,10,24,6,1,0,0,93,455
59041,"Victoria/Victoria"," 149","Victoria",94,19,17,26,6,0,0,1,163,550
59041,"Victoria/Victoria"," 150","Victoria",64,15,29,16,7,0,3,0,134,486
59041,"Victoria/Victoria"," 151","Victoria",50,21,13,37,4,0,0,2,127,511
59041,"Victoria/Victoria"," 152","Victoria",64,15,15,23,2,0,0,0,119,481
59041,"Victoria/Victoria"," 153","Victoria",84,17,18,36,5,0,3,0,163,593
59041,"Victoria/Victoria"," 154","Victoria",62,20,23,42,7,0,0,0,154,564
59041,"Victoria/Victoria"," 155","Victoria",56,12,18,16,5,0,0,0,107,408
59041,"Victoria/Victoria"," 156","Victoria",41,11,6,20,2,2,1,0,83,366
59041,"Victoria/Victoria"," 157","Victoria",56,11,21,36,6,0,1,0,131,411
59041,"Victoria/Victoria"," 158","Victoria",53,11,23,42,0,2,0,0,131,533
59041,"Victoria/Victoria"," 159","Victoria",70,9,23,30,5,0,0,0,137,482
59041,"Victoria/Victoria"," 160","Victoria",62,17,21,42,2,3,0,0,147,487
59041,"Victoria/Victoria"," 161","Victoria",73,18,33,35,1,1,1,0,162,584
59041,"Victoria/Victoria"," 162","Victoria",75,17,36,36,9,1,0,0,174,532
59041,"Victoria/Victoria"," 163","Oak Bay",71,30,17,49,6,0,0,1,174,551
59041,"Victoria/Victoria"," 164","Oak Bay",42,25,13,47,2,3,1,1,134,475
59041,"Victoria/Victoria"," 165","Oak Bay",52,26,20,53,4,0,2,1,158,477
59041,"Victoria/Victoria"," 166","Oak Bay",21,28,9,55,3,0,0,0,116,469
59041,"Victoria/Victoria"," 167","Oak Bay",43,36,9,35,1,2,1,0,127,425
59041,"Victoria/Victoria"," 168","Oak Bay",31,14,8,41,1,0,1,0,96,417
59041,"Victoria/Victoria"," 169","Victoria",68,20,28,44,6,0,2,0,168,508
59041,"Victoria/Victoria"," 170","Victoria",28,27,12,41,5,0,0,0,113,447
59041,"Victoria/Victoria"," 171","Victoria",58,24,15,54,0,0,6,0,157,474
59041,"Victoria/Victoria"," 172","Victoria",37,21,11,32,5,0,0,0,106,416
59041,"Victoria/Victoria"," 173","Victoria",66,14,19,28,5,1,0,0,133,437
59041,"Victoria/Victoria"," 174","Oak Bay",52,51,14,41,7,0,0,0,165,488
59041,"Victoria/Victoria"," 175","Oak Bay",48,27,22,38,15,1,0,0,151,481
59041,"Victoria/Victoria"," 176","Oak Bay",55,14,13,41,4,0,0,0,127,390
59041,"Victoria/Victoria"," 177","Oak Bay",62,32,14,67,2,1,0,1,179,548
59041,"Victoria/Victoria"," 178","Oak Bay",46,42,19,56,2,2,0,0,167,518
59041,"Victoria/Victoria"," 179","Oak Bay",47,23,21,46,1,1,2,0,141,408
59041,"Victoria/Victoria"," 180","Oak Bay",38,36,16,36,4,1,1,1,133,477
59041,"Victoria/Victoria"," 181","Oak Bay",21,13,15,42,5,0,0,1,97,409
59041,"Victoria/Victoria"," 182","Oak Bay",24,41,9,61,4,0,0,0,139,491
59041,"Victoria/Victoria"," 183","Oak Bay",50,23,34,47,2,1,1,0,158,498
59041,"Victoria/Victoria"," 184","Victoria",70,18,28,30,3,1,1,0,151,489
59041,"Victoria/Victoria"," 185","Oak Bay",73,22,19,36,1,0,1,0,152,500
59041,"Victoria/Victoria"," 186","Oak Bay",39,10,14,31,7,1,0,0,102,362
59041,"Victoria/Victoria"," 187","Oak Bay",54,25,14,62,5,0,1,0,161,558
59041,"Victoria/Victoria"," 188","Oak Bay",68,35,19,49,4,0,0,1,176,554
59041,"Victoria/Victoria"," 189","Oak Bay",50,20,13,42,5,2,1,1,134,486
59041,"Victoria/Victoria"," 190","Oak Bay",52,17,14,51,3,2,0,0,139,533
59041,"Victoria/Victoria"," 191","Oak Bay",46,37,21,39,7,0,1,0,151,535
59041,"Victoria/Victoria"," 400","Victoria",14,12,4,27,3,0,0,0,60,203
59041,"Victoria/Victoria"," 500"," Saanich",Merged with No./Fusionné avec le n°11,,,,,,,,,11
59041,"Victoria/Victoria"," 501","Mobile poll/Bureau itinérant",6,10,7,16,2,1,1,3,46,60
59041,"Victoria/Victoria"," 502","Mobile poll/Bureau itinérant",29,14,9,38,3,0,0,4,97,148
59041,"Victoria/Victoria"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,,32
59041,"Victoria/Victoria"," 504","Mobile poll/Bureau itinérant",18,20,6,31,1,1,0,1,78,101
59041,"Victoria/Victoria"," 505","Mobile poll/Bureau itinérant",24,12,12,26,1,0,1,2,78,59
59041,"Victoria/Victoria"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°21,,,,,,,,,47
59041,"Victoria/Victoria"," 507","Mobile poll/Bureau itinérant",18,7,7,17,0,0,0,1,50,66
59041,"Victoria/Victoria"," 508","Mobile poll/Bureau itinérant",16,3,2,12,1,0,0,1,35,49
59041,"Victoria/Victoria"," 509","Mobile poll/Bureau itinérant",11,9,8,26,0,0,0,1,55,76
59041,"Victoria/Victoria"," 510","Mobile poll/Bureau itinérant",3,2,1,8,0,0,0,0,14,23
59041,"Victoria/Victoria"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°26,,,,,,,,,5
59041,"Victoria/Victoria"," 512","Mobile poll/Bureau itinérant",6,5,3,5,1,0,0,0,20,35
59041,"Victoria/Victoria"," 513","Mobile poll/Bureau itinérant",12,6,0,9,1,0,0,0,28,38
59041,"Victoria/Victoria"," 514","Victoria ",Merged with No./Fusionné avec le n°132,,,,,,,,,17
59041,"Victoria/Victoria"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°132,,,,,,,,,63
59041,"Victoria/Victoria"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°131,,,,,,,,,55
59041,"Victoria/Victoria"," 517","Mobile poll/Bureau itinérant",14,2,4,6,2,1,0,1,30,54
59041,"Victoria/Victoria"," 518","Mobile poll/Bureau itinérant",14,8,5,25,1,0,0,1,54,77
59041,"Victoria/Victoria"," 519","Mobile poll/Bureau itinérant",29,15,8,24,2,1,1,8,88,125
59041,"Victoria/Victoria"," 520","Mobile poll/Bureau itinérant",A poll could not be held due to pandemic or emergency situation./Le scrutin n'a pas pu avoir lieu en raison de la pandémie ou d'une situation d'urgence.,,,,,,,,,31
59041,"Victoria/Victoria"," 521","Mobile poll/Bureau itinérant",21,14,8,41,1,0,1,2,88,128
59041,"Victoria/Victoria"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°135,,,,,,,,,7
59041,"Victoria/Victoria"," 523","Mobile poll/Bureau itinérant",19,12,5,13,1,0,1,2,53,35
59041,"Victoria/Victoria"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°523,,,,,,,,,34
59041,"Victoria/Victoria"," 525","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°523,,,,,,,,,1
59041,"Victoria/Victoria"," 526","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°523,,,,,,,,,1
59041,"Victoria/Victoria"," 527","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°523,,,,,,,,,1
59041,"Victoria/Victoria"," 528","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°151,,,,,,,,,7
59041,"Victoria/Victoria"," 529","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°151,,,,,,,,,2
59041,"Victoria/Victoria"," 530","Mobile poll/Bureau itinérant",9,4,2,16,1,0,0,1,33,54
59041,"Victoria/Victoria"," 531","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°129,,,,,,,,,4
59041,"Victoria/Victoria"," 532","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°130,,,,,,,,,16
59041,"Victoria/Victoria"," 533","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°124,,,,,,,,,33
59041,"Victoria/Victoria"," 534","Mobile poll/Bureau itinérant",15,4,9,18,0,1,1,1,49,71
59041,"Victoria/Victoria"," 535","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°174,,,,,,,,,6
59041,"Victoria/Victoria"," 536","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°170,,,,,,,,,22
59041,"Victoria/Victoria"," 537","Mobile poll/Bureau itinérant",16,21,6,28,3,0,1,0,75,103
59041,"Victoria/Victoria"," 538","Mobile poll/Bureau itinérant",28,10,11,35,4,0,0,0,88,50
59041,"Victoria/Victoria"," 539","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°538,,,,,,,,,40
59041,"Victoria/Victoria"," 540","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°538,,,,,,,,,48
59041,"Victoria/Victoria"," 541","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°538,,,,,,,,,28
59041,"Victoria/Victoria"," 542","Oak Bay",Merged with No./Fusionné avec le n°189,,,,,,,,,33
59041,"Victoria/Victoria"," 543","Oak Bay ",Merged with No./Fusionné avec le n°190,,,,,,,,,42
59041,"Victoria/Victoria"," 544","Mobile poll/Bureau itinérant",13,16,2,29,0,1,0,2,63,83
59041,"Victoria/Victoria"," 600","Victoria",419,159,97,258,36,4,4,3,980,
59041,"Victoria/Victoria"," 601","Victoria",618,177,148,404,33,5,4,1,1390,
59041,"Victoria/Victoria"," 602","Victoria",789,124,157,332,50,6,8,9,1475,
59041,"Victoria/Victoria"," 603","Victoria",648,124,111,279,60,6,8,2,1238,
59041,"Victoria/Victoria"," 604","Victoria",422,113,80,257,56,4,3,4,939,
59041,"Victoria/Victoria"," 605","Victoria",520,94,92,227,34,3,7,8,985,
59041,"Victoria/Victoria"," 606","Victoria",322,166,82,272,40,4,2,0,888,
59041,"Victoria/Victoria"," 607","Victoria",517,179,98,294,47,5,5,4,1149,
59041,"Victoria/Victoria"," 608","Victoria",794,131,182,254,53,3,14,5,1436,
59041,"Victoria/Victoria"," 609","Victoria",818,186,176,348,58,7,10,1,1604,
59041,"Victoria/Victoria"," 610","Oak Bay",623,279,176,562,41,0,2,6,1689,
59041,"Victoria/Victoria"," 611","Oak Bay",575,377,148,688,29,9,2,2,1830,
59041,"Victoria/Victoria"," 612","Victoria",663,253,175,613,42,4,2,8,1760,
59041,"Victoria/Victoria"," 613","Victoria",857,220,173,512,57,7,4,2,1832,
59041,"Victoria/Victoria"," 614","Victoria",756,176,168,495,69,6,12,10,1692,
59041,"Victoria/Victoria"," 615","Victoria",536,161,121,348,43,8,2,2,1221,
59041,"Victoria/Victoria"," 616","Victoria",710,238,149,503,67,6,5,5,1683,
59041,"Victoria/Victoria"," 617","Oak Bay",403,484,193,658,32,9,1,5,1785,
59041,"Victoria/Victoria",,Group 1/Groupe 1, 641,215,150,306,44,3,3,62,1424,567
59041,"Victoria/Victoria",,Group 2/Groupe 2, 4074,1071,846,3208,95,29,31,211,9565,
