Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tylor Baer,Linda Branconnier,Whitney Hodgins,Larry Maguire,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46001,"Brandon--Souris/Brandon--Souris"," 26","Brandon",5,26,40,52,0,123,355
46001,"Brandon--Souris/Brandon--Souris"," 27","Brandon",5,21,39,83,0,148,341
46001,"Brandon--Souris/Brandon--Souris"," 28","Brandon",14,31,48,98,1,192,492
46001,"Brandon--Souris/Brandon--Souris"," 29","Brandon",10,32,48,74,1,165,451
46001,"Brandon--Souris/Brandon--Souris"," 30","Brandon",8,24,41,78,1,152,375
46001,"Brandon--Souris/Brandon--Souris"," 31","Brandon",16,21,41,58,0,136,396
46001,"Brandon--Souris/Brandon--Souris"," 32","Brandon",9,26,71,75,0,181,434
46001,"Brandon--Souris/Brandon--Souris"," 33","Brandon",10,34,56,109,0,209,480
46001,"Brandon--Souris/Brandon--Souris"," 34","Brandon",13,24,66,75,1,179,468
46001,"Brandon--Souris/Brandon--Souris"," 35","Brandon",16,13,39,52,2,122,426
46001,"Brandon--Souris/Brandon--Souris"," 36","Brandon",16,26,72,55,1,170,513
46001,"Brandon--Souris/Brandon--Souris"," 37","Brandon",9,26,71,81,1,188,585
46001,"Brandon--Souris/Brandon--Souris"," 38","Brandon",10,36,69,71,2,188,458
46001,"Brandon--Souris/Brandon--Souris"," 39","Brandon",11,11,51,34,0,107,398
46001,"Brandon--Souris/Brandon--Souris"," 40","Brandon",11,13,45,23,1,93,345
46001,"Brandon--Souris/Brandon--Souris"," 41","Brandon",7,21,25,32,1,86,458
46001,"Brandon--Souris/Brandon--Souris"," 42","Brandon",8,19,45,33,0,105,345
46001,"Brandon--Souris/Brandon--Souris"," 43","Brandon",4,21,36,22,2,85,308
46001,"Brandon--Souris/Brandon--Souris"," 44","Brandon",20,22,43,57,0,142,376
46001,"Brandon--Souris/Brandon--Souris"," 45","Brandon",12,32,54,47,0,145,403
46001,"Brandon--Souris/Brandon--Souris"," 46","Brandon",12,18,50,20,2,102,473
46001,"Brandon--Souris/Brandon--Souris"," 47","Brandon",3,19,49,41,1,113,471
46001,"Brandon--Souris/Brandon--Souris"," 48","Brandon",9,14,44,31,1,99,381
46001,"Brandon--Souris/Brandon--Souris"," 49","Brandon",8,29,48,101,1,187,470
46001,"Brandon--Souris/Brandon--Souris"," 50","Brandon",9,37,56,84,1,187,439
46001,"Brandon--Souris/Brandon--Souris"," 51","Brandon",6,42,46,125,1,220,456
46001,"Brandon--Souris/Brandon--Souris"," 52","Brandon",18,34,78,65,0,195,542
46001,"Brandon--Souris/Brandon--Souris"," 53","Brandon",12,36,62,77,1,188,554
46001,"Brandon--Souris/Brandon--Souris"," 54","Brandon",2,11,42,26,0,81,295
46001,"Brandon--Souris/Brandon--Souris"," 55","Brandon",22,23,71,46,0,162,507
46001,"Brandon--Souris/Brandon--Souris"," 56","Brandon",11,33,65,99,0,208,521
46001,"Brandon--Souris/Brandon--Souris"," 57","Brandon",9,26,50,76,1,162,550
46001,"Brandon--Souris/Brandon--Souris"," 58","Brandon",13,22,58,78,1,172,528
46001,"Brandon--Souris/Brandon--Souris"," 59","Brandon",14,23,69,82,0,188,545
46001,"Brandon--Souris/Brandon--Souris"," 60","Brandon",13,19,66,72,0,170,481
46001,"Brandon--Souris/Brandon--Souris"," 61","Brandon",12,20,53,75,1,161,480
46001,"Brandon--Souris/Brandon--Souris"," 62","Cromer",7,6,2,81,0,96,306
46001,"Brandon--Souris/Brandon--Souris"," 63","Brandon",9,31,59,82,0,181,456
46001,"Brandon--Souris/Brandon--Souris"," 64","Brandon",10,28,44,119,0,201,509
46001,"Brandon--Souris/Brandon--Souris"," 65","Brandon",9,24,52,154,0,239,593
46001,"Brandon--Souris/Brandon--Souris"," 66","Brandon",11,30,51,92,2,186,536
46001,"Brandon--Souris/Brandon--Souris"," 67","Brandon",13,19,55,127,0,214,551
46001,"Brandon--Souris/Brandon--Souris"," 68","Brandon",8,27,64,60,0,159,600
46001,"Brandon--Souris/Brandon--Souris"," 69","Brandon",17,42,68,73,1,201,572
46001,"Brandon--Souris/Brandon--Souris"," 70","Brandon",19,39,51,97,0,206,579
46001,"Brandon--Souris/Brandon--Souris"," 71","Brandon",7,33,53,111,0,204,509
46001,"Brandon--Souris/Brandon--Souris"," 72","Brandon",9,23,55,121,0,208,583
46001,"Brandon--Souris/Brandon--Souris"," 73","Brandon",10,25,60,104,0,199,471
46001,"Brandon--Souris/Brandon--Souris"," 74","Brandon",10,19,43,67,1,140,382
46001,"Brandon--Souris/Brandon--Souris"," 75","Brandon",9,42,68,166,1,286,711
46001,"Brandon--Souris/Brandon--Souris"," 76","Alexander",18,25,57,155,1,256,375
46001,"Brandon--Souris/Brandon--Souris"," 77","Beresford",15,10,12,90,0,127,226
46001,"Brandon--Souris/Brandon--Souris"," 78","Sprucewoods",40,37,66,181,3,327,562
46001,"Brandon--Souris/Brandon--Souris"," 79","Shilo",36,20,52,132,0,240,602
46001,"Brandon--Souris/Brandon--Souris"," 80","Cornwallis",29,30,40,182,1,282,543
46001,"Brandon--Souris/Brandon--Souris"," 81","Brandon",2,22,31,81,2,138,354
46001,"Brandon--Souris/Brandon--Souris"," 82","Brandon",16,23,47,73,0,159,482
46001,"Brandon--Souris/Brandon--Souris"," 83","Brandon",14,40,42,198,0,294,705
46001,"Brandon--Souris/Brandon--Souris"," 84","Brandon",11,28,47,113,1,200,513
46001,"Brandon--Souris/Brandon--Souris"," 85","Brandon",6,37,38,85,1,167,558
46001,"Brandon--Souris/Brandon--Souris"," 86","Brandon",7,10,29,53,0,99,210
46001,"Brandon--Souris/Brandon--Souris"," 87","Brandon",14,30,45,95,1,185,674
46001,"Brandon--Souris/Brandon--Souris"," 88","Cornwallis",15,17,15,74,0,121,260
46001,"Brandon--Souris/Brandon--Souris"," 89","Brandon Hills",18,20,32,131,1,202,353
46001,"Brandon--Souris/Brandon--Souris"," 90","Oak Lake",33,16,27,108,0,184,267
46001,"Brandon--Souris/Brandon--Souris"," 91","Griswold",14,9,19,105,0,147,309
