Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Todd Doherty,Garth Frizzell,Jeremy Gustafson,Leigh Hunsinger-Chang,Audrey McKinnon,Henry Thiessen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 106","Blackwater",97,26,14,7,31,1,0,176,391
59004,"Cariboo--Prince George/Cariboo--Prince George"," 107","Quesnel",106,15,12,7,20,1,0,161,409
59004,"Cariboo--Prince George/Cariboo--Prince George"," 108","Quesnel",87,21,22,9,27,0,1,167,425
59004,"Cariboo--Prince George/Cariboo--Prince George"," 109","Quesnel",113,22,19,5,43,2,1,205,474
59004,"Cariboo--Prince George/Cariboo--Prince George"," 110","Baker Creek",65,15,33,8,29,1,0,151,351
59004,"Cariboo--Prince George/Cariboo--Prince George"," 111","Quesnel",46,21,6,7,24,3,0,107,359
59004,"Cariboo--Prince George/Cariboo--Prince George"," 112","Quesnel",74,24,17,6,48,1,0,170,543
59004,"Cariboo--Prince George/Cariboo--Prince George"," 113","Quesnel",75,25,4,1,34,0,0,139,497
59004,"Cariboo--Prince George/Cariboo--Prince George"," 114","Quesnel",64,36,7,3,42,0,0,152,458
59004,"Cariboo--Prince George/Cariboo--Prince George"," 115","Quesnel",71,24,10,6,26,0,0,137,419
59004,"Cariboo--Prince George/Cariboo--Prince George"," 116","Quesnel",101,38,17,7,41,1,2,207,515
59004,"Cariboo--Prince George/Cariboo--Prince George"," 117","Red Bluff",89,31,8,5,43,1,0,177,461
59004,"Cariboo--Prince George/Cariboo--Prince George"," 118","Red Bluff",77,17,12,2,36,0,0,144,421
59004,"Cariboo--Prince George/Cariboo--Prince George"," 119","Quesnel 1",83,14,13,5,47,0,0,162,417
59004,"Cariboo--Prince George/Cariboo--Prince George"," 120","Rich Bar",50,9,9,2,5,0,1,76,267
59004,"Cariboo--Prince George/Cariboo--Prince George"," 121","Rich Bar",56,17,16,7,20,0,0,116,324
59004,"Cariboo--Prince George/Cariboo--Prince George"," 122","Rich Bar",49,13,8,1,14,0,0,85,315
59004,"Cariboo--Prince George/Cariboo--Prince George"," 123","Quesnel",50,21,8,3,27,1,0,110,434
59004,"Cariboo--Prince George/Cariboo--Prince George"," 124","Quesnel",66,20,13,3,50,1,0,153,526
59004,"Cariboo--Prince George/Cariboo--Prince George"," 125","Quesnel",73,25,11,9,42,0,0,160,505
59004,"Cariboo--Prince George/Cariboo--Prince George"," 126","Quesnel",65,29,11,7,45,0,0,157,512
59004,"Cariboo--Prince George/Cariboo--Prince George"," 127","Quesnel",49,21,10,3,31,0,0,114,426
59004,"Cariboo--Prince George/Cariboo--Prince George"," 128","Quesnel",48,23,5,7,35,0,0,118,486
59004,"Cariboo--Prince George/Cariboo--Prince George"," 129","Quesnel",59,17,12,4,29,0,0,121,448
59004,"Cariboo--Prince George/Cariboo--Prince George"," 130","Quesnel",38,19,5,3,32,1,0,98,351
59004,"Cariboo--Prince George/Cariboo--Prince George"," 131","Quesnel View",101,27,17,10,29,3,1,188,475
59004,"Cariboo--Prince George/Cariboo--Prince George"," 132","Quesnel View",97,18,12,4,36,1,1,169,516
59004,"Cariboo--Prince George/Cariboo--Prince George"," 133","Moose Heights",89,24,15,4,43,3,0,178,486
59004,"Cariboo--Prince George/Cariboo--Prince George"," 134","Ten Mile Lake",84,16,16,3,26,0,0,145,399
59004,"Cariboo--Prince George/Cariboo--Prince George"," 135","Barlow Creek",89,15,13,9,23,0,0,149,348
59004,"Cariboo--Prince George/Cariboo--Prince George"," 136","Barlow Creek",73,17,21,7,20,0,0,138,343
59004,"Cariboo--Prince George/Cariboo--Prince George"," 137","Barlow",98,24,21,5,21,0,0,169,325
59004,"Cariboo--Prince George/Cariboo--Prince George"," 138","Wells",42,26,12,12,54,0,1,147,241
59004,"Cariboo--Prince George/Cariboo--Prince George"," 139","Chilanko Forks",28,19,3,2,12,0,2,66,190
59004,"Cariboo--Prince George/Cariboo--Prince George"," 140","Narcosli Creek",27,3,7,0,3,0,0,40,115
59004,"Cariboo--Prince George/Cariboo--Prince George"," 141","Quesnel",70,15,9,2,21,1,0,118,371
59004,"Cariboo--Prince George/Cariboo--Prince George"," 142","Quesnel",97,37,8,3,33,0,0,178,428
59004,"Cariboo--Prince George/Cariboo--Prince George"," 143","Quesnel",72,37,8,2,47,0,0,166,443
59004,"Cariboo--Prince George/Cariboo--Prince George"," 144","Lust Subdivision",113,21,3,3,25,0,0,165,458
59004,"Cariboo--Prince George/Cariboo--Prince George"," 145","Lust Subdivision",98,42,11,2,33,0,0,186,562
59004,"Cariboo--Prince George/Cariboo--Prince George"," 146","Cariboo A",107,33,7,3,32,0,0,182,427
59004,"Cariboo--Prince George/Cariboo--Prince George"," 147","Gravelle Ferry",119,28,9,2,31,0,0,189,511
59004,"Cariboo--Prince George/Cariboo--Prince George"," 148","Kersley",153,16,17,7,46,0,0,239,527
59004,"Cariboo--Prince George/Cariboo--Prince George"," 149","Alexandria",102,25,28,4,31,0,0,190,422
59004,"Cariboo--Prince George/Cariboo--Prince George"," 150","Alexis Creek",28,41,7,4,32,0,2,114,369
59004,"Cariboo--Prince George/Cariboo--Prince George"," 151","Tatla Lake",71,14,11,11,3,2,0,112,193
59004,"Cariboo--Prince George/Cariboo--Prince George"," 152","McLeese Lake",126,21,15,4,22,1,1,190,346
59004,"Cariboo--Prince George/Cariboo--Prince George"," 153","Big Lake Ranch",174,35,15,8,39,0,1,272,515
59004,"Cariboo--Prince George/Cariboo--Prince George"," 154","Likely",109,20,13,1,30,4,1,178,310
59004,"Cariboo--Prince George/Cariboo--Prince George"," 155","Williams Lake",34,12,11,6,9,0,0,72,221
59004,"Cariboo--Prince George/Cariboo--Prince George"," 156","Williams Lake",109,7,9,6,26,2,0,159,455
59004,"Cariboo--Prince George/Cariboo--Prince George"," 157","Williams Lake",54,22,13,3,22,0,1,115,455
59004,"Cariboo--Prince George/Cariboo--Prince George"," 158","Williams Lake",44,16,14,4,20,1,0,99,335
59004,"Cariboo--Prince George/Cariboo--Prince George"," 159","Williams Lake",36,19,5,3,19,0,1,83,398
59004,"Cariboo--Prince George/Cariboo--Prince George"," 160","Williams Lake",72,21,8,11,28,3,0,143,460
59004,"Cariboo--Prince George/Cariboo--Prince George"," 161","Williams Lake",99,31,13,7,26,0,0,176,481
59004,"Cariboo--Prince George/Cariboo--Prince George"," 162","Soda Creek 1--Deep Creek 2",117,22,13,4,45,2,0,203,460
59004,"Cariboo--Prince George/Cariboo--Prince George"," 163","Williams Lake",123,20,22,2,32,2,0,201,494
59004,"Cariboo--Prince George/Cariboo--Prince George"," 164","Williams Lake",75,16,15,7,23,2,0,138,424
59004,"Cariboo--Prince George/Cariboo--Prince George"," 165","Williams Lake",46,20,4,5,22,0,0,97,390
59004,"Cariboo--Prince George/Cariboo--Prince George"," 166","Williams Lake",66,24,27,5,31,0,0,153,620
59004,"Cariboo--Prince George/Cariboo--Prince George"," 167","Williams Lake",76,28,10,9,28,0,0,151,498
59004,"Cariboo--Prince George/Cariboo--Prince George"," 168","Williams Lake",66,33,7,5,34,1,0,146,430
59004,"Cariboo--Prince George/Cariboo--Prince George"," 169","Williams Lake",47,23,8,3,32,0,1,114,369
59004,"Cariboo--Prince George/Cariboo--Prince George"," 170","Williams Lake",54,18,15,2,24,0,0,113,475
59004,"Cariboo--Prince George/Cariboo--Prince George"," 171","Hanceville",17,14,6,6,20,0,0,63,220
59004,"Cariboo--Prince George/Cariboo--Prince George"," 172","Riske Creek",40,12,6,4,8,1,0,71,191
59004,"Cariboo--Prince George/Cariboo--Prince George"," 173","Williams Lake",67,12,9,7,37,0,1,133,436
59004,"Cariboo--Prince George/Cariboo--Prince George"," 174","Williams Lake",66,22,11,3,27,2,0,131,401
59004,"Cariboo--Prince George/Cariboo--Prince George"," 175","Williams Lake",70,21,10,5,23,1,1,131,424
59004,"Cariboo--Prince George/Cariboo--Prince George"," 176","Williams Lake",46,10,8,5,28,0,0,97,417
59004,"Cariboo--Prince George/Cariboo--Prince George"," 177","Williams Lake",18,10,7,3,24,0,0,62,444
59004,"Cariboo--Prince George/Cariboo--Prince George"," 178","Miocene",114,41,19,8,45,1,1,229,428
59004,"Cariboo--Prince George/Cariboo--Prince George"," 179","Williams Lake",109,23,13,6,24,0,0,175,538
59004,"Cariboo--Prince George/Cariboo--Prince George"," 180","Williams Lake",76,21,3,6,19,2,0,127,422
59004,"Cariboo--Prince George/Cariboo--Prince George"," 181","Williams Lake",95,21,13,4,29,1,0,163,470
59004,"Cariboo--Prince George/Cariboo--Prince George"," 182","Williams Lake",99,9,11,4,25,0,0,148,464
59004,"Cariboo--Prince George/Cariboo--Prince George"," 183","Williams Lake",81,16,10,6,19,1,1,134,498
59004,"Cariboo--Prince George/Cariboo--Prince George"," 184","Williams Lake--Esler",115,13,11,4,15,1,0,159,458
59004,"Cariboo--Prince George/Cariboo--Prince George"," 185","Horsefly",101,26,15,12,25,0,4,183,307
59004,"Cariboo--Prince George/Cariboo--Prince George"," 186","Black Creek",100,23,7,12,23,0,1,166,264
59004,"Cariboo--Prince George/Cariboo--Prince George"," 187","Dog Creek",51,19,4,5,28,2,0,109,355
59004,"Cariboo--Prince George/Cariboo--Prince George"," 188","Williams Lake",89,19,14,2,33,0,0,157,524
59004,"Cariboo--Prince George/Cariboo--Prince George"," 189","Dog Creek",93,5,7,6,28,1,1,141,425
59004,"Cariboo--Prince George/Cariboo--Prince George"," 190","Williams Lake",86,9,8,5,22,1,0,131,408
59004,"Cariboo--Prince George/Cariboo--Prince George"," 191","Springhouse",79,24,6,8,19,2,1,139,410
