Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Javin Ames-Sinclair,Greg Douglas,Hannah Ann Duerr,Robert Kitchen,Diane Neufeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 31","Lang",13,3,13,112,14,0,155,225
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 32","Kipling",3,5,10,134,19,1,172,282
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 33","Kipling",9,5,29,191,18,5,257,378
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 34","Kipling",20,2,24,163,14,2,225,342
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 35","Windthorst",9,5,11,158,34,0,217,324
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 36","Moosomin",6,11,13,124,17,1,172,408
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 37","Moosomin",7,0,10,143,4,3,167,465
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 38","Moosomin",4,2,8,102,8,2,126,330
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 39","Moosomin",2,1,7,141,9,0,160,325
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 40","Moosomin",7,0,10,126,11,0,154,406
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 41","Moosomin",7,1,18,118,8,0,152,367
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 42","Cedoux",7,5,6,95,8,0,121,227
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 43","Kayville",3,5,7,37,8,0,60,103
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 44","Langbank",3,2,8,109,10,0,132,225
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 45","Fillmore",12,4,27,196,23,1,263,377
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 46","Kennedy",11,6,11,125,13,3,169,254
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 47","Yellow Grass",7,7,13,222,34,0,283,432
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 48","Fleming",1,5,9,54,13,1,83,146
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 49","Creelman",3,3,6,89,8,2,111,162
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 50","Corning",0,1,2,76,22,0,101,158
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 51","Viceroy",3,2,4,96,14,6,125,221
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 52","Pangman",10,12,15,148,27,0,212,285
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 53","Ocean Man 69",8,0,25,3,2,3,41,93
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 54","Ogema",11,6,14,184,23,1,239,401
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 55","Khedive",8,16,5,116,18,0,163,231
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 56","Kenosee Park",13,4,20,222,15,4,278,418
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 57","Weyburn",6,2,6,75,11,0,100,311
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 58","Weyburn",7,7,24,90,18,2,148,442
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 59","Weyburn",1,2,12,130,5,0,150,428
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 60","Weyburn",10,1,15,93,9,1,129,396
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 61","Weyburn",4,2,10,108,10,0,134,399
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 62","Weyburn",10,6,11,100,9,0,136,367
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 63","Weyburn",4,2,6,144,16,1,173,439
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 64","Pheasant Rump Nakota 68",1,0,12,0,0,0,13,9
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 65","Weyburn",3,6,15,131,13,1,169,392
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 66","Weyburn",4,0,19,97,18,15,153,375
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 67","Weyburn",5,0,19,135,13,2,174,400
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 68","Weyburn",2,4,11,98,9,0,124,355
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 69","Weyburn",9,7,23,116,14,1,170,404
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 70","Weyburn",10,3,14,129,12,0,168,409
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 71","McTaggart",2,17,8,139,19,1,186,411
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 72","Weyburn",4,4,13,83,25,0,129,432
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 73","Weyburn",8,3,15,86,21,2,135,377
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 74","Weyburn",5,2,17,49,9,0,82,349
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 75","Weyburn",4,3,16,91,7,0,121,392
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 76","Weyburn",17,7,18,89,25,0,156,451
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 77","Weyburn",4,5,15,130,16,0,170,454
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 78","North Weyburn",2,7,9,146,16,1,181,433
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 79","Fairlight",1,3,0,96,7,0,107,241
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 80","Wawota",4,0,7,114,7,2,134,274
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 81","Wawota",3,1,6,142,13,1,166,345
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 82","Griffin",3,16,14,127,34,0,194,299
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 83","Maryfield",12,13,17,182,20,1,245,372
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 84","White Bear 70",34,2,55,38,6,2,137,290
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 85","Stoughton",9,9,25,169,23,0,235,360
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 86","Heward",10,7,26,206,23,0,272,379
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 87","Kisbey",7,7,5,112,24,0,155,316
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 88","Ceylon",3,6,9,141,14,0,173,234
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 89","Bengough",6,4,10,117,7,0,144,451
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 90","Arcola",10,3,8,144,13,1,179,293
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 91","Arcola",7,8,5,130,22,0,172,272
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 92","Radville",7,1,17,139,10,0,174,484
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 93","Radville",4,2,10,102,15,1,134,284
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 94","Carlyle",4,0,11,104,8,0,127,312
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 95","Carlyle",1,3,11,132,12,0,159,436
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 96","Carlyle",7,0,12,109,11,0,139,479
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 97","Carlyle",7,3,6,124,9,0,149,294
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 98","Goodwater",2,4,7,132,11,1,157,249
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 99","Coronach",0,1,7,108,11,0,127,305
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 100","Coronach",7,2,12,104,11,0,136,314
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 101","Halbrite",2,7,6,201,49,0,265,372
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 102","Midale",1,11,14,207,37,2,272,415
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 103","Manor",3,4,8,188,19,0,222,347
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 104","Wauchope",4,8,8,98,18,0,136,306
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 105","Antler",1,4,8,129,11,0,153,336
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 106","Redvers",4,7,13,129,11,2,166,418
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 107","Wauchope",4,2,2,83,6,0,97,188
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 108","Benson",4,2,5,159,18,1,189,331
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 109","Big Beaver",0,0,1,55,9,0,65,120
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 110","Lampman",7,1,7,205,14,0,234,346
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 111","Browning",3,9,6,203,36,1,258,414
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 112","Minton",4,4,3,112,8,1,132,194
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 113","Macoun",3,6,7,157,39,0,212,311
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 114","Lake Alma",1,1,4,124,30,0,160,209
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 115","Alameda",3,11,15,213,16,0,258,405
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 116","Storthoaks",0,3,2,96,15,0,116,164
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 117","Alida",0,12,4,150,26,0,192,301
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 118","Oungre",0,2,5,99,15,1,122,186
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 119","Torquay",3,3,10,198,20,4,238,370
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 120","Estevan",5,6,9,121,9,0,150,325
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 121","Estevan",3,2,14,128,6,0,153,410
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 122","Estevan",6,1,5,143,15,1,171,407
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 123","Estevan",4,2,7,110,19,0,142,340
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 124","Estevan",2,2,7,107,14,0,132,385
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 125","Estevan",2,3,5,118,6,0,134,343
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 126","Estevan",1,0,12,111,15,0,139,362
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 127","Estevan",5,4,11,145,20,1,186,507
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 128","Hitchcock",1,5,9,128,17,1,161,396
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 129","Estevan",3,1,5,92,12,1,114,369
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 130","Estevan",6,4,12,96,15,0,133,328
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 131","Estevan",2,5,8,136,17,1,169,450
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 132","Estevan",9,3,6,115,6,0,139,471
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 133","Estevan",4,2,16,69,12,0,103,329
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 134","Estevan",2,1,11,174,8,1,197,552
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 135","Estevan",5,2,5,125,4,0,141,353
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 136","Shand",2,10,11,175,22,0,220,512
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 137","Estevan",8,3,4,105,22,0,142,381
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 138","Estevan",5,1,5,85,5,0,101,297
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 139","Estevan",1,4,14,99,9,0,127,349
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 140","Estevan",2,0,12,106,11,0,131,330
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 141","Estevan",4,1,9,68,10,0,92,290
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 142","Frobisher",4,5,8,125,9,0,151,268
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 143","Bienfait",3,6,11,173,23,0,216,385
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 144","Bienfait",4,9,7,174,27,0,221,392
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 145","Oxbow",5,2,7,106,15,0,135,334
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 146","Oxbow",2,0,13,82,10,0,107,272
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 147","Oxbow",6,4,6,80,20,0,116,259
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 148","Glen Ewen",2,5,6,126,19,0,158,387
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 149","Carievale",2,0,6,149,21,2,180,314
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 150","Gainsborough",4,3,4,150,8,0,169,278
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 151","Carnduff",0,2,10,112,18,0,142,322
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 152","Carnduff",3,0,7,122,22,1,155,367
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 153","Carnduff",2,2,1,89,19,0,113,195
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 154","North Portal",7,2,8,61,19,1,98,144
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 500","Mobile poll/Bureau itinérant",4,2,0,5,0,0,11,36
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 501","Mobile poll/Bureau itinérant",1,0,0,9,0,0,10,25
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 502","Mobile poll/Bureau itinérant",1,2,1,4,3,0,11,18
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 503","Mobile poll/Bureau itinérant",2,0,2,9,1,0,14,34
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 504","Mobile poll/Bureau itinérant",5,0,5,23,0,0,33,59
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 505","Mobile poll/Bureau itinérant",2,1,1,8,0,0,12,20
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 506","Mobile poll/Bureau itinérant",2,1,3,8,0,0,14,34
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 507","Mobile poll/Bureau itinérant",3,0,1,13,0,0,17,22
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 508","Mobile poll/Bureau itinérant",1,0,0,4,0,0,5,14
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 509","Mobile poll/Bureau itinérant",5,1,6,26,1,0,39,120
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 510","Mobile poll/Bureau itinérant",7,1,8,16,5,2,39,55
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 511","Mobile poll/Bureau itinérant",12,0,9,31,2,2,56,82
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 512","Mobile poll/Bureau itinérant",1,0,4,15,1,1,22,35
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 513","Mobile poll/Bureau itinérant",2,0,0,4,0,1,7,15
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 514","Mobile poll/Bureau itinérant",1,0,0,4,0,0,5,25
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 515","Mobile poll/Bureau itinérant",1,0,5,7,0,0,13,32
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 516","Mobile poll/Bureau itinérant",3,2,5,15,0,0,25,37
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 517","Mobile poll/Bureau itinérant",3,1,2,8,3,0,17,29
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 518","Mobile poll/Bureau itinérant",0,0,2,11,1,0,14,26
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 519","Mobile poll/Bureau itinérant",4,0,2,7,1,0,14,26
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 520","Mobile poll/Bureau itinérant",5,0,5,3,0,0,13,21
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 521","Mobile poll/Bureau itinérant",3,0,3,6,0,0,12,19
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 522","Mobile poll/Bureau itinérant",1,0,3,6,0,0,10,15
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 523","Mobile poll/Bureau itinérant",1,0,4,7,3,0,15,17
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 524","Mobile poll/Bureau itinérant",1,0,1,3,1,1,7,12
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 525","Mobile poll/Bureau itinérant",2,0,3,10,0,0,15,36
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 526","Mobile poll/Bureau itinérant",1,0,1,14,0,2,18,59
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 527","Mobile poll/Bureau itinérant",7,0,2,32,0,0,41,55
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 528","Mobile poll/Bureau itinérant",1,2,0,7,0,1,11,18
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 529","Mobile poll/Bureau itinérant",0,0,0,6,1,0,7,14
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 530","Mobile poll/Bureau itinérant",Results combined with no. 138/Résultats combinés au n° 138,,,,,,,5
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 531","Mobile poll/Bureau itinérant",2,0,1,20,0,0,23,41
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 532","Mobile poll/Bureau itinérant",4,3,2,22,3,1,35,49
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 533","Mobile poll/Bureau itinérant",1,0,4,17,1,0,23,33
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 534","Mobile poll/Bureau itinérant",1,0,0,6,0,0,7,12
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 535","Mobile poll/Bureau itinérant",1,2,0,9,2,0,14,19
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 536","Mobile poll/Bureau itinérant",3,2,1,43,0,1,50,72
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 537","Mobile poll/Bureau itinérant",1,1,0,4,0,0,6,13
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 538","Mobile poll/Bureau itinérant",0,0,1,8,0,0,9,16
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 600","Kronau--Lajord No. 128",15,3,39,196,25,2,280,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 601","Vibank--Odessa--Sedley--Francis No. 127",13,10,30,174,27,0,254,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 602","Carry the Kettle Nakoda First Nation 76-15",1,0,4,1,0,0,6,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 603","Kendal--Montmartre",11,6,21,254,22,1,315,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 604","Grenfell",30,12,31,379,54,2,508,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 605","Whitewood",22,10,41,271,34,1,379,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 606","Moosomin",40,22,66,720,86,2,936,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 607","Wawota",15,6,14,281,22,2,340,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 608","Weyburn",16,26,32,605,72,2,753,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 609","Weyburn",100,62,182,1872,174,4,2394,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 610","Weyburn",108,36,204,1308,210,14,1880,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 611","Radville",18,10,32,286,27,0,373,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 612","Bengough",12,10,4,237,17,1,281,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 613","Coronach",9,0,11,194,19,1,234,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 614","Estevan",15,30,24,589,81,11,750,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 615","Estevan",30,27,48,816,95,11,1027,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 616","Estevan",28,31,49,884,95,63,1150,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 617","Oxbow",9,20,28,417,50,2,526,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 618","Carlyle--Arcola",17,13,37,532,74,1,674,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 619","Redvers",11,9,8,338,34,1,401,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 620","Carnduff",1,9,19,345,28,2,404,
47013,"Souris--Moose Mountain/Souris--Moose Mountain",,Group 1/Groupe 1, 21,4,48,150,19,16,258,60
47013,"Souris--Moose Mountain/Souris--Moose Mountain",,Group 2/Groupe 2, 62,24,105,779,58,24,1052,
