Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Aldag,Tamara Jansen,Rajesh Jayaprakash,Ian Kennedy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 53","Surrey",55,62,48,3,3,171,407
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 54","Surrey",62,79,41,6,2,190,588
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 55","Surrey",64,83,49,3,0,199,588
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 56","Surrey",78,45,40,7,1,171,547
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 57","Surrey",51,59,29,0,0,139,416
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 58","Surrey",81,62,27,9,0,179,554
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 59","Surrey",62,39,25,7,0,133,400
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 60","Surrey",91,46,20,1,1,159,496
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 61","Surrey",64,56,41,2,0,163,495
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 62","Surrey",52,53,28,6,1,140,408
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 63","Surrey",59,38,22,5,2,126,450
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 64","Surrey",80,67,38,4,0,189,550
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 65","Surrey",71,67,29,7,0,174,498
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 66","Surrey",85,85,44,11,5,230,590
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 67","Surrey",69,77,31,8,8,193,506
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 68","Surrey",74,46,21,10,4,155,458
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 69","Surrey",113,64,34,5,3,219,610
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 70","Surrey",59,63,38,6,1,167,404
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 71","Surrey",55,67,24,3,0,149,447
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 72","Surrey",85,57,56,6,3,207,748
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 73","Surrey",77,67,55,9,3,211,618
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 74","Surrey",55,61,47,15,2,180,503
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 75","Langley",53,65,43,3,1,165,542
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 76","Surrey",103,107,69,11,0,290,612
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 77","Langley",84,89,43,10,1,227,607
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 78","Surrey",86,61,44,17,0,208,573
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 79","Surrey",82,58,35,7,0,182,613
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 80","Langley",39,46,25,4,0,114,410
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 81","Langley",91,77,53,11,1,233,629
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 82","Surrey",66,69,45,9,2,191,449
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 83","Surrey",105,58,49,10,2,224,515
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 84","Surrey",76,77,42,4,1,200,514
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 85","Surrey",61,54,28,3,0,146,452
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 86","Surrey",74,68,43,6,4,195,610
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 87","Surrey",47,44,44,10,0,145,522
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 88","Surrey",51,39,33,10,2,135,367
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 89","Surrey",74,53,43,9,1,180,654
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 90","Surrey",37,25,34,6,0,102,506
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 91","Surrey",63,51,30,2,2,148,369
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 92","Surrey",87,59,42,2,2,192,433
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 93","Surrey",56,39,50,7,0,152,352
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 94","Surrey",119,80,62,10,0,271,637
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 95","Surrey",106,74,37,9,0,226,568
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 96","Surrey",81,63,54,10,0,208,610
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 97","Surrey",67,53,47,6,0,173,478
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 98","Surrey",64,65,43,9,0,181,591
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 99","Surrey",74,53,29,9,0,165,510
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 100","Surrey",51,58,37,0,1,147,452
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 101","Surrey",78,78,40,2,3,201,548
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 102","Surrey",68,60,39,3,1,171,483
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 103","Surrey",55,47,24,4,0,130,409
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 104","Surrey",65,44,26,5,0,140,414
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 105","Surrey",55,54,26,4,0,139,444
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 106","Surrey",59,41,25,14,0,139,495
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 107","Surrey",72,69,30,10,0,181,574
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 108","Surrey",75,48,31,2,2,158,557
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 109","Surrey",48,46,37,1,0,132,500
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 110","Langley",89,72,59,4,2,226,483
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 111","Langley",57,63,30,12,1,163,483
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 112","Surrey",63,82,36,10,1,192,601
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 113","Surrey",49,47,37,7,0,140,478
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 114","Langley",68,83,55,10,2,218,471
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 115","Langley",75,83,52,6,0,216,545
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 116","Langley",66,68,36,5,1,176,500
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 117","Surrey",47,32,24,4,1,108,402
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 118","Surrey",101,72,33,4,2,212,643
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 119","Surrey",48,77,38,6,0,169,410
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 120","Surrey",78,69,43,13,1,204,494
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 121","Surrey",83,57,44,3,1,188,469
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 122","Surrey",47,57,25,2,0,131,392
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 123","Surrey",59,63,36,7,2,167,473
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 124","Surrey",52,53,39,0,0,144,368
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 125","Surrey",59,44,41,8,0,152,493
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 126","Surrey",52,43,46,8,0,149,432
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 127","Surrey",57,57,49,9,0,172,435
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 128","Surrey",61,53,49,3,2,168,526
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 129","Surrey",35,72,20,0,0,127,376
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 130","Langley",31,30,23,6,0,90,377
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 131","Surrey",51,54,27,2,2,136,403
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 132","Langley",38,64,49,10,1,162,482
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 133","Langley",47,47,62,11,0,167,587
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 134","Langley",38,40,30,5,0,113,406
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 135","Langley",41,29,35,12,1,118,472
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 136","Langley",43,60,37,8,2,150,520
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 137","Langley",38,42,30,7,0,117,438
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 138","Langley",49,75,66,12,1,203,617
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 139","Langley",85,85,39,14,1,224,497
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 140","Langley",48,60,60,13,2,183,618
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 141","Langley",79,78,53,12,3,225,609
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 142","Langley",41,28,24,5,2,100,358
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 143","Langley",30,40,31,3,2,106,295
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 144","Langley",69,40,37,11,1,158,450
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 145","Langley",69,75,60,6,4,214,599
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 146","Langley",46,37,25,6,1,115,320
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 147","Langley",27,34,4,32,0,97,393
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 148","Langley",28,20,33,8,0,89,342
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 149","Langley",32,25,22,5,1,85,259
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 150","Langley",41,37,49,6,1,134,461
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 151","Langley",30,46,31,1,0,108,327
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 152","Langley",30,28,28,8,0,94,408
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 153","Langley",56,37,39,15,2,149,739
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 154","Langley",36,38,30,9,0,113,407
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 155","Langley",24,23,22,2,0,71,415
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 156","Langley",22,51,25,7,0,105,407
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 157","Langley",19,29,19,1,1,69,511
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 158","Langley",33,22,12,2,0,69,391
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 159","Langley",41,32,33,22,1,129,441
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 160","Langley",65,57,40,10,0,172,379
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 161","Langley",52,80,30,7,0,169,433
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 162","Langley",37,40,26,3,1,107,367
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 163","Langley",49,90,41,11,0,191,513
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 164","Langley",55,61,41,10,2,169,409
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 165","Langley",60,97,55,17,1,230,483
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 166","Langley",48,90,40,4,1,183,434
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 167","Langley",64,87,31,7,1,190,360
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 168","Langley",46,62,32,11,2,153,364
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 169","Langley",25,27,29,7,3,91,410
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 170","Langley",31,33,27,7,1,99,359
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 171","Langley",67,64,31,20,1,183,532
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 172","Langley",64,53,43,7,0,167,456
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 173","Langley",52,55,49,9,0,165,482
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 174","Langley",45,81,21,5,0,152,406
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 175","Langley",55,60,30,16,1,162,464
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 176","Langley",60,77,23,6,0,166,431
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 177","Langley",66,102,32,10,0,210,444
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 400","Langley",Merged with No./Fusionné avec le n°139,,,,,,177
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 500","Mobile poll/Bureau itinérant",11,15,13,3,3,45,64
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 501","Mobile poll/Bureau itinérant",14,12,5,3,1,35,48
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°100,,,,,,16
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 503","Mobile poll/Bureau itinérant",14,6,3,2,0,25,35
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°131,,,,,,36
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 505","Mobile poll/Bureau itinérant",1,24,0,0,0,25,32
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°149,,,,,,79
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 507","Mobile poll/Bureau itinérant",38,27,15,3,0,83,89
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 508","Mobile poll/Bureau itinérant",15,6,9,0,2,32,52
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 509","Mobile poll/Bureau itinérant",2,6,5,1,1,15,32
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 510","Surrey",Merged with No./Fusionné avec le n°87,,,,,,46
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 600","Surrey",476,194,146,18,6,840,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 601","Surrey",384,288,169,29,2,872,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 602","Surrey",646,627,198,58,4,1533,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 603","Surrey",551,598,225,47,9,1430,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 604","Surrey",428,482,182,73,5,1170,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 605","Surrey",500,593,188,117,8,1406,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 606","Surrey",584,519,244,69,3,1419,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 607","Surrey",608,646,255,78,7,1594,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 608","Surrey",407,560,204,69,9,1249,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 609","Surrey",454,500,196,90,3,1243,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 610","Surrey",458,469,211,92,23,1253,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 611","Langley",345,496,152,84,1,1078,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 612","Langley",361,387,252,113,2,1115,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 613","Langley",476,497,288,91,7,1359,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 614","Langley",373,626,219,91,5,1314,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 615","Langley",327,529,203,105,3,1167,
59007,"Cloverdale--Langley City/Cloverdale--Langley City",,Group 1/Groupe 1, 176,203,98,23,30,530,129
59007,"Cloverdale--Langley City/Cloverdale--Langley City",,Group 2/Groupe 2, 1477,1023,596,60,171,3327,
