Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Farina Hassan,Chris Hill,Jasveen Rattan,Natalie Spizzirri,Rechie Valdez,Gurdeep Wolosz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 17","Mississauga",29,4,68,0,71,10,0,182,424
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 18","Mississauga",22,6,58,0,69,4,0,159,393
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 19","Mississauga",23,0,64,0,97,0,2,186,465
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 20","Mississauga",27,4,73,3,57,0,0,164,429
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 21","Mississauga",19,4,86,1,101,5,4,220,501
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 22","Mississauga",25,7,43,0,120,7,1,203,513
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 23","Mississauga",21,1,71,0,91,3,0,187,399
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 24","Mississauga",26,3,62,0,101,5,1,198,459
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 25","Mississauga",21,6,66,0,87,4,0,184,342
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 26","Mississauga",24,7,61,2,107,9,1,211,409
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 27","Mississauga",30,4,53,0,100,5,0,192,436
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 28","Mississauga",10,6,41,1,59,6,3,126,419
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 29","Mississauga",15,7,30,1,48,7,0,108,370
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 30","Mississauga",22,5,47,0,68,7,0,149,389
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 31","Mississauga",35,5,72,0,84,9,5,210,633
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 32","Mississauga",11,6,30,0,45,2,0,94,295
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 33","Mississauga",15,2,47,1,70,3,0,138,452
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 34","Mississauga",19,1,47,1,45,4,0,117,381
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 35","Mississauga",17,6,48,0,40,3,0,114,410
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 36","Mississauga",30,6,75,1,81,19,1,213,553
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 37","Mississauga",20,4,57,1,97,2,0,181,477
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 38","Mississauga",13,1,83,3,77,6,1,184,438
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 39","Mississauga",23,7,46,0,115,8,3,202,494
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 40","Mississauga",21,2,54,1,68,1,0,147,363
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 41","Mississauga",22,4,46,1,85,3,0,161,456
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 42","Mississauga",19,8,56,0,93,3,1,180,412
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 43","Mississauga",17,0,25,0,67,1,1,111,389
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 44","Mississauga",13,4,25,0,60,0,0,102,415
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 45","Mississauga",15,0,64,2,74,7,4,166,522
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 46","Mississauga",11,1,23,2,67,2,3,109,386
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 47","Mississauga",19,5,39,1,63,5,3,135,418
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 48","Mississauga",10,2,38,0,57,4,0,111,353
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 49","Mississauga",19,4,65,1,49,10,0,148,468
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 50","Mississauga",46,6,50,3,81,11,0,197,544
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 51","Mississauga",22,3,52,1,80,4,0,162,453
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 52","Mississauga",25,4,46,0,54,3,0,132,422
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 53","Mississauga",31,9,35,0,68,6,0,149,487
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 54","Mississauga",10,6,29,0,55,1,1,102,327
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 55","Mississauga",17,6,21,0,74,5,0,123,346
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 56","Mississauga",21,4,70,1,51,14,0,161,479
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 57","Mississauga",26,3,59,1,65,11,1,166,509
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 58","Mississauga",21,9,58,1,35,7,0,131,396
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 59","Mississauga",25,6,47,0,49,4,1,132,346
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 60","Mississauga",36,7,60,2,83,7,0,195,545
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 61","Mississauga",14,3,29,0,35,6,1,88,292
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 62","Mississauga",30,5,63,0,69,13,1,181,554
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 63","Mississauga",13,3,23,0,28,4,3,74,351
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 64","Mississauga",13,1,31,0,37,3,0,85,379
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 65","Mississauga",23,3,33,0,40,11,0,110,394
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 66","Mississauga",23,2,29,1,46,8,2,111,468
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 67","Mississauga",32,2,51,1,57,11,3,157,492
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 68","Mississauga",12,6,51,0,55,4,1,129,463
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 69","Mississauga",16,2,33,2,41,4,0,98,422
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 70","Mississauga",38,2,42,0,57,10,1,150,552
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 71","Mississauga",37,6,53,0,55,6,1,158,547
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 72","Mississauga",29,7,46,3,51,8,2,146,556
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 73","Mississauga",18,0,37,1,62,1,1,120,413
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 74","Mississauga",13,5,46,0,56,11,0,131,420
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 75","Mississauga",16,2,44,0,47,3,0,112,318
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 76","Mississauga",6,2,52,0,60,4,0,124,325
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 77","Mississauga",21,3,41,1,52,11,1,130,305
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 78","Mississauga",4,3,40,0,56,2,2,107,320
