Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Bennett,Robin Goldsbury,Rob Morrison,Rana Nelson,Wayne Stetski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kootenay--Columbia/Kootenay--Columbia"," 109","Nelson",4,10,13,10,116,0,153,464
59015,"Kootenay--Columbia/Kootenay--Columbia"," 110","Nelson",15,15,13,16,126,0,185,432
59015,"Kootenay--Columbia/Kootenay--Columbia"," 111","Nelson",7,15,16,13,117,1,169,424
59015,"Kootenay--Columbia/Kootenay--Columbia"," 112","Nelson",3,10,25,11,105,1,155,380
59015,"Kootenay--Columbia/Kootenay--Columbia"," 113","Nelson",11,16,29,17,101,1,175,461
59015,"Kootenay--Columbia/Kootenay--Columbia"," 114","Nelson",21,14,25,15,104,2,181,515
59015,"Kootenay--Columbia/Kootenay--Columbia"," 115","Elkford",12,5,124,6,23,1,171,331
59015,"Kootenay--Columbia/Kootenay--Columbia"," 116","Elk Prairie",9,11,124,2,25,0,171,549
59015,"Kootenay--Columbia/Kootenay--Columbia"," 117","Sparwood",16,6,76,0,9,1,108,401
59015,"Kootenay--Columbia/Kootenay--Columbia"," 118","Sparwood",4,6,74,5,33,0,122,411
59015,"Kootenay--Columbia/Kootenay--Columbia"," 119","Sparwood",8,7,80,2,24,0,121,450
59015,"Kootenay--Columbia/Kootenay--Columbia"," 120","Sparwood",6,4,64,3,26,0,103,309
59015,"Kootenay--Columbia/Kootenay--Columbia"," 121","Sparwood",4,10,70,0,20,1,105,384
59015,"Kootenay--Columbia/Kootenay--Columbia"," 122","Sparwood",12,14,102,0,17,1,146,434
59015,"Kootenay--Columbia/Kootenay--Columbia"," 123","Sparwood",4,7,64,0,23,0,98,347
59015,"Kootenay--Columbia/Kootenay--Columbia"," 124","Elkford",16,14,147,2,52,0,231,419
59015,"Kootenay--Columbia/Kootenay--Columbia"," 125","Elkford",28,13,122,2,51,0,216,416
59015,"Kootenay--Columbia/Kootenay--Columbia"," 126","Elkford",10,6,133,2,35,2,188,399
59015,"Kootenay--Columbia/Kootenay--Columbia"," 127","Elkford",22,6,119,3,44,0,194,368
59015,"Kootenay--Columbia/Kootenay--Columbia"," 128","Ymir",21,11,18,21,100,2,173,336
59015,"Kootenay--Columbia/Kootenay--Columbia"," 129","Kimberley",8,20,61,3,54,0,146,443
59015,"Kootenay--Columbia/Kootenay--Columbia"," 130","Kimberley",Merged with No./Fusionné avec le n°132,,,,,,,330
59015,"Kootenay--Columbia/Kootenay--Columbia"," 131","Kimberley",6,6,56,1,43,0,112,355
59015,"Kootenay--Columbia/Kootenay--Columbia"," 132","Wycliffe",11,16,116,5,87,0,235,358
59015,"Kootenay--Columbia/Kootenay--Columbia"," 133","Kimberley",13,28,125,8,70,0,244,711
59015,"Kootenay--Columbia/Kootenay--Columbia"," 134","Boswell",3,18,87,4,37,0,149,315
59015,"Kootenay--Columbia/Kootenay--Columbia"," 135","Kootenay 1",5,11,49,4,42,0,111,330
59015,"Kootenay--Columbia/Kootenay--Columbia"," 136","Cranbrook",2,3,54,2,23,0,84,208
59015,"Kootenay--Columbia/Kootenay--Columbia"," 137","Jim Smith Lake",21,25,182,7,57,1,293,379
59015,"Kootenay--Columbia/Kootenay--Columbia"," 138","Cranbrook",11,7,48,9,56,0,131,428
59015,"Kootenay--Columbia/Kootenay--Columbia"," 139","Cranbrook",7,4,75,5,39,0,130,408
59015,"Kootenay--Columbia/Kootenay--Columbia"," 140","Cranbrook",18,15,75,5,58,2,173,495
59015,"Kootenay--Columbia/Kootenay--Columbia"," 141","Cranbrook",11,14,105,5,55,1,191,487
59015,"Kootenay--Columbia/Kootenay--Columbia"," 142","Jim Smith Lake",Merged with No./Fusionné avec le n°137,,,,,,,373
59015,"Kootenay--Columbia/Kootenay--Columbia"," 143","Cranbrook",5,15,110,3,59,0,192,504
59015,"Kootenay--Columbia/Kootenay--Columbia"," 144","Cranbrook",11,16,137,11,26,0,201,428
59015,"Kootenay--Columbia/Kootenay--Columbia"," 145","Wycliffe",4,16,65,7,26,0,118,311
59015,"Kootenay--Columbia/Kootenay--Columbia"," 146","Cranbrook",9,4,87,2,27,1,130,403
59015,"Kootenay--Columbia/Kootenay--Columbia"," 147","Cranbrook",7,22,94,4,52,1,180,516
59015,"Kootenay--Columbia/Kootenay--Columbia"," 148","Cranbrook",6,20,117,8,54,0,205,571
