Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Margaret Andrade,Sean Casey,Doug Currie,Darcie Lanthier,Scott McPhee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11002,"Charlottetown/Charlottetown"," 26","Charlottetown",24,46,23,11,3,0,107,309
11002,"Charlottetown/Charlottetown"," 27","Charlottetown",30,56,59,13,0,0,158,317
11002,"Charlottetown/Charlottetown"," 28","Charlottetown",9,85,55,12,2,4,167,354
11002,"Charlottetown/Charlottetown"," 29","Charlottetown",29,145,112,14,3,7,310,625
11002,"Charlottetown/Charlottetown"," 30","Charlottetown",22,70,64,12,1,1,170,352
11002,"Charlottetown/Charlottetown"," 31","Charlottetown",14,60,45,13,4,0,136,320
11002,"Charlottetown/Charlottetown"," 32","Charlottetown",34,99,71,22,10,5,241,541
11002,"Charlottetown/Charlottetown"," 33","Charlottetown",15,70,70,14,5,1,175,437
11002,"Charlottetown/Charlottetown"," 34","Charlottetown",13,49,21,9,3,2,97,338
11002,"Charlottetown/Charlottetown"," 35","Charlottetown",26,61,46,16,3,1,153,422
11002,"Charlottetown/Charlottetown"," 36","Charlottetown",11,60,52,7,3,1,134,454
11002,"Charlottetown/Charlottetown"," 37","Charlottetown",23,44,42,17,2,4,132,353
11002,"Charlottetown/Charlottetown"," 38","Charlottetown",32,78,27,23,4,0,164,443
11002,"Charlottetown/Charlottetown"," 39","Charlottetown",29,41,15,16,6,3,110,290
11002,"Charlottetown/Charlottetown"," 40","Charlottetown",26,78,39,22,5,2,172,326
11002,"Charlottetown/Charlottetown"," 41","Charlottetown",22,64,31,14,5,0,136,306
11002,"Charlottetown/Charlottetown"," 42","Charlottetown",25,74,60,16,4,1,180,459
11002,"Charlottetown/Charlottetown"," 43","Charlottetown",27,43,17,27,3,1,118,336
11002,"Charlottetown/Charlottetown"," 44","Charlottetown",30,110,42,24,7,1,214,473
11002,"Charlottetown/Charlottetown"," 45","Charlottetown",26,65,31,8,3,4,137,418
11002,"Charlottetown/Charlottetown"," 46","Charlottetown",32,66,30,24,7,0,159,452
11002,"Charlottetown/Charlottetown"," 47","Charlottetown",25,46,17,39,2,1,130,388
11002,"Charlottetown/Charlottetown"," 48","Charlottetown",25,58,12,16,0,0,111,298
11002,"Charlottetown/Charlottetown"," 49","Charlottetown",19,82,61,27,3,0,192,395
11002,"Charlottetown/Charlottetown"," 50","Charlottetown",11,42,35,14,0,1,103,296
11002,"Charlottetown/Charlottetown"," 51","Charlottetown",17,99,57,20,4,2,199,393
11002,"Charlottetown/Charlottetown"," 52","Charlottetown",29,98,58,21,1,2,209,411
11002,"Charlottetown/Charlottetown"," 53","Charlottetown",26,76,27,24,7,0,160,304
11002,"Charlottetown/Charlottetown"," 54","Charlottetown",22,45,29,16,2,0,114,315
11002,"Charlottetown/Charlottetown"," 55","Charlottetown",26,63,46,27,1,2,165,344
11002,"Charlottetown/Charlottetown"," 56","Charlottetown",47,92,43,43,5,2,232,485
11002,"Charlottetown/Charlottetown"," 57","Charlottetown",20,63,19,13,0,0,115,343
11002,"Charlottetown/Charlottetown"," 58","Charlottetown",15,82,49,27,4,0,177,355
11002,"Charlottetown/Charlottetown"," 59","Charlottetown",37,116,62,27,3,0,245,467
11002,"Charlottetown/Charlottetown"," 60","Charlottetown",18,114,63,17,2,3,217,421
11002,"Charlottetown/Charlottetown"," 61","Charlottetown",27,74,45,13,4,2,165,449
11002,"Charlottetown/Charlottetown"," 62","Charlottetown",47,72,32,24,3,0,178,379
11002,"Charlottetown/Charlottetown"," 63","Charlottetown",26,129,42,28,2,2,229,506
11002,"Charlottetown/Charlottetown"," 64","Charlottetown",29,96,39,22,8,0,194,402
11002,"Charlottetown/Charlottetown"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°18,,,,,,,30
11002,"Charlottetown/Charlottetown"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°17,,,,,,,20
11002,"Charlottetown/Charlottetown"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°25,,,,,,,115
11002,"Charlottetown/Charlottetown"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°37,,,,,,,18
11002,"Charlottetown/Charlottetown"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°37,,,,,,,12
11002,"Charlottetown/Charlottetown"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
11002,"Charlottetown/Charlottetown"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°28,,,,,,,80
11002,"Charlottetown/Charlottetown"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°46,,,,,,,40
11002,"Charlottetown/Charlottetown"," 508","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
11002,"Charlottetown/Charlottetown"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°50,,,,,,,99
11002,"Charlottetown/Charlottetown"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°39,,,,,,,33
11002,"Charlottetown/Charlottetown"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°64,,,,,,,21
11002,"Charlottetown/Charlottetown"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°64,,,,,,,15
11002,"Charlottetown/Charlottetown"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°42,,,,,,,109
11002,"Charlottetown/Charlottetown"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°64,,,,,,,12
11002,"Charlottetown/Charlottetown"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°64,,,,,,,31
11002,"Charlottetown/Charlottetown"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°24A,,,,,,,69
11002,"Charlottetown/Charlottetown"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°18,,,,,,,90
11002,"Charlottetown/Charlottetown"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°50,,,,,,,115
11002,"Charlottetown/Charlottetown"," 600","Charlottetown",64,498,355,69,17,1,1004,
11002,"Charlottetown/Charlottetown"," 601","Charlottetown",52,547,404,58,9,12,1082,
11002,"Charlottetown/Charlottetown"," 602","Charlottetown",64,429,373,85,26,14,991,
11002,"Charlottetown/Charlottetown"," 603","Charlottetown",78,541,444,109,29,14,1215,
11002,"Charlottetown/Charlottetown"," 604","Charlottetown",65,495,333,75,19,6,993,
11002,"Charlottetown/Charlottetown"," 605","Charlottetown",81,415,222,87,12,12,829,
11002,"Charlottetown/Charlottetown",,Group 1/Groupe 1, 20,65,33,16,1,3,138,63
11002,"Charlottetown/Charlottetown",,Group 2/Groupe 2, 114,783,483,125,22,36,1563,
