Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gene Balfour,Alison Davidson,Judi Forbes,Angel Godsoe,Zac Miller,Jamie Schmale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 87","Kawartha Lakes",0,7,38,7,27,113,0,192,417
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 88","Kawartha Lakes",2,10,26,7,38,132,0,215,448
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 89","Kawartha Lakes",4,13,55,6,31,114,1,224,428
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 90","Kawartha Lakes",1,14,58,11,37,138,3,262,515
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 91","Kawartha Lakes",0,24,64,5,59,168,2,322,613
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 92","Kawartha Lakes",2,33,56,8,45,142,1,287,616
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 93","Kawartha Lakes",1,22,46,4,34,83,0,190,475
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 94","Brock",1,26,51,7,30,104,1,220,563
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 95","Kawartha Lakes",2,13,43,16,49,135,1,259,439
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 96","Kawartha Lakes",2,14,39,3,47,107,2,214,455
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 97","Kawartha Lakes",1,9,55,4,39,137,3,248,496
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 98","Kawartha Lakes",1,12,44,6,20,138,4,225,408
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 99","Kawartha Lakes",1,17,44,8,40,137,1,248,497
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 100","Kawartha Lakes",3,7,30,3,34,74,0,151,379
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 101","Kawartha Lakes",2,17,57,3,37,93,1,210,411
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 102","Kawartha Lakes",2,9,45,8,47,112,1,224,450
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 103","Kawartha Lakes",1,13,53,2,43,120,0,232,493
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 104","Kawartha Lakes",0,21,18,9,13,121,0,182,467
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 105","Kawartha Lakes",2,15,37,4,27,123,0,208,466
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 106","Kawartha Lakes",0,16,32,3,38,129,0,218,479
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 107","Kawartha Lakes",3,15,21,4,25,93,0,161,388
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 108","Brock",1,19,20,2,39,80,0,161,410
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 109","Brock",1,18,20,9,33,56,0,137,368
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 110","Brock",7,38,93,11,64,125,5,343,842
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 111","Brock",0,3,11,2,19,46,0,81,294
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 112","Brock",Merged with No./Fusionné avec le n°110,,,,,,,,242
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 113","Kawartha Lakes",1,17,59,6,48,104,0,235,607
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 114","Kawartha Lakes",0,10,65,9,61,125,1,271,705
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 115","Kawartha Lakes",1,23,34,1,29,117,0,205,470
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 116","Kawartha Lakes",2,10,21,12,23,43,0,111,361
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 117","Kawartha Lakes",1,9,38,1,27,67,2,145,448
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 118","Kawartha Lakes",0,9,33,5,33,74,0,154,339
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 119","Kawartha Lakes",1,22,45,8,34,64,1,175,442
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 120","Kawartha Lakes",1,8,49,5,44,79,0,186,475
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 121","Kawartha Lakes",2,12,38,7,35,82,1,177,485
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 122","Kawartha Lakes",3,17,30,5,41,84,2,182,598
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 123","Kawartha Lakes",3,10,35,4,45,99,0,196,550
