Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Tim Flemming,Andre Gagnon,Yvonne Kelly,Harold Kim,Tony Van Bynen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35065,"Newmarket--Aurora/Newmarket--Aurora"," 111","Newmarket",Merged with No./Fusionné avec le n°103,,,,,,,,319
35065,"Newmarket--Aurora/Newmarket--Aurora"," 112","Newmarket",1,5,9,13,104,89,1,222,592
35065,"Newmarket--Aurora/Newmarket--Aurora"," 113","Newmarket",1,4,9,15,74,83,2,188,496
35065,"Newmarket--Aurora/Newmarket--Aurora"," 114","Newmarket",2,5,15,17,65,90,1,195,559
35065,"Newmarket--Aurora/Newmarket--Aurora"," 115","Newmarket",Merged with No./Fusionné avec le n°117,,,,,,,,399
35065,"Newmarket--Aurora/Newmarket--Aurora"," 116","Newmarket",2,8,14,45,107,158,0,334,517
35065,"Newmarket--Aurora/Newmarket--Aurora"," 117","Newmarket",0,4,9,26,136,134,6,315,549
35065,"Newmarket--Aurora/Newmarket--Aurora"," 118","Newmarket",3,5,17,35,65,83,1,209,411
35065,"Newmarket--Aurora/Newmarket--Aurora"," 119","Newmarket",3,4,14,40,109,118,0,288,491
35065,"Newmarket--Aurora/Newmarket--Aurora"," 120","Newmarket",Merged with No./Fusionné avec le n°118,,,,,,,,300
35065,"Newmarket--Aurora/Newmarket--Aurora"," 121","Newmarket",Merged with No./Fusionné avec le n°122,,,,,,,,476
35065,"Newmarket--Aurora/Newmarket--Aurora"," 122","Newmarket",1,6,13,44,102,160,3,329,519
35065,"Newmarket--Aurora/Newmarket--Aurora"," 123","Newmarket",1,6,11,42,86,115,0,261,400
35065,"Newmarket--Aurora/Newmarket--Aurora"," 124","Newmarket",0,3,10,31,95,117,0,256,401
35065,"Newmarket--Aurora/Newmarket--Aurora"," 125","Newmarket",Merged with No./Fusionné avec le n°124,,,,,,,,388
35065,"Newmarket--Aurora/Newmarket--Aurora"," 126","Newmarket",Merged with No./Fusionné avec le n°123,,,,,,,,356
35065,"Newmarket--Aurora/Newmarket--Aurora"," 127","Newmarket",Merged with No./Fusionné avec le n°152,,,,,,,,501
35065,"Newmarket--Aurora/Newmarket--Aurora"," 128","Newmarket",Merged with No./Fusionné avec le n°129,,,,,,,,450
35065,"Newmarket--Aurora/Newmarket--Aurora"," 129","Newmarket",0,11,15,44,115,115,0,300,530
35065,"Newmarket--Aurora/Newmarket--Aurora"," 130","Newmarket",Merged with No./Fusionné avec le n°92,,,,,,,,341
35065,"Newmarket--Aurora/Newmarket--Aurora"," 131","Aurora",0,0,10,21,69,102,6,208,610
35065,"Newmarket--Aurora/Newmarket--Aurora"," 132","Aurora",0,0,3,19,48,79,2,151,445
35065,"Newmarket--Aurora/Newmarket--Aurora"," 133","Aurora",1,3,2,28,84,117,1,236,731
35065,"Newmarket--Aurora/Newmarket--Aurora"," 134","Aurora",2,6,10,16,68,93,1,196,664
35065,"Newmarket--Aurora/Newmarket--Aurora"," 135","Aurora",2,2,7,23,110,87,0,231,733
35065,"Newmarket--Aurora/Newmarket--Aurora"," 136","Aurora",1,7,15,37,130,143,0,333,501
35065,"Newmarket--Aurora/Newmarket--Aurora"," 137","Aurora",1,1,3,12,118,80,1,216,593
35065,"Newmarket--Aurora/Newmarket--Aurora"," 138","Aurora",3,4,15,27,139,134,2,324,488
35065,"Newmarket--Aurora/Newmarket--Aurora"," 139","Aurora",1,5,8,31,93,124,4,266,442
35065,"Newmarket--Aurora/Newmarket--Aurora"," 140","Newmarket",2,2,18,33,126,157,0,338,537
35065,"Newmarket--Aurora/Newmarket--Aurora"," 141","Newmarket",Merged with No./Fusionné avec le n°140,,,,,,,,518
35065,"Newmarket--Aurora/Newmarket--Aurora"," 142","Newmarket",2,5,6,53,128,165,1,360,570
35065,"Newmarket--Aurora/Newmarket--Aurora"," 143","Aurora",0,2,6,19,84,130,1,242,889
35065,"Newmarket--Aurora/Newmarket--Aurora"," 144","Aurora",0,0,5,10,112,82,0,209,589
35065,"Newmarket--Aurora/Newmarket--Aurora"," 145","Aurora",1,6,4,19,72,69,1,172,472
35065,"Newmarket--Aurora/Newmarket--Aurora"," 146","Aurora",Merged with No./Fusionné avec le n°156,,,,,,,,459
35065,"Newmarket--Aurora/Newmarket--Aurora"," 147","Aurora",1,0,8,18,118,118,1,264,714
35065,"Newmarket--Aurora/Newmarket--Aurora"," 148","Aurora",4,5,9,26,75,71,1,191,501
35065,"Newmarket--Aurora/Newmarket--Aurora"," 149","Newmarket",Merged with No./Fusionné avec le n°142,,,,,,,,514
35065,"Newmarket--Aurora/Newmarket--Aurora"," 150","Newmarket",1,5,9,31,93,133,0,272,387
35065,"Newmarket--Aurora/Newmarket--Aurora"," 151","Newmarket",Merged with No./Fusionné avec le n°150,,,,,,,,355
35065,"Newmarket--Aurora/Newmarket--Aurora"," 152","Newmarket",0,11,21,47,126,156,0,361,565
35065,"Newmarket--Aurora/Newmarket--Aurora"," 153","Aurora",1,5,11,31,107,133,1,289,528
35065,"Newmarket--Aurora/Newmarket--Aurora"," 154","Aurora",1,4,8,24,93,119,0,249,564
35065,"Newmarket--Aurora/Newmarket--Aurora"," 155","Aurora",Merged with No./Fusionné avec le n°191,,,,,,,,328
35065,"Newmarket--Aurora/Newmarket--Aurora"," 156","Aurora",1,2,15,37,123,159,1,338,561
35065,"Newmarket--Aurora/Newmarket--Aurora"," 157","Aurora",Merged with No./Fusionné avec le n°175,,,,,,,,395
35065,"Newmarket--Aurora/Newmarket--Aurora"," 158","Aurora",2,4,18,45,100,119,0,288,506
35065,"Newmarket--Aurora/Newmarket--Aurora"," 159","Aurora",0,5,24,39,107,166,1,342,500
35065,"Newmarket--Aurora/Newmarket--Aurora"," 160","Aurora",Merged with No./Fusionné avec le n°138,,,,,,,,483
35065,"Newmarket--Aurora/Newmarket--Aurora"," 161","Aurora",Merged with No./Fusionné avec le n°153,,,,,,,,486
35065,"Newmarket--Aurora/Newmarket--Aurora"," 162","Aurora",Merged with No./Fusionné avec le n°164,,,,,,,,333
35065,"Newmarket--Aurora/Newmarket--Aurora"," 163","Aurora",Merged with No./Fusionné avec le n°136,,,,,,,,435
35065,"Newmarket--Aurora/Newmarket--Aurora"," 164","Aurora",2,7,6,29,105,119,0,268,378
35065,"Newmarket--Aurora/Newmarket--Aurora"," 165","Aurora",Merged with No./Fusionné avec le n°181,,,,,,,,338
35065,"Newmarket--Aurora/Newmarket--Aurora"," 166","Aurora",1,5,2,6,66,67,3,150,476
35065,"Newmarket--Aurora/Newmarket--Aurora"," 167","Aurora",Merged with No./Fusionné avec le n°139,,,,,,,,405
35065,"Newmarket--Aurora/Newmarket--Aurora"," 168","Aurora",Merged with No./Fusionné avec le n°159,,,,,,,,456
35065,"Newmarket--Aurora/Newmarket--Aurora"," 169","Aurora",Merged with No./Fusionné avec le n°158,,,,,,,,291
35065,"Newmarket--Aurora/Newmarket--Aurora"," 170","Aurora",0,2,11,21,98,69,0,201,521
35065,"Newmarket--Aurora/Newmarket--Aurora"," 171","Aurora",Merged with No./Fusionné avec le n°172,,,,,,,,416
35065,"Newmarket--Aurora/Newmarket--Aurora"," 172","Aurora",1,9,8,23,136,164,1,342,484
35065,"Newmarket--Aurora/Newmarket--Aurora"," 173","Aurora",0,5,5,23,120,112,0,265,368
35065,"Newmarket--Aurora/Newmarket--Aurora"," 174","Aurora",2,1,4,24,87,104,0,222,544
35065,"Newmarket--Aurora/Newmarket--Aurora"," 175","Aurora",1,4,6,39,106,91,0,247,421
35065,"Newmarket--Aurora/Newmarket--Aurora"," 176","Aurora",1,5,13,45,91,125,0,280,387
35065,"Newmarket--Aurora/Newmarket--Aurora"," 177","Aurora",4,9,22,38,98,110,1,282,466
35065,"Newmarket--Aurora/Newmarket--Aurora"," 178","Aurora",Merged with No./Fusionné avec le n°177,,,,,,,,427
35065,"Newmarket--Aurora/Newmarket--Aurora"," 179","Mobile poll/Bureau itinérant",0,1,0,5,15,6,0,27,82
35065,"Newmarket--Aurora/Newmarket--Aurora"," 180","Aurora",Merged with No./Fusionné avec le n°176,,,,,,,,340
35065,"Newmarket--Aurora/Newmarket--Aurora"," 181","Aurora",2,6,14,41,109,110,1,283,401
35065,"Newmarket--Aurora/Newmarket--Aurora"," 182","Aurora",2,7,11,31,76,112,2,241,544
35065,"Newmarket--Aurora/Newmarket--Aurora"," 183","Aurora",2,3,12,34,42,55,4,152,408
35065,"Newmarket--Aurora/Newmarket--Aurora"," 184","Aurora",Merged with No./Fusionné avec le n°187,,,,,,,,392
35065,"Newmarket--Aurora/Newmarket--Aurora"," 185","Aurora",3,1,4,19,58,77,0,162,417
35065,"Newmarket--Aurora/Newmarket--Aurora"," 186","Aurora",0,4,6,32,136,136,0,314,363
35065,"Newmarket--Aurora/Newmarket--Aurora"," 187","Aurora",3,5,17,43,92,121,1,282,387
35065,"Newmarket--Aurora/Newmarket--Aurora"," 188","Aurora",0,2,19,24,90,92,0,227,496
35065,"Newmarket--Aurora/Newmarket--Aurora"," 189","Aurora",Merged with No./Fusionné avec le n°173,,,,,,,,343
35065,"Newmarket--Aurora/Newmarket--Aurora"," 190","Aurora",Merged with No./Fusionné avec le n°186,,,,,,,,357
35065,"Newmarket--Aurora/Newmarket--Aurora"," 191","Aurora",0,5,5,20,112,130,0,272,417
35065,"Newmarket--Aurora/Newmarket--Aurora"," 400","Mobile poll/Bureau itinérant",0,1,0,4,8,51,0,64,107
35065,"Newmarket--Aurora/Newmarket--Aurora"," 401","Mobile poll/Bureau itinérant",2,1,0,1,19,50,5,78,113
35065,"Newmarket--Aurora/Newmarket--Aurora"," 500","Mobile poll/Bureau itinérant",0,0,2,2,16,21,3,44,62
35065,"Newmarket--Aurora/Newmarket--Aurora"," 501","Mobile poll/Bureau itinérant",1,2,3,2,25,22,4,59,124
35065,"Newmarket--Aurora/Newmarket--Aurora"," 502","Mobile poll/Bureau itinérant",1,1,0,1,19,43,2,67,130
35065,"Newmarket--Aurora/Newmarket--Aurora"," 503","Mobile poll/Bureau itinérant",2,3,2,11,13,39,9,79,82
35065,"Newmarket--Aurora/Newmarket--Aurora"," 504","Mobile poll/Bureau itinérant",1,0,0,6,6,9,3,25,53
35065,"Newmarket--Aurora/Newmarket--Aurora"," 505","Mobile poll/Bureau itinérant",1,3,0,7,8,1,0,20,57
35065,"Newmarket--Aurora/Newmarket--Aurora"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°88,,,,,,,,46
35065,"Newmarket--Aurora/Newmarket--Aurora"," 507","Mobile poll/Bureau itinérant",0,0,0,0,4,5,0,9,61
35065,"Newmarket--Aurora/Newmarket--Aurora"," 508","Mobile poll/Bureau itinérant",2,1,1,3,10,10,1,28,44
35065,"Newmarket--Aurora/Newmarket--Aurora"," 509","Mobile poll/Bureau itinérant",0,0,1,4,15,23,0,43,94
35065,"Newmarket--Aurora/Newmarket--Aurora"," 510","Mobile poll/Bureau itinérant",0,1,2,4,24,38,1,70,103
35065,"Newmarket--Aurora/Newmarket--Aurora"," 600","Newmarket",3,19,43,105,360,394,5,929,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 601","Newmarket",5,15,60,113,473,573,2,1241,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 602","Newmarket",4,23,40,125,501,524,1,1218,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 603","Newmarket",5,13,46,110,312,407,2,895,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 604","Newmarket",2,20,43,125,418,530,1,1139,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 605","Newmarket",5,11,40,111,452,500,5,1124,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 606","Newmarket",0,9,35,60,404,375,2,885,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 607","Newmarket",6,22,55,115,625,719,3,1545,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 608","Newmarket",5,19,60,113,462,553,1,1213,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 609","Newmarket",2,16,33,104,378,469,7,1009,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 610","Newmarket",4,15,44,82,510,520,5,1180,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 611","Newmarket",2,10,31,81,553,485,7,1169,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 612","Aurora",1,13,41,62,605,478,5,1205,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 613","Aurora",5,16,52,69,479,535,6,1162,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 614","Aurora",5,22,42,106,419,538,3,1135,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 615","Aurora",2,13,43,71,438,471,1,1039,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 616","Aurora",2,21,30,79,345,358,1,836,
35065,"Newmarket--Aurora/Newmarket--Aurora",,Group 1/Groupe 1, 2,20,15,136,255,316,28,772,229
35065,"Newmarket--Aurora/Newmarket--Aurora",,Group 2/Groupe 2, 14,49,77,389,1285,1797,115,3726,
