Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tammy Bentz,John Galloway,Leslie (Les) Jickling,Archie Kaario,Jonathan Wilkinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"North Vancouver/North Vancouver"," 102","North Vancouver",29,4,25,9,64,0,131,415
59021,"North Vancouver/North Vancouver"," 103","North Vancouver",40,12,27,4,45,1,129,408
59021,"North Vancouver/North Vancouver"," 104","North Vancouver",32,1,22,5,64,1,125,463
59021,"North Vancouver/North Vancouver"," 105","North Vancouver",46,11,33,4,67,0,161,606
59021,"North Vancouver/North Vancouver"," 106","North Vancouver",24,2,28,5,57,3,119,344
59021,"North Vancouver/North Vancouver"," 107","North Vancouver",39,1,39,15,89,2,185,481
59021,"North Vancouver/North Vancouver"," 108","North Vancouver",32,7,34,4,78,1,156,335
59021,"North Vancouver/North Vancouver"," 109","North Vancouver",49,4,42,19,97,8,219,642
59021,"North Vancouver/North Vancouver"," 110","North Vancouver",Void/Supprimé,,,,,,,
59021,"North Vancouver/North Vancouver"," 111","North Vancouver",42,7,49,6,70,3,177,406
59021,"North Vancouver/North Vancouver"," 112","North Vancouver",38,4,15,3,53,3,116,418
59021,"North Vancouver/North Vancouver"," 113A","North Vancouver",17,3,27,3,54,0,104,575
59021,"North Vancouver/North Vancouver"," 113B","North Vancouver",19,7,13,4,36,3,82,465
59021,"North Vancouver/North Vancouver"," 114","North Vancouver",8,2,13,1,22,0,46,420
59021,"North Vancouver/North Vancouver"," 115","North Vancouver",41,6,41,8,76,0,172,577
59021,"North Vancouver/North Vancouver"," 116","North Vancouver",36,4,34,5,52,0,131,396
59021,"North Vancouver/North Vancouver"," 117","North Vancouver",36,3,25,6,47,0,117,336
59021,"North Vancouver/North Vancouver"," 118","North Vancouver",24,8,27,6,39,0,104,414
59021,"North Vancouver/North Vancouver"," 119","North Vancouver",27,4,13,5,52,0,101,407
59021,"North Vancouver/North Vancouver"," 120","North Vancouver",24,5,22,5,49,1,106,401
59021,"North Vancouver/North Vancouver"," 121","North Vancouver",27,2,22,5,26,0,82,361
59021,"North Vancouver/North Vancouver"," 122","North Vancouver",41,2,57,7,67,1,175,427
59021,"North Vancouver/North Vancouver"," 123","North Vancouver",52,2,52,2,68,0,176,476
59021,"North Vancouver/North Vancouver"," 124","North Vancouver",33,5,47,7,78,1,171,449
59021,"North Vancouver/North Vancouver"," 125","North Vancouver",45,3,55,8,55,0,166,434
59021,"North Vancouver/North Vancouver"," 126","North Vancouver",50,4,27,10,64,0,155,469
59021,"North Vancouver/North Vancouver"," 127","North Vancouver",45,6,46,3,45,0,145,436
59021,"North Vancouver/North Vancouver"," 128","North Vancouver",43,8,39,12,74,1,177,553
59021,"North Vancouver/North Vancouver"," 129","North Vancouver",60,3,43,6,48,0,160,441
59021,"North Vancouver/North Vancouver"," 130","North Vancouver",28,2,35,9,60,0,134,398
59021,"North Vancouver/North Vancouver"," 131","North Vancouver",56,9,33,11,88,0,197,465
59021,"North Vancouver/North Vancouver"," 132","North Vancouver",40,2,29,12,63,0,146,362
59021,"North Vancouver/North Vancouver"," 133","North Vancouver",45,12,21,9,50,0,137,436
59021,"North Vancouver/North Vancouver"," 134","North Vancouver",54,6,32,12,46,0,150,499
59021,"North Vancouver/North Vancouver"," 135","North Vancouver",33,7,39,8,57,0,144,362
59021,"North Vancouver/North Vancouver"," 136A","North Vancouver",36,5,21,7,50,1,120,491
59021,"North Vancouver/North Vancouver"," 136B","North Vancouver",22,4,21,3,50,0,100,379
59021,"North Vancouver/North Vancouver"," 137","North Vancouver",16,4,25,3,48,0,96,410
59021,"North Vancouver/North Vancouver"," 138A","North Vancouver",33,4,32,4,84,0,157,528
59021,"North Vancouver/North Vancouver"," 138B","North Vancouver",27,2,41,5,70,0,145,488
59021,"North Vancouver/North Vancouver"," 139","North Vancouver",84,12,54,16,126,2,294,651
59021,"North Vancouver/North Vancouver"," 140","North Vancouver",43,3,35,4,49,1,135,398
59021,"North Vancouver/North Vancouver"," 141","North Vancouver",47,5,36,12,77,1,178,485
59021,"North Vancouver/North Vancouver"," 142","North Vancouver",46,2,22,9,50,1,130,407
59021,"North Vancouver/North Vancouver"," 143","North Vancouver",34,3,47,7,80,0,171,473
59021,"North Vancouver/North Vancouver"," 144","North Vancouver",20,3,37,2,52,1,115,449
59021,"North Vancouver/North Vancouver"," 145","North Vancouver",15,5,29,6,45,0,100,340
59021,"North Vancouver/North Vancouver"," 146","North Vancouver",32,4,52,9,61,0,158,486
59021,"North Vancouver/North Vancouver"," 147","North Vancouver",35,6,48,12,61,0,162,515
59021,"North Vancouver/North Vancouver"," 148","North Vancouver",25,4,30,11,50,0,120,388
59021,"North Vancouver/North Vancouver"," 149","North Vancouver",84,4,18,14,63,0,183,612
59021,"North Vancouver/North Vancouver"," 150","North Vancouver",70,4,45,6,70,1,196,611
59021,"North Vancouver/North Vancouver"," 151A","North Vancouver",45,4,27,6,44,0,126,508
59021,"North Vancouver/North Vancouver"," 151B","North Vancouver",37,5,13,4,36,0,95,422
59021,"North Vancouver/North Vancouver"," 152","North Vancouver",36,2,41,9,63,0,151,489
59021,"North Vancouver/North Vancouver"," 153","North Vancouver",36,3,46,4,66,0,155,452
59021,"North Vancouver/North Vancouver"," 154","North Vancouver",26,3,45,13,53,0,140,386
59021,"North Vancouver/North Vancouver"," 155","North Vancouver",34,4,60,18,78,0,194,481
59021,"North Vancouver/North Vancouver"," 156","North Vancouver",30,2,27,12,67,0,138,506
59021,"North Vancouver/North Vancouver"," 157","North Vancouver",25,3,39,11,50,0,128,480
59021,"North Vancouver/North Vancouver"," 158","North Vancouver",45,7,31,13,82,0,178,284
59021,"North Vancouver/North Vancouver"," 159","North Vancouver",24,3,28,4,43,0,102,450
59021,"North Vancouver/North Vancouver"," 160","North Vancouver",43,4,57,10,90,0,204,509
59021,"North Vancouver/North Vancouver"," 161","North Vancouver",50,3,43,9,69,1,175,449
59021,"North Vancouver/North Vancouver"," 162","North Vancouver",29,4,38,16,83,0,170,451
59021,"North Vancouver/North Vancouver"," 163","North Vancouver",72,9,70,9,104,0,264,693
59021,"North Vancouver/North Vancouver"," 164","North Vancouver",38,2,36,5,65,0,146,486
59021,"North Vancouver/North Vancouver"," 165","North Vancouver",18,0,28,8,40,1,95,313
59021,"North Vancouver/North Vancouver"," 166","North Vancouver",14,1,20,5,55,1,96,249
59021,"North Vancouver/North Vancouver"," 167","North Vancouver",39,2,38,4,63,0,146,458
59021,"North Vancouver/North Vancouver"," 168","North Vancouver",32,4,35,3,52,0,126,362
59021,"North Vancouver/North Vancouver"," 169","North Vancouver",32,10,22,4,59,0,127,381
59021,"North Vancouver/North Vancouver"," 170","North Vancouver",39,7,47,11,67,0,171,443
59021,"North Vancouver/North Vancouver"," 171","North Vancouver",40,4,48,7,59,1,159,435
59021,"North Vancouver/North Vancouver"," 172","North Vancouver",32,2,32,5,45,0,116,355
59021,"North Vancouver/North Vancouver"," 173","North Vancouver",36,0,39,1,79,0,155,499
59021,"North Vancouver/North Vancouver"," 174","North Vancouver",39,5,36,7,51,1,139,404
59021,"North Vancouver/North Vancouver"," 175","North Vancouver",52,8,46,7,77,1,191,584
59021,"North Vancouver/North Vancouver"," 176","North Vancouver",33,5,18,11,32,0,99,317
59021,"North Vancouver/North Vancouver"," 177","North Vancouver",18,3,26,2,67,0,116,387
59021,"North Vancouver/North Vancouver"," 178","North Vancouver",26,12,82,12,128,0,260,783
59021,"North Vancouver/North Vancouver"," 179","North Vancouver",33,3,27,6,51,0,120,419
59021,"North Vancouver/North Vancouver"," 180","North Vancouver",41,9,27,5,59,0,141,425
59021,"North Vancouver/North Vancouver"," 181","North Vancouver",28,4,35,9,59,2,137,418
59021,"North Vancouver/North Vancouver"," 182","North Vancouver",52,3,26,11,50,1,143,462
59021,"North Vancouver/North Vancouver"," 183","North Vancouver",71,10,36,10,52,2,181,509
59021,"North Vancouver/North Vancouver"," 184","North Vancouver",55,3,39,9,56,2,164,486
59021,"North Vancouver/North Vancouver"," 185","North Vancouver",58,3,50,14,94,0,219,676
59021,"North Vancouver/North Vancouver"," 186","North Vancouver",67,6,31,12,72,2,190,499
59021,"North Vancouver/North Vancouver"," 187","North Vancouver",45,6,41,14,62,1,169,435
59021,"North Vancouver/North Vancouver"," 188","North Vancouver",40,3,48,12,81,0,184,515
59021,"North Vancouver/North Vancouver"," 189","North Vancouver",23,2,21,8,38,0,92,340
59021,"North Vancouver/North Vancouver"," 400","Mobile poll/Bureau itinérant",20,6,23,4,36,6,95,140
59021,"North Vancouver/North Vancouver"," 401","North Vancouver",Merged with No./Fusionné avec le n°166,,,,,,,202
59021,"North Vancouver/North Vancouver"," 500","Mobile poll/Bureau itinérant",19,3,14,2,32,0,70,98
59021,"North Vancouver/North Vancouver"," 501","Mobile poll/Bureau itinérant",2,3,9,3,21,1,39,73
59021,"North Vancouver/North Vancouver"," 502","Mobile poll/Bureau itinérant",11,2,8,4,13,2,40,52
59021,"North Vancouver/North Vancouver"," 600","North Vancouver",156,34,293,30,503,4,1020,
59021,"North Vancouver/North Vancouver"," 601","North Vancouver",139,21,621,52,617,3,1453,
59021,"North Vancouver/North Vancouver"," 602","North Vancouver",157,26,667,48,820,6,1724,
59021,"North Vancouver/North Vancouver"," 603","North Vancouver",186,21,542,73,734,3,1559,
59021,"North Vancouver/North Vancouver"," 604","North Vancouver",206,26,412,48,570,4,1266,
59021,"North Vancouver/North Vancouver"," 605","North Vancouver",236,35,243,44,434,5,997,
59021,"North Vancouver/North Vancouver"," 606","North Vancouver",254,43,356,55,511,3,1222,
59021,"North Vancouver/North Vancouver"," 607","North Vancouver",299,39,287,53,496,3,1177,
59021,"North Vancouver/North Vancouver"," 608","North Vancouver",235,49,363,30,586,3,1266,
59021,"North Vancouver/North Vancouver"," 609","North Vancouver",267,33,383,52,589,3,1327,
59021,"North Vancouver/North Vancouver"," 610","North Vancouver",233,39,388,38,567,3,1268,
59021,"North Vancouver/North Vancouver"," 611","North Vancouver",177,31,247,49,467,5,976,
59021,"North Vancouver/North Vancouver"," 612","North Vancouver",141,36,314,39,397,4,931,
59021,"North Vancouver/North Vancouver"," 613","North Vancouver",195,25,382,36,515,2,1155,
59021,"North Vancouver/North Vancouver"," 614","North Vancouver",318,57,454,65,690,10,1594,
59021,"North Vancouver/North Vancouver"," 615","North Vancouver",210,26,391,40,488,3,1158,
59021,"North Vancouver/North Vancouver"," 616","North Vancouver",187,33,383,39,610,6,1258,
59021,"North Vancouver/North Vancouver"," 617","North Vancouver",186,30,247,31,357,5,856,
59021,"North Vancouver/North Vancouver",,Group 1/Groupe 1, 167,22,232,39,366,36,862,386
59021,"North Vancouver/North Vancouver",,Group 2/Groupe 2, 1194,114,1748,240,3151,167,6614,
