Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jordan Ames-Sinclair,Valerie Brooks,Denise Loucks,Braden Robertson,Halsten David Rust,Cathay Wagantall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville/Yorkton--Melville"," 73","Foam Lake No. 276",7,3,1,9,8,108,1,137,309
47014,"Yorkton--Melville/Yorkton--Melville"," 74","Foam Lake",4,3,3,17,11,57,0,95,251
47014,"Yorkton--Melville/Yorkton--Melville"," 75","Foam Lake",3,5,2,13,12,83,0,118,276
47014,"Yorkton--Melville/Yorkton--Melville"," 76","Foam Lake",4,0,7,17,18,128,0,174,414
47014,"Yorkton--Melville/Yorkton--Melville"," 77","Foam Lake No. 276",Merged with No./Fusionné avec le n°76,,,,,,,,167
47014,"Yorkton--Melville/Yorkton--Melville"," 78","Sheho",4,0,2,12,4,121,0,143,239
47014,"Yorkton--Melville/Yorkton--Melville"," 79","Keeseekoose 66",23,1,1,1,33,1,0,60,176
47014,"Yorkton--Melville/Yorkton--Melville"," 80A","Canora",7,1,1,12,13,80,0,114,319
47014,"Yorkton--Melville/Yorkton--Melville"," 80B","Canora",4,1,0,2,10,24,3,44,70
47014,"Yorkton--Melville/Yorkton--Melville"," 81","Veregin",5,1,2,6,10,54,0,78,204
47014,"Yorkton--Melville/Yorkton--Melville"," 82","Canora",1,0,3,8,7,65,1,85,233
47014,"Yorkton--Melville/Yorkton--Melville"," 83","Canora",9,2,0,14,17,77,0,119,358
47014,"Yorkton--Melville/Yorkton--Melville"," 84","Canora",5,1,0,11,9,30,0,56,229
47014,"Yorkton--Melville/Yorkton--Melville"," 85","Canora",4,1,3,8,12,53,0,81,276
47014,"Yorkton--Melville/Yorkton--Melville"," 86","Canora",3,1,0,13,18,68,0,103,408
47014,"Yorkton--Melville/Yorkton--Melville"," 87","Gorlitz",1,1,10,21,5,79,0,117,308
47014,"Yorkton--Melville/Yorkton--Melville"," 88","Cote 64",28,2,0,1,85,6,2,124,291
47014,"Yorkton--Melville/Yorkton--Melville"," 89","Theodore",Merged with No./Fusionné avec le n°90,,,,,,,,159
47014,"Yorkton--Melville/Yorkton--Melville"," 90","Theodore",20,2,2,38,24,138,0,224,295
47014,"Yorkton--Melville/Yorkton--Melville"," 91","Kamsack",8,1,1,3,10,27,0,50,264
47014,"Yorkton--Melville/Yorkton--Melville"," 92","Kamsack",12,0,0,10,13,40,0,75,272
47014,"Yorkton--Melville/Yorkton--Melville"," 93","Kamsack",15,4,1,10,13,37,0,80,264
47014,"Yorkton--Melville/Yorkton--Melville"," 94","Kamsack",6,1,0,6,18,54,0,85,274
47014,"Yorkton--Melville/Yorkton--Melville"," 95","Kamsack",8,1,0,8,11,36,0,64,233
47014,"Yorkton--Melville/Yorkton--Melville"," 96","Kamsack",2,3,0,6,8,40,0,59,242
47014,"Yorkton--Melville/Yorkton--Melville"," 97","Kamsack Beach",11,4,2,15,8,83,1,124,392
47014,"Yorkton--Melville/Yorkton--Melville"," 98","Springside",8,4,3,6,8,135,0,164,308
47014,"Yorkton--Melville/Yorkton--Melville"," 99","Springside",15,4,4,27,24,162,2,238,417
47014,"Yorkton--Melville/Yorkton--Melville"," 100","Rhein",10,3,4,23,8,110,1,159,268
47014,"Yorkton--Melville/Yorkton--Melville"," 101","Jedburgh",1,2,4,9,10,79,0,105,190
47014,"Yorkton--Melville/Yorkton--Melville"," 102","Togo",10,1,2,18,8,65,0,104,201
47014,"Yorkton--Melville/Yorkton--Melville"," 103","Ebenezer",8,0,9,15,7,123,0,162,282
47014,"Yorkton--Melville/Yorkton--Melville"," 104","Yorkton",1,1,4,11,23,103,0,143,359
47014,"Yorkton--Melville/Yorkton--Melville"," 105","Yorkton",12,2,2,23,22,60,1,122,405
47014,"Yorkton--Melville/Yorkton--Melville"," 106","Yorkton",15,4,1,4,25,57,2,108,394
47014,"Yorkton--Melville/Yorkton--Melville"," 107","Yorkton",14,2,0,15,29,63,0,123,376
47014,"Yorkton--Melville/Yorkton--Melville"," 108","Yorkton",14,6,2,10,21,85,3,141,355
47014,"Yorkton--Melville/Yorkton--Melville"," 109","Yorkton",16,0,2,14,20,77,0,129,359
47014,"Yorkton--Melville/Yorkton--Melville"," 110","Yorkton",4,5,3,8,36,79,0,135,399
47014,"Yorkton--Melville/Yorkton--Melville"," 111","Yorkton",9,0,1,13,21,90,0,134,349
47014,"Yorkton--Melville/Yorkton--Melville"," 112","Yorkton",13,3,2,8,15,81,1,123,422
47014,"Yorkton--Melville/Yorkton--Melville"," 113","Yorkton",9,0,0,11,19,113,0,152,397
47014,"Yorkton--Melville/Yorkton--Melville"," 114","Yorkton",10,0,1,24,21,82,0,138,412
47014,"Yorkton--Melville/Yorkton--Melville"," 115","Yorkton",13,6,1,21,38,78,1,158,496
47014,"Yorkton--Melville/Yorkton--Melville"," 116","Yorkton",7,2,1,5,25,85,0,125,409
47014,"Yorkton--Melville/Yorkton--Melville"," 117","Yorkton",8,5,3,19,18,70,0,123,366
47014,"Yorkton--Melville/Yorkton--Melville"," 118","Yorkton",4,3,1,7,22,74,0,111,371
47014,"Yorkton--Melville/Yorkton--Melville"," 119","Yorkton",11,3,0,14,29,65,0,122,372
47014,"Yorkton--Melville/Yorkton--Melville"," 120","Yorkton",15,6,0,17,27,73,0,138,458
47014,"Yorkton--Melville/Yorkton--Melville"," 121","Yorkton",9,2,0,20,22,63,0,116,357
47014,"Yorkton--Melville/Yorkton--Melville"," 122","Yorkton",5,4,3,31,32,88,1,164,547
47014,"Yorkton--Melville/Yorkton--Melville"," 123","Yorkton",13,5,2,9,35,100,0,164,468
47014,"Yorkton--Melville/Yorkton--Melville"," 124","Yorkton",15,4,0,10,21,69,1,120,446
47014,"Yorkton--Melville/Yorkton--Melville"," 125","Yorkton",8,2,3,5,12,47,2,79,327
47014,"Yorkton--Melville/Yorkton--Melville"," 126","Yorkton",1,0,2,8,21,36,0,68,321
47014,"Yorkton--Melville/Yorkton--Melville"," 127","Yorkton",2,2,0,1,11,24,0,40,304
47014,"Yorkton--Melville/Yorkton--Melville"," 128A","Yorkton",11,2,0,3,4,64,0,84,169
47014,"Yorkton--Melville/Yorkton--Melville"," 128B","Yorkton",6,3,0,6,23,77,0,115,377
47014,"Yorkton--Melville/Yorkton--Melville"," 129A","Yorkton",Merged with No./Fusionné avec le n°128A,,,,,,,,142
47014,"Yorkton--Melville/Yorkton--Melville"," 129B","Yorkton",9,1,1,6,14,79,1,111,391
47014,"Yorkton--Melville/Yorkton--Melville"," 130","Yorkton",10,1,2,5,8,82,0,108,395
47014,"Yorkton--Melville/Yorkton--Melville"," 131","Yorkton",7,2,2,1,15,85,0,112,439
47014,"Yorkton--Melville/Yorkton--Melville"," 132","Yorkton",15,8,1,9,36,98,1,168,367
47014,"Yorkton--Melville/Yorkton--Melville"," 133A","Yorkton",4,5,1,3,16,49,0,78,231
47014,"Yorkton--Melville/Yorkton--Melville"," 133B","Yorkton",15,6,2,4,18,43,2,90,210
47014,"Yorkton--Melville/Yorkton--Melville"," 134","Willowbrook",7,2,2,9,17,81,0,118,185
47014,"Yorkton--Melville/Yorkton--Melville"," 135","Fenwood",11,1,2,21,7,115,0,157,270
47014,"Yorkton--Melville/Yorkton--Melville"," 136","Tonkin",4,4,3,26,15,113,0,165,254
47014,"Yorkton--Melville/Yorkton--Melville"," 137","Wroxton",2,2,2,12,10,98,0,126,193
47014,"Yorkton--Melville/Yorkton--Melville"," 138","Yorkton",10,3,5,20,8,147,1,194,427
47014,"Yorkton--Melville/Yorkton--Melville"," 139","Yorkton",8,5,4,13,18,54,0,102,382
47014,"Yorkton--Melville/Yorkton--Melville"," 140","Yorkton",7,0,4,15,18,117,0,161,350
47014,"Yorkton--Melville/Yorkton--Melville"," 141","Otthon",10,0,0,16,11,64,2,103,229
47014,"Yorkton--Melville/Yorkton--Melville"," 142","Calder",6,1,6,11,4,82,1,111,188
47014,"Yorkton--Melville/Yorkton--Melville"," 143","Saltcoats",4,2,4,14,9,112,1,146,286
47014,"Yorkton--Melville/Yorkton--Melville"," 144","Saltcoats",7,15,1,19,27,124,2,195,397
47014,"Yorkton--Melville/Yorkton--Melville"," 145A","Melville",3,2,3,7,17,83,0,115,299
47014,"Yorkton--Melville/Yorkton--Melville"," 145B","Melville",9,3,0,4,8,27,0,51,127
47014,"Yorkton--Melville/Yorkton--Melville"," 146","MacNutt",3,1,0,12,9,91,0,116,206
47014,"Yorkton--Melville/Yorkton--Melville"," 147","Melville",5,5,4,10,10,113,1,148,364
47014,"Yorkton--Melville/Yorkton--Melville"," 148","Melville",3,1,2,6,13,66,0,91,300
47014,"Yorkton--Melville/Yorkton--Melville"," 149","Melville",13,1,0,4,17,72,0,107,348
47014,"Yorkton--Melville/Yorkton--Melville"," 150","Melville",12,2,0,5,19,81,0,119,433
47014,"Yorkton--Melville/Yorkton--Melville"," 151","Melville",4,2,1,9,15,60,1,92,315
47014,"Yorkton--Melville/Yorkton--Melville"," 152","Melville",5,2,2,4,20,51,1,85,224
47014,"Yorkton--Melville/Yorkton--Melville"," 153","Melville",5,4,1,8,17,63,0,98,315
47014,"Yorkton--Melville/Yorkton--Melville"," 154","Melville",12,1,1,12,35,88,2,151,450
47014,"Yorkton--Melville/Yorkton--Melville"," 155","Melville",5,0,0,13,21,64,1,104,346
47014,"Yorkton--Melville/Yorkton--Melville"," 156","Melville",6,6,1,16,27,97,2,155,366
47014,"Yorkton--Melville/Yorkton--Melville"," 157","Duff",Merged with No./Fusionné avec le n°156,,,,,,,,132
47014,"Yorkton--Melville/Yorkton--Melville"," 158","Bredenbury",2,0,1,16,7,59,1,86,243
47014,"Yorkton--Melville/Yorkton--Melville"," 159","Bredenbury",2,2,2,27,5,73,0,111,224
47014,"Yorkton--Melville/Yorkton--Melville"," 160","Churchbridge",13,4,7,36,29,203,0,292,480
