Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Gabrielle Baron,Chris Cameron,Patricia Conlin,Jonathan Giancroce,Erin O'Toole,Kurdil-Telt Patch,Adam Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35023,"Durham/Durham"," 120","Oshawa",Merged with No./Fusionné avec le n°119,,,,,,,,,436
35023,"Durham/Durham"," 121","Oshawa",Merged with No./Fusionné avec le n°89,,,,,,,,,439
35023,"Durham/Durham"," 122","Oshawa",0,97,29,122,92,1,1,5,347,564
35023,"Durham/Durham"," 123","Oshawa",1,45,4,53,77,0,3,0,183,546
35023,"Durham/Durham"," 124","Oshawa",1,78,21,122,119,0,0,3,344,617
35023,"Durham/Durham"," 125","Oshawa",1,33,5,97,56,0,1,4,197,623
35023,"Durham/Durham"," 126","Oshawa",2,36,8,71,50,0,0,1,168,510
35023,"Durham/Durham"," 127","Oshawa",0,63,33,119,104,1,1,1,322,513
35023,"Durham/Durham"," 128","Oshawa",Merged with No./Fusionné avec le n°127,,,,,,,,,452
35023,"Durham/Durham"," 129","Clarington",1,42,17,51,133,1,0,0,245,335
35023,"Durham/Durham"," 130","Clarington",Merged with No./Fusionné avec le n°129,,,,,,,,,308
35023,"Durham/Durham"," 131","Clarington",Merged with No./Fusionné avec le n°132,,,,,,,,,287
35023,"Durham/Durham"," 132","Clarington",0,46,18,68,105,0,1,0,238,368
35023,"Durham/Durham"," 133","Clarington",4,48,12,63,155,0,2,1,285,348
35023,"Durham/Durham"," 134","Clarington",Merged with No./Fusionné avec le n°133,,,,,,,,,327
35023,"Durham/Durham"," 135","Clarington",Merged with No./Fusionné avec le n°136,,,,,,,,,268
35023,"Durham/Durham"," 136","Clarington",0,72,13,57,128,0,1,1,272,385
35023,"Durham/Durham"," 137","Clarington",2,34,9,31,84,0,0,0,160,399
35023,"Durham/Durham"," 138","Clarington",0,54,8,74,88,0,3,1,228,339
35023,"Durham/Durham"," 139","Clarington",Merged with No./Fusionné avec le n°138,,,,,,,,,303
35023,"Durham/Durham"," 140","Clarington",4,43,7,51,84,1,1,0,191,266
35023,"Durham/Durham"," 141","Clarington",Merged with No./Fusionné avec le n°140,,,,,,,,,238
35023,"Durham/Durham"," 142","Oshawa",0,33,9,64,64,0,1,1,172,509
35023,"Durham/Durham"," 143","Oshawa",0,23,8,83,68,0,0,3,185,516
35023,"Durham/Durham"," 144","Oshawa",0,37,9,47,78,0,0,0,171,471
35023,"Durham/Durham"," 145","Clarington",Merged with No./Fusionné avec le n°146,,,,,,,,,328
35023,"Durham/Durham"," 146","Clarington",2,53,17,69,132,0,0,1,274,413
35023,"Durham/Durham"," 147","Clarington",3,40,9,75,121,2,1,1,252,384
35023,"Durham/Durham"," 148","Clarington",Merged with No./Fusionné avec le n°147,,,,,,,,,382
35023,"Durham/Durham"," 149","Clarington",3,59,31,88,120,1,2,1,305,424
35023,"Durham/Durham"," 150","Clarington",Merged with No./Fusionné avec le n°149,,,,,,,,,364
35023,"Durham/Durham"," 151","Oshawa",1,41,12,69,70,0,0,1,194,502
35023,"Durham/Durham"," 152","Oshawa",0,39,8,38,66,0,0,3,154,504
