Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Niki Ashton,Charlotte Larocque,Ralph McLean,Shirley Robinson,Dylan Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 14","Paint Lake",22,54,7,32,4,1,120,141
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 15","Shamattawa",18,2,1,15,0,2,38,371
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 16","Pukatawagan",63,5,4,68,1,0,141,767
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 17","York Landing",63,3,1,6,0,2,75,228
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 18","Nelson House 170",96,5,4,61,1,2,169,1164
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 19","Nelson House",43,2,3,26,0,2,76,380
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 20","Thompson",35,56,7,26,7,2,133,349
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 21","Thompson",35,33,5,22,4,1,100,376
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 22","Thompson",45,45,6,28,14,4,142,447
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 23","Thompson",46,49,2,27,7,2,133,431
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 24","Thompson",41,48,6,26,9,0,130,464
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 25","Thompson",33,40,1,11,8,1,94,388
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 26","Thompson",51,49,6,26,4,2,138,421
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 27","Thompson",48,76,6,27,5,0,162,546
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 28","Thompson",26,18,1,5,2,0,52,361
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 29","Thompson",23,17,2,24,5,2,73,454
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 30","Mystery Lake",33,13,2,16,5,2,71,411
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 31","Thompson",10,4,0,5,1,0,20,253
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 32","Thompson",13,8,0,7,5,1,34,282
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 33","Thompson",38,18,1,13,4,0,74,427
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 34","Thompson",32,55,1,36,9,1,134,408
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 35","Thompson",42,25,6,18,9,1,101,415
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 36","Mystery Lake",35,36,0,13,16,0,100,374
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 37","Thompson",38,56,3,24,12,1,134,406
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 38","Ilford",14,0,0,5,0,0,19,84
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 39","Thompson",23,18,2,26,4,0,73,345
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 40","Thompson",39,19,6,29,7,2,102,355
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 41","Thompson",26,32,1,15,12,0,86,350
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 42","Thompson",36,43,0,20,5,2,106,347
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 43","Sherridon",9,5,1,4,2,3,24,61
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 44","Pikwitonei",8,2,0,7,1,0,18,38
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 45","Flin Flon (Part)",32,70,3,20,17,1,143,434
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 46","Flin Flon (Part)",41,100,4,27,9,0,181,413
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 47","Flin Flon (Part)",39,77,4,20,10,2,152,384
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 48","Thicket Portage",20,2,0,2,0,4,28,59
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 49","Flin Flon",38,43,5,8,12,1,107,406
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 50","Flin Flon (Part)",39,27,4,7,12,0,89,393
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 51","Flin Flon (Part)",41,45,6,16,10,1,119,417
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 52","Snow Lake",28,87,2,11,10,0,138,395
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 53","Snow Lake",22,62,2,13,10,3,112,346
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 54","Oxford House",23,0,1,27,0,1,52,633
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 55","Oxford House 24",28,22,1,48,0,1,100,278
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 56","Flin Flon (Part)",63,67,4,24,17,0,175,449
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 57","Flin Flon (Part)",42,73,5,21,12,1,154,397
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 58","Flin Flon (Part)",49,70,5,33,7,0,164,456
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 59","Bakers Narrows",43,96,4,39,11,2,195,481
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 60","Wabowden",70,24,4,24,4,2,128,389
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 61","Gods River",44,0,0,61,0,5,110,228
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 62","Cranberry Portage--Payuk Lake",27,49,5,35,5,0,121,199
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 63","Cranberry Portage",63,34,4,44,13,0,158,347
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 64","Cross Lake 19A",48,2,0,37,0,6,93,702
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 65","Cross Lake 19",16,3,0,9,0,0,28,316
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 66A","Cross Lake",54,1,4,40,0,1,100,484
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 66B","Cross Lake",98,4,1,35,0,0,138,588
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 66C","Cross Lake",91,0,0,50,0,0,141,558
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 67","Cross Lake 19B",Void/Supprimé,,,,,,,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 68","Lawford Lake -- Molson Lake",Void/Supprimé,,,,,,,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 69","Wanless",25,48,2,22,8,0,105,219
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 70","Gods Lake Narrows",34,4,0,30,3,0,71,267
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 71","Cormorant",29,8,0,14,1,1,53,234
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 72","Red Sucker Lake",33,1,0,48,1,1,84,375
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 73","Clearwater Lake",52,87,11,36,11,0,197,332
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 74","Opaskwayak Cree Nation 21E",81,0,4,33,4,1,123,634
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 75","Opaskwayak Cree Nation 21E",52,4,0,13,1,0,70,289
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 76","Opaskwayak Cree Nation 21E",59,2,0,51,3,0,115,675
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 77","Norway House 17",78,3,1,77,2,2,163,907
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 78","Norway House 17",58,1,0,30,0,0,89,251
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 79","Norway House",75,3,2,64,1,1,146,1317
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 80","The Pas",56,44,12,14,9,1,136,359
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 81","The Pas",72,79,30,32,13,3,229,505
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 82","The Pas",47,44,7,26,11,0,135,494
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 83","The Pas",37,28,6,21,7,2,101,372
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 84","The Pas",46,26,17,34,11,3,137,383
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 85","Ralls Island",32,56,7,19,7,2,123,268
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 86","The Pas",51,45,17,28,8,2,151,367
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 87","The Pas",55,36,9,32,13,1,146,470
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 88","The Pas",32,27,3,17,8,0,87,371
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 89","The Pas",50,38,11,17,5,3,124,339
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 90","The Pas",41,53,9,23,12,0,138,429
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 91","Moose Lake",93,6,4,21,3,1,128,607
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 92","Garden Hill First Nation",8,0,0,41,0,0,49,225
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 93","Garden Hill",8,1,0,50,0,0,59,571
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 94","Waasagomach",3,0,0,7,1,0,11,457
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 95","Crooked Turn",20,5,1,17,0,0,43,192
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 96","Norway House 17",13,2,0,9,0,0,24,56
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 97","Crooked Turn",16,4,0,5,0,0,25,412
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 98","Pasquia Settlement",44,84,9,20,25,4,186,358
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 99","Young Point--Overflowing River",22,51,6,23,8,0,110,337
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 100","Grand Rapids",111,8,5,17,2,0,143,808
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 101","Easterville",115,10,0,73,3,2,203,724
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 102A","St. Theresa Point",12,0,1,78,0,0,91,679
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 102B","St. Theresa Point",Results combined with no. 102A/Résultats combinés au n° 102A,,,,,,,744
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 103","St. Theresa Point",Void/Supprimé,,,,,,,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 104","St. Theresa Point",2,5,0,4,0,0,11,217
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 105","Poplar River",87,19,0,33,4,3,146,430
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 106","Pauingassi First Nation",57,3,1,27,1,0,89,257
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 107","Dauphin River",21,3,2,21,0,0,47,68
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 108","Berens River",54,8,4,100,1,0,167,698
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 109","St. Martin",Void/Supprimé,,,,,,,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 110","Fairford",121,11,2,61,8,0,203,495
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 111","Jackhead Harbour",47,4,0,15,0,0,66,88
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 112","Lake St. Martin",12,6,1,32,1,0,52,103
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 113","Little Saskatchewan",37,2,1,22,1,0,63,124
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 114","Bloodvein",Results combined with no. 620/Résultats combinés au n° 620,,,,,,,426
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 115","Matheson Island",19,5,0,2,0,0,26,79
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 116","Little Grand Rapids",28,4,0,15,2,5,54,305
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 117","Dallas",1,2,0,3,2,0,8,99
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 118","Little Bullhead",21,3,3,3,2,0,32,50
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 119","Fisher River",164,11,1,57,1,0,234,394
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 120","Fisher River 44",Results combined with no. 119/Résultats combinés au n° 119,,,,,,,522
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 121","Peguis",132,5,1,46,1,0,185,668
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 122","Peguis",43,1,2,21,2,0,69,453
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 123","Peguis",38,1,2,13,0,0,54,670
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 124","Hollow Water",112,11,2,32,0,7,164,468
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 125","Manigotagan",43,15,1,12,1,0,72,115
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 126","Bissett",16,31,1,6,4,1,59,113
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 127","Little Black River",51,3,0,20,0,0,74,312
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 128","Fort Alexander 3",66,4,1,20,1,3,95,433
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 129","Fort Alexander",94,2,2,38,1,3,140,681
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 500","Mobile poll/Bureau itinérant",4,2,0,3,0,0,9,51
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 501","Mobile poll/Bureau itinérant",2,5,0,4,1,1,13,19
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 502","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,15
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 503","Mobile poll/Bureau itinérant",5,7,0,6,1,0,19,37
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 504","Mobile poll/Bureau itinérant",4,1,0,3,0,0,8,28
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°74,,,,,,,23
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°84,,,,,,,0
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°98,,,,,,,22
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°83,,,,,,,22
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°81,,,,,,,38
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 600","Churchill",40,10,0,14,1,1,66,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 601","Lynn Lake--Leaf Rapids",26,16,2,12,2,0,58,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 602","Flin Flon",207,254,22,88,81,3,655,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 603","Nelson House",6,7,2,10,0,1,26,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 604","Snow Lake",42,120,1,18,25,0,206,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 605","The Pas",104,92,16,62,16,0,290,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 606","The Pas",180,168,48,102,28,4,530,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 607","Thompson",231,328,18,164,56,9,806,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 608","Thompson",107,113,14,84,24,1,343,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 609","Cross Lake",182,6,3,214,0,0,405,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 610","Gods Lake Narrows",Results combined with no. 70/Résultats combinés au n° 70,,,,,,,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 611","God's River 86A",Results combined with no. 61/Résultats combinés au n° 61,,,,,,,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 612","Gillam",68,38,6,8,11,0,131,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 613","Garden Hill",17,1,0,37,0,0,55,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 614","St. Theresa Point",19,1,1,54,1,0,76,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 615","Norway House",57,6,1,91,4,0,159,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 616","Grand Rapids",112,8,3,31,8,0,162,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 617","Dauphin River",26,0,0,19,1,0,46,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 618","Peguis",88,5,3,45,2,1,144,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 619","Bullhead--Matheson Island",28,3,0,5,0,0,36,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 620","Bloodvein",140,5,5,22,5,5,182,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 621","Fort Alexander",34,0,1,23,3,3,64,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski",,Group 1/Groupe 1, 155,48,7,95,12,40,357,241
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski",,Group 2/Groupe 2, 171,181,15,88,31,12,498,
