Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Philippe Beaudry-Graham,Pierre Breton,Yannick Brisebois,Patrick Jasmin,Joël Lacroix,Céline Lalancette,Andréanne Larouche,Mathieu Morin,Gerda Schieder,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Shefford/Shefford"," 519","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,10
24072,"Shefford/Shefford"," 520","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,64
24072,"Shefford/Shefford"," 521","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,74
24072,"Shefford/Shefford"," 522","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,66
24072,"Shefford/Shefford"," 523","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,19
24072,"Shefford/Shefford"," 524","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,39
24072,"Shefford/Shefford"," 525","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,84
24072,"Shefford/Shefford"," 526","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,54
24072,"Shefford/Shefford"," 527","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,82
24072,"Shefford/Shefford"," 528","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,23
24072,"Shefford/Shefford"," 529","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,47
24072,"Shefford/Shefford"," 530","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,69
24072,"Shefford/Shefford"," 531","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,8
24072,"Shefford/Shefford"," 532","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,22
24072,"Shefford/Shefford"," 533","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,25
24072,"Shefford/Shefford"," 534","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,52
24072,"Shefford/Shefford"," 600","Rougemont",5,187,4,37,5,91,356,13,14,8,720,
24072,"Shefford/Shefford"," 601","Saint-Césaire",4,335,6,47,22,170,476,17,18,26,1121,
24072,"Shefford/Shefford"," 602","Saint-Paul-d'Abbotsford",0,248,0,23,8,80,258,8,8,11,644,
24072,"Shefford/Shefford"," 603","Saint-Alphonse-de-Granby--Ange-Gardien",1,180,2,26,4,130,305,6,18,17,689,
24072,"Shefford/Shefford"," 604","Granby",1,165,2,14,9,70,211,3,20,12,507,
24072,"Shefford/Shefford"," 605","Granby",2,240,1,25,2,89,292,9,15,11,686,
24072,"Shefford/Shefford"," 606","Granby",4,403,3,41,10,113,505,10,18,17,1124,
24072,"Shefford/Shefford"," 607","Granby",6,244,0,21,6,70,306,2,19,19,693,
24072,"Shefford/Shefford"," 608","Granby",2,339,2,18,2,92,300,6,11,27,799,
24072,"Shefford/Shefford"," 609","Granby",0,197,1,14,5,41,222,2,24,9,515,
24072,"Shefford/Shefford"," 610","Granby",4,268,1,23,4,78,302,3,15,14,712,
24072,"Shefford/Shefford"," 611","Sainte-Cécile-de-Milton",3,121,3,20,10,58,222,5,21,4,467,
24072,"Shefford/Shefford"," 612","Granby",1,539,1,48,11,161,640,15,24,16,1456,
24072,"Shefford/Shefford"," 613","Granby",1,93,0,8,5,13,152,4,5,9,290,
24072,"Shefford/Shefford"," 614","Granby",3,469,3,52,11,176,596,19,28,20,1377,
24072,"Shefford/Shefford"," 615","Shefford",4,481,1,48,7,208,544,21,29,16,1359,
24072,"Shefford/Shefford"," 616","Saint-Joachim-de-Shefford",4,276,2,26,19,141,426,18,21,25,958,
24072,"Shefford/Shefford"," 617","Waterloo",1,365,3,44,4,127,430,10,13,12,1009,
24072,"Shefford/Shefford"," 618","Shefford",4,330,2,47,10,95,304,15,33,11,851,
24072,"Shefford/Shefford"," 619","Bonsecours--Lawrenceville",0,81,1,10,4,36,119,4,9,4,268,
24072,"Shefford/Shefford"," 620","Maricourt",3,370,4,36,12,161,423,14,28,15,1066,
24072,"Shefford/Shefford"," 621","Granby",0,154,3,8,6,79,317,5,9,14,595,
24072,"Shefford/Shefford"," 622","Granby",4,360,1,30,2,121,464,9,14,13,1018,
24072,"Shefford/Shefford"," 623","Granby",1,193,1,15,2,61,251,6,12,7,549,
24072,"Shefford/Shefford"," 624","Granby",1,285,0,13,2,90,282,6,15,17,711,
24072,"Shefford/Shefford"," 625","Granby",1,245,1,27,3,69,247,5,8,22,628,
24072,"Shefford/Shefford"," 626","Granby",2,220,0,35,5,78,293,7,11,10,661,
24072,"Shefford/Shefford"," 627","Granby",1,363,3,32,11,88,345,18,13,7,881,
24072,"Shefford/Shefford",,Group 1/Groupe 1, 3,76,4,40,2,25,96,8,3,11,268,84
24072,"Shefford/Shefford",,Group 2/Groupe 2, 11,998,1,67,7,189,813,23,26,108,2243,
