Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rosemarie Falk,Erik Hansen,Larry Ingram,Ken Rutherford,Terry Sieben,Kerri Wall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 15","Lloydminster (Part)",62,11,2,7,10,1,3,96,443
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 16","Lloydminster (Part)",60,13,7,7,10,2,0,99,380
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 17","Lloydminster (Part)",46,6,1,7,9,2,2,73,316
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 18","Lloydminster (Part)",48,19,3,4,12,2,0,88,378
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 19","Lloydminster (Part)",65,23,2,7,21,1,0,119,372
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 20","Lloydminster (Part)",49,5,4,3,7,0,0,68,316
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 21","Lloydminster (Part)",98,8,5,9,9,0,1,130,385
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 22","Lloydminster (Part)",104,12,4,18,15,0,0,153,356
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 23","Lloydminster (Part)",75,10,2,10,14,2,0,113,454
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 24","Lloydminster (Part)",113,10,16,12,13,1,0,165,423
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 25","Lloydminster (Part)",98,8,6,10,13,0,0,135,454
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 26","Lloydminster (Part)",123,14,7,3,11,0,1,159,433
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 27","Lloydminster (Part)",103,9,3,16,9,1,0,141,420
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 28","Lloydminster (Part)",77,10,5,6,11,0,0,109,370
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 29","Lloydminster (Part)",106,20,10,2,13,1,0,152,497
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 30","Lloydminster (Part)",148,20,10,6,11,1,0,196,657
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 31","Lloydminster (Part)",128,24,9,11,11,1,4,188,642
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 32","Lloydminster",168,14,6,22,21,1,0,232,351
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 33","Glaslyn",53,3,5,6,6,0,1,74,196
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 34","Glaslyn",110,10,10,10,12,0,0,152,396
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 35","Marshall",284,26,6,35,31,2,5,389,646
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 36","Lashburn",186,23,4,15,6,0,0,234,391
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 37","Lashburn",126,17,5,17,15,0,0,180,290
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 38","Lashburn--Lone Rock",210,14,6,26,7,0,0,263,481
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 39","Mervin",123,12,5,11,7,2,1,161,247
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 40","Edam",270,7,5,69,26,2,1,380,537
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 41","Maidstone",93,8,6,28,9,1,0,145,427
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 42","Maidstone",120,18,4,14,12,0,0,168,478
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 43","Maidstone",122,10,5,13,12,0,0,162,392
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 44","Medstead",219,27,3,12,11,6,0,278,417
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 45","Paynton",110,13,9,29,9,3,2,175,551
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 46","Saulteaux 159",8,26,55,0,1,1,1,92,202
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 47","Moosomin 112B",5,22,45,0,0,0,0,72,210
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 48","Marsden",255,19,9,67,13,1,1,365,522
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 49","Meota",213,33,12,17,8,1,2,286,740
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 50","Prince",151,5,4,17,10,0,0,187,357
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 51","Rabbit Lake",99,8,9,3,0,3,0,122,238
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 52","Cochin",92,24,27,3,2,0,0,148,612
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 53","Little Pine 116",3,62,33,0,2,1,3,104,261
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 54","Baldwinton",103,9,3,26,8,0,0,149,354
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 55","Freemont",155,10,0,25,21,1,2,214,333
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 56","Poundmaker 114",3,38,37,0,1,1,0,80,184
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 57","Delmas",123,10,4,15,9,2,0,163,333
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 58","Cut Knife",210,58,16,18,19,1,0,322,682
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 59","North Battleford",149,23,6,18,12,1,0,209,531
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 60","North Battleford",105,29,7,4,14,1,0,160,446
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 61","North Battleford",83,33,12,8,2,1,0,139,384
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 62","North Battleford",100,26,10,3,4,3,0,146,437
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 63","North Battleford",117,21,10,9,8,1,1,167,516
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 64","North Battleford",73,31,12,9,13,1,1,140,492
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 65","North Battleford",64,24,17,2,7,1,1,116,426
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 66","North Battleford",83,24,11,0,8,0,0,126,444
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 67","Gallivan",17,53,35,2,2,2,0,111,399
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 68","North Battleford",97,23,10,6,10,2,0,148,469
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 69","North Battleford",90,14,9,4,3,1,0,121,415
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 70","North Battleford",88,19,2,12,10,0,1,132,467
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 71","North Battleford",111,32,11,7,6,0,0,167,495
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 72","North Battleford",75,38,8,3,9,0,0,133,432
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 73","North Battleford",72,24,16,10,5,4,1,132,421
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 74","North Battleford",74,45,16,5,8,2,1,151,462
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 75","North Battleford",26,11,8,1,1,1,1,49,231
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 76","North Battleford",61,34,17,0,13,1,1,127,438
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 77","North Battleford",62,20,18,1,8,0,2,111,434
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 78","North Battleford",70,28,10,3,7,3,0,121,501
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 79","North Battleford",80,23,20,1,8,2,1,135,569
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 80","North Battleford",49,31,16,3,10,4,2,115,483
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 81","Macklin",230,17,3,20,14,2,2,288,480
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 82","Macklin",183,8,2,17,13,0,1,224,341
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 83","Macklin",240,20,9,19,16,1,6,311,480
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 84","North Battleford",85,37,5,5,2,2,0,136,379
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 85","North Battleford",46,33,8,3,8,3,0,101,389
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 86","Unity",122,2,0,11,16,0,0,151,311
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 87","Unity",117,15,6,5,11,0,0,154,372
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 88","Unity",109,7,4,5,11,0,0,136,430
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 89","Unity",109,26,6,1,17,1,1,161,461
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 90","Unity",123,30,9,9,15,2,0,188,455
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 91","Battleford",77,27,7,5,9,3,0,128,498
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 92","Battleford",106,24,6,8,1,1,0,146,470
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 93","Battleford",60,23,3,3,8,3,0,100,343
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 94","Battleford",95,43,13,12,12,2,0,177,519
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 95","Battleford",122,32,8,4,8,2,0,176,474
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 96","Battleford",95,25,8,5,7,1,0,141,518
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 97","Battleford",64,22,8,3,8,3,0,108,417
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 98","Denholm",124,32,9,7,9,4,0,185,527
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 99","Porter",52,7,3,5,10,0,0,77,263
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 100","Reward",84,6,4,8,6,2,2,112,237
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 101","Swarthmore",105,2,0,4,2,1,1,115,263
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 102","Wilkie",78,8,4,0,3,0,0,93,280
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 103","Wilkie",90,15,7,4,10,2,0,128,304
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 104","Wilkie",67,6,2,1,7,0,1,84,257
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 105","Scott",100,10,1,3,10,1,0,125,417
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 106","Red Pheasant",3,19,9,0,2,0,0,33,245
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 107","Red Pheasant",33,18,9,2,5,0,0,67,174
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 108","Cactus Lake",117,2,1,22,13,0,0,155,257
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 109","Denzil",200,10,7,17,16,3,0,253,400
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 110","Luseland",181,26,7,5,19,2,2,242,402
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 111","Landis",104,18,10,7,5,1,1,146,244
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 112","Tramping Lake",62,4,0,8,6,0,1,81,172
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 113","Kelfield",97,9,0,7,11,1,0,125,290
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 114","Kerrobert",86,3,6,7,7,1,0,110,342
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 115","Kerrobert",127,7,4,6,10,1,0,155,504
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 116","Major",151,4,1,9,13,0,0,178,396
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 117","Coleville",155,6,3,7,11,0,0,182,315
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 118","Plenty",276,8,4,46,10,3,0,347,563
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°7,,,,,,,,28
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°3,,,,,,,,18
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°14,,,,,,,,47
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°6,,,,,,,,241
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°40,,,,,,,,21
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°41,,,,,,,,19
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°51,,,,,,,,15
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°58,,,,,,,,31
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°59,,,,,,,,71
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°59,,,,,,,,87
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°59,,,,,,,,90
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°59,,,,,,,,40
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,,,95
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,,,114
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°86,,,,,,,,20
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°86,,,,,,,,22
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°86,,,,,,,,9
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°103,,,,,,,,29
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°103,,,,,,,,13
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°114,,,,,,,,19
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 600","Seekaskootch 119",5,7,12,1,2,0,0,27,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 601","St. Walburg",546,28,30,69,34,3,3,713,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 602","Lloydminster (Part)",878,90,41,166,99,11,9,1294,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 603","Lloydminster (Part)",665,81,43,78,75,2,5,949,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 604","Lashburn",395,53,2,74,32,1,2,559,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 605","Livelong",318,31,17,35,18,3,3,425,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 606","Rabbit Lake",340,39,35,15,26,5,1,461,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 607","North Battleford",955,187,56,54,57,11,2,1322,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 608","North Battleford",631,182,95,20,59,10,6,1003,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 609","Battleford",816,170,51,46,59,8,6,1156,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 610","Gallivan",370,35,20,26,25,3,2,481,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 611","Maidstone",299,35,4,52,18,2,3,413,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 612","Macklin",648,98,44,42,51,3,1,887,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 613","Cando",387,52,23,13,30,6,2,513,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 614","Plenty",500,32,9,38,34,5,4,622,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster",,Group 1/Groupe 1, 219,87,73,31,20,4,18,452,142
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster",,Group 2/Groupe 2, 595,246,145,42,41,23,39,1131,
