Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,Robert Eppich,Susan Farlinger,Gord Johns,Susanne Lawson,Mary Lee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59009,"Courtenay--Alberni/Courtenay--Alberni"," 89","Ucluelet",0,2,4,46,17,12,0,81,254
59009,"Courtenay--Alberni/Courtenay--Alberni"," 90","Ucluelet",0,9,25,126,29,33,0,222,605
59009,"Courtenay--Alberni/Courtenay--Alberni"," 91","Ucluelet",0,2,6,123,27,31,1,190,492
59009,"Courtenay--Alberni/Courtenay--Alberni"," 92","Ucluelet",0,1,19,81,14,42,0,157,416
59009,"Courtenay--Alberni/Courtenay--Alberni"," 93","Deep Bay",0,2,23,75,10,30,1,141,451
59009,"Courtenay--Alberni/Courtenay--Alberni"," 94","Deep Bay",1,18,22,55,8,51,0,155,464
59009,"Courtenay--Alberni/Courtenay--Alberni"," 95","Bowser",0,15,25,54,10,50,0,154,470
59009,"Courtenay--Alberni/Courtenay--Alberni"," 96","Bowser",0,7,21,54,15,42,0,139,406
59009,"Courtenay--Alberni/Courtenay--Alberni"," 97","Qualicum Bay",0,14,25,56,10,38,0,143,507
59009,"Courtenay--Alberni/Courtenay--Alberni"," 98","Dashwood",0,11,13,43,7,50,0,124,433
59009,"Courtenay--Alberni/Courtenay--Alberni"," 99","Dunsmuir",0,11,22,75,4,56,0,168,570
59009,"Courtenay--Alberni/Courtenay--Alberni"," 100","Dunsmuir",0,13,22,71,16,57,0,179,616
59009,"Courtenay--Alberni/Courtenay--Alberni"," 101","Qualicum Beach",0,9,10,39,5,60,2,125,349
59009,"Courtenay--Alberni/Courtenay--Alberni"," 102","Qualicum Beach",1,10,35,45,9,54,0,154,487
59009,"Courtenay--Alberni/Courtenay--Alberni"," 103","Port Alberni",0,9,14,72,4,60,0,159,387
59009,"Courtenay--Alberni/Courtenay--Alberni"," 104","Port Alberni",0,5,18,77,3,33,1,137,458
59009,"Courtenay--Alberni/Courtenay--Alberni"," 105","Port Alberni",0,13,15,81,2,52,2,165,462
59009,"Courtenay--Alberni/Courtenay--Alberni"," 106","Port Alberni",1,9,9,88,8,40,0,155,525
59009,"Courtenay--Alberni/Courtenay--Alberni"," 107","Port Alberni",1,4,12,55,3,35,0,110,431
59009,"Courtenay--Alberni/Courtenay--Alberni"," 108","Port Alberni",0,7,17,64,2,38,0,128,463
59009,"Courtenay--Alberni/Courtenay--Alberni"," 109","Port Alberni",0,11,18,80,9,38,0,156,494
59009,"Courtenay--Alberni/Courtenay--Alberni"," 110","Port Alberni",0,11,13,92,3,44,0,163,483
