Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Babcock,Mike Bossio,Matilda DeBues,Shelby Kramp-Neuman,Jennifer Sloan,Reg Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 101","Naphan",Merged with No./Fusionné avec le n°102,,,,,,,,398
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 102","Read",25,125,43,224,5,8,5,435,453
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 103","Halston",14,65,34,142,3,8,1,267,558
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 104","Amherstview",7,141,63,123,2,4,3,343,1043
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 105","Amherstview",11,42,46,41,1,1,0,142,474
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 106","Rawdon",12,34,22,92,3,1,1,165,431
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 107","Bonarlaw",8,45,20,93,2,2,2,172,444
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 108","Minto",Merged with No./Fusionné avec le n°109,,,,,,,,316
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 109","Rawdon",19,72,32,117,8,8,1,257,373
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 110","Amherstview",9,52,31,47,0,1,0,140,314
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 111","Amherstview",9,68,39,40,0,0,0,156,459
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 112","Amherstview",9,36,34,37,2,5,2,125,354
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 113","Amherstview",13,64,18,38,0,0,0,133,380
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 114","Thomasburg",Merged with No./Fusionné avec le n°115,,,,,,,,384
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 115","West Huntingdon",21,128,42,213,14,6,2,426,422
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 116","Amherstview",8,27,23,25,1,2,0,86,320
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 117","Amherstview",3,33,25,15,0,1,1,78,282
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 118","Amherstview",3,30,29,27,1,1,0,91,303
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 119","Amherstview",14,48,28,38,0,2,0,130,398
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 120","Amherstview",8,42,41,47,1,0,2,141,383
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 121","Amherstview",8,67,35,63,0,3,1,177,458
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 122","Amherstview",0,14,14,12,1,1,1,43,242
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 123","Amherstview",3,42,14,33,0,0,2,94,320
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 124","Loyalist",3,45,20,34,0,3,0,105,336
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 125","Amherstview",6,47,22,54,0,2,1,132,408
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 126","Bayview",3,64,21,50,1,4,1,144,433
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 127","Greater Napanee",19,105,53,126,3,5,0,311,531
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 128","Greater Napanee",Merged with No./Fusionné avec le n°127,,,,,,,,283
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 129","Ernestown",7,44,29,47,2,4,0,133,384
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 130","Millhaven",3,55,28,47,0,4,0,137,308
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 131","Greater Napanee",13,42,25,44,1,1,1,127,413
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 132","Greater Napanee",7,46,15,39,3,1,1,112,377
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 133","Greater Napanee",5,54,19,21,4,1,0,104,303
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 134","Greater Napanee",11,31,16,57,5,3,0,123,451
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 135","Greater Napanee",8,35,19,29,0,4,0,95,382
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 136","Greater Napanee",19,49,22,67,2,3,0,162,562
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 137","Greater Napanee",6,79,17,81,1,2,0,186,442
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 138","Morven",16,58,24,61,0,0,0,159,402
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 139","Loyalist",17,87,54,71,0,3,0,232,476
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 140","Loyalist",13,63,28,53,1,6,0,164,321
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 141","Bath",11,79,25,66,2,3,0,186,405
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 142","Greater Napanee",13,54,30,81,1,3,0,182,525
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 143","Greater Napanee",7,53,26,66,3,4,2,161,446
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 144","Greater Napanee",7,57,21,44,2,3,0,134,477
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 145","Greater Napanee",15,87,40,100,0,8,1,251,463
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 146","Greater Napanee",Merged with No./Fusionné avec le n°145,,,,,,,,453
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 147","Greater Napanee",4,39,10,57,2,3,0,115,511
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 148","Greater Napanee",6,29,12,34,1,2,0,84,553
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 149","Lonsdale",7,85,12,63,1,0,0,168,334
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 150","Melrose",27,86,29,98,2,6,3,251,418
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 151","Belleville",13,55,17,92,3,2,2,184,536
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 152","Belleville",Merged with No./Fusionné avec le n°168,,,,,,,,287
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 153","Belleville",13,79,36,127,9,1,1,266,433
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 154","Belleville",19,50,20,100,2,1,3,195,553
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 155","Loyalist",5,147,20,95,1,3,1,272,631
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 156","Loyalist",4,89,19,47,0,2,1,162,332
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 157","Stirling",5,64,14,71,4,2,3,163,446
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 158","Stirling",Merged with No./Fusionné avec le n°159,,,,,,,,339
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 159","Mount Pleasant",5,84,38,160,9,3,0,299,418
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 160","Greater Napanee",16,106,47,126,3,7,0,305,526
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 161","Greater Napanee",Merged with No./Fusionné avec le n°160,,,,,,,,408
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 162","Greater Napanee",5,60,28,82,0,1,0,176,749
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 163","Greater Napanee",Merged with No./Fusionné avec le n°177,,,,,,,,363
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 164","Belleville",Merged with No./Fusionné avec le n°166,,,,,,,,525
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 165","Belleville",11,64,27,100,3,5,1,211,572
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 166","Belleville",11,106,44,193,3,4,3,364,469
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 167","Belleville",Merged with No./Fusionné avec le n°153,,,,,,,,425
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 168","Belleville",18,67,30,127,6,5,0,253,400
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 169","Marysville",Merged with No./Fusionné avec le n°174,,,,,,,,425
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 170","Stirling",Merged with No./Fusionné avec le n°172,,,,,,,,391
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 171","Stirling",4,53,22,60,4,2,0,145,453
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 172","Stirling",11,65,42,112,10,3,4,247,410
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 173","Blessington",8,47,18,92,0,3,0,168,465
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 174","Belleville",11,69,39,87,3,5,3,217,493
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 175","Shannonville",Merged with No./Fusionné avec le n°176,,,,,,,,320
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 176","Shannonville",16,88,40,80,2,3,0,229,380
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 177","Deseronto",16,91,42,91,0,7,0,247,390
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 178","Deseronto",Merged with No./Fusionné avec le n°179,,,,,,,,322
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 179","Deseronto",22,61,44,98,1,6,1,233,360
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 180","Deseronto",12,38,32,57,1,6,0,146,489
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 181","Greater Napanee",9,81,27,109,2,3,0,231,401
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 182","Greater Napanee",11,50,12,56,1,3,0,133,398
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 183","Greater Napanee",6,59,17,72,1,3,0,158,491
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 184","Greater Napanee",4,47,21,92,2,4,1,171,468
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 185","Amherst Island",7,158,28,52,1,11,0,257,381
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 186","Tyendinaga Mohawk Territory",17,49,45,41,0,4,0,156,659
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 187","Tyendinaga Mohawk Territory",5,60,34,34,0,1,2,136,534
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 188","Tyendinaga Mohawk Territory",11,94,55,67,2,3,0,232,808
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 189","Belleville",6,94,27,112,4,3,2,248,831
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 190","Belleville",6,41,16,58,4,4,1,130,475
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 191","Belleville",7,166,43,180,6,4,1,407,1234
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 192","Belleville",10,138,43,153,4,4,1,353,1114
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 193","Belleville",3,55,20,74,5,5,3,165,509
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 194","Greater Napanee",5,69,34,98,0,5,1,212,476
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 195","Greater Napanee",5,115,22,123,2,11,0,278,638
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 400","Mobile poll/Bureau itinérant",2,22,4,9,1,2,4,44,81
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°85,,,,,,,,57
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 501","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,22
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 502","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,7
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 503","Mobile poll/Bureau itinérant",0,12,1,22,0,1,0,36,41
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 504","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,34
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 505","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,29
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 506","Mobile poll/Bureau itinérant",2,23,5,17,2,2,2,53,79
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 507","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,46
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 508","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,45
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 509","Mobile poll/Bureau itinérant",0,21,3,34,1,1,0,60,69
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 510","Mobile poll/Bureau itinérant",0,22,8,9,0,2,2,43,28
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 511","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,58
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 512","Mobile poll/Bureau itinérant",4,7,2,13,0,3,1,30,21
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 600","Bancroft",33,165,38,352,12,12,5,617,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 601","Bancroft",36,116,30,276,7,5,0,470,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 602","Addington Highlands",50,123,35,270,6,13,3,500,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 603","Queensborough",28,55,20,167,8,4,0,282,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 604","Madoc",37,273,58,431,44,21,0,864,
