Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenni Michelle Le Forestier,Stephen McKendrick,Lisa Post,Samantha Sanchez,Kyle Seeback,Anthony Zambito,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35022,"Dufferin--Caledon/Dufferin--Caledon"," 509","Orangeville",Merged with No./Fusionné avec le n°110,,,,,,,,83
35022,"Dufferin--Caledon/Dufferin--Caledon"," 510","Orangeville",Merged with No./Fusionné avec le n°120,,,,,,,,35
35022,"Dufferin--Caledon/Dufferin--Caledon"," 511","Mobile poll/Bureau itinérant",1,4,42,3,32,3,1,86,106
35022,"Dufferin--Caledon/Dufferin--Caledon"," 512","Caledon",Merged with No./Fusionné avec le n°150,,,,,,,,33
35022,"Dufferin--Caledon/Dufferin--Caledon"," 513","Caledon",Merged with No./Fusionné avec le n°144,,,,,,,,28
35022,"Dufferin--Caledon/Dufferin--Caledon"," 514","Mobile poll/Bureau itinérant",2,2,25,6,6,1,2,44,59
35022,"Dufferin--Caledon/Dufferin--Caledon"," 515","Caledon",Merged with No./Fusionné avec le n°105,,,,,,,,41
35022,"Dufferin--Caledon/Dufferin--Caledon"," 516","Caledon",Merged with No./Fusionné avec le n°58,,,,,,,,60
35022,"Dufferin--Caledon/Dufferin--Caledon"," 517","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,58
35022,"Dufferin--Caledon/Dufferin--Caledon"," 518","Caledon",Merged with No./Fusionné avec le n°62,,,,,,,,25
35022,"Dufferin--Caledon/Dufferin--Caledon"," 519","Caledon",Merged with No./Fusionné avec le n°63,,,,,,,,30
35022,"Dufferin--Caledon/Dufferin--Caledon"," 520","Mobile poll/Bureau itinérant",0,0,9,1,4,0,1,15,28
35022,"Dufferin--Caledon/Dufferin--Caledon"," 521","Mobile poll/Bureau itinérant",1,0,17,1,9,0,0,28,17
35022,"Dufferin--Caledon/Dufferin--Caledon"," 522","Caledon",Merged with No./Fusionné avec le n°117,,,,,,,,27
35022,"Dufferin--Caledon/Dufferin--Caledon"," 600","Mulmur",41,3,199,59,407,57,1,767,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 601","Shelburne",46,3,263,94,607,116,5,1134,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 602","Amaranth--East Luther--Grand Valley",54,4,266,76,589,92,5,1086,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 603","Amaranth",14,0,65,24,237,33,0,373,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 604","Shelburne",41,2,321,112,574,98,10,1158,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 605","Mono",40,2,276,40,530,70,2,960,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 606","Orangeville",41,1,228,44,356,65,1,736,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 607","Orangeville",28,1,233,73,422,64,3,824,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 608","Orangeville",59,3,276,100,427,79,2,946,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 609","Orangeville",54,1,316,127,523,82,2,1105,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 610","Orangeville",42,5,263,66,514,68,3,961,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 611","Caledon",102,1,350,90,631,72,3,1249,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 612","Caledon",38,0,253,65,446,88,6,896,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 613","Caledon",53,4,469,82,879,84,11,1582,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 614","Caledon",38,5,468,115,714,133,4,1477,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 615","Caledon",36,4,427,113,562,114,7,1263,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 616","Caledon",15,4,358,103,495,111,2,1088,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 617","Caledon",19,0,332,93,511,131,1,1087,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 618","Caledon",15,0,472,107,556,39,3,1192,
35022,"Dufferin--Caledon/Dufferin--Caledon"," 619","Caledon",29,8,460,112,492,55,3,1159,
35022,"Dufferin--Caledon/Dufferin--Caledon",,Group 1/Groupe 1, 33,1,160,80,189,27,25,515,142
35022,"Dufferin--Caledon/Dufferin--Caledon",,Group 2/Groupe 2, 166,4,1106,291,1276,126,69,3038,
