Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jonathan Cassels,Bardish Chagger,Patrick Doucette,Meghan Shannon,Karla Villagomez Fajardo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35112,"Waterloo/Waterloo"," 72","Waterloo",26,93,7,63,7,1,197,457
35112,"Waterloo/Waterloo"," 73","Waterloo",27,45,12,34,10,0,128,380
35112,"Waterloo/Waterloo"," 74","Waterloo",41,71,12,35,15,2,176,539
35112,"Waterloo/Waterloo"," 75","Waterloo",41,61,10,51,9,3,175,441
35112,"Waterloo/Waterloo"," 76","Waterloo",21,47,16,36,1,1,122,403
35112,"Waterloo/Waterloo"," 77","Waterloo",40,49,7,27,2,0,125,357
35112,"Waterloo/Waterloo"," 78","Waterloo",41,59,7,46,6,0,159,425
35112,"Waterloo/Waterloo"," 79","Waterloo",40,40,12,36,7,0,135,397
35112,"Waterloo/Waterloo"," 80","Waterloo",42,95,18,46,10,1,212,551
35112,"Waterloo/Waterloo"," 81","Waterloo",45,67,8,47,9,1,177,458
35112,"Waterloo/Waterloo"," 82","Waterloo",20,68,9,50,2,0,149,334
35112,"Waterloo/Waterloo"," 83","Waterloo",38,57,11,35,5,4,150,584
35112,"Waterloo/Waterloo"," 84","Waterloo",30,85,11,61,5,1,193,401
35112,"Waterloo/Waterloo"," 85","Waterloo",50,73,10,55,6,2,196,499
35112,"Waterloo/Waterloo"," 86","Waterloo",66,78,6,40,15,1,206,529
35112,"Waterloo/Waterloo"," 87","Waterloo",186,128,14,106,13,4,451,910
35112,"Waterloo/Waterloo"," 88","Waterloo",162,97,7,80,23,2,371,739
35112,"Waterloo/Waterloo"," 89","Waterloo",183,123,6,72,17,1,402,926
35112,"Waterloo/Waterloo"," 90","Waterloo",24,61,5,34,4,0,128,372
35112,"Waterloo/Waterloo"," 91","Waterloo",36,116,14,60,12,3,241,436
35112,"Waterloo/Waterloo"," 92","Waterloo",Merged with No./Fusionné avec le n°91,,,,,,,402
35112,"Waterloo/Waterloo"," 93","Waterloo",23,67,13,27,9,0,139,444
35112,"Waterloo/Waterloo"," 94","Waterloo",55,63,8,25,3,1,155,291
35112,"Waterloo/Waterloo"," 95","Waterloo",62,62,9,52,15,1,201,454
35112,"Waterloo/Waterloo"," 96","Waterloo",35,44,7,23,10,3,122,403
35112,"Waterloo/Waterloo"," 97","Waterloo",35,82,18,47,15,0,197,473
35112,"Waterloo/Waterloo"," 98","Waterloo",41,43,10,26,7,1,128,353
35112,"Waterloo/Waterloo"," 99","Waterloo",86,63,4,43,8,0,204,540
35112,"Waterloo/Waterloo"," 100","Waterloo",194,115,11,118,13,0,451,683
35112,"Waterloo/Waterloo"," 101","Waterloo",168,121,5,68,14,3,379,740
35112,"Waterloo/Waterloo"," 102","Waterloo",24,84,13,54,6,1,182,489
35112,"Waterloo/Waterloo"," 103","Waterloo",37,102,5,47,8,1,200,471
35112,"Waterloo/Waterloo"," 104","Waterloo",15,81,6,45,7,0,154,424
35112,"Waterloo/Waterloo"," 105","Waterloo",25,100,8,60,4,1,198,465
35112,"Waterloo/Waterloo"," 106","Waterloo",15,70,3,52,4,0,144,347
35112,"Waterloo/Waterloo"," 107","Waterloo",109,85,5,60,11,0,270,613
35112,"Waterloo/Waterloo"," 108","Waterloo",57,58,10,25,10,0,160,456
35112,"Waterloo/Waterloo"," 109","Waterloo",104,82,12,38,13,1,250,502
35112,"Waterloo/Waterloo"," 110","Waterloo",121,63,9,42,14,2,251,350
35112,"Waterloo/Waterloo"," 111","Waterloo",129,78,4,61,5,2,279,347
35112,"Waterloo/Waterloo"," 112","Waterloo",114,84,8,56,15,0,277,542
35112,"Waterloo/Waterloo"," 113","Waterloo",101,90,9,47,14,1,262,467
35112,"Waterloo/Waterloo"," 114","Waterloo",52,96,7,48,15,1,219,475
35112,"Waterloo/Waterloo"," 115","Waterloo",46,145,6,46,14,1,258,364
35112,"Waterloo/Waterloo"," 116","Waterloo",54,78,6,34,4,0,176,405
35112,"Waterloo/Waterloo"," 117","Waterloo",Merged with No./Fusionné avec le n°115,,,,,,,309
35112,"Waterloo/Waterloo"," 118","Waterloo",65,66,9,45,12,1,198,496
35112,"Waterloo/Waterloo"," 119","Waterloo",39,68,7,27,8,1,150,419
35112,"Waterloo/Waterloo"," 120","Waterloo",14,142,3,55,9,2,225,285
35112,"Waterloo/Waterloo"," 121","Waterloo",47,99,12,40,6,2,206,422
35112,"Waterloo/Waterloo"," 122","Waterloo",28,112,6,68,5,1,220,518
35112,"Waterloo/Waterloo"," 123","Waterloo",8,47,1,36,2,1,95,350
35112,"Waterloo/Waterloo"," 124","Waterloo",11,73,7,79,5,0,175,452
35112,"Waterloo/Waterloo"," 125","Waterloo",23,123,4,51,16,1,218,449
35112,"Waterloo/Waterloo"," 126","Waterloo",33,80,5,50,7,0,175,508
35112,"Waterloo/Waterloo"," 127","Waterloo",40,63,7,50,3,0,163,540
35112,"Waterloo/Waterloo"," 128","Waterloo",42,111,12,71,9,0,245,430
35112,"Waterloo/Waterloo"," 129","Waterloo",Merged with No./Fusionné avec le n°125,,,,,,,383
35112,"Waterloo/Waterloo"," 130","Waterloo",39,85,4,39,9,0,176,380
35112,"Waterloo/Waterloo"," 131","Waterloo",55,74,8,23,19,0,179,428
35112,"Waterloo/Waterloo"," 132","Waterloo",59,48,4,33,7,2,153,449
35112,"Waterloo/Waterloo"," 133","Waterloo",25,90,9,34,12,0,170,394
35112,"Waterloo/Waterloo"," 134","Waterloo",55,156,1,65,15,1,293,407
35112,"Waterloo/Waterloo"," 135","Waterloo",51,105,4,41,11,0,212,533
35112,"Waterloo/Waterloo"," 136","Waterloo",41,107,9,61,16,3,237,578
35112,"Waterloo/Waterloo"," 137","Waterloo",Merged with No./Fusionné avec le n°134,,,,,,,384
35112,"Waterloo/Waterloo"," 138","Waterloo",87,59,9,52,3,1,211,372
35112,"Waterloo/Waterloo"," 139","Waterloo",30,53,4,19,2,2,110,289
35112,"Waterloo/Waterloo"," 140","Waterloo",22,79,9,59,7,1,177,443
35112,"Waterloo/Waterloo"," 141","Waterloo",25,63,5,63,6,1,163,474
35112,"Waterloo/Waterloo"," 142","Waterloo",31,93,7,26,6,0,163,495
35112,"Waterloo/Waterloo"," 143","Waterloo",23,67,4,59,1,3,157,577
35112,"Waterloo/Waterloo"," 144","Waterloo",12,65,5,47,3,0,132,380
35112,"Waterloo/Waterloo"," 145","Waterloo",31,90,12,44,7,1,185,475
35112,"Waterloo/Waterloo"," 146","Waterloo",33,114,7,64,9,3,230,465
35112,"Waterloo/Waterloo"," 147","Waterloo",37,86,4,56,2,2,187,482
35112,"Waterloo/Waterloo"," 148","Waterloo",16,88,8,64,5,1,182,408
35112,"Waterloo/Waterloo"," 149","Waterloo",34,49,2,15,7,1,108,416
35112,"Waterloo/Waterloo"," 150","Waterloo",64,65,8,41,7,3,188,569
35112,"Waterloo/Waterloo"," 151","Waterloo",Merged with No./Fusionné avec le n°133,,,,,,,284
35112,"Waterloo/Waterloo"," 152","Waterloo",71,103,19,61,28,1,283,490
35112,"Waterloo/Waterloo"," 153","Waterloo",26,92,18,78,8,0,222,453
35112,"Waterloo/Waterloo"," 154","Waterloo",15,74,9,32,4,2,136,386
35112,"Waterloo/Waterloo"," 155","Waterloo",18,60,6,55,1,1,141,437
35112,"Waterloo/Waterloo"," 156","Waterloo",Merged with No./Fusionné avec le n°159,,,,,,,267
35112,"Waterloo/Waterloo"," 157","Waterloo",Merged with No./Fusionné avec le n°153,,,,,,,402
35112,"Waterloo/Waterloo"," 158","Waterloo",23,71,5,39,2,0,140,490
35112,"Waterloo/Waterloo"," 159","Waterloo",21,99,5,66,8,0,199,453
35112,"Waterloo/Waterloo"," 160","Waterloo",72,67,13,76,12,3,243,461
35112,"Waterloo/Waterloo"," 161","Waterloo",57,82,16,38,10,2,205,564
35112,"Waterloo/Waterloo"," 162","Waterloo",59,58,12,50,5,0,184,443
35112,"Waterloo/Waterloo"," 163","Waterloo",33,107,2,54,7,1,204,414
35112,"Waterloo/Waterloo"," 164","Waterloo",20,47,4,39,5,0,115,330
35112,"Waterloo/Waterloo"," 165","Waterloo",25,74,1,29,7,0,136,346
35112,"Waterloo/Waterloo"," 166","Waterloo",33,58,2,42,6,0,141,387
35112,"Waterloo/Waterloo"," 167","Waterloo",13,71,1,44,11,0,140,353
35112,"Waterloo/Waterloo"," 168","Waterloo",42,94,6,39,9,1,191,457
35112,"Waterloo/Waterloo"," 169","Waterloo",10,70,15,43,2,0,140,339
35112,"Waterloo/Waterloo"," 170","Waterloo",25,52,14,43,6,0,140,426
35112,"Waterloo/Waterloo"," 171","Waterloo",20,81,7,69,5,1,183,366
35112,"Waterloo/Waterloo"," 172","Waterloo",43,94,13,63,5,0,218,423
35112,"Waterloo/Waterloo"," 173","Waterloo",33,195,15,125,9,2,379,902
35112,"Waterloo/Waterloo"," 174","Waterloo",29,148,6,96,8,2,289,752
35112,"Waterloo/Waterloo"," 175","Waterloo",21,52,2,27,1,1,104,352
35112,"Waterloo/Waterloo"," 176","Waterloo",25,75,3,27,2,0,132,394
35112,"Waterloo/Waterloo"," 177","Waterloo",22,53,4,25,1,0,105,381
35112,"Waterloo/Waterloo"," 178","Waterloo",15,48,9,30,8,0,110,422
35112,"Waterloo/Waterloo"," 179","Waterloo",37,46,8,26,4,0,121,477
35112,"Waterloo/Waterloo"," 180","Waterloo",40,91,9,72,4,0,216,613
35112,"Waterloo/Waterloo"," 181","Waterloo",23,107,4,68,6,0,208,446
35112,"Waterloo/Waterloo"," 182","Waterloo",Merged with No./Fusionné avec le n°183,,,,,,,327
35112,"Waterloo/Waterloo"," 183","Waterloo",50,121,4,64,14,1,254,402
35112,"Waterloo/Waterloo"," 184","Waterloo",24,61,8,45,8,1,147,413
35112,"Waterloo/Waterloo"," 185","Waterloo",35,77,11,38,10,0,171,479
35112,"Waterloo/Waterloo"," 186","Waterloo",29,65,4,45,3,1,147,381
35112,"Waterloo/Waterloo"," 187","Waterloo",54,138,7,48,7,2,256,376
35112,"Waterloo/Waterloo"," 188","Waterloo",Merged with No./Fusionné avec le n°187,,,,,,,337
35112,"Waterloo/Waterloo"," 189","Waterloo",17,73,3,35,8,0,136,385
35112,"Waterloo/Waterloo"," 190","Waterloo",30,74,4,37,6,2,153,404
35112,"Waterloo/Waterloo"," 191","Waterloo",43,67,13,43,6,2,174,429
35112,"Waterloo/Waterloo"," 192","Waterloo",30,73,13,42,8,1,167,472
35112,"Waterloo/Waterloo"," 400","Waterloo",37,33,3,23,4,0,100,299
35112,"Waterloo/Waterloo"," 401","Waterloo",32,77,4,34,7,1,155,192
35112,"Waterloo/Waterloo"," 402","Waterloo",Merged with No./Fusionné avec le n°401,,,,,,,181
35112,"Waterloo/Waterloo"," 403","Waterloo",34,128,11,33,10,0,216,292
35112,"Waterloo/Waterloo"," 404","Waterloo",Merged with No./Fusionné avec le n°403,,,,,,,284
35112,"Waterloo/Waterloo"," 500","Mobile poll/Bureau itinérant",3,14,2,10,1,1,31,81
35112,"Waterloo/Waterloo"," 501","Mobile poll/Bureau itinérant",4,11,1,7,2,1,26,48
35112,"Waterloo/Waterloo"," 502","Mobile poll/Bureau itinérant",19,109,3,51,3,10,195,206
35112,"Waterloo/Waterloo"," 503","Mobile poll/Bureau itinérant",3,30,1,12,0,2,48,16
35112,"Waterloo/Waterloo"," 504","Mobile poll/Bureau itinérant",3,27,3,14,2,0,49,78
35112,"Waterloo/Waterloo"," 505","Mobile poll/Bureau itinérant",3,21,6,24,3,3,60,104
35112,"Waterloo/Waterloo"," 506","Mobile poll/Bureau itinérant",2,39,2,21,0,6,70,21
35112,"Waterloo/Waterloo"," 507","Mobile poll/Bureau itinérant",8,40,2,16,3,1,70,125
35112,"Waterloo/Waterloo"," 508","Mobile poll/Bureau itinérant",1,20,0,13,0,1,35,57
35112,"Waterloo/Waterloo"," 509","Mobile poll/Bureau itinérant",5,26,1,12,4,2,50,76
35112,"Waterloo/Waterloo"," 510","Mobile poll/Bureau itinérant",4,50,0,25,1,0,80,130
35112,"Waterloo/Waterloo"," 511","Mobile poll/Bureau itinérant",5,36,1,17,1,4,64,114
35112,"Waterloo/Waterloo"," 512","Mobile poll/Bureau itinérant",4,31,0,25,2,8,70,56
35112,"Waterloo/Waterloo"," 600","Waterloo",183,599,67,465,22,5,1341,
35112,"Waterloo/Waterloo"," 601","Waterloo",166,509,56,360,25,1,1117,
35112,"Waterloo/Waterloo"," 602","Waterloo",112,562,55,447,17,10,1203,
35112,"Waterloo/Waterloo"," 603","Waterloo",136,594,68,378,47,3,1226,
35112,"Waterloo/Waterloo"," 604","Kitchener",204,504,107,415,25,4,1259,
35112,"Waterloo/Waterloo"," 605","Waterloo",199,528,66,269,47,2,1111,
35112,"Waterloo/Waterloo"," 606","Waterloo",293,793,67,272,74,4,1503,
35112,"Waterloo/Waterloo"," 607","Waterloo",261,501,97,311,38,4,1212,
35112,"Waterloo/Waterloo"," 608","Waterloo",181,644,71,436,42,3,1377,
35112,"Waterloo/Waterloo"," 609","Waterloo",188,521,34,370,32,7,1152,
35112,"Waterloo/Waterloo"," 610","Waterloo",202,669,49,280,46,2,1248,
35112,"Waterloo/Waterloo"," 611","Waterloo",185,667,56,376,30,10,1324,
35112,"Waterloo/Waterloo"," 612","Waterloo",116,713,49,425,24,2,1329,
35112,"Waterloo/Waterloo"," 613","Waterloo",98,501,47,358,12,0,1016,
35112,"Waterloo/Waterloo"," 614","Waterloo",210,764,74,417,36,6,1507,
35112,"Waterloo/Waterloo"," 615","Waterloo",161,663,57,336,33,5,1255,
35112,"Waterloo/Waterloo",,Group 1/Groupe 1, 198,348,19,145,31,32,773,501
35112,"Waterloo/Waterloo",,Group 2/Groupe 2, 724,1997,80,817,102,42,3762,
