Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nicholas Clayton,Terry Dowdall,Lucas Gillies,Adam Minatel,Bren Munro,Ken Stouffer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Simcoe--Grey/Simcoe--Grey"," 241","New Tecumseth",Merged with No./Fusionné avec le n°244,,,,,,,,394
35099,"Simcoe--Grey/Simcoe--Grey"," 242","New Tecumseth",Merged with No./Fusionné avec le n°238,,,,,,,,322
35099,"Simcoe--Grey/Simcoe--Grey"," 243","New Tecumseth",Merged with No./Fusionné avec le n°240,,,,,,,,380
35099,"Simcoe--Grey/Simcoe--Grey"," 244","New Tecumseth",8,72,35,18,44,2,0,179,458
35099,"Simcoe--Grey/Simcoe--Grey"," 245","New Tecumseth",5,96,34,16,36,0,1,188,443
35099,"Simcoe--Grey/Simcoe--Grey"," 246","New Tecumseth",Merged with No./Fusionné avec le n°238,,,,,,,,308
35099,"Simcoe--Grey/Simcoe--Grey"," 247","New Tecumseth",4,92,16,14,38,0,1,165,413
35099,"Simcoe--Grey/Simcoe--Grey"," 248","New Tecumseth",Merged with No./Fusionné avec le n°256,,,,,,,,428
35099,"Simcoe--Grey/Simcoe--Grey"," 249","New Tecumseth",10,92,46,17,56,2,0,223,375
35099,"Simcoe--Grey/Simcoe--Grey"," 250","New Tecumseth",Merged with No./Fusionné avec le n°249,,,,,,,,346
35099,"Simcoe--Grey/Simcoe--Grey"," 251","New Tecumseth",9,103,37,21,49,0,0,219,628
35099,"Simcoe--Grey/Simcoe--Grey"," 252","New Tecumseth",8,156,50,19,91,0,3,327,478
35099,"Simcoe--Grey/Simcoe--Grey"," 253","New Tecumseth",Merged with No./Fusionné avec le n°252,,,,,,,,438
35099,"Simcoe--Grey/Simcoe--Grey"," 254","New Tecumseth",7,90,41,22,67,0,0,227,444
35099,"Simcoe--Grey/Simcoe--Grey"," 255","New Tecumseth",13,146,66,22,62,2,0,311,502
35099,"Simcoe--Grey/Simcoe--Grey"," 256","New Tecumseth",10,152,31,28,64,2,0,287,445
35099,"Simcoe--Grey/Simcoe--Grey"," 257","New Tecumseth",Merged with No./Fusionné avec le n°255,,,,,,,,410
35099,"Simcoe--Grey/Simcoe--Grey"," 258","New Tecumseth",9,125,24,20,75,0,3,256,775
35099,"Simcoe--Grey/Simcoe--Grey"," 259","New Tecumseth",Merged with No./Fusionné avec le n°261,,,,,,,,415
35099,"Simcoe--Grey/Simcoe--Grey"," 260","New Tecumseth",13,169,47,22,109,3,0,363,749
35099,"Simcoe--Grey/Simcoe--Grey"," 261","New Tecumseth",11,131,51,25,64,4,0,286,525
35099,"Simcoe--Grey/Simcoe--Grey"," 262","New Tecumseth",9,86,41,26,57,1,1,221,726
35099,"Simcoe--Grey/Simcoe--Grey"," 263","New Tecumseth",5,139,34,22,100,0,2,302,1024
35099,"Simcoe--Grey/Simcoe--Grey"," 264","New Tecumseth",Merged with No./Fusionné avec le n°254,,,,,,,,413
35099,"Simcoe--Grey/Simcoe--Grey"," 265","New Tecumseth",Merged with No./Fusionné avec le n°260,,,,,,,,357
35099,"Simcoe--Grey/Simcoe--Grey"," 400","Collingwood",0,24,2,2,19,0,0,47,131
35099,"Simcoe--Grey/Simcoe--Grey"," 401","New Tecumseth",1,26,7,1,20,3,3,61,78
35099,"Simcoe--Grey/Simcoe--Grey"," 500","Mobile poll/Bureau itinérant",2,14,1,4,13,0,2,36,51
35099,"Simcoe--Grey/Simcoe--Grey"," 501","Mobile poll/Bureau itinérant",0,17,0,0,23,0,0,40,80
35099,"Simcoe--Grey/Simcoe--Grey"," 502","Mobile poll/Bureau itinérant",1,8,4,1,7,0,0,21,32
35099,"Simcoe--Grey/Simcoe--Grey"," 503","Mobile poll/Bureau itinérant",0,12,3,0,10,0,0,25,49
35099,"Simcoe--Grey/Simcoe--Grey"," 504","Mobile poll/Bureau itinérant",0,4,6,1,7,3,1,22,38
35099,"Simcoe--Grey/Simcoe--Grey"," 505","Wasaga Beach",Merged with No./Fusionné avec le n°89,,,,,,,,2
35099,"Simcoe--Grey/Simcoe--Grey"," 506","Mobile poll/Bureau itinérant",0,20,3,0,14,2,1,40,93
35099,"Simcoe--Grey/Simcoe--Grey"," 507","Mobile poll/Bureau itinérant",0,0,2,2,2,0,6,12,29
35099,"Simcoe--Grey/Simcoe--Grey"," 508","Mobile poll/Bureau itinérant",0,3,0,0,4,0,0,7,20
35099,"Simcoe--Grey/Simcoe--Grey"," 509","Mobile poll/Bureau itinérant",1,12,4,0,5,1,2,25,38
35099,"Simcoe--Grey/Simcoe--Grey"," 510","Mobile poll/Bureau itinérant",3,8,3,0,7,4,1,26,63
35099,"Simcoe--Grey/Simcoe--Grey"," 511","Mobile poll/Bureau itinérant",1,7,4,3,18,0,0,33,50
35099,"Simcoe--Grey/Simcoe--Grey"," 512","Mobile poll/Bureau itinérant",4,18,1,1,10,3,1,38,66
35099,"Simcoe--Grey/Simcoe--Grey"," 513","Mobile poll/Bureau itinérant",1,11,2,0,8,1,1,24,76
35099,"Simcoe--Grey/Simcoe--Grey"," 514","Mobile poll/Bureau itinérant",1,24,2,0,20,0,5,52,81
35099,"Simcoe--Grey/Simcoe--Grey"," 600","The Blue Mountains",57,681,124,45,564,3,6,1480,
35099,"Simcoe--Grey/Simcoe--Grey"," 601","The Blue Mountains",45,570,80,57,431,5,2,1190,
35099,"Simcoe--Grey/Simcoe--Grey"," 602","Collingwood",44,630,95,48,561,2,3,1383,
35099,"Simcoe--Grey/Simcoe--Grey"," 603","Collingwood",31,278,73,16,210,5,3,616,
35099,"Simcoe--Grey/Simcoe--Grey"," 604","Collingwood",57,358,120,46,335,2,3,921,
35099,"Simcoe--Grey/Simcoe--Grey"," 605","Collingwood",41,344,79,53,272,1,1,791,
35099,"Simcoe--Grey/Simcoe--Grey"," 606","Wasaga Beach",27,422,95,66,266,7,5,888,
35099,"Simcoe--Grey/Simcoe--Grey"," 607","Wasaga Beach",15,339,54,47,192,4,6,657,
35099,"Simcoe--Grey/Simcoe--Grey"," 608","Wasaga Beach",15,386,65,58,274,3,3,804,
35099,"Simcoe--Grey/Simcoe--Grey"," 609","Wasaga Beach",39,842,149,85,507,7,6,1635,
35099,"Simcoe--Grey/Simcoe--Grey"," 610","Clearview",19,485,118,62,193,4,0,881,
35099,"Simcoe--Grey/Simcoe--Grey"," 611","Clearview",30,462,89,49,170,5,1,806,
35099,"Simcoe--Grey/Simcoe--Grey"," 612","Clearview",68,445,58,42,195,3,0,811,
35099,"Simcoe--Grey/Simcoe--Grey"," 613","Clearview",23,473,68,54,112,2,0,732,
35099,"Simcoe--Grey/Simcoe--Grey"," 614","Adjala-Tosorontio",18,498,83,85,120,8,6,818,
35099,"Simcoe--Grey/Simcoe--Grey"," 615","Essa",13,397,84,73,130,3,7,707,
35099,"Simcoe--Grey/Simcoe--Grey"," 616","Essa",22,493,116,89,174,3,7,904,
35099,"Simcoe--Grey/Simcoe--Grey"," 617","Essa",21,581,123,107,219,3,5,1059,
35099,"Simcoe--Grey/Simcoe--Grey"," 618","Essa",14,342,49,60,101,1,0,567,
35099,"Simcoe--Grey/Simcoe--Grey"," 619","Essa",25,525,75,83,192,7,8,915,
35099,"Simcoe--Grey/Simcoe--Grey"," 620","Adjala-Tosorontio",22,457,61,64,181,2,1,788,
35099,"Simcoe--Grey/Simcoe--Grey"," 621","New Tecumseth",22,369,74,53,176,4,0,698,
35099,"Simcoe--Grey/Simcoe--Grey"," 622","New Tecumseth",11,356,103,68,198,14,3,753,
35099,"Simcoe--Grey/Simcoe--Grey"," 623","New Tecumseth",6,224,49,59,133,1,6,478,
35099,"Simcoe--Grey/Simcoe--Grey"," 624","New Tecumseth",72,972,231,168,458,7,9,1917,
35099,"Simcoe--Grey/Simcoe--Grey"," 625","New Tecumseth",24,627,139,124,392,3,5,1314,
35099,"Simcoe--Grey/Simcoe--Grey"," 626","New Tecumseth",37,438,125,90,227,8,2,927,
35099,"Simcoe--Grey/Simcoe--Grey"," 627","Adjala-Tosorontio",34,424,71,71,197,7,2,806,
35099,"Simcoe--Grey/Simcoe--Grey"," 628","Collingwood",25,265,83,32,256,2,5,668,
35099,"Simcoe--Grey/Simcoe--Grey"," 629","Collingwood",26,312,83,26,263,1,3,714,
35099,"Simcoe--Grey/Simcoe--Grey"," 630","Wasaga Beach",18,389,74,51,273,7,0,812,
35099,"Simcoe--Grey/Simcoe--Grey"," 631","Wasaga Beach",18,332,96,72,201,0,0,719,
35099,"Simcoe--Grey/Simcoe--Grey"," 632","Wasaga Beach",19,351,89,46,253,1,3,762,
35099,"Simcoe--Grey/Simcoe--Grey"," 633","New Tecumseth",22,409,88,61,186,13,2,781,
35099,"Simcoe--Grey/Simcoe--Grey"," 634","New Tecumseth",23,402,76,81,173,6,3,764,
35099,"Simcoe--Grey/Simcoe--Grey"," 635","New Tecumseth",12,559,66,27,374,13,2,1053,
35099,"Simcoe--Grey/Simcoe--Grey",,Group 1/Groupe 1, 32,535,172,54,243,3,59,1098,166
35099,"Simcoe--Grey/Simcoe--Grey",,Group 2/Groupe 2, 125,1592,344,138,1243,10,63,3515,
