Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nicholas Clayton,Terry Dowdall,Lucas Gillies,Adam Minatel,Bren Munro,Ken Stouffer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Simcoe--Grey/Simcoe--Grey"," 38","Collingwood",26,69,59,21,68,3,1,247,445
35099,"Simcoe--Grey/Simcoe--Grey"," 39","Collingwood",16,71,74,33,61,0,0,255,512
35099,"Simcoe--Grey/Simcoe--Grey"," 40","Collingwood",Merged with No./Fusionné avec le n°39,,,,,,,,396
35099,"Simcoe--Grey/Simcoe--Grey"," 41","Collingwood",2,34,2,0,47,0,1,86,155
35099,"Simcoe--Grey/Simcoe--Grey"," 42","Collingwood",Merged with No./Fusionné avec le n°37,,,,,,,,412
35099,"Simcoe--Grey/Simcoe--Grey"," 43","Collingwood",37,98,54,17,84,1,1,292,531
35099,"Simcoe--Grey/Simcoe--Grey"," 44","Collingwood",Merged with No./Fusionné avec le n°45,,,,,,,,452
35099,"Simcoe--Grey/Simcoe--Grey"," 45","Collingwood",16,117,46,21,97,2,2,301,513
35099,"Simcoe--Grey/Simcoe--Grey"," 46","Collingwood",22,55,40,10,54,0,2,183,486
35099,"Simcoe--Grey/Simcoe--Grey"," 47","Collingwood",13,55,37,16,60,3,0,184,440
35099,"Simcoe--Grey/Simcoe--Grey"," 48","Collingwood",10,74,39,13,63,0,2,201,496
35099,"Simcoe--Grey/Simcoe--Grey"," 49","Collingwood",19,76,53,20,57,3,2,230,447
35099,"Simcoe--Grey/Simcoe--Grey"," 50","Collingwood",9,28,28,11,33,2,0,111,449
35099,"Simcoe--Grey/Simcoe--Grey"," 51","Collingwood",5,35,32,7,29,0,0,108,460
35099,"Simcoe--Grey/Simcoe--Grey"," 52","Collingwood",Merged with No./Fusionné avec le n°59,,,,,,,,396
35099,"Simcoe--Grey/Simcoe--Grey"," 53","Collingwood",Merged with No./Fusionné avec le n°43,,,,,,,,331
35099,"Simcoe--Grey/Simcoe--Grey"," 54","Collingwood",13,109,50,19,117,0,2,310,693
35099,"Simcoe--Grey/Simcoe--Grey"," 55","Collingwood",25,127,52,21,100,0,1,326,806
35099,"Simcoe--Grey/Simcoe--Grey"," 56","Collingwood",Merged with No./Fusionné avec le n°58,,,,,,,,433
35099,"Simcoe--Grey/Simcoe--Grey"," 57","Collingwood",22,89,28,13,71,0,1,224,629
35099,"Simcoe--Grey/Simcoe--Grey"," 58","Collingwood",24,110,75,15,99,0,0,323,436
35099,"Simcoe--Grey/Simcoe--Grey"," 59","Collingwood",14,108,58,22,84,0,0,286,444
35099,"Simcoe--Grey/Simcoe--Grey"," 60","Wasaga Beach",19,106,59,26,87,1,2,300,506
35099,"Simcoe--Grey/Simcoe--Grey"," 61","Wasaga Beach",Merged with No./Fusionné avec le n°60,,,,,,,,494
35099,"Simcoe--Grey/Simcoe--Grey"," 62","Wasaga Beach",6,51,24,6,32,0,1,120,430
