Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvie Bérubé,Cédric Brazeau,Michaël Cloutier,Steve Corriveau,Lise Kistabish,Pauline Lameboy,Jimmy Levesque,Didier Pilon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 144","Val-d'Or",49,1,5,22,33,6,1,0,5,122,292
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 145","Val-d'Or",66,1,5,35,37,8,1,2,1,156,364
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 146","Malartic",68,1,13,31,33,18,0,7,5,176,470
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 147","Malartic",68,3,5,14,23,6,0,0,3,122,347
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 148","Malartic",63,2,17,20,34,11,1,3,3,154,355
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 149","Malartic",57,1,12,19,24,7,2,2,5,129,388
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 150","Malartic",49,4,11,31,21,6,0,6,5,133,409
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 151","Val-d'Or",28,5,9,13,19,9,2,2,1,88,368
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 152","Val-d'Or",21,1,6,21,22,5,1,1,4,82,336
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 153","Val-d'Or",42,2,2,14,18,11,1,1,4,95,372
