Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anthony Cook,Sukhbir Singh Gill,Anne Jamieson,Sean McQuillan,Harjit S. Sajjan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59040,"Vancouver South/Vancouver-Sud"," 39","Vancouver",6,27,1,59,79,2,174,481
59040,"Vancouver South/Vancouver-Sud"," 40","Vancouver",1,37,2,28,72,1,141,442
59040,"Vancouver South/Vancouver-Sud"," 41","Vancouver",1,24,0,18,75,2,120,411
59040,"Vancouver South/Vancouver-Sud"," 42","Vancouver",0,32,2,33,64,3,134,422
59040,"Vancouver South/Vancouver-Sud"," 43","Vancouver",5,21,1,30,70,0,127,411
59040,"Vancouver South/Vancouver-Sud"," 44","Vancouver",0,38,0,24,31,0,93,369
59040,"Vancouver South/Vancouver-Sud"," 45","Vancouver",6,71,1,22,90,1,191,507
59040,"Vancouver South/Vancouver-Sud"," 46","Vancouver",6,53,1,22,48,1,131,451
59040,"Vancouver South/Vancouver-Sud"," 47","Vancouver",7,39,0,25,61,4,136,387
59040,"Vancouver South/Vancouver-Sud"," 48","Vancouver",1,22,0,18,41,1,83,335
59040,"Vancouver South/Vancouver-Sud"," 49","Vancouver",4,34,0,17,45,0,100,333
59040,"Vancouver South/Vancouver-Sud"," 50A","Vancouver",6,30,1,25,50,0,112,367
59040,"Vancouver South/Vancouver-Sud"," 50B","Vancouver",2,7,0,16,36,1,62,285
59040,"Vancouver South/Vancouver-Sud"," 51","Vancouver",3,7,1,20,27,0,58,378
59040,"Vancouver South/Vancouver-Sud"," 52","Vancouver",5,16,0,31,43,1,96,443
59040,"Vancouver South/Vancouver-Sud"," 53","Vancouver",2,12,0,17,34,1,66,406
59040,"Vancouver South/Vancouver-Sud"," 54","Vancouver",0,25,2,25,59,1,112,495
59040,"Vancouver South/Vancouver-Sud"," 55","Vancouver",2,11,0,18,27,1,59,331
59040,"Vancouver South/Vancouver-Sud"," 56","Vancouver",0,29,0,48,80,0,157,458
59040,"Vancouver South/Vancouver-Sud"," 57","Vancouver",1,38,2,21,58,1,121,495
59040,"Vancouver South/Vancouver-Sud"," 58","Vancouver",0,32,1,22,80,2,137,353
59040,"Vancouver South/Vancouver-Sud"," 59","Vancouver",3,20,0,33,57,1,114,441
59040,"Vancouver South/Vancouver-Sud"," 60","Vancouver",3,27,0,41,102,6,179,400
59040,"Vancouver South/Vancouver-Sud"," 61","Vancouver",7,28,1,31,79,1,147,424
59040,"Vancouver South/Vancouver-Sud"," 62","Vancouver",1,27,0,29,77,0,134,426
59040,"Vancouver South/Vancouver-Sud"," 63","Vancouver",3,21,0,24,53,1,102,376
59040,"Vancouver South/Vancouver-Sud"," 64","Vancouver",2,25,0,27,90,1,145,439
59040,"Vancouver South/Vancouver-Sud"," 65","Vancouver",5,26,1,43,89,1,165,477
59040,"Vancouver South/Vancouver-Sud"," 66","Vancouver",0,23,0,38,89,1,151,445
59040,"Vancouver South/Vancouver-Sud"," 67","Vancouver",5,29,2,46,117,7,206,456
59040,"Vancouver South/Vancouver-Sud"," 68","Vancouver",1,18,0,24,89,0,132,352
59040,"Vancouver South/Vancouver-Sud"," 69","Vancouver",4,16,0,22,76,1,119,402
59040,"Vancouver South/Vancouver-Sud"," 70","Vancouver",1,23,0,27,83,0,134,381
59040,"Vancouver South/Vancouver-Sud"," 71","Vancouver",4,24,1,30,55,1,115,363
59040,"Vancouver South/Vancouver-Sud"," 72","Vancouver",3,10,2,24,42,0,81,318
59040,"Vancouver South/Vancouver-Sud"," 73","Vancouver",2,28,1,30,60,3,124,499
59040,"Vancouver South/Vancouver-Sud"," 74","Vancouver",5,30,3,22,55,1,116,469
59040,"Vancouver South/Vancouver-Sud"," 75","Vancouver",4,26,3,26,59,2,120,462
59040,"Vancouver South/Vancouver-Sud"," 76","Vancouver",7,24,1,34,50,0,116,431
59040,"Vancouver South/Vancouver-Sud"," 77","Vancouver",4,30,2,35,41,1,113,432
59040,"Vancouver South/Vancouver-Sud"," 78","Vancouver",2,13,0,23,69,1,108,440
59040,"Vancouver South/Vancouver-Sud"," 79","Vancouver",6,22,1,22,56,1,108,408
59040,"Vancouver South/Vancouver-Sud"," 80","Vancouver",3,26,1,29,40,2,101,438
59040,"Vancouver South/Vancouver-Sud"," 81","Vancouver",4,27,1,29,74,3,138,455
59040,"Vancouver South/Vancouver-Sud"," 82","Vancouver",0,35,4,34,65,0,138,470
59040,"Vancouver South/Vancouver-Sud"," 83","Vancouver",0,31,0,23,59,2,115,408
59040,"Vancouver South/Vancouver-Sud"," 84","Vancouver",2,31,0,31,66,0,130,511
59040,"Vancouver South/Vancouver-Sud"," 85","Vancouver",2,9,0,22,47,1,81,433
59040,"Vancouver South/Vancouver-Sud"," 86","Vancouver",4,15,1,9,52,2,83,380
59040,"Vancouver South/Vancouver-Sud"," 87","Vancouver",5,36,0,40,66,1,148,422
59040,"Vancouver South/Vancouver-Sud"," 88","Vancouver",8,30,0,22,64,0,124,424
59040,"Vancouver South/Vancouver-Sud"," 89","Vancouver",0,22,2,26,67,2,119,397
59040,"Vancouver South/Vancouver-Sud"," 90","Vancouver",12,38,2,38,72,2,164,455
59040,"Vancouver South/Vancouver-Sud"," 91","Vancouver",2,21,0,22,48,5,98,416
59040,"Vancouver South/Vancouver-Sud"," 92","Vancouver",8,16,1,38,30,0,93,412
59040,"Vancouver South/Vancouver-Sud"," 93","Vancouver",5,26,0,24,58,0,113,430
59040,"Vancouver South/Vancouver-Sud"," 94","Vancouver",1,24,0,24,54,2,105,421
59040,"Vancouver South/Vancouver-Sud"," 95","Vancouver",6,21,1,24,46,1,99,436
59040,"Vancouver South/Vancouver-Sud"," 96","Vancouver",3,29,3,35,49,0,119,447
59040,"Vancouver South/Vancouver-Sud"," 97","Vancouver",3,25,2,25,61,0,116,364
59040,"Vancouver South/Vancouver-Sud"," 98","Vancouver",2,27,0,19,74,0,122,322
59040,"Vancouver South/Vancouver-Sud"," 99","Vancouver",3,25,0,26,67,3,124,405
59040,"Vancouver South/Vancouver-Sud"," 100","Vancouver",3,34,2,34,54,0,127,423
59040,"Vancouver South/Vancouver-Sud"," 101","Vancouver",7,44,2,34,90,0,177,465
59040,"Vancouver South/Vancouver-Sud"," 102","Vancouver",2,40,0,36,64,0,142,406
59040,"Vancouver South/Vancouver-Sud"," 103","Vancouver",2,13,0,25,58,1,99,332
59040,"Vancouver South/Vancouver-Sud"," 104","Vancouver",1,52,0,29,96,3,181,480
59040,"Vancouver South/Vancouver-Sud"," 105","Vancouver",9,37,3,38,98,1,186,497
59040,"Vancouver South/Vancouver-Sud"," 106","Vancouver",0,28,1,32,60,0,121,409
59040,"Vancouver South/Vancouver-Sud"," 107","Vancouver",2,34,1,30,35,1,103,436
59040,"Vancouver South/Vancouver-Sud"," 108","Vancouver",2,28,0,31,53,1,115,467
59040,"Vancouver South/Vancouver-Sud"," 109","Vancouver",4,27,4,26,87,2,150,520
59040,"Vancouver South/Vancouver-Sud"," 110","Vancouver",1,33,0,28,61,1,124,483
59040,"Vancouver South/Vancouver-Sud"," 111","Vancouver",5,35,1,52,99,0,192,577
59040,"Vancouver South/Vancouver-Sud"," 112","Vancouver",2,19,0,37,66,0,124,503
59040,"Vancouver South/Vancouver-Sud"," 113","Vancouver",10,23,3,69,76,0,181,456
59040,"Vancouver South/Vancouver-Sud"," 114","Vancouver",10,39,3,62,77,0,191,509
59040,"Vancouver South/Vancouver-Sud"," 115","Vancouver",3,19,1,32,61,1,117,459
59040,"Vancouver South/Vancouver-Sud"," 116","Vancouver",5,50,2,40,89,1,187,470
59040,"Vancouver South/Vancouver-Sud"," 117","Vancouver",5,29,2,36,73,4,149,402
59040,"Vancouver South/Vancouver-Sud"," 118","Vancouver",2,22,2,31,49,1,107,351
59040,"Vancouver South/Vancouver-Sud"," 119","Vancouver",3,44,0,26,92,1,166,409
59040,"Vancouver South/Vancouver-Sud"," 120","Vancouver",4,43,1,25,64,2,139,395
59040,"Vancouver South/Vancouver-Sud"," 121","Vancouver",3,46,2,34,109,4,198,479
59040,"Vancouver South/Vancouver-Sud"," 122","Vancouver",3,35,2,36,60,4,140,398
59040,"Vancouver South/Vancouver-Sud"," 123","Vancouver",4,43,0,32,95,0,174,460
59040,"Vancouver South/Vancouver-Sud"," 124","Vancouver",4,26,2,22,70,3,127,453
59040,"Vancouver South/Vancouver-Sud"," 125","Vancouver",6,36,1,29,77,0,149,453
59040,"Vancouver South/Vancouver-Sud"," 126","Vancouver",5,32,0,24,44,0,105,478
59040,"Vancouver South/Vancouver-Sud"," 127","Vancouver",4,11,1,24,89,3,132,454
59040,"Vancouver South/Vancouver-Sud"," 128","Vancouver",2,18,0,31,102,2,155,526
59040,"Vancouver South/Vancouver-Sud"," 129","Vancouver",0,18,0,19,68,3,108,389
59040,"Vancouver South/Vancouver-Sud"," 130","Vancouver",4,9,2,24,68,2,109,448
59040,"Vancouver South/Vancouver-Sud"," 131","Vancouver",6,9,0,35,83,2,135,430
59040,"Vancouver South/Vancouver-Sud"," 132","Vancouver",4,22,0,34,61,2,123,479
59040,"Vancouver South/Vancouver-Sud"," 133","Vancouver",3,26,1,54,68,0,152,473
59040,"Vancouver South/Vancouver-Sud"," 134","Vancouver",2,7,0,46,54,1,110,432
59040,"Vancouver South/Vancouver-Sud"," 135","Vancouver",2,24,0,27,34,0,87,400
59040,"Vancouver South/Vancouver-Sud"," 136","Vancouver",2,19,1,31,51,0,104,425
59040,"Vancouver South/Vancouver-Sud"," 137","Vancouver",2,20,1,33,45,0,101,524
59040,"Vancouver South/Vancouver-Sud"," 138","Vancouver",3,21,0,24,44,1,93,387
59040,"Vancouver South/Vancouver-Sud"," 139","Vancouver",1,26,2,21,66,0,116,359
59040,"Vancouver South/Vancouver-Sud"," 140","Vancouver",10,27,0,68,56,3,164,511
59040,"Vancouver South/Vancouver-Sud"," 141","Vancouver",3,33,0,28,55,1,120,421
59040,"Vancouver South/Vancouver-Sud"," 142","Vancouver",2,14,2,25,48,0,91,312
59040,"Vancouver South/Vancouver-Sud"," 143","Vancouver",0,29,0,41,54,1,125,768
59040,"Vancouver South/Vancouver-Sud"," 144","Vancouver",2,22,0,22,52,3,101,357
59040,"Vancouver South/Vancouver-Sud"," 145","Vancouver",3,43,3,36,97,1,183,484
59040,"Vancouver South/Vancouver-Sud"," 146","Vancouver",6,37,3,58,103,2,209,311
59040,"Vancouver South/Vancouver-Sud"," 147","Vancouver",4,27,0,29,38,0,98,293
59040,"Vancouver South/Vancouver-Sud"," 148","Vancouver",Merged with No./Fusionné avec le n°146,,,,,,,191
59040,"Vancouver South/Vancouver-Sud"," 149","Vancouver",4,37,1,85,50,1,178,499
59040,"Vancouver South/Vancouver-Sud"," 150","Vancouver",3,41,1,57,57,1,160,422
59040,"Vancouver South/Vancouver-Sud"," 151","Vancouver",0,21,0,28,74,2,125,407
59040,"Vancouver South/Vancouver-Sud"," 152","Vancouver",4,22,1,48,38,0,113,375
59040,"Vancouver South/Vancouver-Sud"," 153","Vancouver",2,25,3,31,59,0,120,361
59040,"Vancouver South/Vancouver-Sud"," 154","Vancouver",1,22,0,37,38,1,99,350
59040,"Vancouver South/Vancouver-Sud"," 155","Vancouver",2,39,2,17,56,0,116,390
59040,"Vancouver South/Vancouver-Sud"," 156","Vancouver",5,37,0,21,48,0,111,347
59040,"Vancouver South/Vancouver-Sud"," 157","Vancouver",9,25,1,23,49,2,109,420
59040,"Vancouver South/Vancouver-Sud"," 158","Vancouver",1,20,0,39,33,0,93,403
59040,"Vancouver South/Vancouver-Sud"," 159","Vancouver",5,17,0,59,36,0,117,416
59040,"Vancouver South/Vancouver-Sud"," 160","Vancouver",7,19,1,50,44,2,123,406
59040,"Vancouver South/Vancouver-Sud"," 161","Vancouver",3,25,0,40,50,0,118,373
59040,"Vancouver South/Vancouver-Sud"," 162","Vancouver",4,10,1,47,48,1,111,418
59040,"Vancouver South/Vancouver-Sud"," 163","Vancouver",3,21,1,43,56,0,124,410
59040,"Vancouver South/Vancouver-Sud"," 164","Vancouver",4,16,2,43,41,0,106,398
59040,"Vancouver South/Vancouver-Sud"," 165","Vancouver",9,25,1,50,61,0,146,441
59040,"Vancouver South/Vancouver-Sud"," 166","Vancouver",1,19,0,27,38,0,85,337
59040,"Vancouver South/Vancouver-Sud"," 167A","Vancouver",2,39,0,54,78,2,175,666
59040,"Vancouver South/Vancouver-Sud"," 167B","Vancouver",8,44,1,66,87,3,209,669
59040,"Vancouver South/Vancouver-Sud"," 168","Vancouver",1,47,0,44,83,0,175,602
59040,"Vancouver South/Vancouver-Sud"," 400","Vancouver",0,6,0,11,20,0,37,163
59040,"Vancouver South/Vancouver-Sud"," 401","Vancouver",1,7,0,8,11,0,27,143
59040,"Vancouver South/Vancouver-Sud"," 402","Vancouver",0,6,1,11,16,0,34,124
59040,"Vancouver South/Vancouver-Sud"," 403","Vancouver",2,5,0,27,22,0,56,178
59040,"Vancouver South/Vancouver-Sud"," 500","Mobile poll/Bureau itinérant",1,6,1,14,25,1,48,79
59040,"Vancouver South/Vancouver-Sud"," 501","Mobile poll/Bureau itinérant",1,7,2,4,16,3,33,49
59040,"Vancouver South/Vancouver-Sud"," 502","Mobile poll/Bureau itinérant",3,1,1,4,6,0,15,30
59040,"Vancouver South/Vancouver-Sud"," 503","Mobile poll/Bureau itinérant",2,5,0,5,12,0,24,55
59040,"Vancouver South/Vancouver-Sud"," 504","Mobile poll/Bureau itinérant",1,5,1,5,4,0,16,29
59040,"Vancouver South/Vancouver-Sud"," 505","Mobile poll/Bureau itinérant",3,42,0,7,21,1,74,91
59040,"Vancouver South/Vancouver-Sud"," 506","Mobile poll/Bureau itinérant",0,16,0,6,14,0,36,49
59040,"Vancouver South/Vancouver-Sud"," 507","Mobile poll/Bureau itinérant",4,9,0,2,24,1,40,51
59040,"Vancouver South/Vancouver-Sud"," 508","Mobile poll/Bureau itinérant",2,7,0,1,0,2,12,26
59040,"Vancouver South/Vancouver-Sud"," 509","Mobile poll/Bureau itinérant",0,6,3,14,27,3,53,127
59040,"Vancouver South/Vancouver-Sud"," 510","Mobile poll/Bureau itinérant",3,1,0,9,10,1,24,38
59040,"Vancouver South/Vancouver-Sud"," 511","Mobile poll/Bureau itinérant",0,17,0,13,17,0,47,63
59040,"Vancouver South/Vancouver-Sud"," 512","Mobile poll/Bureau itinérant",0,2,1,4,7,1,15,29
59040,"Vancouver South/Vancouver-Sud"," 513","Mobile poll/Bureau itinérant",0,10,2,7,13,4,36,43
59040,"Vancouver South/Vancouver-Sud"," 600","Vancouver",28,239,6,247,469,11,1000,
59040,"Vancouver South/Vancouver-Sud"," 601","Vancouver",30,249,5,141,409,3,837,
59040,"Vancouver South/Vancouver-Sud"," 602","Vancouver",19,284,7,274,818,20,1422,
59040,"Vancouver South/Vancouver-Sud"," 603","Vancouver",31,254,5,236,649,12,1187,
59040,"Vancouver South/Vancouver-Sud"," 604","Vancouver",29,174,10,158,564,8,943,
59040,"Vancouver South/Vancouver-Sud"," 605","Vancouver",32,243,5,189,483,7,959,
59040,"Vancouver South/Vancouver-Sud"," 606","Vancouver",27,255,17,157,500,8,964,
59040,"Vancouver South/Vancouver-Sud"," 607","Vancouver",32,205,2,134,379,7,759,
59040,"Vancouver South/Vancouver-Sud"," 608","Vancouver",47,292,3,298,556,4,1200,
59040,"Vancouver South/Vancouver-Sud"," 609","Vancouver",40,335,8,225,609,7,1224,
59040,"Vancouver South/Vancouver-Sud"," 610","Vancouver",22,266,9,245,442,5,989,
59040,"Vancouver South/Vancouver-Sud"," 611","Vancouver",41,266,12,395,578,1,1293,
59040,"Vancouver South/Vancouver-Sud"," 612","Vancouver",52,376,10,472,672,7,1589,
59040,"Vancouver South/Vancouver-Sud",,Group 1/Groupe 1, 9,75,2,115,152,30,383,226
59040,"Vancouver South/Vancouver-Sud",,Group 2/Groupe 2, 42,709,16,902,1667,137,3473,
