Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Clement Badra,Frank Cavallaro,Ibrahim Bruno El-Khoury,Anthony Housefather,Diane Johnston,Yegor Komarov,Zachary Lozoff,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24052,"Mount Royal/Mont-Royal"," 33","Mont-Royal",1,54,19,76,0,7,2,1,160,420
24052,"Mount Royal/Mont-Royal"," 34","Mont-Royal",13,55,12,84,0,6,4,0,174,431
24052,"Mount Royal/Mont-Royal"," 35","Mont-Royal",7,45,12,61,0,14,0,0,139,384
24052,"Mount Royal/Mont-Royal"," 36","Mont-Royal",10,40,13,81,1,4,1,5,155,331
24052,"Mount Royal/Mont-Royal"," 37","Mont-Royal",8,49,20,83,0,19,1,0,180,396
24052,"Mount Royal/Mont-Royal"," 38","Mont-Royal",7,34,18,85,0,9,6,0,159,390
24052,"Mount Royal/Mont-Royal"," 39","Mont-Royal",5,23,8,66,1,4,3,1,111,463
24052,"Mount Royal/Mont-Royal"," 40","Mont-Royal",8,34,18,87,0,5,11,2,165,460
24052,"Mount Royal/Mont-Royal"," 41","Montréal",3,37,25,80,0,7,3,1,156,443
24052,"Mount Royal/Mont-Royal"," 42","Mont-Royal",1,21,8,36,0,7,7,0,80,310
24052,"Mount Royal/Mont-Royal"," 43","Montréal",5,23,33,103,0,2,2,2,170,457
24052,"Mount Royal/Mont-Royal"," 44","Mont-Royal",2,14,14,78,1,7,8,1,125,406
24052,"Mount Royal/Mont-Royal"," 45","Montréal",6,16,20,122,1,3,5,1,174,404
24052,"Mount Royal/Mont-Royal"," 46","Montréal",2,5,14,113,0,1,0,0,135,282
24052,"Mount Royal/Mont-Royal"," 47","Montréal",4,9,14,118,0,3,2,6,156,347
24052,"Mount Royal/Mont-Royal"," 48","Montréal",0,11,11,134,3,2,2,0,163,285
24052,"Mount Royal/Mont-Royal"," 49","Montréal",1,23,21,166,1,0,3,4,219,415
24052,"Mount Royal/Mont-Royal"," 50","Montréal",4,19,4,92,0,2,3,5,129,271
24052,"Mount Royal/Mont-Royal"," 51","Montréal",4,19,12,139,0,3,3,6,186,355
24052,"Mount Royal/Mont-Royal"," 52","Montréal",2,32,14,137,1,2,3,1,192,422
24052,"Mount Royal/Mont-Royal"," 53","Montréal",3,18,13,106,0,0,1,1,142,403
24052,"Mount Royal/Mont-Royal"," 54","Montréal",4,12,11,116,0,8,6,4,161,382
24052,"Mount Royal/Mont-Royal"," 55","Montréal",3,7,15,63,0,8,2,1,99,320
24052,"Mount Royal/Mont-Royal"," 56","Montréal",4,4,15,88,0,6,2,0,119,353
24052,"Mount Royal/Mont-Royal"," 57","Montréal",1,15,22,78,1,9,2,1,129,353
24052,"Mount Royal/Mont-Royal"," 58","Montréal",2,9,20,83,0,7,4,1,126,395
24052,"Mount Royal/Mont-Royal"," 59","Montréal",3,6,11,59,0,3,0,1,83,284
24052,"Mount Royal/Mont-Royal"," 60","Montréal",3,11,11,74,0,1,4,1,105,294
24052,"Mount Royal/Mont-Royal"," 61","Montréal",5,11,14,107,0,0,4,0,141,452
24052,"Mount Royal/Mont-Royal"," 62","Montréal",0,21,7,41,0,3,0,0,72,325
24052,"Mount Royal/Mont-Royal"," 63","Montréal",4,18,20,93,0,1,5,1,142,534
24052,"Mount Royal/Mont-Royal"," 64","Montréal",1,8,9,59,0,2,3,1,83,347
24052,"Mount Royal/Mont-Royal"," 65","Montréal",3,16,15,94,0,2,4,1,135,373
24052,"Mount Royal/Mont-Royal"," 66","Montréal",1,9,10,101,0,2,2,0,125,438
24052,"Mount Royal/Mont-Royal"," 67","Montréal",1,19,13,111,3,3,4,2,156,455
24052,"Mount Royal/Mont-Royal"," 68","Montréal",3,9,17,70,1,1,2,0,103,328
24052,"Mount Royal/Mont-Royal"," 69","Montréal",2,15,0,32,0,0,5,0,54,355
24052,"Mount Royal/Mont-Royal"," 70","Montréal",1,6,8,36,0,0,6,4,61,280
24052,"Mount Royal/Mont-Royal"," 71","Montréal",4,30,7,111,1,4,2,3,162,369
24052,"Mount Royal/Mont-Royal"," 72","Montréal",2,12,15,88,0,5,0,0,122,508
24052,"Mount Royal/Mont-Royal"," 73","Montréal",7,29,21,132,1,1,14,1,206,718
24052,"Mount Royal/Mont-Royal"," 74","Montréal",5,10,15,57,0,0,9,1,97,344
24052,"Mount Royal/Mont-Royal"," 75","Montréal",1,13,21,60,0,0,1,0,96,457
24052,"Mount Royal/Mont-Royal"," 76","Montréal",3,11,13,54,0,2,5,3,91,326
24052,"Mount Royal/Mont-Royal"," 77","Montréal",2,9,14,61,1,5,7,1,100,352
24052,"Mount Royal/Mont-Royal"," 78","Montréal",5,10,25,50,2,14,8,4,118,366
24052,"Mount Royal/Mont-Royal"," 79","Montréal",1,38,11,71,1,8,5,1,136,268
24052,"Mount Royal/Mont-Royal"," 80","Montréal",11,10,19,46,0,12,0,1,99,352
24052,"Mount Royal/Mont-Royal"," 81","Montréal",6,19,33,72,0,6,7,3,146,440
24052,"Mount Royal/Mont-Royal"," 82","Montréal",7,10,29,56,3,14,3,1,123,380
24052,"Mount Royal/Mont-Royal"," 83","Montréal",4,18,21,53,1,10,1,0,108,375
24052,"Mount Royal/Mont-Royal"," 84","Montréal",8,19,11,59,1,1,3,2,104,379
24052,"Mount Royal/Mont-Royal"," 85","Montréal",3,14,18,88,0,3,2,2,130,406
24052,"Mount Royal/Mont-Royal"," 86","Montréal",3,12,19,50,0,10,6,1,101,326
24052,"Mount Royal/Mont-Royal"," 87","Montréal",5,19,22,120,1,2,1,2,172,430
24052,"Mount Royal/Mont-Royal"," 88","Montréal",7,12,20,93,0,5,1,4,142,378
24052,"Mount Royal/Mont-Royal"," 89","Montréal",3,11,16,98,0,1,4,3,136,359
24052,"Mount Royal/Mont-Royal"," 90","Montréal",3,37,20,90,0,5,3,2,160,470
24052,"Mount Royal/Mont-Royal"," 91","Montréal",5,22,33,186,0,4,7,0,257,565
24052,"Mount Royal/Mont-Royal"," 92","Montréal",17,38,62,217,1,14,11,0,360,841
24052,"Mount Royal/Mont-Royal"," 93","Mont-Royal",3,22,27,94,0,2,5,2,155,466
24052,"Mount Royal/Mont-Royal"," 94","Montréal",4,50,6,52,0,0,2,0,114,390
24052,"Mount Royal/Mont-Royal"," 95","Montréal",1,13,21,59,0,4,3,1,102,405
24052,"Mount Royal/Mont-Royal"," 96","Montréal",5,20,27,95,0,9,2,6,164,324
24052,"Mount Royal/Mont-Royal"," 97","Montréal",2,6,20,63,1,6,1,0,99,311
24052,"Mount Royal/Mont-Royal"," 98","Montréal",5,14,33,50,0,8,1,0,111,343
24052,"Mount Royal/Mont-Royal"," 99","Montréal",1,21,17,81,1,5,3,0,129,361
24052,"Mount Royal/Mont-Royal"," 100","Montréal",5,10,22,35,0,7,1,0,80,249
24052,"Mount Royal/Mont-Royal"," 101","Montréal",4,24,16,68,0,3,5,0,120,438
24052,"Mount Royal/Mont-Royal"," 102","Montréal",6,18,29,63,1,20,6,1,144,514
24052,"Mount Royal/Mont-Royal"," 103","Côte-Saint-Luc",1,16,7,75,0,2,0,2,103,413
24052,"Mount Royal/Mont-Royal"," 104","Hampstead",1,30,10,42,0,1,1,1,86,350
24052,"Mount Royal/Mont-Royal"," 105","Hampstead",2,44,3,38,0,1,7,1,96,388
24052,"Mount Royal/Mont-Royal"," 106","Hampstead",0,48,8,28,0,0,1,0,85,363
24052,"Mount Royal/Mont-Royal"," 107","Hampstead",0,80,6,46,0,0,4,2,138,412
24052,"Mount Royal/Mont-Royal"," 108","Hampstead",1,60,1,30,0,0,2,0,94,386
24052,"Mount Royal/Mont-Royal"," 109","Hampstead",2,57,0,32,0,0,0,1,92,337
24052,"Mount Royal/Mont-Royal"," 110","Hampstead",6,35,6,41,0,5,0,0,93,363
24052,"Mount Royal/Mont-Royal"," 111","Côte-Saint-Luc",4,25,9,48,0,5,6,0,97,430
24052,"Mount Royal/Mont-Royal"," 112","Hampstead",3,18,12,62,0,3,3,0,101,378
24052,"Mount Royal/Mont-Royal"," 113","Hampstead",4,64,5,58,0,5,0,0,136,424
24052,"Mount Royal/Mont-Royal"," 114","Hampstead",6,33,15,42,0,1,1,0,98,432
24052,"Mount Royal/Mont-Royal"," 115","Hampstead",0,36,16,66,1,4,4,1,128,336
24052,"Mount Royal/Mont-Royal"," 116","Hampstead",4,22,20,76,0,4,4,2,132,372
24052,"Mount Royal/Mont-Royal"," 117","Hampstead",2,50,6,34,0,0,1,0,93,435
24052,"Mount Royal/Mont-Royal"," 118","Hampstead",4,53,6,49,0,0,1,0,113,401
24052,"Mount Royal/Mont-Royal"," 119","Côte-Saint-Luc",1,15,10,24,0,1,4,0,55,201
24052,"Mount Royal/Mont-Royal"," 120","Côte-Saint-Luc",7,22,5,38,0,1,3,2,78,375
24052,"Mount Royal/Mont-Royal"," 121","Côte-Saint-Luc",0,41,3,48,0,0,6,0,98,493
24052,"Mount Royal/Mont-Royal"," 122","Côte-Saint-Luc",4,75,22,139,2,1,8,4,255,733
24052,"Mount Royal/Mont-Royal"," 123","Côte-Saint-Luc",4,50,6,57,0,0,2,1,120,442
24052,"Mount Royal/Mont-Royal"," 124","Côte-Saint-Luc",3,34,2,49,0,1,2,1,92,416
24052,"Mount Royal/Mont-Royal"," 125","Côte-Saint-Luc",2,41,5,44,0,0,0,0,92,370
24052,"Mount Royal/Mont-Royal"," 126","Côte-Saint-Luc",0,29,10,57,1,5,5,0,107,316
24052,"Mount Royal/Mont-Royal"," 127","Côte-Saint-Luc",2,29,11,81,0,3,7,1,134,302
24052,"Mount Royal/Mont-Royal"," 128","Côte-Saint-Luc",1,24,14,109,0,5,0,0,153,313
24052,"Mount Royal/Mont-Royal"," 129","Côte-Saint-Luc",7,46,26,133,0,0,3,1,216,447
24052,"Mount Royal/Mont-Royal"," 130","Côte-Saint-Luc",2,49,24,151,1,2,19,0,248,394
24052,"Mount Royal/Mont-Royal"," 131","Côte-Saint-Luc",3,38,4,73,0,0,7,4,129,574
24052,"Mount Royal/Mont-Royal"," 132","Côte-Saint-Luc",2,44,11,70,1,1,4,3,136,429
24052,"Mount Royal/Mont-Royal"," 133","Côte-Saint-Luc",4,76,9,99,1,1,5,2,197,554
24052,"Mount Royal/Mont-Royal"," 134","Côte-Saint-Luc",0,42,4,56,0,1,3,0,106,460
24052,"Mount Royal/Mont-Royal"," 135","Côte-Saint-Luc",0,31,2,55,1,3,3,1,96,458
24052,"Mount Royal/Mont-Royal"," 136","Côte-Saint-Luc",3,68,5,84,0,0,6,1,167,476
24052,"Mount Royal/Mont-Royal"," 137","Côte-Saint-Luc",0,55,11,37,0,0,1,1,105,410
24052,"Mount Royal/Mont-Royal"," 138","Côte-Saint-Luc",3,60,8,41,0,0,2,1,115,371
24052,"Mount Royal/Mont-Royal"," 139","Côte-Saint-Luc",5,40,15,56,0,1,7,0,124,486
24052,"Mount Royal/Mont-Royal"," 140","Côte-Saint-Luc",4,30,7,33,0,0,5,0,79,410
24052,"Mount Royal/Mont-Royal"," 141","Côte-Saint-Luc",1,36,6,42,0,0,2,0,87,451
24052,"Mount Royal/Mont-Royal"," 142","Côte-Saint-Luc",0,36,3,36,0,1,1,0,77,300
24052,"Mount Royal/Mont-Royal"," 143","Côte-Saint-Luc",1,27,5,46,0,1,3,0,83,422
24052,"Mount Royal/Mont-Royal"," 144","Côte-Saint-Luc",0,44,1,40,0,0,3,1,89,455
24052,"Mount Royal/Mont-Royal"," 145","Côte-Saint-Luc",1,33,5,42,0,1,2,1,85,453
24052,"Mount Royal/Mont-Royal"," 146","Côte-Saint-Luc",2,15,6,36,0,0,3,0,62,391
24052,"Mount Royal/Mont-Royal"," 147","Côte-Saint-Luc",1,22,0,28,0,0,1,1,53,389
24052,"Mount Royal/Mont-Royal"," 148","Côte-Saint-Luc",2,22,1,29,0,0,3,3,60,397
24052,"Mount Royal/Mont-Royal"," 149","Côte-Saint-Luc",1,28,2,41,0,0,3,0,75,351
24052,"Mount Royal/Mont-Royal"," 150","Côte-Saint-Luc",1,39,5,47,0,0,6,0,98,367
24052,"Mount Royal/Mont-Royal"," 151","Côte-Saint-Luc",2,37,6,36,0,1,3,0,85,361
24052,"Mount Royal/Mont-Royal"," 152","Côte-Saint-Luc",2,23,11,67,3,0,13,1,120,327
24052,"Mount Royal/Mont-Royal"," 153","Côte-Saint-Luc",4,89,20,124,2,5,34,5,283,527
24052,"Mount Royal/Mont-Royal"," 154","Côte-Saint-Luc",5,42,16,88,0,4,17,4,176,482
24052,"Mount Royal/Mont-Royal"," 155","Côte-Saint-Luc",0,27,15,73,0,1,6,3,125,305
24052,"Mount Royal/Mont-Royal"," 156","Côte-Saint-Luc",5,27,22,77,2,2,5,3,143,346
24052,"Mount Royal/Mont-Royal"," 157","Côte-Saint-Luc",6,31,22,88,0,2,0,1,150,323
24052,"Mount Royal/Mont-Royal"," 158","Côte-Saint-Luc",7,29,18,81,0,6,7,1,149,324
24052,"Mount Royal/Mont-Royal"," 159","Côte-Saint-Luc",1,58,1,45,0,0,0,0,105,397
24052,"Mount Royal/Mont-Royal"," 160","Côte-Saint-Luc",0,33,8,38,0,1,3,1,84,304
24052,"Mount Royal/Mont-Royal"," 161","Côte-Saint-Luc",3,42,6,54,0,2,4,0,111,379
24052,"Mount Royal/Mont-Royal"," 162","Côte-Saint-Luc",2,34,10,54,1,2,3,2,108,372
24052,"Mount Royal/Mont-Royal"," 163","Côte-Saint-Luc",5,37,5,66,0,3,1,0,117,389
24052,"Mount Royal/Mont-Royal"," 164","Côte-Saint-Luc",2,42,5,46,0,0,6,3,104,380
24052,"Mount Royal/Mont-Royal"," 165","Côte-Saint-Luc",2,47,13,42,1,1,6,1,113,383
24052,"Mount Royal/Mont-Royal"," 166","Côte-Saint-Luc",2,48,9,75,0,0,5,1,140,425
24052,"Mount Royal/Mont-Royal"," 167","Côte-Saint-Luc",6,29,17,73,1,2,7,0,135,416
24052,"Mount Royal/Mont-Royal"," 400","Montréal",Void/Supprimé,,,,,,,,,
24052,"Mount Royal/Mont-Royal"," 401","Montréal",Void/Supprimé,,,,,,,,,
24052,"Mount Royal/Mont-Royal"," 402","Montréal",Void/Supprimé,,,,,,,,,
24052,"Mount Royal/Mont-Royal"," 403","Montréal",Merged with No./Fusionné avec le n°408,,,,,,,,,159
24052,"Mount Royal/Mont-Royal"," 404","Montréal",Merged with No./Fusionné avec le n°408,,,,,,,,,90
24052,"Mount Royal/Mont-Royal"," 405","Montréal",Merged with No./Fusionné avec le n°408,,,,,,,,,96
24052,"Mount Royal/Mont-Royal"," 406","Montréal",Merged with No./Fusionné avec le n°407,,,,,,,,,228
24052,"Mount Royal/Mont-Royal"," 407","Montréal",3,25,23,99,0,12,10,2,174,178
24052,"Mount Royal/Mont-Royal"," 408","Montréal",5,40,19,122,0,12,7,0,205,206
24052,"Mount Royal/Mont-Royal"," 409","Montréal",Merged with No./Fusionné avec le n°411,,,,,,,,,195
24052,"Mount Royal/Mont-Royal"," 410","Montréal",Merged with No./Fusionné avec le n°411,,,,,,,,,101
24052,"Mount Royal/Mont-Royal"," 411","Montréal",4,22,25,97,1,7,1,0,157,82
24052,"Mount Royal/Mont-Royal"," 412","Côte-Saint-Luc",0,9,4,23,0,3,1,0,40,291
24052,"Mount Royal/Mont-Royal"," 413","Côte-Saint-Luc",Merged with No./Fusionné avec le n°103,,,,,,,,,256
24052,"Mount Royal/Mont-Royal"," 414","Côte-Saint-Luc",Merged with No./Fusionné avec le n°133,,,,,,,,,220
24052,"Mount Royal/Mont-Royal"," 415","Côte-Saint-Luc",Merged with No./Fusionné avec le n°122,,,,,,,,,193
24052,"Mount Royal/Mont-Royal"," 416","Côte-Saint-Luc",Merged with No./Fusionné avec le n°122,,,,,,,,,225
24052,"Mount Royal/Mont-Royal"," 417","Côte-Saint-Luc",Merged with No./Fusionné avec le n°122,,,,,,,,,219
24052,"Mount Royal/Mont-Royal"," 418","Côte-Saint-Luc",5,28,8,150,0,3,5,3,202,279
24052,"Mount Royal/Mont-Royal"," 419","Côte-Saint-Luc",Merged with No./Fusionné avec le n°130,,,,,,,,,265
24052,"Mount Royal/Mont-Royal"," 420","Côte-Saint-Luc",Merged with No./Fusionné avec le n°153,,,,,,,,,221
24052,"Mount Royal/Mont-Royal"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°9,,,,,,,,,117
24052,"Mount Royal/Mont-Royal"," 501","Mobile poll/Bureau itinérant",0,9,6,50,0,4,0,1,70,121
24052,"Mount Royal/Mont-Royal"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,,2
24052,"Mount Royal/Mont-Royal"," 503","Mobile poll/Bureau itinérant",0,5,3,50,0,0,2,0,60,118
24052,"Mount Royal/Mont-Royal"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°96,,,,,,,,,67
24052,"Mount Royal/Mont-Royal"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24052,"Mount Royal/Mont-Royal"," 506","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24052,"Mount Royal/Mont-Royal"," 507","Mobile poll/Bureau itinérant",0,3,4,51,2,0,1,1,62,222
24052,"Mount Royal/Mont-Royal"," 508","Côte-Saint-Luc",Merged with No./Fusionné avec le n°136,,,,,,,,,191
24052,"Mount Royal/Mont-Royal"," 509","Mobile poll/Bureau itinérant",0,6,1,30,0,1,0,1,39,57
24052,"Mount Royal/Mont-Royal"," 510","Mobile poll/Bureau itinérant",2,8,0,42,0,0,0,1,53,67
24052,"Mount Royal/Mont-Royal"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°10,,,,,,,,,89
24052,"Mount Royal/Mont-Royal"," 512","Mobile poll/Bureau itinérant",1,15,1,48,1,0,0,0,66,115
24052,"Mount Royal/Mont-Royal"," 513","Mobile poll/Bureau itinérant",2,29,1,64,0,2,0,4,102,122
24052,"Mount Royal/Mont-Royal"," 514","Montréal",Merged with No./Fusionné avec le n°71,,,,,,,,,225
24052,"Mount Royal/Mont-Royal"," 515","Montréal",Merged with No./Fusionné avec le n°79,,,,,,,,,186
24052,"Mount Royal/Mont-Royal"," 516","Montréal",Merged with No./Fusionné avec le n°79,,,,,,,,,130
24052,"Mount Royal/Mont-Royal"," 600","Mont-Royal",54,289,104,777,4,182,25,8,1443,
24052,"Mount Royal/Mont-Royal"," 601","Mont-Royal",51,306,105,823,4,149,22,11,1471,
24052,"Mount Royal/Mont-Royal"," 602","Mont-Royal",25,331,75,656,4,69,20,17,1197,
24052,"Mount Royal/Mont-Royal"," 603","Montréal",12,142,59,699,1,12,41,8,974,
24052,"Mount Royal/Mont-Royal"," 604","Montréal",23,172,76,915,3,33,19,27,1268,
24052,"Mount Royal/Mont-Royal"," 605","Montréal",27,170,102,634,2,40,34,5,1014,
24052,"Mount Royal/Mont-Royal"," 606","Côte-Saint-Luc",22,469,62,571,2,24,37,8,1195,
24052,"Mount Royal/Mont-Royal"," 607","Hampstead",35,333,113,837,2,51,40,19,1430,
24052,"Mount Royal/Mont-Royal"," 608","Hampstead",16,522,48,820,1,8,21,9,1445,
24052,"Mount Royal/Mont-Royal"," 609","Côte-Saint-Luc",19,589,37,787,2,13,36,25,1508,
24052,"Mount Royal/Mont-Royal"," 610","Côte-Saint-Luc",19,554,27,679,1,3,29,10,1322,
24052,"Mount Royal/Mont-Royal"," 611","Côte-Saint-Luc",27,216,50,472,2,7,25,3,802,
24052,"Mount Royal/Mont-Royal",,Group 1/Groupe 1, 16,65,45,188,0,17,6,24,361,328
24052,"Mount Royal/Mont-Royal",,Group 2/Groupe 2, 69,623,154,1524,1,69,47,64,2551,
