Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katie Campbell,Cameron Ells,Andy Fillmore,B. Alexander Hébert,Jo-Ann Roberts,Lisa Roberts,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Halifax/Halifax"," 410","Halifax",Merged with No./Fusionné avec le n°55,,,,,,,,102
12005,"Halifax/Halifax"," 411","Halifax",Merged with No./Fusionné avec le n°70,,,,,,,,135
12005,"Halifax/Halifax"," 412","Halifax",4,17,54,10,4,19,3,111,203
12005,"Halifax/Halifax"," 413","Halifax",Merged with No./Fusionné avec le n°414,,,,,,,,65
12005,"Halifax/Halifax"," 414","Halifax",0,9,36,2,2,13,6,68,83
12005,"Halifax/Halifax"," 500","Mobile poll/Bureau itinérant",0,8,34,1,0,5,4,52,64
12005,"Halifax/Halifax"," 501","Mobile poll/Bureau itinérant",1,5,16,1,0,0,1,24,76
12005,"Halifax/Halifax"," 502","Mobile poll/Bureau itinérant",0,16,41,0,0,14,0,71,121
12005,"Halifax/Halifax"," 503","Mobile poll/Bureau itinérant",0,3,21,0,0,2,0,26,23
12005,"Halifax/Halifax"," 504","Mobile poll/Bureau itinérant",1,3,17,0,0,5,3,29,46
12005,"Halifax/Halifax"," 505","Mobile poll/Bureau itinérant",0,5,9,0,0,2,3,19,48
12005,"Halifax/Halifax"," 506","Mobile poll/Bureau itinérant",0,20,35,0,0,5,4,64,87
12005,"Halifax/Halifax"," 507","Mobile poll/Bureau itinérant",0,6,14,0,1,3,4,28,41
12005,"Halifax/Halifax"," 508","Mobile poll/Bureau itinérant",0,17,25,1,1,6,4,54,75
12005,"Halifax/Halifax"," 600","Halifax",4,104,644,19,20,588,6,1385,
12005,"Halifax/Halifax"," 601","Halifax",6,88,528,12,23,566,8,1231,
12005,"Halifax/Halifax"," 602","Halifax",5,61,312,16,25,513,3,935,
12005,"Halifax/Halifax"," 603","Halifax",5,84,446,10,23,423,5,996,
12005,"Halifax/Halifax"," 604","Halifax",3,118,436,12,9,306,3,887,
12005,"Halifax/Halifax"," 605","Halifax",3,150,407,13,22,454,2,1051,
12005,"Halifax/Halifax"," 606","Halifax",9,101,489,10,33,492,4,1138,
12005,"Halifax/Halifax"," 607","Halifax",2,86,480,16,22,355,2,963,
12005,"Halifax/Halifax"," 608","Halifax",1,131,626,7,28,349,2,1144,
12005,"Halifax/Halifax"," 609","Halifax",4,155,505,9,16,312,4,1005,
12005,"Halifax/Halifax"," 610","Halifax",1,258,917,17,34,325,4,1556,
12005,"Halifax/Halifax"," 611","Halifax",3,149,500,21,12,283,5,973,
12005,"Halifax/Halifax"," 612","Halifax",3,193,688,16,17,303,2,1222,
12005,"Halifax/Halifax"," 613","Halifax",3,159,437,34,8,266,8,915,
12005,"Halifax/Halifax"," 614","Halifax",2,112,356,7,9,159,5,650,
12005,"Halifax/Halifax"," 615","Harrietsfield",1,144,295,29,16,137,3,625,
12005,"Halifax/Halifax",,Group 1/Groupe 1, 2,201,369,15,37,388,68,1080,413
12005,"Halifax/Halifax",,Group 2/Groupe 2, 5,222,1132,26,43,839,66,2333,
