Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ed Fast,Stephen Fowler,Navreen Gill,Kevin Sinclair,Dharmasena Yakandawela,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford/Abbotsford"," 28","Abbotsford",88,6,60,12,31,0,197,548
59001,"Abbotsford/Abbotsford"," 29","Abbotsford",117,12,64,14,25,0,232,542
59001,"Abbotsford/Abbotsford"," 30A","Abbotsford",63,9,69,10,43,0,194,634
59001,"Abbotsford/Abbotsford"," 30B","Abbotsford",77,10,49,8,55,2,201,583
59001,"Abbotsford/Abbotsford"," 31","Abbotsford",96,3,57,5,16,0,177,443
59001,"Abbotsford/Abbotsford"," 32","Abbotsford",141,7,51,15,58,1,273,813
59001,"Abbotsford/Abbotsford"," 33","Abbotsford",107,8,71,8,43,2,239,687
59001,"Abbotsford/Abbotsford"," 34","Abbotsford",80,4,43,22,32,1,182,547
59001,"Abbotsford/Abbotsford"," 35","Abbotsford",87,10,51,16,30,0,194,603
59001,"Abbotsford/Abbotsford"," 36","Abbotsford",124,6,69,14,35,1,249,611
59001,"Abbotsford/Abbotsford"," 37","Abbotsford",107,5,40,16,32,0,200,501
59001,"Abbotsford/Abbotsford"," 38","Abbotsford",103,5,52,6,23,2,191,498
59001,"Abbotsford/Abbotsford"," 39","Abbotsford",94,8,47,12,42,1,204,517
59001,"Abbotsford/Abbotsford"," 40","Abbotsford",87,6,43,7,57,0,200,528
59001,"Abbotsford/Abbotsford"," 41","Abbotsford",101,9,51,7,28,0,196,521
59001,"Abbotsford/Abbotsford"," 42","Abbotsford",111,6,41,2,38,2,200,545
59001,"Abbotsford/Abbotsford"," 43","Abbotsford",121,2,46,4,40,0,213,601
59001,"Abbotsford/Abbotsford"," 44","Abbotsford",151,5,43,14,41,0,254,631
59001,"Abbotsford/Abbotsford"," 45","Abbotsford",124,15,43,9,45,2,238,542
59001,"Abbotsford/Abbotsford"," 46","Abbotsford",108,10,43,16,55,1,233,507
59001,"Abbotsford/Abbotsford"," 47","Abbotsford",122,19,43,9,58,1,252,569
59001,"Abbotsford/Abbotsford"," 48","Abbotsford",44,0,28,7,24,3,106,446
59001,"Abbotsford/Abbotsford"," 49","Abbotsford",37,8,20,5,30,0,100,335
59001,"Abbotsford/Abbotsford"," 50","Abbotsford",71,8,29,4,25,1,138,343
59001,"Abbotsford/Abbotsford"," 51","Abbotsford",38,8,42,12,46,0,146,556
59001,"Abbotsford/Abbotsford"," 52","Abbotsford",46,9,38,10,45,0,148,526
59001,"Abbotsford/Abbotsford"," 53","Abbotsford",42,3,51,6,13,0,115,432
59001,"Abbotsford/Abbotsford"," 54","Abbotsford",33,4,27,11,30,0,105,409
59001,"Abbotsford/Abbotsford"," 55","Abbotsford",58,4,88,3,34,2,189,697
59001,"Abbotsford/Abbotsford"," 56","Abbotsford",48,9,59,6,34,2,158,537
59001,"Abbotsford/Abbotsford"," 57","Abbotsford",52,4,62,15,24,0,157,545
59001,"Abbotsford/Abbotsford"," 58","Abbotsford",79,6,62,23,32,4,206,547
59001,"Abbotsford/Abbotsford"," 59","Abbotsford",62,7,56,10,37,0,172,582
59001,"Abbotsford/Abbotsford"," 60","Abbotsford",88,5,48,14,26,1,182,520
59001,"Abbotsford/Abbotsford"," 61","Abbotsford",53,5,89,13,50,4,214,583
59001,"Abbotsford/Abbotsford"," 62","Abbotsford",83,5,36,9,26,4,163,488
59001,"Abbotsford/Abbotsford"," 63","Abbotsford",113,4,40,6,29,0,192,691
59001,"Abbotsford/Abbotsford"," 64","Abbotsford",83,9,40,10,20,2,164,531
59001,"Abbotsford/Abbotsford"," 65","Abbotsford",62,11,44,17,51,0,185,731
59001,"Abbotsford/Abbotsford"," 66","Abbotsford",68,4,49,11,36,4,172,510
59001,"Abbotsford/Abbotsford"," 67","Abbotsford",77,3,25,9,38,0,152,545
59001,"Abbotsford/Abbotsford"," 68","Abbotsford",78,7,56,14,26,0,181,623
59001,"Abbotsford/Abbotsford"," 69","Abbotsford",108,6,51,10,49,1,225,689
59001,"Abbotsford/Abbotsford"," 70","Abbotsford",67,6,37,21,49,1,181,643
59001,"Abbotsford/Abbotsford"," 71","Abbotsford",62,5,38,14,30,0,149,497
59001,"Abbotsford/Abbotsford"," 72","Abbotsford",70,5,32,6,46,0,159,360
59001,"Abbotsford/Abbotsford"," 73","Abbotsford",110,5,28,19,38,0,200,523
59001,"Abbotsford/Abbotsford"," 74","Abbotsford",72,8,29,19,53,0,181,551
59001,"Abbotsford/Abbotsford"," 75","Abbotsford",61,8,31,8,52,0,160,411
59001,"Abbotsford/Abbotsford"," 76","Abbotsford",65,14,45,21,64,1,210,609
59001,"Abbotsford/Abbotsford"," 77","Abbotsford",76,10,43,12,59,0,200,595
59001,"Abbotsford/Abbotsford"," 78","Abbotsford",93,7,32,11,37,3,183,462
59001,"Abbotsford/Abbotsford"," 79","Abbotsford",109,8,42,9,62,0,230,725
59001,"Abbotsford/Abbotsford"," 80","Abbotsford",69,2,12,10,11,0,104,260
59001,"Abbotsford/Abbotsford"," 81","Abbotsford",90,3,40,13,34,3,183,485
59001,"Abbotsford/Abbotsford"," 82","Abbotsford",119,7,40,26,61,0,253,690
59001,"Abbotsford/Abbotsford"," 83","Abbotsford",79,6,28,14,39,1,167,435
59001,"Abbotsford/Abbotsford"," 84","Abbotsford",103,19,54,13,40,0,229,655
59001,"Abbotsford/Abbotsford"," 85","Abbotsford",88,5,43,10,34,0,180,550
59001,"Abbotsford/Abbotsford"," 86","Abbotsford",128,12,51,17,30,0,238,591
59001,"Abbotsford/Abbotsford"," 87","Abbotsford",120,15,52,16,35,1,239,606
59001,"Abbotsford/Abbotsford"," 88","Abbotsford",111,2,40,16,44,0,213,517
59001,"Abbotsford/Abbotsford"," 89","Abbotsford",93,3,63,11,22,3,195,476
59001,"Abbotsford/Abbotsford"," 90","Abbotsford",62,8,44,18,33,1,166,449
59001,"Abbotsford/Abbotsford"," 91","Abbotsford",107,3,48,15,21,1,195,555
59001,"Abbotsford/Abbotsford"," 92","Abbotsford",68,7,77,12,25,1,190,514
59001,"Abbotsford/Abbotsford"," 93","Abbotsford",52,4,29,6,29,0,120,361
59001,"Abbotsford/Abbotsford"," 94","Abbotsford",97,8,76,22,37,0,240,618
59001,"Abbotsford/Abbotsford"," 95","Abbotsford",104,10,46,12,37,2,211,760
59001,"Abbotsford/Abbotsford"," 96","Abbotsford",88,7,39,4,37,1,176,551
59001,"Abbotsford/Abbotsford"," 97","Abbotsford",101,7,33,17,47,1,206,454
59001,"Abbotsford/Abbotsford"," 98","Abbotsford",36,5,18,5,23,0,87,243
59001,"Abbotsford/Abbotsford"," 99","Abbotsford",104,11,37,17,36,0,205,559
59001,"Abbotsford/Abbotsford"," 100","Abbotsford",104,11,46,12,51,1,225,545
59001,"Abbotsford/Abbotsford"," 101","Abbotsford",110,4,59,8,35,0,216,538
59001,"Abbotsford/Abbotsford"," 102","Abbotsford",97,10,49,15,59,0,230,529
59001,"Abbotsford/Abbotsford"," 103","Abbotsford",94,7,42,10,45,4,202,543
59001,"Abbotsford/Abbotsford"," 104","Abbotsford",106,6,52,13,43,3,223,531
59001,"Abbotsford/Abbotsford"," 105","Abbotsford",140,12,72,12,35,5,276,798
59001,"Abbotsford/Abbotsford"," 106","Abbotsford",108,7,40,10,27,3,195,615
59001,"Abbotsford/Abbotsford"," 107","Abbotsford",71,6,42,7,41,2,169,494
59001,"Abbotsford/Abbotsford"," 108","Abbotsford",73,9,44,18,53,2,199,578
59001,"Abbotsford/Abbotsford"," 109","Abbotsford",34,8,22,5,38,3,110,406
59001,"Abbotsford/Abbotsford"," 110","Abbotsford",69,5,33,9,41,1,158,536
59001,"Abbotsford/Abbotsford"," 111","Abbotsford",74,14,45,15,46,0,194,618
59001,"Abbotsford/Abbotsford"," 112","Abbotsford",41,7,33,9,38,2,130,525
59001,"Abbotsford/Abbotsford"," 113","Abbotsford",60,9,42,4,44,2,161,527
59001,"Abbotsford/Abbotsford"," 114","Abbotsford",91,6,51,6,41,2,197,634
59001,"Abbotsford/Abbotsford"," 115","Abbotsford",72,7,18,4,21,1,123,374
59001,"Abbotsford/Abbotsford"," 116","Abbotsford",96,11,64,12,23,1,207,633
59001,"Abbotsford/Abbotsford"," 117","Abbotsford",88,6,41,25,29,1,190,565
59001,"Abbotsford/Abbotsford"," 118","Abbotsford",60,6,35,9,20,0,130,463
59001,"Abbotsford/Abbotsford"," 119","Abbotsford",139,8,32,14,40,0,233,596
59001,"Abbotsford/Abbotsford"," 120","Abbotsford",57,12,16,4,23,0,112,328
59001,"Abbotsford/Abbotsford"," 121","Abbotsford",59,4,19,11,31,0,124,372
59001,"Abbotsford/Abbotsford"," 122","Abbotsford",56,7,46,7,37,0,153,545
59001,"Abbotsford/Abbotsford"," 123","Abbotsford",95,8,43,23,52,1,222,543
59001,"Abbotsford/Abbotsford"," 124","Abbotsford",126,14,55,11,48,1,255,542
59001,"Abbotsford/Abbotsford"," 125","Abbotsford",77,6,32,17,26,0,158,402
59001,"Abbotsford/Abbotsford"," 126","Abbotsford",76,7,38,17,35,1,174,450
59001,"Abbotsford/Abbotsford"," 127","Abbotsford",88,8,22,10,11,0,139,416
59001,"Abbotsford/Abbotsford"," 128","Abbotsford",103,4,39,17,33,0,196,562
59001,"Abbotsford/Abbotsford"," 129","Abbotsford",93,6,37,13,41,1,191,573
59001,"Abbotsford/Abbotsford"," 130","Abbotsford",54,5,24,22,30,0,135,400
59001,"Abbotsford/Abbotsford"," 131","Abbotsford",75,6,35,11,23,0,150,564
59001,"Abbotsford/Abbotsford"," 132","Abbotsford",46,1,53,8,30,1,139,455
59001,"Abbotsford/Abbotsford"," 133","Abbotsford",80,14,38,23,87,0,242,854
59001,"Abbotsford/Abbotsford"," 134","Abbotsford",45,5,75,10,33,5,173,625
59001,"Abbotsford/Abbotsford"," 135","Abbotsford",129,20,60,14,65,1,289,899
59001,"Abbotsford/Abbotsford"," 136","Abbotsford",64,2,36,3,39,3,147,405
59001,"Abbotsford/Abbotsford"," 137","Abbotsford",91,7,75,2,22,1,198,539
59001,"Abbotsford/Abbotsford"," 138","Abbotsford",113,6,56,9,23,0,207,579
59001,"Abbotsford/Abbotsford"," 139","Abbotsford",149,6,60,25,22,3,265,540
59001,"Abbotsford/Abbotsford"," 140","Abbotsford",147,6,57,14,29,0,253,504
59001,"Abbotsford/Abbotsford"," 141","Abbotsford",160,6,43,14,23,0,246,474
59001,"Abbotsford/Abbotsford"," 142","Abbotsford",134,16,51,40,57,1,299,626
59001,"Abbotsford/Abbotsford"," 143","Abbotsford",163,7,31,11,22,0,234,430
59001,"Abbotsford/Abbotsford"," 400","Abbotsford",110,2,45,13,18,1,189,306
59001,"Abbotsford/Abbotsford"," 500","Mobile poll/Bureau itinérant",43,3,7,1,2,2,58,74
59001,"Abbotsford/Abbotsford"," 501","Mobile poll/Bureau itinérant",32,2,6,1,5,0,46,69
59001,"Abbotsford/Abbotsford"," 502","Abbotsford",Merged with No./Fusionné avec le n°24,,,,,,,40
59001,"Abbotsford/Abbotsford"," 503","Abbotsford",Merged with No./Fusionné avec le n°24,,,,,,,53
59001,"Abbotsford/Abbotsford"," 504","Abbotsford",Merged with No./Fusionné avec le n°24,,,,,,,81
59001,"Abbotsford/Abbotsford"," 505","Abbotsford",Merged with No./Fusionné avec le n°62,,,,,,,83
59001,"Abbotsford/Abbotsford"," 506","Abbotsford",Merged with No./Fusionné avec le n°69,,,,,,,54
59001,"Abbotsford/Abbotsford"," 507","Abbotsford",Merged with No./Fusionné avec le n°69,,,,,,,123
59001,"Abbotsford/Abbotsford"," 508","Abbotsford",Merged with No./Fusionné avec le n°94,,,,,,,52
59001,"Abbotsford/Abbotsford"," 509","Abbotsford",Merged with No./Fusionné avec le n°69,,,,,,,40
59001,"Abbotsford/Abbotsford"," 510","Abbotsford",Merged with No./Fusionné avec le n°69,,,,,,,91
59001,"Abbotsford/Abbotsford"," 511","Abbotsford",Merged with No./Fusionné avec le n°94,,,,,,,54
59001,"Abbotsford/Abbotsford"," 512","Abbotsford",Merged with No./Fusionné avec le n°94,,,,,,,36
59001,"Abbotsford/Abbotsford"," 513","Abbotsford",Merged with No./Fusionné avec le n°71,,,,,,,61
59001,"Abbotsford/Abbotsford"," 514","Abbotsford",Merged with No./Fusionné avec le n°62,,,,,,,46
59001,"Abbotsford/Abbotsford"," 515","Abbotsford",Merged with No./Fusionné avec le n°71,,,,,,,44
59001,"Abbotsford/Abbotsford"," 516","Abbotsford",Merged with No./Fusionné avec le n°66,,,,,,,12
59001,"Abbotsford/Abbotsford"," 600","Abbotsford",452,17,369,64,128,8,1038,
59001,"Abbotsford/Abbotsford"," 601","Abbotsford",518,30,277,102,150,9,1086,
59001,"Abbotsford/Abbotsford"," 602","Abbotsford",521,30,278,101,161,3,1094,
59001,"Abbotsford/Abbotsford"," 603","Abbotsford",583,35,213,109,152,6,1098,
59001,"Abbotsford/Abbotsford"," 604","Abbotsford",460,23,122,84,124,7,820,
59001,"Abbotsford/Abbotsford"," 605","Abbotsford",778,62,290,137,200,8,1475,
59001,"Abbotsford/Abbotsford"," 606","Abbotsford",865,41,227,139,143,6,1421,
59001,"Abbotsford/Abbotsford"," 607","Abbotsford",779,35,258,83,160,2,1317,
59001,"Abbotsford/Abbotsford"," 608","Abbotsford",689,35,233,121,140,3,1221,
59001,"Abbotsford/Abbotsford"," 609","Abbotsford",419,30,236,129,222,6,1042,
59001,"Abbotsford/Abbotsford"," 610","Abbotsford",634,33,223,119,186,6,1201,
59001,"Abbotsford/Abbotsford"," 611","Abbotsford",464,10,221,95,113,7,910,
59001,"Abbotsford/Abbotsford"," 612","Abbotsford",561,20,214,97,132,15,1039,
59001,"Abbotsford/Abbotsford"," 613","Abbotsford",583,23,139,82,113,0,940,
59001,"Abbotsford/Abbotsford",,Group 1/Groupe 1, 133,15,71,32,60,11,322,140
59001,"Abbotsford/Abbotsford",,Group 2/Groupe 2, 1478,121,821,139,525,112,3196,
