Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Barlow,Daniel Hunter,Brett Rogers,Paula Shimp,Michelle Traxel,Josh Wylie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,"Foothills/Foothills"," 26","Bragg Creek",65,4,3,24,24,2,0,122,286
48022,"Foothills/Foothills"," 27","Bragg Creek",53,6,4,19,14,0,0,96,282
48022,"Foothills/Foothills"," 28","Kananaskis",129,19,3,17,21,6,0,195,468
48022,"Foothills/Foothills"," 29A","Priddis",134,7,1,17,17,3,0,179,318
48022,"Foothills/Foothills"," 29B","Priddis",117,9,0,19,13,1,0,159,314
48022,"Foothills/Foothills"," 30A","Priddis",149,9,2,8,13,2,1,184,305
48022,"Foothills/Foothills"," 30B","Priddis",110,18,0,13,16,7,2,166,304
48022,"Foothills/Foothills"," 31","Priddis",64,10,2,4,6,3,0,89,174
48022,"Foothills/Foothills"," 32","Priddis",92,16,1,11,9,5,2,136,338
48022,"Foothills/Foothills"," 33","Priddis",108,10,2,14,14,5,1,154,404
48022,"Foothills/Foothills"," 34","De Winton",102,14,2,6,8,7,0,139,429
48022,"Foothills/Foothills"," 35","Millarville",180,32,3,14,22,14,0,265,458
48022,"Foothills/Foothills"," 36","Millarville",88,5,2,8,7,5,0,115,223
48022,"Foothills/Foothills"," 37","Kew",172,18,4,19,18,9,0,240,446
48022,"Foothills/Foothills"," 38","Millarville",136,9,2,5,12,9,1,174,353
48022,"Foothills/Foothills"," 39","De Winton",110,4,1,5,10,1,1,132,246
48022,"Foothills/Foothills"," 40","De Winton",256,20,3,14,30,6,0,329,554
48022,"Foothills/Foothills"," 41","De Winton",240,18,1,22,28,6,3,318,545
48022,"Foothills/Foothills"," 42","De Winton",122,5,1,13,4,2,0,147,417
48022,"Foothills/Foothills"," 43","De Winton",122,11,1,17,24,5,0,180,562
48022,"Foothills/Foothills"," 44","De Winton",209,27,5,11,22,4,0,278,447
48022,"Foothills/Foothills"," 45","De Winton",140,26,0,9,24,2,1,202,439
48022,"Foothills/Foothills"," 46","De Winton",174,13,3,10,10,11,3,224,373
48022,"Foothills/Foothills"," 47","De Winton",117,15,2,12,17,9,0,172,416
48022,"Foothills/Foothills"," 48","De Winton",137,13,2,20,9,3,0,184,538
48022,"Foothills/Foothills"," 49","De Winton",88,9,0,7,11,3,1,119,326
48022,"Foothills/Foothills"," 50","De Winton",134,7,0,12,10,0,0,163,477
48022,"Foothills/Foothills"," 51","Turner Valley",140,21,3,15,12,10,0,201,497
48022,"Foothills/Foothills"," 52","Turner Valley",133,32,6,12,26,8,0,217,584
48022,"Foothills/Foothills"," 53","Turner Valley",86,15,3,11,15,5,0,135,344
48022,"Foothills/Foothills"," 54","Turner Valley",104,14,0,13,33,10,0,174,467
48022,"Foothills/Foothills"," 55A","Turner Valley",60,24,3,6,13,4,0,110,320
48022,"Foothills/Foothills"," 55B","Turner Valley",74,11,0,13,17,7,0,122,325
48022,"Foothills/Foothills"," 56","Okotoks",136,18,0,12,15,6,3,190,538
48022,"Foothills/Foothills"," 57","Okotoks",148,19,4,7,15,3,0,196,565
48022,"Foothills/Foothills"," 58A","Okotoks",130,17,1,10,16,0,0,174,402
48022,"Foothills/Foothills"," 58B","Okotoks",101,12,4,11,25,2,1,156,394
48022,"Foothills/Foothills"," 59","Okotoks",113,20,1,11,28,1,2,176,495
48022,"Foothills/Foothills"," 60","Okotoks",101,8,6,13,35,3,1,167,520
48022,"Foothills/Foothills"," 61","Okotoks",150,24,5,14,33,7,0,233,584
48022,"Foothills/Foothills"," 62","Okotoks",105,9,7,8,27,14,0,170,456
48022,"Foothills/Foothills"," 63","Okotoks",128,24,3,8,41,10,1,215,565
48022,"Foothills/Foothills"," 64","Okotoks",157,10,0,25,22,4,1,219,536
48022,"Foothills/Foothills"," 65","Okotoks",75,16,2,15,19,1,0,128,445
48022,"Foothills/Foothills"," 66","Okotoks",123,10,2,15,19,2,0,171,494
48022,"Foothills/Foothills"," 67","Okotoks",84,10,0,7,22,3,0,126,412
48022,"Foothills/Foothills"," 68","Okotoks",99,8,3,19,22,6,1,158,489
48022,"Foothills/Foothills"," 69","Okotoks",120,12,2,15,28,8,0,185,463
48022,"Foothills/Foothills"," 70","Okotoks",138,31,6,10,35,4,2,226,519
48022,"Foothills/Foothills"," 71","Okotoks",110,13,3,19,41,4,0,190,475
48022,"Foothills/Foothills"," 72","Okotoks",92,12,1,8,29,3,1,146,455
48022,"Foothills/Foothills"," 73","Okotoks",141,21,1,14,18,4,0,199,517
48022,"Foothills/Foothills"," 74","Okotoks",162,13,2,17,30,11,2,237,634
48022,"Foothills/Foothills"," 75","Okotoks",96,8,2,6,33,7,0,152,445
48022,"Foothills/Foothills"," 76","Okotoks",148,19,3,19,46,0,1,236,569
48022,"Foothills/Foothills"," 77","Okotoks",71,9,1,8,21,3,0,113,358
48022,"Foothills/Foothills"," 78A","Okotoks",76,25,5,12,16,2,0,136,369
48022,"Foothills/Foothills"," 78B","Okotoks",78,4,3,11,19,1,0,116,362
48022,"Foothills/Foothills"," 79","Okotoks",106,18,2,6,18,4,0,154,416
48022,"Foothills/Foothills"," 80A","Okotoks",147,11,0,8,22,5,0,193,416
48022,"Foothills/Foothills"," 80B","Okotoks",135,15,4,12,30,2,0,198,419
48022,"Foothills/Foothills"," 81","Okotoks",120,11,2,7,13,11,0,164,580
48022,"Foothills/Foothills"," 82","De Winton",88,17,5,7,16,4,0,137,323
48022,"Foothills/Foothills"," 83","De Winton",93,9,1,3,10,10,0,126,281
48022,"Foothills/Foothills"," 84","De Winton",85,10,1,6,15,7,1,125,351
48022,"Foothills/Foothills"," 85","Black Diamond",114,19,7,6,19,3,0,168,437
48022,"Foothills/Foothills"," 86","Black Diamond",108,30,6,15,36,10,0,205,471
48022,"Foothills/Foothills"," 87","Black Diamond",133,19,6,7,21,11,0,197,500
48022,"Foothills/Foothills"," 88","Black Diamond",141,20,5,25,24,15,2,232,490
48022,"Foothills/Foothills"," 89","Turner Valley",152,12,2,26,24,4,1,221,543
48022,"Foothills/Foothills"," 90","Black Diamond",142,17,3,10,13,10,0,195,411
48022,"Foothills/Foothills"," 91","Okotoks",131,14,4,17,23,3,0,192,585
48022,"Foothills/Foothills"," 92","Okotoks",109,12,2,13,20,5,1,162,410
48022,"Foothills/Foothills"," 93","Okotoks",120,13,3,14,24,7,0,181,469
48022,"Foothills/Foothills"," 94","Okotoks",133,22,3,12,24,5,1,200,435
48022,"Foothills/Foothills"," 95","Okotoks",72,15,1,6,25,5,0,124,361
48022,"Foothills/Foothills"," 96","Okotoks",122,16,1,20,21,4,2,186,478
48022,"Foothills/Foothills"," 97","Okotoks",143,20,2,9,25,7,1,207,462
48022,"Foothills/Foothills"," 98","Okotoks",126,10,3,13,26,2,2,182,497
48022,"Foothills/Foothills"," 99","Okotoks",106,14,3,10,25,4,3,165,409
48022,"Foothills/Foothills"," 100","Okotoks",107,9,3,9,33,5,0,166,471
48022,"Foothills/Foothills"," 101","Okotoks",167,19,4,8,46,2,0,246,556
48022,"Foothills/Foothills"," 102","Okotoks",109,12,6,4,28,5,0,164,493
48022,"Foothills/Foothills"," 103","Okotoks",106,13,0,9,35,5,1,169,432
48022,"Foothills/Foothills"," 104","Okotoks",129,24,1,8,29,9,0,200,546
48022,"Foothills/Foothills"," 105","Okotoks",127,17,2,13,24,5,0,188,474
48022,"Foothills/Foothills"," 106","Okotoks",89,17,2,17,26,0,0,151,430
48022,"Foothills/Foothills"," 107","Okotoks",122,14,4,14,38,0,0,192,491
48022,"Foothills/Foothills"," 108","Okotoks",137,18,0,12,22,6,1,196,524
48022,"Foothills/Foothills"," 109","Okotoks",164,9,3,13,43,3,0,235,603
48022,"Foothills/Foothills"," 110","Okotoks",106,9,0,10,15,5,1,146,400
48022,"Foothills/Foothills"," 111","Okotoks",99,15,3,8,29,5,0,159,421
48022,"Foothills/Foothills"," 112","Okotoks",101,9,1,5,9,5,1,131,409
48022,"Foothills/Foothills"," 113","Gladys",108,13,1,5,13,2,0,142,413
48022,"Foothills/Foothills"," 114","High River",142,25,4,7,18,6,0,202,531
48022,"Foothills/Foothills"," 115","High River",81,7,2,6,13,11,1,121,367
48022,"Foothills/Foothills"," 116","High River",130,19,2,11,26,5,0,193,532
48022,"Foothills/Foothills"," 117","High River",88,17,2,7,11,9,0,134,357
48022,"Foothills/Foothills"," 118","High River",94,11,2,8,23,8,1,147,333
48022,"Foothills/Foothills"," 119","High River",147,19,0,15,22,7,2,212,535
48022,"Foothills/Foothills"," 120","High River",88,12,2,6,14,7,2,131,410
48022,"Foothills/Foothills"," 121","High River",136,7,0,7,15,5,0,170,528
48022,"Foothills/Foothills"," 122","High River",108,6,0,10,6,13,1,144,500
48022,"Foothills/Foothills"," 123","High River",139,14,1,9,16,6,2,187,603
48022,"Foothills/Foothills"," 124","Longview",89,18,2,6,11,9,0,135,233
48022,"Foothills/Foothills"," 125","Longview",135,20,0,9,13,15,0,192,365
48022,"Foothills/Foothills"," 126","Gladys",103,23,2,9,8,9,0,154,241
48022,"Foothills/Foothills"," 127","Blackie",181,32,3,10,27,9,3,265,450
48022,"Foothills/Foothills"," 128","Eden Valley 216",1,1,1,14,5,0,1,23,171
48022,"Foothills/Foothills"," 129","High River",61,9,2,12,10,1,0,95,349
48022,"Foothills/Foothills"," 130","High River",76,9,1,4,24,6,0,120,365
48022,"Foothills/Foothills"," 131","High River",77,9,0,11,19,3,0,119,423
48022,"Foothills/Foothills"," 132","High River",85,11,0,15,27,9,0,147,407
48022,"Foothills/Foothills"," 133","High River",77,21,3,9,24,3,0,137,377
48022,"Foothills/Foothills"," 134","High River",75,19,4,9,22,2,0,131,436
48022,"Foothills/Foothills"," 135","High River",90,17,1,14,25,5,1,153,456
48022,"Foothills/Foothills"," 136","High River",68,16,0,9,22,1,0,116,388
48022,"Foothills/Foothills"," 137","High River",98,10,6,7,22,4,1,148,421
48022,"Foothills/Foothills"," 138","High River",83,18,5,12,12,4,0,134,360
48022,"Foothills/Foothills"," 139","High River",91,16,0,8,24,5,1,145,411
48022,"Foothills/Foothills"," 140","High River",109,21,0,12,27,11,0,180,571
48022,"Foothills/Foothills"," 141","High River",90,10,0,6,14,2,0,122,331
48022,"Foothills/Foothills"," 142A","High River",74,8,6,15,22,6,1,132,315
48022,"Foothills/Foothills"," 142B","High River",66,9,3,9,13,6,1,107,308
48022,"Foothills/Foothills"," 143","High River",91,16,2,10,22,7,1,149,455
48022,"Foothills/Foothills"," 144","High River",81,13,2,6,19,6,1,128,341
48022,"Foothills/Foothills"," 145","Azure",119,22,3,4,12,15,3,178,469
48022,"Foothills/Foothills"," 146","Cayley",188,37,4,10,22,6,0,267,536
48022,"Foothills/Foothills"," 147","Cayley",117,17,1,6,9,11,0,161,368
48022,"Foothills/Foothills"," 148","Nanton",117,11,3,8,6,4,0,149,415
48022,"Foothills/Foothills"," 149","Nanton",62,6,1,8,14,11,0,102,376
48022,"Foothills/Foothills"," 150","Nanton",159,12,0,11,21,6,1,210,529
48022,"Foothills/Foothills"," 151","Nanton",117,18,1,20,29,4,0,189,447
48022,"Foothills/Foothills"," 152","Nanton",127,17,1,19,12,18,0,194,443
48022,"Foothills/Foothills"," 153","Parkland",93,17,0,1,3,7,0,121,330
48022,"Foothills/Foothills"," 154","Nanton",33,5,0,1,3,0,0,42,80
48022,"Foothills/Foothills"," 155","Stavely",189,15,1,4,6,11,0,226,404
48022,"Foothills/Foothills"," 156","Stavely",216,30,3,10,33,11,0,303,484
48022,"Foothills/Foothills"," 157","Crowsnest Pass",182,28,12,27,45,6,0,300,380
48022,"Foothills/Foothills"," 158","Crowsnest Pass",Merged with No./Fusionné avec le n°157,,,,,,,,269
48022,"Foothills/Foothills"," 159","Crowsnest Pass",210,20,2,21,37,17,1,308,333
48022,"Foothills/Foothills"," 160","Crowsnest Pass",Merged with No./Fusionné avec le n°159,,,,,,,,278
48022,"Foothills/Foothills"," 161","Crowsnest Pass",95,11,2,13,21,6,3,151,339
48022,"Foothills/Foothills"," 162","Claresholm",142,24,1,5,12,4,1,189,376
48022,"Foothills/Foothills"," 163","Claresholm",47,12,1,0,7,9,0,76,260
48022,"Foothills/Foothills"," 164","Claresholm",106,7,4,10,12,7,0,146,406
48022,"Foothills/Foothills"," 165","Claresholm",108,12,4,8,16,2,0,150,352
48022,"Foothills/Foothills"," 166","Claresholm",85,13,5,12,19,4,1,139,317
48022,"Foothills/Foothills"," 167","Claresholm",94,12,3,12,27,2,0,150,358
48022,"Foothills/Foothills"," 168","Claresholm",80,15,1,13,15,8,2,134,307
48022,"Foothills/Foothills"," 169","Claresholm",93,17,1,4,35,4,0,154,394
48022,"Foothills/Foothills"," 170","Claresholm",96,10,0,9,30,12,0,157,373
48022,"Foothills/Foothills"," 171","Claresholm",117,7,0,11,24,3,1,163,410
48022,"Foothills/Foothills"," 172","Granum",121,14,1,8,10,5,0,159,331
48022,"Foothills/Foothills"," 173","Granum",79,11,3,5,2,4,0,104,281
48022,"Foothills/Foothills"," 174","Granum",113,26,1,8,17,4,1,170,319
48022,"Foothills/Foothills"," 175","Sentinel",158,31,3,19,13,7,0,231,505
48022,"Foothills/Foothills"," 176","Crowsnest Pass",125,25,6,30,32,2,2,222,424
48022,"Foothills/Foothills"," 177","Crowsnest Pass",134,25,0,12,40,6,1,218,489
48022,"Foothills/Foothills"," 178","Crowsnest Pass",110,19,2,18,26,6,1,182,405
48022,"Foothills/Foothills"," 179","Tod Creek",107,25,2,8,7,8,0,157,350
48022,"Foothills/Foothills"," 180","Lundbreck",142,21,1,16,16,16,0,212,378
48022,"Foothills/Foothills"," 181","Lundbreck",101,20,2,7,11,10,1,152,288
48022,"Foothills/Foothills"," 182","Fort Macleod",94,16,0,5,3,1,0,119,251
48022,"Foothills/Foothills"," 183","Fort Macleod",111,32,1,2,4,2,0,152,284
48022,"Foothills/Foothills"," 184","Fort Macleod",108,16,3,10,17,1,2,157,393
48022,"Foothills/Foothills"," 185","Fort Macleod",73,23,0,14,20,5,0,135,364
48022,"Foothills/Foothills"," 186","Fort Macleod",85,20,3,11,21,4,1,145,394
48022,"Foothills/Foothills"," 187","Fort Macleod",46,13,4,19,14,1,1,98,279
48022,"Foothills/Foothills"," 188","Fort Macleod",111,23,1,11,21,3,0,170,363
48022,"Foothills/Foothills"," 189","Fort Macleod",65,7,2,7,21,4,2,108,308
48022,"Foothills/Foothills"," 190","Fort Macleod",113,40,0,10,18,6,0,187,310
48022,"Foothills/Foothills"," 191","Fort Macleod",112,35,1,5,16,1,0,170,312
48022,"Foothills/Foothills"," 192","Ardenville",Merged with No./Fusionné avec le n°190,,,,,,,,239
48022,"Foothills/Foothills"," 193","Crowsnest Pass",92,21,5,9,15,8,0,150,345
48022,"Foothills/Foothills"," 194","Crowsnest Pass",119,7,2,7,23,5,0,163,382
48022,"Foothills/Foothills"," 195","Crowsnest Pass",95,16,4,8,20,9,0,152,393
48022,"Foothills/Foothills"," 196","Hillcrest Mines",70,10,1,7,7,8,0,103,320
48022,"Foothills/Foothills"," 197","Summerview",91,14,4,5,11,5,1,131,316
48022,"Foothills/Foothills"," 198","Pincher Creek",136,19,2,16,33,12,1,219,353
48022,"Foothills/Foothills"," 199","Pincher Creek",59,18,1,7,12,3,1,101,383
48022,"Foothills/Foothills"," 200","Pincher Creek",80,9,1,12,12,6,0,120,400
48022,"Foothills/Foothills"," 201","Pincher Creek",83,4,5,9,15,4,0,120,363
48022,"Foothills/Foothills"," 202","Pincher Creek",Merged with No./Fusionné avec le n°198,,,,,,,,342
48022,"Foothills/Foothills"," 203","Pincher Creek",Merged with No./Fusionné avec le n°205,,,,,,,,268
48022,"Foothills/Foothills"," 204","Pincher Creek",89,16,5,9,16,7,0,142,400
48022,"Foothills/Foothills"," 205","Beaver Mines",168,12,6,24,30,23,0,263,357
48022,"Foothills/Foothills"," 206","Pincher Creek",99,19,3,8,14,6,0,149,370
48022,"Foothills/Foothills"," 207","Pincher Creek",100,10,2,10,23,8,2,155,407
48022,"Foothills/Foothills"," 208","Piikani 147",4,1,2,15,15,0,0,37,253
48022,"Foothills/Foothills"," 209","Piikani 147",11,10,1,50,71,4,1,148,715
48022,"Foothills/Foothills"," 210","Fort Macleod",Merged with No./Fusionné avec le n°211,,,,,,,,212
48022,"Foothills/Foothills"," 211","Glenwood",147,31,4,8,3,18,0,211,384
48022,"Foothills/Foothills"," 212","Hill Spring",167,36,3,10,18,4,0,238,440
48022,"Foothills/Foothills"," 213","Twin Butte",92,7,2,12,15,9,0,137,291
48022,"Foothills/Foothills"," 214","Waterton Park",53,7,3,26,38,1,0,128,176
48022,"Foothills/Foothills"," 400","High River",Merged with No./Fusionné avec le n°120,,,,,,,,53
48022,"Foothills/Foothills"," 500","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,,8
48022,"Foothills/Foothills"," 501","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,,8
48022,"Foothills/Foothills"," 502","Mobile poll/Bureau itinérant",25,3,3,5,1,1,0,38,24
48022,"Foothills/Foothills"," 503","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,,17
48022,"Foothills/Foothills"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°88,,,,,,,,7
48022,"Foothills/Foothills"," 505","Mobile poll/Bureau itinérant",35,1,2,9,1,0,1,49,34
48022,"Foothills/Foothills"," 506","Mobile poll/Bureau itinérant",23,1,1,4,0,0,0,29,44
48022,"Foothills/Foothills"," 507","Okotoks ",Merged with No./Fusionné avec le n°72,,,,,,,,22
48022,"Foothills/Foothills"," 508","Mobile poll/Bureau itinérant",42,0,5,6,4,1,0,58,92
48022,"Foothills/Foothills"," 509","Mobile poll/Bureau itinérant",53,2,1,6,6,1,0,69,181
48022,"Foothills/Foothills"," 510","High River",Merged with No./Fusionné avec le n°132,,,,,,,,29
48022,"Foothills/Foothills"," 511A","High River",Merged with No./Fusionné avec le n°133,,,,,,,,24
48022,"Foothills/Foothills"," 511B","Mobile poll/Bureau itinérant",64,3,1,5,5,2,0,80,104
48022,"Foothills/Foothills"," 512","Mobile poll/Bureau itinérant",9,0,0,1,0,0,0,10,42
48022,"Foothills/Foothills"," 513","Mobile poll/Bureau itinérant",34,0,1,3,0,1,0,39,44
48022,"Foothills/Foothills"," 514","Mobile poll/Bureau itinérant",3,1,1,0,1,0,0,6,9
48022,"Foothills/Foothills"," 515","Mobile poll/Bureau itinérant",33,0,2,4,8,0,0,47,54
48022,"Foothills/Foothills"," 516","Mobile poll/Bureau itinérant",24,2,1,5,3,0,0,35,38
48022,"Foothills/Foothills"," 517","Mobile poll/Bureau itinérant",29,0,0,5,2,1,0,37,46
48022,"Foothills/Foothills"," 518","Claresholm",Merged with No./Fusionné avec le n°171,,,,,,,,27
48022,"Foothills/Foothills"," 519","Mobile poll/Bureau itinérant",Results combined with no. 521/Résultats combinés au n° 521,,,,,,,,1
48022,"Foothills/Foothills"," 520","Mobile poll/Bureau itinérant",12,0,0,2,0,1,0,15,18
48022,"Foothills/Foothills"," 521","Mobile poll/Bureau itinérant",28,2,0,7,5,0,0,42,49
48022,"Foothills/Foothills"," 522","Fort Macleod ",Merged with No./Fusionné avec le n°186,,,,,,,,2
48022,"Foothills/Foothills"," 523","Mobile poll/Bureau itinérant",9,0,1,4,3,2,4,23,22
48022,"Foothills/Foothills"," 524","Mobile poll/Bureau itinérant",13,1,0,2,1,0,1,18,33
48022,"Foothills/Foothills"," 525","Mobile poll/Bureau itinérant",20,0,1,2,1,1,0,25,33
48022,"Foothills/Foothills"," 526","Mobile poll/Bureau itinérant",29,1,1,4,5,1,0,41,48
48022,"Foothills/Foothills"," 527","Mobile poll/Bureau itinérant",15,2,1,6,3,1,0,28,48
48022,"Foothills/Foothills"," 528","Crowsnest Pass ",Merged with No./Fusionné avec le n°193,,,,,,,,7
48022,"Foothills/Foothills"," 600","Rocky View County",934,52,13,82,62,45,2,1190,
48022,"Foothills/Foothills"," 601","Rocky View County",1173,44,9,96,68,22,0,1412,
48022,"Foothills/Foothills"," 602","Bragg Creek",611,42,20,110,126,20,1,930,
48022,"Foothills/Foothills"," 603","Turner Valley",641,102,9,50,90,51,9,952,
48022,"Foothills/Foothills"," 604","Priddis",659,58,10,54,40,27,2,850,
48022,"Foothills/Foothills"," 605","De Winton",443,47,6,36,23,25,0,580,
48022,"Foothills/Foothills"," 606","Okotoks",1460,124,12,70,134,59,18,1877,
48022,"Foothills/Foothills"," 607","Okotoks",965,79,9,97,162,41,1,1354,
48022,"Foothills/Foothills"," 608","Okotoks",821,77,11,66,165,45,2,1187,
48022,"Foothills/Foothills"," 609","Okotoks",916,69,9,102,185,34,1,1316,
48022,"Foothills/Foothills"," 610","Okotoks",1214,157,21,97,219,51,3,1762,
48022,"Foothills/Foothills"," 611","Gladys--De Winton",1088,99,9,57,77,47,1,1378,
48022,"Foothills/Foothills"," 612","High River",971,132,12,86,124,73,1,1399,
48022,"Foothills/Foothills"," 613","High River",1048,103,15,115,172,86,7,1546,
48022,"Foothills/Foothills"," 614","High River",1169,91,10,93,102,70,1,1536,
48022,"Foothills/Foothills"," 615","Turner Valley",523,62,15,27,64,29,3,723,
48022,"Foothills/Foothills"," 616","Nanton",786,69,9,50,65,49,4,1032,
48022,"Foothills/Foothills"," 617","Claresholm",536,64,9,45,86,22,3,765,
48022,"Foothills/Foothills"," 618","Claresholm",366,33,6,17,35,17,1,475,
48022,"Foothills/Foothills"," 619","Blairmore",397,44,11,37,54,37,4,584,
48022,"Foothills/Foothills"," 620","Blairmore",518,54,9,51,71,50,1,754,
48022,"Foothills/Foothills"," 621","Pincher Creek",435,46,6,55,44,25,0,611,
48022,"Foothills/Foothills"," 622","Pincher Creek",408,44,11,44,65,35,3,610,
48022,"Foothills/Foothills"," 623","Fort Macleod",564,113,13,55,129,17,10,901,
48022,"Foothills/Foothills",,Group 1/Groupe 1, 540,45,9,76,118,33,27,848,194
48022,"Foothills/Foothills",,Group 2/Groupe 2, 1677,104,32,218,328,109,37,2505,
