Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna-Marie Fosbrooke,Reima Kaikkonen,Ashley Michelle Lawrence,Christopher Neudorf,Alex Ruff,Anne Marie Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 93","Owen Sound",12,1,7,45,62,39,3,169,522
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 94","Owen Sound",12,3,2,46,67,42,4,176,473
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 95","Owen Sound",9,2,10,61,53,56,0,191,469
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 96","Owen Sound",4,0,7,43,65,49,0,168,487
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 97","Owen Sound",11,0,9,32,63,44,1,160,478
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 98","Owen Sound",26,6,8,46,48,62,1,197,551
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 99","Owen Sound",11,2,4,29,44,53,4,147,407
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 100","Owen Sound",9,0,9,22,43,30,0,113,383
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 101","Owen Sound",6,1,8,28,36,48,0,127,357
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 102","South Bruce Peninsula",23,2,12,33,111,35,0,216,457
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 103","South Bruce Peninsula",21,2,7,43,126,40,4,243,479
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 104","South Bruce Peninsula",24,2,5,23,67,28,0,149,389
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 105","Owen Sound",9,3,3,20,80,50,2,167,404
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 106","Owen Sound",9,1,5,28,82,52,1,178,387
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 107","Owen Sound",10,0,8,40,38,50,0,146,390
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 108","Owen Sound",8,1,6,30,92,71,1,209,466
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 109","Owen Sound",5,1,5,38,48,66,1,164,361
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 110","Owen Sound",12,1,7,27,103,77,2,229,498
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 111","Owen Sound",9,0,6,31,82,91,1,220,474
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 112","Owen Sound",3,2,7,26,89,62,0,189,342
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 113","Owen Sound",9,1,5,27,30,55,0,127,321
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 114","Inglis Falls",14,2,6,40,98,60,1,221,496
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 115","South Bruce Peninsula",10,1,0,115,43,60,1,230,640
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 116","Springmount",9,3,5,24,99,31,1,172,390
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 117","Meaford",10,1,1,29,115,36,0,192,510
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 118","Kilsyth",Merged with No./Fusionné avec le n°119,,,,,,,,295
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 119","Rockford",23,7,8,34,163,61,0,296,441
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 120","Rocklyn",13,3,13,21,95,36,0,181,388
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 121","Kimberley",12,0,16,24,50,57,1,160,327
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 122","Wodehouse",31,1,6,37,114,36,0,225,530
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 123","Chatsworth",13,1,4,14,40,20,0,92,273
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 124","Massie",16,0,6,12,85,21,1,141,331
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 125","Hemstock Mills",18,6,4,22,117,24,0,191,498
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 126","Arnott",14,0,1,21,73,21,0,130,390
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 127","Holland Centre",21,0,4,23,98,35,0,181,529
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 128","Kilsyth",24,2,4,13,126,25,3,197,573
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 129","Elsinore",14,2,9,16,109,29,0,179,454
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 130","Invermay",7,0,1,20,112,30,1,171,432
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 131","Invermay",6,0,6,13,58,28,2,113,401
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 132","Invermay",16,1,2,17,119,36,1,192,506
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 133","Desboro",8,4,3,15,52,17,1,100,355
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 134","Arranvale",11,1,2,10,56,13,0,93,330
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 135","Rob Roy",11,1,3,19,104,46,3,187,526
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 136","Feversham",17,1,9,29,126,24,0,206,585
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 137","McIntyre",27,0,2,29,108,49,0,215,406
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 138","Eugenia",Merged with No./Fusionné avec le n°137,,,,,,,,351
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 139","Maxwell",18,0,8,17,87,24,0,154,539
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 140","Williamsford",11,2,4,13,99,29,1,159,405
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 141","Desboro",23,3,2,34,101,41,1,205,443
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 142","Holford",Merged with No./Fusionné avec le n°143,,,,,,,,388
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 143","Kinghurst",42,1,14,50,162,72,0,341,412
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 144","Berkeley",6,0,7,27,76,26,0,142,471
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 145","Markdale",12,3,2,15,46,27,1,106,405
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 146","Barhead",Merged with No./Fusionné avec le n°148,,,,,,,,333
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 147","Markdale",11,0,8,25,48,37,0,129,400
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 148","Markdale",15,3,10,23,85,34,0,170,347
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 149","Lauriston",18,0,5,18,88,40,5,174,591
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 150","Barhead",19,1,3,27,66,44,3,163,390
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 151","Eugenia",Merged with No./Fusionné avec le n°152,,,,,,,,428
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 152","Grey Highlands",33,4,12,54,137,72,0,312,477
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 153","Dobbinton",Merged with No./Fusionné avec le n°154,,,,,,,,217
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 154","Peabody",15,3,6,30,113,30,1,198,363
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 155","Chesley",10,5,6,17,86,36,2,162,350
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 156","Chesley",Merged with No./Fusionné avec le n°158,,,,,,,,312
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 157","Chesley",5,1,7,20,54,36,0,123,354
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 158","Chesley",19,2,5,37,118,52,0,233,327
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 159","Chesley",15,0,2,26,71,27,2,143,399
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 160","Elmwood",28,0,2,25,80,23,1,159,452
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 161","Kimberley",7,0,6,17,53,53,0,136,356
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 162","Flesherton",0,9,9,25,70,18,0,131,370
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 163","Port Law",6,2,2,18,97,29,0,154,531
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 164","Grey Highlands",10,1,2,23,73,30,0,139,423
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 165","Flesherton",15,1,6,35,90,53,1,201,608
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 166","Paisley",24,1,11,28,84,41,1,190,313
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 167","Paisley",20,4,13,47,96,64,4,248,444
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 168","Paisley",18,0,7,32,140,63,2,262,479
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 169","Traverston",12,4,15,20,119,51,0,221,541
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 170","Glenelg Centre",22,1,9,30,102,37,0,201,441
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 171","Habermehl",24,1,5,23,110,36,4,203,546
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 172","Hanover",23,2,8,27,59,31,1,151,428
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 173","Hanover",12,2,5,25,61,36,0,141,431
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 174","Hanover",10,6,6,19,49,33,0,123,452
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 175","Welbeck",16,0,8,16,70,27,4,141,405
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 176","West Grey",18,2,2,11,54,34,0,121,395
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 177","Durham",22,3,2,21,82,30,1,161,515
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 178","Durham",7,5,6,27,71,39,1,156,523
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 179","Durham",8,1,2,11,51,20,1,94,319
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 180","Durham",18,4,3,17,70,20,1,133,478
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 181","Durham",11,2,4,19,52,22,1,111,397
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 182","Durham",9,1,1,27,90,23,0,151,471
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 183","Durham",Merged with No./Fusionné avec le n°184,,,,,,,,258
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 184","Durham",19,0,5,19,136,41,1,221,363
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 185","Tartan",18,0,2,20,89,31,1,161,524
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 186","Dundalk",Void/Supprimé,,,,,,,,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 187","Dundalk",19,4,7,29,124,54,0,237,773
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 188","Dundalk",21,1,6,41,124,60,2,255,976
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 189","Hopeville",35,10,9,25,132,36,2,249,449
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 190","Proton",Merged with No./Fusionné avec le n°189,,,,,,,,346
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 191","Allan Park",17,1,4,15,105,37,0,179,444
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 192","Hanover",23,4,11,37,143,60,2,280,421
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 193","Dundalk",13,0,5,27,59,30,0,134,409
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 194","Dundalk",14,1,1,12,45,16,0,89,306
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 195","Dundalk",Merged with No./Fusionné avec le n°196,,,,,,,,296
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 196","Ventry",23,9,10,30,108,29,1,210,490
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 197","Hanover",24,1,4,31,73,40,1,174,557
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 198","Hanover",11,3,7,26,53,46,0,146,451
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 199","Hanover",7,6,1,23,63,38,1,139,437
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 200","Hanover",12,0,1,20,73,33,0,139,465
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 201","Hanover",Merged with No./Fusionné avec le n°191,,,,,,,,371
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 202","Hanover",4,1,3,28,68,39,0,143,400
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 203","Hanover",31,3,4,34,53,27,1,153,484
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 204","Hanover",28,0,3,15,76,39,0,161,485
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 205","Hanover",12,3,3,12,85,31,1,147,457
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 206","Hanover",12,1,1,22,72,48,2,158,492
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 207","Hanover",17,3,3,25,73,23,0,144,410
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 208","Egremont",22,5,0,22,117,43,0,209,439
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 209","Holstein",16,5,8,25,107,30,0,191,386
