Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Bendayan,Célia Grimard,Angela-Angie Joshi,Jasmine Louras,Ève Péclet,Yehuda Pinto,Grace Tarabey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Outremont/Outremont"," 34","Montréal",58,15,0,7,77,9,9,3,178,404
24054,"Outremont/Outremont"," 35","Montréal",60,15,0,6,50,1,8,3,143,411
24054,"Outremont/Outremont"," 36","Montréal",64,20,0,10,63,1,7,0,165,452
24054,"Outremont/Outremont"," 37","Montréal",26,6,0,1,46,7,6,1,93,371
24054,"Outremont/Outremont"," 38","Montréal",24,12,1,10,43,9,3,0,102,503
24054,"Outremont/Outremont"," 39","Montréal",66,18,0,18,66,3,8,1,180,434
24054,"Outremont/Outremont"," 40","Montréal",31,9,0,1,47,5,2,2,97,457
24054,"Outremont/Outremont"," 41","Montréal",17,11,0,1,14,0,1,0,44,332
24054,"Outremont/Outremont"," 42","Montréal",39,9,0,2,62,6,4,0,122,405
24054,"Outremont/Outremont"," 43","Montréal",34,21,0,2,40,1,12,1,111,472
24054,"Outremont/Outremont"," 44","Montréal",60,27,1,6,98,5,10,4,211,507
24054,"Outremont/Outremont"," 45","Montréal",25,17,0,3,35,1,7,0,88,352
24054,"Outremont/Outremont"," 46","Montréal",25,10,0,5,9,1,1,0,51,401
24054,"Outremont/Outremont"," 47","Montréal",65,20,0,10,63,2,12,0,172,392
24054,"Outremont/Outremont"," 48","Montréal",73,24,1,9,92,5,13,7,224,470
24054,"Outremont/Outremont"," 49","Montréal",71,16,2,12,71,5,8,4,189,416
24054,"Outremont/Outremont"," 50","Montréal",65,8,0,5,49,2,4,5,138,322
24054,"Outremont/Outremont"," 51","Montréal",72,18,0,11,72,5,5,1,184,368
24054,"Outremont/Outremont"," 52","Montréal",65,17,2,8,97,4,7,0,200,406
24054,"Outremont/Outremont"," 53","Montréal",37,5,1,5,59,2,10,1,120,288
24054,"Outremont/Outremont"," 54","Montréal",56,11,1,9,77,3,6,1,164,417
24054,"Outremont/Outremont"," 55","Montréal",63,9,0,11,67,2,4,1,157,389
24054,"Outremont/Outremont"," 56","Montréal",88,15,1,8,73,4,11,1,201,520
24054,"Outremont/Outremont"," 57","Montréal",67,36,0,15,41,5,9,1,174,500
24054,"Outremont/Outremont"," 58","Montréal",49,23,1,3,81,3,10,2,172,461
24054,"Outremont/Outremont"," 59","Montréal",57,23,0,9,42,2,6,0,139,517
24054,"Outremont/Outremont"," 60","Montréal",69,19,1,12,55,7,5,4,172,562
24054,"Outremont/Outremont"," 61","Montréal",66,33,0,12,62,2,6,6,187,485
24054,"Outremont/Outremont"," 62","Montréal",53,35,0,12,70,4,5,1,180,547
24054,"Outremont/Outremont"," 63","Montréal",72,35,0,7,37,1,4,0,156,531
24054,"Outremont/Outremont"," 64","Montréal",84,40,0,19,35,2,6,2,188,542
24054,"Outremont/Outremont"," 65","Montréal",82,31,0,23,20,0,6,0,162,492
24054,"Outremont/Outremont"," 66","Montréal",110,41,0,42,24,2,9,0,228,504
24054,"Outremont/Outremont"," 67","Montréal",44,21,0,12,37,3,6,0,123,422
24054,"Outremont/Outremont"," 68","Montréal",15,8,0,4,17,3,1,0,48,323
24054,"Outremont/Outremont"," 69","Montréal",87,41,0,18,68,3,5,3,225,505
24054,"Outremont/Outremont"," 70","Montréal",76,51,1,14,56,2,12,3,215,472
24054,"Outremont/Outremont"," 71","Montréal",76,26,0,3,56,5,8,0,174,396
24054,"Outremont/Outremont"," 72","Montréal",63,23,0,26,41,3,9,4,169,401
24054,"Outremont/Outremont"," 73","Montréal",76,20,1,8,53,0,5,1,164,397
24054,"Outremont/Outremont"," 74","Montréal",69,39,2,22,39,0,11,3,185,409
24054,"Outremont/Outremont"," 75","Montréal",71,33,1,16,50,4,7,3,185,439
24054,"Outremont/Outremont"," 76","Montréal",84,28,1,18,32,3,7,1,174,504
24054,"Outremont/Outremont"," 77","Montréal",84,30,0,19,32,1,7,1,174,445
24054,"Outremont/Outremont"," 78","Montréal",70,31,0,10,40,4,7,1,163,446
24054,"Outremont/Outremont"," 79","Montréal",56,19,0,3,23,3,4,0,108,354
24054,"Outremont/Outremont"," 80","Montréal",52,17,0,9,23,0,3,1,105,347
24054,"Outremont/Outremont"," 81","Montréal",75,51,0,29,32,0,5,2,194,383
24054,"Outremont/Outremont"," 82","Montréal",89,42,1,27,22,1,3,1,186,407
24054,"Outremont/Outremont"," 83","Montréal",130,34,0,49,34,4,6,0,257,594
24054,"Outremont/Outremont"," 84","Montréal",46,16,0,12,21,5,4,1,105,430
24054,"Outremont/Outremont"," 85","Montréal",66,30,0,26,30,0,5,0,157,416
24054,"Outremont/Outremont"," 86","Montréal",91,38,0,30,25,2,4,3,193,420
24054,"Outremont/Outremont"," 87","Montréal",36,4,0,19,12,3,2,1,77,387
24054,"Outremont/Outremont"," 88","Montréal",58,23,1,19,15,8,2,0,126,443
24054,"Outremont/Outremont"," 89","Montréal",72,9,0,34,7,6,2,1,131,520
24054,"Outremont/Outremont"," 90","Montréal",71,3,0,30,26,11,1,1,143,494
24054,"Outremont/Outremont"," 91","Montréal",73,34,0,25,32,2,2,1,169,422
24054,"Outremont/Outremont"," 92","Montréal",68,23,0,24,16,9,3,2,145,431
24054,"Outremont/Outremont"," 93","Montréal",79,17,0,23,26,1,4,2,152,548
24054,"Outremont/Outremont"," 94","Montréal",49,10,0,9,25,2,4,2,101,319
24054,"Outremont/Outremont"," 95","Montréal",61,10,0,10,9,2,0,3,95,362
24054,"Outremont/Outremont"," 96","Montréal",91,10,1,8,28,6,2,2,148,398
24054,"Outremont/Outremont"," 97","Montréal",58,5,1,7,15,9,0,1,96,303
24054,"Outremont/Outremont"," 98","Montréal",93,8,0,7,10,3,2,1,124,363
24054,"Outremont/Outremont"," 99","Montréal",91,7,0,14,32,1,6,3,154,437
24054,"Outremont/Outremont"," 100","Montréal",87,6,1,15,28,5,4,4,150,449
24054,"Outremont/Outremont"," 101","Montréal",54,29,0,8,40,2,5,0,138,376
24054,"Outremont/Outremont"," 102","Montréal",60,9,0,2,16,2,0,1,90,279
24054,"Outremont/Outremont"," 103","Montréal",75,19,0,24,35,1,10,3,167,468
24054,"Outremont/Outremont"," 104","Montréal",5,2,0,9,3,2,3,0,24,461
24054,"Outremont/Outremont"," 105","Montréal",24,2,0,13,7,4,1,1,52,379
24054,"Outremont/Outremont"," 106","Montréal",31,3,1,14,8,2,2,0,61,506
24054,"Outremont/Outremont"," 107","Montréal",140,12,0,14,27,3,6,0,202,429
24054,"Outremont/Outremont"," 108","Montréal",78,11,1,5,21,12,3,0,131,367
24054,"Outremont/Outremont"," 109","Montréal",71,5,1,6,23,6,3,1,116,458
24054,"Outremont/Outremont"," 110","Montréal",115,10,1,10,22,5,5,1,169,427
24054,"Outremont/Outremont"," 111","Montréal",115,4,0,11,15,1,2,7,155,368
24054,"Outremont/Outremont"," 112","Montréal",168,5,0,15,24,2,2,3,219,430
24054,"Outremont/Outremont"," 113","Montréal",122,3,3,13,21,3,1,1,167,372
24054,"Outremont/Outremont"," 114","Montréal",49,27,0,11,84,2,5,2,180,477
24054,"Outremont/Outremont"," 115","Montréal",42,5,0,4,19,6,3,2,81,301
24054,"Outremont/Outremont"," 116","Montréal",79,48,0,15,39,4,10,1,196,481
24054,"Outremont/Outremont"," 117","Montréal",39,11,0,7,11,3,1,0,72,318
24054,"Outremont/Outremont"," 118","Montréal",37,13,0,6,34,4,3,3,100,348
24054,"Outremont/Outremont"," 119","Montréal",45,10,0,12,10,1,2,0,80,347
24054,"Outremont/Outremont"," 120","Montréal",70,29,1,10,34,5,4,0,153,596
24054,"Outremont/Outremont"," 121","Montréal",38,17,0,3,15,2,4,4,83,383
24054,"Outremont/Outremont"," 122","Montréal",75,17,0,11,29,3,2,0,137,522
24054,"Outremont/Outremont"," 123","Montréal",52,13,0,8,20,8,4,3,108,426
24054,"Outremont/Outremont"," 124","Montréal",56,49,0,13,26,4,12,1,161,479
24054,"Outremont/Outremont"," 125","Montréal",75,25,1,12,78,2,8,2,203,444
24054,"Outremont/Outremont"," 126","Montréal",71,24,0,6,58,1,7,1,168,445
24054,"Outremont/Outremont"," 127","Montréal",94,8,0,11,19,4,3,2,141,441
24054,"Outremont/Outremont"," 128","Montréal",84,21,1,6,34,2,3,3,154,428
24054,"Outremont/Outremont"," 129","Montréal",67,22,2,10,21,4,5,0,131,398
24054,"Outremont/Outremont"," 130","Montréal",102,5,1,6,16,5,4,1,140,371
24054,"Outremont/Outremont"," 131","Montréal",110,15,0,9,33,3,5,1,176,485
24054,"Outremont/Outremont"," 132","Montréal",72,26,0,7,49,3,6,4,167,499
24054,"Outremont/Outremont"," 133","Montréal",103,8,0,8,26,4,1,1,151,464
24054,"Outremont/Outremont"," 134","Montréal",125,7,0,18,23,13,3,4,193,506
24054,"Outremont/Outremont"," 135","Montréal",41,15,0,12,22,3,7,0,100,329
24054,"Outremont/Outremont"," 136","Montréal",88,18,0,9,54,7,7,1,184,466
24054,"Outremont/Outremont"," 137","Montréal",117,12,0,17,25,4,3,2,180,408
24054,"Outremont/Outremont"," 138","Montréal",86,13,0,8,50,4,5,2,168,393
24054,"Outremont/Outremont"," 139","Montréal",72,13,0,10,23,3,4,1,126,333
24054,"Outremont/Outremont"," 140","Montréal",74,6,0,15,41,2,0,1,139,385
24054,"Outremont/Outremont"," 141","Montréal",74,11,0,10,30,11,2,1,139,398
24054,"Outremont/Outremont"," 142","Montréal",48,4,1,13,25,3,9,0,103,314
24054,"Outremont/Outremont"," 143","Montréal",63,13,1,14,32,6,4,0,133,440
24054,"Outremont/Outremont"," 144","Montréal",57,27,0,13,36,1,6,1,141,382
24054,"Outremont/Outremont"," 145","Montréal",50,28,0,19,23,7,3,0,130,445
24054,"Outremont/Outremont"," 146","Montréal",74,13,0,18,21,8,4,2,140,437
24054,"Outremont/Outremont"," 147","Montréal",83,10,0,16,30,0,0,1,140,410
24054,"Outremont/Outremont"," 148","Montréal",32,7,1,17,16,5,2,0,80,286
24054,"Outremont/Outremont"," 149","Montréal",82,23,0,24,12,4,2,2,149,465
24054,"Outremont/Outremont"," 150","Montréal",52,3,0,4,21,2,1,0,83,275
24054,"Outremont/Outremont"," 400","Mobile poll/Bureau itinérant",57,19,0,2,7,1,2,1,89,130
24054,"Outremont/Outremont"," 401","Montréal",Merged with No./Fusionné avec le n°76,,,,,,,,,240
24054,"Outremont/Outremont"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24054,"Outremont/Outremont"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°62,,,,,,,,,35
24054,"Outremont/Outremont"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,,,,42
24054,"Outremont/Outremont"," 503","Mobile poll/Bureau itinérant",34,0,1,3,0,0,0,1,39,53
24054,"Outremont/Outremont"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°129,,,,,,,,,18
24054,"Outremont/Outremont"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24054,"Outremont/Outremont"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°144,,,,,,,,,2
24054,"Outremont/Outremont"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°149,,,,,,,,,83
24054,"Outremont/Outremont"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°148,,,,,,,,,31
24054,"Outremont/Outremont"," 509","Mobile poll/Bureau itinérant",17,1,0,2,2,0,0,1,23,71
24054,"Outremont/Outremont"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°9,,,,,,,,,38
24054,"Outremont/Outremont"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°2,,,,,,,,,171
24054,"Outremont/Outremont"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°145,,,,,,,,,37
24054,"Outremont/Outremont"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°17,,,,,,,,,75
24054,"Outremont/Outremont"," 600","Montréal",377,259,3,41,294,22,29,14,1039,
24054,"Outremont/Outremont"," 601","Montréal",237,130,4,41,224,12,23,7,678,
24054,"Outremont/Outremont"," 602","Montréal",382,135,3,41,253,23,19,7,863,
24054,"Outremont/Outremont"," 603","Montréal",386,133,0,37,308,31,29,2,926,
24054,"Outremont/Outremont"," 604","Montréal",437,185,0,68,204,26,21,6,947,
24054,"Outremont/Outremont"," 605","Montréal",522,286,5,78,169,15,30,9,1114,
24054,"Outremont/Outremont"," 606","Montréal",595,357,0,157,200,15,31,5,1360,
24054,"Outremont/Outremont"," 607","Montréal",533,250,2,141,154,25,23,8,1136,
24054,"Outremont/Outremont"," 608","Montréal",409,47,3,152,75,24,17,3,730,
24054,"Outremont/Outremont"," 609","Montréal",386,69,1,64,95,17,17,11,660,
24054,"Outremont/Outremont"," 610","Montréal",515,165,2,71,126,14,26,6,925,
24054,"Outremont/Outremont"," 611","Montréal",546,153,2,104,165,33,32,12,1047,
24054,"Outremont/Outremont",,Group 1/Groupe 1, 293,68,2,41,189,5,20,35,653,637
24054,"Outremont/Outremont",,Group 2/Groupe 2, 991,325,5,169,464,27,42,90,2113,
