Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Bragdon,Steven J LaForest,Anthony Martin,Meriet Gray Miller,Cully Robinson,Daniel Joseph Waggoner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 58","Bath",34,1,3,13,18,10,0,79,314
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 59","Upper Kent",48,1,2,6,11,16,0,84,223
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 60","Upper Kent",50,2,2,7,11,10,0,82,202
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 61","Taymouth",78,1,10,17,17,11,1,135,306
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 62","Glencoe",105,1,22,30,56,17,1,232,493
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 63","Glassville",106,1,7,19,26,17,0,176,320
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 64","Napadogan",74,1,10,25,19,18,0,147,394
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 65","Stanley",50,2,8,12,22,5,1,100,259
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 66","Stanley",53,2,8,15,20,7,0,105,326
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 67","Upper Knoxford",85,2,3,19,22,10,0,141,395
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 68","Gordonsville",61,2,5,11,31,21,1,132,390
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 69","Bristol",39,2,7,18,14,12,1,93,321
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 70","Florenceville-Bristol",73,2,7,12,32,11,0,137,291
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 71","Wicklow",78,6,5,17,22,9,0,137,392
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 72","Windsor",55,1,3,18,15,19,0,111,324
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 73","Lansdowne",123,0,4,17,18,19,0,181,322
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 74","Fredericksburg",71,4,12,29,28,8,0,152,412
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 75","Royalton",95,0,10,7,18,13,1,144,305
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 76","Centreville",90,1,5,13,44,10,1,164,352
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 77","Florenceville",36,0,4,18,39,15,1,113,291
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 78","Wakem Corner",50,2,5,2,11,7,0,77,276
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 79","Florenceville",60,1,5,21,42,4,1,134,365
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 80","Oakland",50,1,5,11,25,7,1,100,272
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 81","Stickney",72,0,8,18,25,22,1,146,302
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 82","Durham Bridge",49,0,22,24,47,11,2,155,285
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 83","Durham Bridge",61,0,20,31,37,16,2,167,357
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 84","Nashwaak Village",56,0,14,26,29,9,1,135,345
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 85","Carlisle",79,1,8,19,36,15,1,159,414
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 86","Brighton",70,0,7,8,24,17,2,128,307
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 87","Simonds",93,1,14,24,33,11,0,176,358
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 88","Penniac",79,1,15,20,67,12,1,195,382
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 89","Penniac",53,1,12,38,47,8,2,161,313
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 90","Good Corner",106,0,8,15,32,17,1,179,326
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 91","Lakeville",94,6,8,29,39,18,2,196,359
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 92","Royal Road",102,1,19,26,60,13,0,221,465
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 93","McLeod Hill",62,0,16,22,35,4,0,139,334
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 94","McLeod Hill",59,2,14,17,37,27,2,158,372
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 95","McLeod Hill",59,0,18,34,46,13,0,170,350
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 96","Burtts Corner",69,2,8,11,16,13,0,119,334
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 97","Birdton",47,0,6,11,12,5,0,81,206
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 98","MacLean Settlement",66,2,6,18,18,13,0,123,340
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 99","Howland Ridge--Central Hainesville",59,1,1,13,32,12,0,118,266
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 100","Brewers Mills",72,0,4,10,18,15,0,119,354
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 101","Hartland",66,3,3,15,26,17,0,130,396
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 102","Hartland",52,2,8,10,20,15,0,107,295
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 103","Somerville",77,0,7,15,8,18,0,125,332
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 104","Lower Brighton",46,5,5,16,15,13,0,100,344
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 105","Killarney Road",97,2,11,50,67,12,1,240,666
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 106","Fredericton",66,2,14,36,82,9,0,209,580
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 107","Fredericton",65,1,13,40,82,9,2,212,697
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 108","Fredericton",63,0,11,24,72,7,1,178,492
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 109","Fredericton",37,0,10,36,36,3,1,123,376
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 110","Fredericton",42,0,11,28,49,3,0,133,399
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 111","Upper Stoneridge",60,0,9,8,9,12,2,100,341
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 112","Upper Keswick",58,0,5,16,9,11,1,100,332
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 113","Victoria Corner",100,2,2,10,23,12,2,151,388
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 114","Waterville",86,3,6,17,27,17,1,157,378
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 115","Nortondale",201,4,17,29,41,25,4,321,621
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 116","Lindsay",73,1,3,6,11,8,0,102,250
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 117","Belleville",65,3,3,11,6,7,3,98,263
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 118","Douglas",103,3,15,43,72,14,0,250,435
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 119","Douglas",77,0,15,34,35,11,2,174,402
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 120","Douglas",81,2,16,24,58,17,1,199,409
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 121","Keswick",40,0,15,23,29,3,0,110,231
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 122","Northampton",94,2,6,24,21,14,2,163,380
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 123","Northampton",64,1,11,15,14,12,2,119,285
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 124","Jacksontown",56,2,4,11,14,12,0,99,298
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 125","Jacksonville",99,2,8,10,19,18,2,158,422
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 126","Bright",52,0,10,12,23,12,1,110,281
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 127","Bright",71,6,31,37,56,18,1,220,461
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 128","Keswick Ridge",62,2,21,28,31,11,0,155,420
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 129","McKeens Corner",44,1,13,16,25,11,0,110,258
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 130","Woodstock",45,2,2,15,29,9,0,102,370
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 131","Woodstock",89,2,11,19,41,13,1,176,471
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 132","Woodstock",99,5,9,24,55,11,1,204,567
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 133","Woodstock",49,3,5,26,50,8,0,141,384
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 134","Springfield",122,2,3,25,31,9,3,195,396
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 135","Woodstock",46,1,11,18,29,8,1,114,309
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 136","Woodstock",45,2,7,24,28,11,1,118,333
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 137","Woodstock",33,0,6,23,10,3,2,77,339
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 138","Scotch Settlement",51,0,11,13,20,5,0,100,401
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 139","Northampton",59,1,6,15,16,12,0,109,345
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 140","Northampton",147,3,13,22,15,15,1,216,419
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 141","Woodstock",49,5,5,12,24,5,0,100,420
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 142","Woodstock",40,1,3,14,15,8,1,82,355
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 143","Woodstock",46,2,6,12,24,12,0,102,423
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 144","Lower Woodstock",58,5,4,13,19,6,0,105,416
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 145","Woodstock",30,1,10,15,17,2,0,75,181
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 146","Bedell Settlement",59,1,9,26,13,13,0,121,308
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 147","Bedell Settlement",66,3,5,17,16,8,0,115,289
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 148","Richmond",79,1,5,18,20,9,0,132,254
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 149","Richmond",110,1,4,22,24,18,0,179,358
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 150","Pinder",100,2,3,10,26,15,3,159,362
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 151","Bull Lake",39,0,4,3,14,4,0,64,247
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 152","Woodstock 23",9,1,3,28,16,11,0,68,282
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 153","Bear Island",103,3,11,23,52,7,2,201,389
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 154","Nackawic",65,1,1,19,30,8,0,124,344
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 155","Nackawic",50,1,4,10,31,7,0,103,295
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 156","Rossville",73,1,5,17,27,6,4,133,411
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 157","Woodstock",94,2,1,34,32,13,2,178,418
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 158","Woodstock",107,1,9,19,40,13,0,189,424
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 159","Meductic",175,1,2,16,31,25,0,250,464
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 160","Canterbury",93,2,3,15,18,5,0,136,248
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 161","Canterbury",111,2,10,15,47,22,0,207,348
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 162","Fosterville",76,3,3,12,34,2,3,133,203
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°20,,,,,,,,19
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°18,,,,,,,,43
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°21,,,,,,,,38
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°25,,,,,,,,8
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°31,,,,,,,,29
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°33,,,,,,,,11
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°47,,,,,,,,19
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 507","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°58,,,,,,,,17
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°101,,,,,,,,30
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 510","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°132,,,,,,,,77
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 512","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°135,,,,,,,,43
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°140,,,,,,,,9
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 515","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,,,6
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 517","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°66,,,,,,,,20
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°101,,,,,,,,13
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°50,,,,,,,,58
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 521","Fredericton",Merged with No./Fusionné avec le n°109,,,,,,,,34
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 600","Drummond",404,21,38,53,356,177,13,1062,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 601","Plaster Rock",602,9,20,64,171,72,4,942,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 602","Grand Falls / Grand-Sault",571,26,35,105,593,165,22,1517,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 603","Perth-Andover",458,10,24,71,173,27,0,763,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 604","Bath",561,4,28,63,163,52,7,878,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 605","Florenceville",381,4,21,44,131,39,6,626,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 606","Hartland",437,5,28,43,98,69,2,682,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 607","Jacksonville",606,8,26,80,144,56,3,923,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 608","Woodstock",292,9,32,43,106,26,3,511,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 609","Woodstock",398,5,24,45,126,26,5,629,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 610","Nackawic",429,3,12,52,129,28,0,653,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 611","Douglas",447,13,32,49,183,31,1,756,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 612","Upper Keswick",355,7,25,32,93,30,7,549,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 613","Fredericton",601,3,67,154,394,46,8,1273,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 614","Stanley",342,5,49,71,148,34,13,662,
13010,"Tobique--Mactaquac/Tobique--Mactaquac",,Group 1/Groupe 1, 113,0,12,47,69,7,16,264,67
13010,"Tobique--Mactaquac/Tobique--Mactaquac",,Group 2/Groupe 2, 708,22,66,87,446,89,45,1463,
