Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wilfried Richard Alexander Danzinger,Lorne Gershuny,Diem Marchand-Lafortune,Terry Parker,Nestor Sanajko,Paul Taylor,Arif Virani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35081,"Parkdale--High Park/Parkdale--High Park"," 111","Toronto",7,0,3,1,20,75,67,0,173,478
35081,"Parkdale--High Park/Parkdale--High Park"," 112","Toronto",10,0,4,0,17,56,65,0,152,415
35081,"Parkdale--High Park/Parkdale--High Park"," 113","Toronto",4,0,2,0,12,75,55,0,148,414
35081,"Parkdale--High Park/Parkdale--High Park"," 114","Toronto",3,0,5,2,20,112,73,0,215,468
35081,"Parkdale--High Park/Parkdale--High Park"," 115","Toronto",13,1,1,0,10,71,61,2,159,455
35081,"Parkdale--High Park/Parkdale--High Park"," 116","Toronto",5,0,9,0,11,93,56,0,174,451
35081,"Parkdale--High Park/Parkdale--High Park"," 117","Toronto",7,3,3,0,15,81,47,2,158,432
35081,"Parkdale--High Park/Parkdale--High Park"," 118","Toronto",1,1,0,0,15,29,26,0,72,352
35081,"Parkdale--High Park/Parkdale--High Park"," 119","Toronto",Void/Supprimé,,,,,,,,,
35081,"Parkdale--High Park/Parkdale--High Park"," 120","Toronto",7,1,3,0,14,40,84,2,151,462
35081,"Parkdale--High Park/Parkdale--High Park"," 121","Toronto",4,2,1,0,8,78,56,0,149,446
35081,"Parkdale--High Park/Parkdale--High Park"," 122","Toronto",4,1,0,2,36,63,42,2,150,458
35081,"Parkdale--High Park/Parkdale--High Park"," 123","Toronto",4,0,3,3,10,56,49,1,126,450
35081,"Parkdale--High Park/Parkdale--High Park"," 124","Toronto",2,0,3,1,20,81,90,5,202,534
35081,"Parkdale--High Park/Parkdale--High Park"," 125","Toronto",7,0,4,1,12,49,51,0,124,454
35081,"Parkdale--High Park/Parkdale--High Park"," 126","Toronto",Void/Supprimé,,,,,,,,,
35081,"Parkdale--High Park/Parkdale--High Park"," 127","Toronto",4,1,1,0,42,51,64,0,163,445
35081,"Parkdale--High Park/Parkdale--High Park"," 128","Toronto",8,0,3,0,38,37,66,0,152,426
35081,"Parkdale--High Park/Parkdale--High Park"," 129","Toronto",5,0,3,1,53,62,58,0,182,444
35081,"Parkdale--High Park/Parkdale--High Park"," 130","Toronto",6,0,2,1,13,56,28,0,106,394
35081,"Parkdale--High Park/Parkdale--High Park"," 131","Toronto",10,0,3,0,13,67,86,1,180,485
35081,"Parkdale--High Park/Parkdale--High Park"," 132","Toronto",7,0,2,0,11,39,97,2,158,490
35081,"Parkdale--High Park/Parkdale--High Park"," 133","Toronto",6,0,5,1,6,78,25,0,121,378
35081,"Parkdale--High Park/Parkdale--High Park"," 134","Toronto",6,0,0,0,33,69,28,0,136,437
35081,"Parkdale--High Park/Parkdale--High Park"," 135","Toronto",6,0,2,1,17,105,35,1,167,478
35081,"Parkdale--High Park/Parkdale--High Park"," 136","Toronto",Void/Supprimé,,,,,,,,,
35081,"Parkdale--High Park/Parkdale--High Park"," 137","Toronto",3,0,6,0,11,101,41,0,162,464
35081,"Parkdale--High Park/Parkdale--High Park"," 138","Toronto",Void/Supprimé,,,,,,,,,
35081,"Parkdale--High Park/Parkdale--High Park"," 139","Toronto",3,0,7,2,8,93,47,3,163,480
35081,"Parkdale--High Park/Parkdale--High Park"," 140","Toronto",Void/Supprimé,,,,,,,,,
35081,"Parkdale--High Park/Parkdale--High Park"," 141","Toronto",9,0,2,0,9,47,81,4,152,461
35081,"Parkdale--High Park/Parkdale--High Park"," 142","Toronto",1,2,5,0,6,100,59,1,174,459
35081,"Parkdale--High Park/Parkdale--High Park"," 143","Toronto",6,0,3,0,12,85,82,2,190,478
35081,"Parkdale--High Park/Parkdale--High Park"," 144","Toronto",16,0,3,2,18,72,64,2,177,476
35081,"Parkdale--High Park/Parkdale--High Park"," 145","Toronto",8,0,3,2,9,39,73,1,135,449
35081,"Parkdale--High Park/Parkdale--High Park"," 146","Toronto",5,1,3,0,14,76,56,1,156,448
35081,"Parkdale--High Park/Parkdale--High Park"," 147","Toronto",5,0,0,0,9,37,79,0,130,398
35081,"Parkdale--High Park/Parkdale--High Park"," 148","Toronto",0,1,6,1,10,62,62,0,142,437
35081,"Parkdale--High Park/Parkdale--High Park"," 149","Toronto",10,0,2,0,16,54,63,0,145,458
35081,"Parkdale--High Park/Parkdale--High Park"," 150","Toronto",4,0,5,1,16,60,76,1,163,476
35081,"Parkdale--High Park/Parkdale--High Park"," 151","Toronto",9,0,3,0,29,58,50,1,150,423
35081,"Parkdale--High Park/Parkdale--High Park"," 152","Toronto",8,1,3,0,20,36,44,1,113,434
35081,"Parkdale--High Park/Parkdale--High Park"," 153","Toronto",10,0,0,0,19,36,67,0,132,485
35081,"Parkdale--High Park/Parkdale--High Park"," 154","Toronto",8,0,3,0,67,28,72,0,178,440
35081,"Parkdale--High Park/Parkdale--High Park"," 155","Toronto",5,0,4,0,51,34,71,1,166,461
35081,"Parkdale--High Park/Parkdale--High Park"," 156","Toronto",8,2,6,3,66,78,174,3,340,589
35081,"Parkdale--High Park/Parkdale--High Park"," 157","Toronto",4,0,3,1,31,54,110,2,205,316
35081,"Parkdale--High Park/Parkdale--High Park"," 158","Toronto",Merged with No./Fusionné avec le n°157,,,,,,,,,222
35081,"Parkdale--High Park/Parkdale--High Park"," 400","Toronto",Merged with No./Fusionné avec le n°23,,,,,,,,,167
35081,"Parkdale--High Park/Parkdale--High Park"," 401","Toronto",2,0,0,2,9,13,54,1,81,190
35081,"Parkdale--High Park/Parkdale--High Park"," 402","Toronto",Merged with No./Fusionné avec le n°401,,,,,,,,,173
35081,"Parkdale--High Park/Parkdale--High Park"," 403","Toronto",7,0,3,0,32,35,88,3,168,301
35081,"Parkdale--High Park/Parkdale--High Park"," 404","Toronto",8,2,5,2,43,61,98,4,223,421
35081,"Parkdale--High Park/Parkdale--High Park"," 405","Toronto",10,0,3,2,29,68,102,1,215,420
35081,"Parkdale--High Park/Parkdale--High Park"," 406","Toronto",10,0,2,0,31,97,88,0,228,364
35081,"Parkdale--High Park/Parkdale--High Park"," 407","Toronto",7,0,4,1,32,63,73,0,180,300
35081,"Parkdale--High Park/Parkdale--High Park"," 408","Toronto",8,1,10,0,21,63,82,1,186,268
35081,"Parkdale--High Park/Parkdale--High Park"," 409","Toronto",21,3,3,0,40,69,58,2,196,156
35081,"Parkdale--High Park/Parkdale--High Park"," 410","Toronto",11,2,3,3,26,61,63,0,169,284
35081,"Parkdale--High Park/Parkdale--High Park"," 411","Toronto",20,1,1,0,24,66,63,1,176,234
35081,"Parkdale--High Park/Parkdale--High Park"," 412","Toronto",7,0,0,0,18,17,53,0,95,474
35081,"Parkdale--High Park/Parkdale--High Park"," 413","Toronto",Merged with No./Fusionné avec le n°409,,,,,,,,,302
35081,"Parkdale--High Park/Parkdale--High Park"," 414","Toronto",Merged with No./Fusionné avec le n°411,,,,,,,,,254
35081,"Parkdale--High Park/Parkdale--High Park"," 415","Toronto",Merged with No./Fusionné avec le n°408,,,,,,,,,193
35081,"Parkdale--High Park/Parkdale--High Park"," 416","Toronto",10,0,5,0,34,73,83,3,208,348
35081,"Parkdale--High Park/Parkdale--High Park"," 417","Toronto",0,0,4,0,31,36,63,0,134,215
35081,"Parkdale--High Park/Parkdale--High Park"," 418","Toronto",Merged with No./Fusionné avec le n°407,,,,,,,,,229
35081,"Parkdale--High Park/Parkdale--High Park"," 419","Toronto",12,0,2,1,17,46,33,0,111,349
35081,"Parkdale--High Park/Parkdale--High Park"," 420","Toronto",Merged with No./Fusionné avec le n°417,,,,,,,,,289
35081,"Parkdale--High Park/Parkdale--High Park"," 421","Toronto",0,0,1,0,7,23,45,0,76,362
35081,"Parkdale--High Park/Parkdale--High Park"," 422","Toronto",2,1,3,0,8,15,49,1,79,381
35081,"Parkdale--High Park/Parkdale--High Park"," 423","Toronto",1,0,2,0,41,39,89,1,173,334
35081,"Parkdale--High Park/Parkdale--High Park"," 424","Toronto",Merged with No./Fusionné avec le n°403,,,,,,,,,253
35081,"Parkdale--High Park/Parkdale--High Park"," 425","Toronto",0,0,0,1,5,8,59,1,74,422
35081,"Parkdale--High Park/Parkdale--High Park"," 426","Toronto",Merged with No./Fusionné avec le n°146,,,,,,,,,64
35081,"Parkdale--High Park/Parkdale--High Park"," 427","Toronto",10,1,5,0,59,54,136,0,265,404
35081,"Parkdale--High Park/Parkdale--High Park"," 428","Toronto",13,0,3,0,26,34,46,1,123,237
35081,"Parkdale--High Park/Parkdale--High Park"," 429","Toronto",10,0,7,0,50,38,78,1,184,303
35081,"Parkdale--High Park/Parkdale--High Park"," 430","Toronto",6,0,3,0,35,59,76,0,179,316
35081,"Parkdale--High Park/Parkdale--High Park"," 431","Toronto",10,0,7,0,63,72,123,1,276,501
35081,"Parkdale--High Park/Parkdale--High Park"," 432","Toronto",Merged with No./Fusionné avec le n°430,,,,,,,,,192
35081,"Parkdale--High Park/Parkdale--High Park"," 433","Toronto",0,0,4,0,41,70,69,0,184,519
35081,"Parkdale--High Park/Parkdale--High Park"," 434","Toronto",11,0,5,0,40,58,65,2,181,494
35081,"Parkdale--High Park/Parkdale--High Park"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,,,,72
35081,"Parkdale--High Park/Parkdale--High Park"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°124,,,,,,,,,34
35081,"Parkdale--High Park/Parkdale--High Park"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°123,,,,,,,,,11
35081,"Parkdale--High Park/Parkdale--High Park"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°146,,,,,,,,,69
35081,"Parkdale--High Park/Parkdale--High Park"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°133,,,,,,,,,32
35081,"Parkdale--High Park/Parkdale--High Park"," 600","Toronto",18,0,10,1,130,188,284,3,634,
35081,"Parkdale--High Park/Parkdale--High Park"," 601","Toronto",23,0,21,2,100,376,545,2,1069,
35081,"Parkdale--High Park/Parkdale--High Park"," 602","Toronto",31,0,33,4,189,505,798,4,1564,
35081,"Parkdale--High Park/Parkdale--High Park"," 603","Toronto",36,0,12,2,108,484,379,2,1023,
35081,"Parkdale--High Park/Parkdale--High Park"," 604","Toronto",44,0,13,2,102,339,319,0,819,
35081,"Parkdale--High Park/Parkdale--High Park"," 605","Toronto",46,0,19,4,99,462,367,3,1000,
35081,"Parkdale--High Park/Parkdale--High Park"," 606","Toronto",38,0,17,1,105,534,380,2,1077,
35081,"Parkdale--High Park/Parkdale--High Park"," 607","Toronto",23,0,7,0,39,286,232,0,587,
35081,"Parkdale--High Park/Parkdale--High Park"," 608","Toronto",33,2,22,1,211,381,707,6,1363,
35081,"Parkdale--High Park/Parkdale--High Park"," 609","Toronto",35,1,21,5,252,309,635,1,1259,
35081,"Parkdale--High Park/Parkdale--High Park"," 610","Toronto",22,1,12,0,170,169,419,0,793,
35081,"Parkdale--High Park/Parkdale--High Park"," 611","Toronto",24,0,11,2,50,474,274,3,838,
35081,"Parkdale--High Park/Parkdale--High Park"," 612","Toronto",17,1,19,0,63,466,400,2,968,
35081,"Parkdale--High Park/Parkdale--High Park"," 613","Toronto",25,6,21,2,81,598,461,0,1194,
35081,"Parkdale--High Park/Parkdale--High Park"," 614","Toronto",32,5,11,4,83,389,430,10,964,
35081,"Parkdale--High Park/Parkdale--High Park"," 615","Toronto",42,6,15,2,78,428,353,11,935,
35081,"Parkdale--High Park/Parkdale--High Park",,Group 1/Groupe 1, 26,2,16,2,88,483,396,30,1043,562
35081,"Parkdale--High Park/Parkdale--High Park",,Group 2/Groupe 2, 81,7,59,8,477,2577,2427,81,5717,
