Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claire Card,Dawn Dumont Walker,Jeremy Fisher,North-Marie Hunter,Guto Penteado,Corey Tochor,Carl A Wesolowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--University/Saskatoon--University"," 79","Saskatoon",53,16,0,0,11,83,2,1,166,476
47011,"Saskatoon--University/Saskatoon--University"," 80","Saskatoon",86,24,0,2,13,55,2,0,182,485
47011,"Saskatoon--University/Saskatoon--University"," 81","Saskatoon",51,8,0,1,6,46,1,0,113,415
47011,"Saskatoon--University/Saskatoon--University"," 82","Saskatoon",75,4,0,5,7,89,1,0,181,441
47011,"Saskatoon--University/Saskatoon--University"," 83","Saskatoon",55,6,0,0,11,66,0,0,138,389
47011,"Saskatoon--University/Saskatoon--University"," 84","Saskatoon",48,7,1,1,6,58,1,2,124,407
47011,"Saskatoon--University/Saskatoon--University"," 85","Saskatoon",40,10,1,2,11,48,1,3,116,397
47011,"Saskatoon--University/Saskatoon--University"," 86","Saskatoon",67,20,1,0,11,52,2,1,154,419
47011,"Saskatoon--University/Saskatoon--University"," 87","Saskatoon",60,13,0,3,2,49,0,0,127,368
47011,"Saskatoon--University/Saskatoon--University"," 88","Saskatoon",65,15,1,2,21,75,0,1,180,501
47011,"Saskatoon--University/Saskatoon--University"," 89","Saskatoon",49,15,0,0,6,40,1,0,111,401
47011,"Saskatoon--University/Saskatoon--University"," 90","Saskatoon",68,12,2,3,6,58,0,0,149,451
47011,"Saskatoon--University/Saskatoon--University"," 91","Saskatoon",38,13,1,4,7,43,1,0,107,393
47011,"Saskatoon--University/Saskatoon--University"," 92","Saskatoon",65,7,0,0,13,60,3,1,149,432
47011,"Saskatoon--University/Saskatoon--University"," 93","Saskatoon",79,6,1,1,11,60,3,1,162,434
47011,"Saskatoon--University/Saskatoon--University"," 94","Saskatoon",61,19,0,1,6,83,1,0,171,411
47011,"Saskatoon--University/Saskatoon--University"," 95","Saskatoon",150,39,3,6,13,126,1,0,338,710
47011,"Saskatoon--University/Saskatoon--University"," 96A","Saskatoon",Merged with No./Fusionné avec le n°116,,,,,,,,,83
47011,"Saskatoon--University/Saskatoon--University"," 96B","Saskatoon",53,31,2,2,0,52,1,9,150,181
47011,"Saskatoon--University/Saskatoon--University"," 96C","Mobile poll/Bureau itinérant",13,12,0,3,1,8,2,1,40,77
47011,"Saskatoon--University/Saskatoon--University"," 97","Saskatoon",39,18,0,1,11,69,0,2,140,516
47011,"Saskatoon--University/Saskatoon--University"," 98","Saskatoon",31,14,0,2,6,59,0,0,112,385
47011,"Saskatoon--University/Saskatoon--University"," 99","Saskatoon",49,16,0,6,8,55,0,0,134,346
47011,"Saskatoon--University/Saskatoon--University"," 100","Saskatoon",39,20,0,0,10,110,2,0,181,497
47011,"Saskatoon--University/Saskatoon--University"," 101A","Saskatoon",34,14,0,1,3,43,0,1,96,306
47011,"Saskatoon--University/Saskatoon--University"," 101B","Saskatoon",34,6,0,1,1,36,0,2,80,280
47011,"Saskatoon--University/Saskatoon--University"," 102","Saskatoon",36,12,0,2,0,58,0,0,108,366
47011,"Saskatoon--University/Saskatoon--University"," 103","Saskatoon",27,16,1,0,2,59,2,0,107,342
47011,"Saskatoon--University/Saskatoon--University"," 104","Saskatoon",22,8,0,0,4,82,2,0,118,407
47011,"Saskatoon--University/Saskatoon--University"," 105","Saskatoon",39,12,0,0,1,70,1,0,123,408
47011,"Saskatoon--University/Saskatoon--University"," 106","Saskatoon",35,15,0,1,7,57,1,1,117,380
47011,"Saskatoon--University/Saskatoon--University"," 107","Saskatoon",44,11,0,0,3,46,0,1,105,314
47011,"Saskatoon--University/Saskatoon--University"," 108","Saskatoon",38,4,0,2,3,52,0,0,99,357
47011,"Saskatoon--University/Saskatoon--University"," 109","Saskatoon",43,11,0,1,10,78,0,0,143,382
47011,"Saskatoon--University/Saskatoon--University"," 110","Saskatoon",39,17,0,0,4,72,1,0,133,447
47011,"Saskatoon--University/Saskatoon--University"," 111A","Saskatoon",29,10,0,1,4,62,0,0,106,340
47011,"Saskatoon--University/Saskatoon--University"," 111B","Saskatoon",25,11,0,0,5,57,0,0,98,338
47011,"Saskatoon--University/Saskatoon--University"," 112","Saskatoon",40,14,0,1,6,82,0,0,143,388
47011,"Saskatoon--University/Saskatoon--University"," 113","Saskatoon",51,15,0,3,3,84,2,0,158,507
47011,"Saskatoon--University/Saskatoon--University"," 114","Saskatoon",73,16,1,6,11,33,0,0,140,391
