Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Hickey,John Reist,Meryl Sarty,Richard Trevor Warren,John Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 19","Gagetown",31,9,8,17,49,0,114,324
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 20","Gagetown",30,5,5,12,30,2,84,255
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 21","Island View",45,5,4,5,54,0,113,274
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 22","Island View",40,10,5,24,49,0,128,294
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 23","Kingsclear 6",18,8,4,75,10,0,115,385
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 24","Shannon",29,8,8,12,106,0,163,301
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 25","Hanwell",51,5,5,31,41,0,133,379
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 26","Hanwell",35,8,6,34,43,3,129,418
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 27","Hanwell",43,6,4,20,43,1,117,352
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 28","Hanwell",48,10,3,26,48,0,135,358
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 29","Hanwell",88,8,7,29,43,0,175,432
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 30","Hanwell",44,11,8,23,57,0,143,418
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 31","Hanwell",54,12,5,28,48,3,150,388
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 32","Waasis",26,5,14,20,54,0,119,392
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 33","Waasis",37,9,14,59,59,0,178,549
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 34","Waasis",37,10,14,34,89,2,186,603
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 35","Waasis",33,13,17,29,48,0,140,451
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 36","Beaver Dam",30,7,8,21,27,0,93,361
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 37","Rusagonis",31,11,10,43,54,1,150,479
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 38","Hanwell",58,7,7,44,48,1,165,441
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 39","Kars",31,3,8,12,66,3,123,264
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 40","Mazerolle Settlement",43,4,9,24,54,0,134,381
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 41","Mazerolle Settlement",65,10,16,28,46,0,165,525
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 42","Mazerolle Settlement",47,11,19,33,57,1,168,436
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 43","Newmarket",51,2,15,14,54,0,136,364
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 44","New Maryland",56,12,8,23,40,0,139,459
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 45","Charters Settlement",54,13,8,24,54,0,153,423
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 46","Charters Settlement",47,8,4,31,77,1,168,505
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 47","Beaver Dam",35,10,19,31,47,0,142,445
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 48","Rusagonis",19,6,8,34,82,0,149,486
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 49","Rusagonis",30,6,16,28,52,1,133,454
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 50","Rusagonis",10,7,1,18,45,0,81,316
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 51","Prince William",39,6,33,34,85,3,200,486
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 52","Hampstead",29,7,7,14,60,0,117,238
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 53","Yoho",39,8,7,19,43,0,116,235
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 54","Dumfries",51,18,11,20,77,2,179,318
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 55","Central Greenwich",46,8,17,23,85,0,179,324
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 56","Fredericton Junction",21,5,10,28,60,0,124,433
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 57","Fredericton Junction",14,7,9,17,57,1,105,327
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 58","Blissville",23,6,11,18,71,0,129,270
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 59","Hoyt",20,12,7,25,74,0,138,285
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 60","Harvey",23,8,12,18,64,0,125,346
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 61","Harvey",45,6,8,19,64,1,143,415
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 62","Magaguadavic",15,9,4,12,85,0,125,293
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 63","Greenwich Hill",29,7,20,19,109,0,184,434
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 64","Public Landing",31,6,16,26,72,1,152,319
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 65","Tracy",33,10,20,16,106,0,185,435
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 66","Tracy",27,10,21,38,93,1,190,448
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 67","Welsford",47,9,37,23,101,0,217,397
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 68","Morrisdale",45,8,15,40,80,3,191,420
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 69","Grand Bay-Westfield",42,6,11,30,42,0,131,349
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 70","Coburn",23,6,9,19,60,0,117,263
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 71","Coburn",41,12,21,28,118,0,220,465
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 72","York Mills",24,4,9,5,93,1,136,279
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 73","Grand Bay-Westfield",45,5,7,22,62,0,141,394
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 74","Grand Bay-Westfield",35,7,10,19,45,0,116,383
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 75","Grand Bay-Westfield",49,7,18,37,54,1,166,429
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 76","Grand Bay-Westfield",42,9,10,28,62,2,153,421
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 77","McAdam",8,4,9,9,81,0,111,386
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 78","McAdam",6,0,3,2,37,1,49,218
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 79","McAdam",13,2,6,5,92,0,118,401
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 80","Wirral",31,2,19,27,54,0,133,257
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 81","Grand Bay-Westfield",50,3,15,28,57,0,153,409
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 82","Grand Bay-Westfield",60,3,2,24,52,0,141,388
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 83","Grand Bay-Westfield",59,3,6,25,51,0,144,428
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 84","Grand Bay-Westfield",27,2,15,34,50,1,129,398
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 85","Grand Bay-Westfield",49,3,8,28,42,0,130,378
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 86","Nerepis",31,5,10,38,21,1,106,312
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 87","Nerepis",28,5,11,19,71,1,135,289
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 88","Lawrence Station",40,8,13,18,66,5,150,276
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 89","Bonny River",24,7,28,22,126,2,209,352
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 90","Musquash",42,5,16,36,98,1,198,379
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 91","Chance Harbour",44,8,28,24,88,1,193,396
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 92","Rollingdam",17,7,13,16,83,2,138,265
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 93","Utopia",22,4,26,18,83,0,153,334
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 94","Seeleys Cove",40,9,32,29,101,1,212,397
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 95","Pennfield",28,6,29,17,55,0,135,314
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 96","Seeleys Cove",35,13,22,40,121,3,234,464
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 97","Lepreau",16,1,15,23,34,2,91,245
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 98","Dipper Harbour",25,1,9,10,64,1,110,281
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 99","Maces Bay",19,0,14,8,32,0,73,267
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 100","Oak Hill",20,5,13,14,95,3,150,284
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 101","Central Tower Hill",32,3,4,17,67,1,124,257
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 102","Elmsville",11,9,18,14,78,3,133,257
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 103","Moores Mills",38,8,30,17,87,0,180,362
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 104","St. George",30,4,26,19,62,1,142,388
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 105","Utopia",26,3,22,16,77,1,145,417
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 106","St. George",23,6,5,15,49,0,98,369
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 107","Breadalbane",33,5,14,15,87,0,154,391
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 108","Oak Bay",37,4,14,29,93,0,177,426
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 109","Oak Bay",35,5,18,15,91,0,164,391
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 110","The Ledge",31,3,23,32,84,0,173,410
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 111","Crocker Hill",25,6,11,20,66,1,129,368
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 112","Bocabec",70,11,20,27,100,2,230,405
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 113","St. George",23,5,17,17,52,0,114,398
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 114","St. George",12,5,11,10,60,1,99,294
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 115","Old Ridge",17,5,18,26,90,1,157,345
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 116","Valley Road",22,7,8,15,71,0,123,303
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 117","Mayfield--Heathland",19,2,16,3,58,0,98,264
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 118","Pomeroy Ridge",26,12,13,16,76,1,144,335
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 119","Bayside",31,10,7,16,61,1,126,272
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 120","St. Stephen",40,13,6,30,51,1,141,412
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 121","St. Stephen",36,7,13,30,44,0,130,392
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 122","St. Stephen",24,4,9,30,46,0,113,332
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 123","St. Stephen",22,6,11,21,38,1,99,322
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 124","St. Stephen",34,1,5,23,43,4,110,417
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 125","Chamcook",66,11,16,28,63,2,186,409
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 126","St. Stephen",20,2,17,13,43,0,95,281
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 127","St. Stephen",34,5,10,26,42,0,117,333
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 128","Letete",11,1,13,13,80,2,120,278
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 129","Letete",30,8,19,13,100,1,171,375
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 130","St. Stephen",29,6,10,24,53,1,123,354
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 131","St. Stephen",27,8,10,21,48,2,116,332
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 132","St. Stephen",24,7,15,13,69,3,131,352
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 133","Barter Settlement",10,5,17,13,65,1,111,280
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 134","Upper Mills",13,1,15,16,62,1,108,306
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 135","St. Andrews",71,9,13,31,34,0,158,344
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 136","St. Andrews",81,16,11,22,45,2,177,504
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 137","Blacks Harbour",31,5,34,13,76,0,159,347
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 138","Blacks Harbour",29,4,25,26,94,0,178,364
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 139","Beaver Harbour",35,9,26,24,100,1,195,408
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 140","St. Andrews",61,9,3,18,22,0,113,397
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 141","St. Andrews",58,15,9,26,38,1,147,404
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 142","Deer Island",16,4,9,16,53,0,98,319
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 143","West Isles",25,1,0,13,40,0,79,249
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 144","Campobello Island",9,0,6,8,43,0,66,215
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 145","Campobello Island",9,1,8,10,39,2,69,281
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 146","Campobello Island",11,1,5,9,30,0,56,259
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 147","Castalia",23,10,34,22,61,0,150,410
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 148","North Head",18,8,25,19,35,0,105,358
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 149","Woodwards Cove",31,5,24,12,44,0,116,404
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 150","Ingalls Head",19,5,35,23,48,1,131,411
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 151","Seal Cove",23,8,28,22,42,0,123,416
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 152","White Head Island",4,0,6,6,33,0,49,106
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°4,,,,,,,1
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°8,,,,,,,3
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°8,,,,,,,0
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°8,,,,,,,0
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°15,,,,,,,18
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°12,,,,,,,12
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°12,,,,,,,11
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°19,,,,,,,15
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°20,,,,,,,36
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°24,,,,,,,12
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°39,,,,,,,0
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°56,,,,,,,0
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°46,,,,,,,9
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°38,,,,,,,17
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°21,,,,,,,11
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°61,,,,,,,23
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°78,,,,,,,23
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°115,,,,,,,23
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°122,,,,,,,19
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°122,,,,,,,11
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,,0
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,,33
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°109,,,,,,,17
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°135,,,,,,,58
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°137,,,,,,,19
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 525","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°139,,,,,,,11
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 526","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°94,,,,,,,10
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 527","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°84,,,,,,,11
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 600","Studholm",115,34,44,74,495,1,763,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 601","Cambridge--Cambridge-Narrows",83,11,34,30,250,4,412,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 602","Springfield",77,13,28,37,309,0,464,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 603","Hampstead",52,17,6,33,137,0,245,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 604","Waasis",232,38,85,156,503,3,1017,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 605","Nasonworth",223,46,53,107,350,5,784,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 606","Hanwell",418,48,43,119,481,0,1109,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 607","Kingsclear",276,32,51,107,502,1,969,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 608","McAdam",40,3,16,19,341,1,420,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 609","Harvey Station",136,31,25,40,284,0,516,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 610","Fredericton Junction--Tracy",81,16,40,31,386,2,556,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 611","Westfield--Greenwich",83,15,45,69,328,2,542,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 612","Grand Bay-Westfield",313,35,54,115,526,9,1052,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 613","Lepreau",67,7,33,45,233,2,387,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 614","Pennfield",78,10,57,38,275,1,459,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 615","St. George",146,29,84,68,639,5,971,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 616","Saint Stephen",149,18,50,61,451,12,741,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 617","St. Stephen",234,28,41,91,450,5,849,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 618","Saint Andrews",372,34,39,83,307,4,839,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 619","Deer Island",41,6,7,9,149,2,214,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 620","Campobello",24,7,15,10,112,0,168,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 621","Grand Manan",103,24,85,45,251,1,509,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",,Group 1/Groupe 1, 77,19,25,62,225,31,439,76
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",,Group 2/Groupe 2, 435,50,59,119,717,38,1418,
