Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leona Alleslev,Janice Hagan,Serge Korovitsyn,Anthony Siskos,Leah Taylor Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 37A","Richmond Hill",Merged with No./Fusionné avec le n°39A,,,,,,,257
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 37B","Richmond Hill",Merged with No./Fusionné avec le n°39B,,,,,,,192
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 38A","Aurora",136,28,3,17,96,2,282,281
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 38B","Aurora",88,26,0,11,77,1,203,233
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 39A","Richmond Hill",111,12,3,5,92,3,226,313
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 39B","Richmond Hill",75,8,3,12,83,3,184,216
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 40A","Aurora",Merged with No./Fusionné avec le n°38A,,,,,,,255
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 40B","Aurora",Merged with No./Fusionné avec le n°38B,,,,,,,177
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 41A","Aurora",Merged with No./Fusionné avec le n°38A,,,,,,,249
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 41B","Aurora",Merged with No./Fusionné avec le n°38B,,,,,,,205
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 42A","Aurora",Merged with No./Fusionné avec le n°43A,,,,,,,191
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 42B","Aurora",96,21,4,14,87,1,223,216
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 43A","Aurora",121,31,2,5,102,3,264,260
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 43B","Aurora",Merged with No./Fusionné avec le n°42B,,,,,,,172
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 44A","Aurora",Merged with No./Fusionné avec le n°43A,,,,,,,216
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 44B","Aurora",Merged with No./Fusionné avec le n°42B,,,,,,,194
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 45A","Richmond Hill",Merged with No./Fusionné avec le n°46A,,,,,,,172
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 45B","Richmond Hill",Merged with No./Fusionné avec le n°47B,,,,,,,208
