Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jamie Ruby,Scott Simms,Clifford Small,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 36","Cottlesville",7,34,52,0,93,212
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 37","Boyd's Cove",2,29,36,2,69,144
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 38","Wild Cove",0,1,24,1,26,36
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 39","Little Burnt Bay",4,37,49,0,90,235
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 40","Beaumont",4,42,26,0,72,151
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 41","Ming's Bight",7,30,84,0,121,256
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 42","Cottrell's Cove",4,34,21,5,64,167
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 43","Nippers Harbour",0,7,16,0,23,72
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 44","Gander Bay South",7,34,71,0,112,328
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 45","Comfort Cove-Newstead",15,61,62,3,141,321
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 46","Baie Verte",10,20,48,0,78,354
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 47","Baie Verte",4,11,63,1,79,302
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 48","Baie Verte",6,30,66,1,103,367
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 49","Victoria Cove",8,62,68,8,146,591
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 50","Clarke's Head",5,19,15,1,40,158
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 51","Birchy Bay",20,53,150,5,228,468
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 52","Seal Cove",1,19,54,1,75,262
