Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dwayne Cappelletti,Pierre-Alexandre Corneillet,Angiolino d'Anello,Isabel Dion,Angelo Iacono,Cindy Mercer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Alfred-Pellan/Alfred-Pellan"," 110","Laval",3,4,21,47,88,19,2,184,405
24004,"Alfred-Pellan/Alfred-Pellan"," 111","Laval",9,7,21,59,76,18,5,195,434
24004,"Alfred-Pellan/Alfred-Pellan"," 112","Laval",1,2,17,42,63,8,0,133,400
24004,"Alfred-Pellan/Alfred-Pellan"," 113","Laval",4,1,22,43,94,15,4,183,351
24004,"Alfred-Pellan/Alfred-Pellan"," 114","Laval",5,1,28,23,57,17,3,134,325
24004,"Alfred-Pellan/Alfred-Pellan"," 115","Laval",8,2,33,17,66,15,3,144,335
24004,"Alfred-Pellan/Alfred-Pellan"," 116","Laval",2,3,12,20,52,12,3,104,300
24004,"Alfred-Pellan/Alfred-Pellan"," 117","Laval",7,3,28,37,103,23,5,206,437
24004,"Alfred-Pellan/Alfred-Pellan"," 118","Laval",3,5,19,35,58,7,3,130,365
24004,"Alfred-Pellan/Alfred-Pellan"," 119","Laval",1,1,9,37,70,10,4,132,362
24004,"Alfred-Pellan/Alfred-Pellan"," 120","Laval",4,1,11,34,44,9,7,110,302
24004,"Alfred-Pellan/Alfred-Pellan"," 121","Laval",6,6,4,34,54,11,1,116,380
24004,"Alfred-Pellan/Alfred-Pellan"," 122","Laval",7,3,29,48,70,19,1,177,411
24004,"Alfred-Pellan/Alfred-Pellan"," 123","Laval",1,4,15,18,58,13,6,115,345
24004,"Alfred-Pellan/Alfred-Pellan"," 124","Laval",1,2,11,21,50,2,2,89,321
24004,"Alfred-Pellan/Alfred-Pellan"," 125","Laval",3,0,7,27,42,13,0,92,319
24004,"Alfred-Pellan/Alfred-Pellan"," 126","Laval",1,3,12,31,40,11,3,101,279
24004,"Alfred-Pellan/Alfred-Pellan"," 127","Laval",5,3,23,37,92,13,1,174,438
24004,"Alfred-Pellan/Alfred-Pellan"," 128","Laval",12,1,22,13,85,14,8,155,359
24004,"Alfred-Pellan/Alfred-Pellan"," 129","Laval",4,4,24,30,56,17,4,139,315
24004,"Alfred-Pellan/Alfred-Pellan"," 130","Laval",5,5,25,28,102,8,2,175,374
24004,"Alfred-Pellan/Alfred-Pellan"," 131","Laval",6,6,33,43,77,20,4,189,449
24004,"Alfred-Pellan/Alfred-Pellan"," 132","Laval",7,2,10,46,67,16,2,150,390
24004,"Alfred-Pellan/Alfred-Pellan"," 133","Laval",8,6,21,46,51,9,1,142,369
24004,"Alfred-Pellan/Alfred-Pellan"," 134","Laval",5,2,5,36,55,16,5,124,333
24004,"Alfred-Pellan/Alfred-Pellan"," 135","Laval",1,3,29,38,102,22,0,195,374
24004,"Alfred-Pellan/Alfred-Pellan"," 136","Laval",3,0,31,48,95,12,6,195,347
24004,"Alfred-Pellan/Alfred-Pellan"," 137","Laval",5,2,29,13,61,13,0,123,236
24004,"Alfred-Pellan/Alfred-Pellan"," 138","Laval",2,3,23,25,35,5,0,93,354
24004,"Alfred-Pellan/Alfred-Pellan"," 139","Laval",3,3,33,51,100,17,1,208,407
24004,"Alfred-Pellan/Alfred-Pellan"," 140","Laval",6,3,28,31,78,13,0,159,347
24004,"Alfred-Pellan/Alfred-Pellan"," 141","Laval",7,3,18,27,97,12,3,167,387
24004,"Alfred-Pellan/Alfred-Pellan"," 142","Laval",5,1,26,43,82,12,2,171,313
24004,"Alfred-Pellan/Alfred-Pellan"," 143","Laval",3,3,21,46,82,13,5,173,353
24004,"Alfred-Pellan/Alfred-Pellan"," 144","Laval",2,4,14,40,89,29,5,183,424
24004,"Alfred-Pellan/Alfred-Pellan"," 145","Laval",4,1,17,38,79,8,2,149,365
24004,"Alfred-Pellan/Alfred-Pellan"," 146","Laval",5,5,30,30,87,22,3,182,426
24004,"Alfred-Pellan/Alfred-Pellan"," 147","Laval",6,7,25,40,76,20,0,174,368
24004,"Alfred-Pellan/Alfred-Pellan"," 148","Laval",4,7,23,24,84,13,3,158,368
24004,"Alfred-Pellan/Alfred-Pellan"," 149","Laval",7,1,24,17,75,9,1,134,322
24004,"Alfred-Pellan/Alfred-Pellan"," 150","Laval",4,1,23,33,69,17,2,149,397
24004,"Alfred-Pellan/Alfred-Pellan"," 151","Laval",3,6,19,23,65,5,3,124,345
24004,"Alfred-Pellan/Alfred-Pellan"," 152","Laval",11,3,26,22,85,4,1,152,365
24004,"Alfred-Pellan/Alfred-Pellan"," 153","Laval",4,4,16,27,87,15,6,159,378
24004,"Alfred-Pellan/Alfred-Pellan"," 154","Laval",2,2,56,16,84,13,6,179,428
24004,"Alfred-Pellan/Alfred-Pellan"," 155","Laval",3,8,19,47,83,17,6,183,439
24004,"Alfred-Pellan/Alfred-Pellan"," 156","Laval",5,7,18,59,122,22,4,237,484
24004,"Alfred-Pellan/Alfred-Pellan"," 157","Laval",4,4,26,65,103,23,13,238,461
24004,"Alfred-Pellan/Alfred-Pellan"," 158","Laval",5,1,13,14,56,9,3,101,304
24004,"Alfred-Pellan/Alfred-Pellan"," 159","Laval",2,2,50,24,94,13,2,187,456
24004,"Alfred-Pellan/Alfred-Pellan"," 160","Laval",9,3,25,45,68,17,2,169,397
24004,"Alfred-Pellan/Alfred-Pellan"," 161","Laval",6,6,24,22,82,12,0,152,427
24004,"Alfred-Pellan/Alfred-Pellan"," 162","Laval",6,4,36,30,93,21,1,191,396
24004,"Alfred-Pellan/Alfred-Pellan"," 163","Laval",4,1,29,51,85,22,4,196,432
24004,"Alfred-Pellan/Alfred-Pellan"," 164","Laval",7,3,16,15,91,8,2,142,389
24004,"Alfred-Pellan/Alfred-Pellan"," 165","Laval",6,3,28,45,67,13,6,168,438
24004,"Alfred-Pellan/Alfred-Pellan"," 166","Laval",1,4,24,51,93,26,4,203,464
24004,"Alfred-Pellan/Alfred-Pellan"," 167","Laval",6,3,27,48,93,20,5,202,459
24004,"Alfred-Pellan/Alfred-Pellan"," 168","Laval",9,6,18,47,74,9,4,167,416
24004,"Alfred-Pellan/Alfred-Pellan"," 169","Laval",8,2,41,49,91,26,4,221,446
24004,"Alfred-Pellan/Alfred-Pellan"," 170","Laval",5,3,38,56,100,16,2,220,332
24004,"Alfred-Pellan/Alfred-Pellan"," 171","Laval",7,5,13,59,106,20,10,220,384
24004,"Alfred-Pellan/Alfred-Pellan"," 172","Laval",4,5,21,50,107,19,3,209,382
24004,"Alfred-Pellan/Alfred-Pellan"," 173","Laval",4,3,16,53,66,19,1,162,347
24004,"Alfred-Pellan/Alfred-Pellan"," 174","Laval",9,4,29,33,88,11,8,182,388
24004,"Alfred-Pellan/Alfred-Pellan"," 175","Laval",4,4,26,46,74,15,8,177,476
24004,"Alfred-Pellan/Alfred-Pellan"," 176","Laval",9,5,24,63,58,16,3,178,445
24004,"Alfred-Pellan/Alfred-Pellan"," 177","Laval",9,5,14,54,87,18,2,189,399
24004,"Alfred-Pellan/Alfred-Pellan"," 178","Laval",2,2,11,27,65,13,9,129,360
24004,"Alfred-Pellan/Alfred-Pellan"," 179","Laval",8,6,15,41,103,14,9,196,435
24004,"Alfred-Pellan/Alfred-Pellan"," 180","Laval",6,4,14,36,67,22,4,153,497
24004,"Alfred-Pellan/Alfred-Pellan"," 181","Laval",5,0,18,22,72,15,1,133,414
24004,"Alfred-Pellan/Alfred-Pellan"," 182","Laval",6,3,8,33,64,14,1,129,370
24004,"Alfred-Pellan/Alfred-Pellan"," 183","Laval",3,2,15,20,54,5,3,102,363
24004,"Alfred-Pellan/Alfred-Pellan"," 184","Laval",9,1,9,37,68,14,6,144,367
24004,"Alfred-Pellan/Alfred-Pellan"," 185","Laval",5,4,10,31,58,13,8,129,366
24004,"Alfred-Pellan/Alfred-Pellan"," 186","Laval",9,1,16,15,61,10,2,114,341
24004,"Alfred-Pellan/Alfred-Pellan"," 187","Laval",5,1,12,32,52,31,0,133,377
24004,"Alfred-Pellan/Alfred-Pellan"," 400A","Laval",2,4,17,35,68,2,14,142,189
24004,"Alfred-Pellan/Alfred-Pellan"," 400B","Laval",6,0,5,37,66,1,17,132,179
24004,"Alfred-Pellan/Alfred-Pellan"," 400C","Laval",7,2,28,61,133,2,24,257,316
24004,"Alfred-Pellan/Alfred-Pellan"," 400D","Laval",6,1,28,71,115,3,10,234,301
24004,"Alfred-Pellan/Alfred-Pellan"," 400E","Laval",3,2,14,76,128,1,20,244,309
24004,"Alfred-Pellan/Alfred-Pellan"," 400F","Laval",10,2,31,120,127,4,16,310,383
24004,"Alfred-Pellan/Alfred-Pellan"," 500","Mobile poll/Bureau itinérant",0,0,0,3,2,0,1,6,19
24004,"Alfred-Pellan/Alfred-Pellan"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°30,,,,,,,,16
24004,"Alfred-Pellan/Alfred-Pellan"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°22,,,,,,,,25
24004,"Alfred-Pellan/Alfred-Pellan"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°9,,,,,,,,18
24004,"Alfred-Pellan/Alfred-Pellan"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°71,,,,,,,,54
24004,"Alfred-Pellan/Alfred-Pellan"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°70,,,,,,,,78
24004,"Alfred-Pellan/Alfred-Pellan"," 506","Mobile poll/Bureau itinérant",0,0,1,7,5,0,1,14,20
24004,"Alfred-Pellan/Alfred-Pellan"," 507","Mobile poll/Bureau itinérant",1,0,0,2,9,0,1,13,52
24004,"Alfred-Pellan/Alfred-Pellan"," 508","Mobile poll/Bureau itinérant",1,0,1,2,19,3,1,27,127
24004,"Alfred-Pellan/Alfred-Pellan"," 509","Mobile poll/Bureau itinérant",1,0,0,2,3,0,0,6,9
24004,"Alfred-Pellan/Alfred-Pellan"," 510","Mobile poll/Bureau itinérant",0,1,1,0,1,0,0,3,3
24004,"Alfred-Pellan/Alfred-Pellan"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°5,,,,,,,,6
24004,"Alfred-Pellan/Alfred-Pellan"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°23,,,,,,,,3
24004,"Alfred-Pellan/Alfred-Pellan"," 600","Laval",23,14,138,507,266,66,15,1029,
24004,"Alfred-Pellan/Alfred-Pellan"," 601","Laval",27,21,102,333,461,53,24,1021,
24004,"Alfred-Pellan/Alfred-Pellan"," 602","Laval",27,20,122,403,438,61,33,1104,
24004,"Alfred-Pellan/Alfred-Pellan"," 603","Laval",17,6,99,230,411,47,16,826,
24004,"Alfred-Pellan/Alfred-Pellan"," 604","Laval",31,12,211,146,517,69,18,1004,
24004,"Alfred-Pellan/Alfred-Pellan"," 605","Laval",25,20,95,423,364,59,17,1003,
24004,"Alfred-Pellan/Alfred-Pellan"," 606","Laval",22,10,157,228,507,63,17,1004,
24004,"Alfred-Pellan/Alfred-Pellan"," 607","Laval",11,11,110,235,294,41,22,724,
24004,"Alfred-Pellan/Alfred-Pellan"," 608","Laval",15,4,129,306,488,60,10,1012,
24004,"Alfred-Pellan/Alfred-Pellan"," 609","Laval",14,4,104,270,454,46,17,909,
24004,"Alfred-Pellan/Alfred-Pellan"," 610","Laval",22,13,81,314,364,80,18,892,
24004,"Alfred-Pellan/Alfred-Pellan"," 611","Laval",8,13,75,268,283,50,15,712,
24004,"Alfred-Pellan/Alfred-Pellan"," 612","Laval",17,12,179,310,522,51,27,1118,
24004,"Alfred-Pellan/Alfred-Pellan"," 613","Laval",20,7,120,269,309,36,17,778,
24004,"Alfred-Pellan/Alfred-Pellan"," 614","Laval",22,16,150,369,495,63,22,1137,
24004,"Alfred-Pellan/Alfred-Pellan"," 615","Laval",24,7,128,298,413,56,10,936,
24004,"Alfred-Pellan/Alfred-Pellan"," 616","Laval",19,15,248,264,635,55,14,1250,
24004,"Alfred-Pellan/Alfred-Pellan",,Group 1/Groupe 1, 0,5,28,63,117,24,23,260,87
24004,"Alfred-Pellan/Alfred-Pellan",,Group 2/Groupe 2, 16,30,288,637,1506,150,60,2687,
