Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scot Davidson,Benjamin Jenkins,Daniella Johnson,Michael Lotter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35119,"York--Simcoe/York--Simcoe"," 70","East Gwillimbury",95,45,84,27,1,252,667
35119,"York--Simcoe/York--Simcoe"," 71","East Gwillimbury",Merged with No./Fusionné avec le n°65,,,,,,579
35119,"York--Simcoe/York--Simcoe"," 72","East Gwillimbury",203,58,118,25,3,407,620
35119,"York--Simcoe/York--Simcoe"," 73","East Gwillimbury",206,49,105,29,1,390,718
35119,"York--Simcoe/York--Simcoe"," 74","East Gwillimbury",192,71,141,27,2,433,645
35119,"York--Simcoe/York--Simcoe"," 75","East Gwillimbury",186,57,126,17,0,386,599
35119,"York--Simcoe/York--Simcoe"," 76","East Gwillimbury",Merged with No./Fusionné avec le n°92,,,,,,435
35119,"York--Simcoe/York--Simcoe"," 77","East Gwillimbury",Merged with No./Fusionné avec le n°93,,,,,,392
35119,"York--Simcoe/York--Simcoe"," 78","East Gwillimbury",55,29,58,13,2,157,658
35119,"York--Simcoe/York--Simcoe"," 79","East Gwillimbury",102,23,59,16,1,201,772
35119,"York--Simcoe/York--Simcoe"," 80","East Gwillimbury",182,46,109,29,2,368,610
35119,"York--Simcoe/York--Simcoe"," 81","East Gwillimbury",171,45,112,22,6,356,606
35119,"York--Simcoe/York--Simcoe"," 82","East Gwillimbury",Merged with No./Fusionné avec le n°80,,,,,,487
35119,"York--Simcoe/York--Simcoe"," 83","East Gwillimbury",163,62,106,27,2,360,530
35119,"York--Simcoe/York--Simcoe"," 84","East Gwillimbury",Merged with No./Fusionné avec le n°85,,,,,,4
35119,"York--Simcoe/York--Simcoe"," 85","East Gwillimbury",171,48,145,15,1,380,1023
35119,"York--Simcoe/York--Simcoe"," 86","East Gwillimbury",151,40,90,18,4,303,825
35119,"York--Simcoe/York--Simcoe"," 87","East Gwillimbury",Merged with No./Fusionné avec le n°88,,,,,,502
35119,"York--Simcoe/York--Simcoe"," 88","East Gwillimbury",161,75,131,25,0,392,570
35119,"York--Simcoe/York--Simcoe"," 89","East Gwillimbury",Merged with No./Fusionné avec le n°81,,,,,,428
35119,"York--Simcoe/York--Simcoe"," 90","East Gwillimbury",Merged with No./Fusionné avec le n°83,,,,,,519
35119,"York--Simcoe/York--Simcoe"," 91","East Gwillimbury",113,30,98,14,2,257,779
35119,"York--Simcoe/York--Simcoe"," 92","East Gwillimbury",133,42,67,21,2,265,586
35119,"York--Simcoe/York--Simcoe"," 93","East Gwillimbury",143,38,88,16,4,289,676
35119,"York--Simcoe/York--Simcoe"," 94","East Gwillimbury",Merged with No./Fusionné avec le n°95,,,,,,589
35119,"York--Simcoe/York--Simcoe"," 95","East Gwillimbury",182,39,122,21,2,366,622
35119,"York--Simcoe/York--Simcoe"," 96","East Gwillimbury",100,26,92,23,1,242,916
35119,"York--Simcoe/York--Simcoe"," 97","East Gwillimbury",122,31,123,12,1,289,739
35119,"York--Simcoe/York--Simcoe"," 98","East Gwillimbury",90,31,78,13,0,212,804
35119,"York--Simcoe/York--Simcoe"," 99","East Gwillimbury",Merged with No./Fusionné avec le n°97,,,,,,414
35119,"York--Simcoe/York--Simcoe"," 100","East Gwillimbury",Merged with No./Fusionné avec le n°102,,,,,,504
35119,"York--Simcoe/York--Simcoe"," 101","East Gwillimbury",100,31,88,12,0,231,595
35119,"York--Simcoe/York--Simcoe"," 102","East Gwillimbury",174,54,119,21,5,373,518
35119,"York--Simcoe/York--Simcoe"," 103A","East Gwillimbury",106,23,89,8,3,229,624
35119,"York--Simcoe/York--Simcoe"," 103B","East Gwillimbury",89,25,105,8,0,227,572
35119,"York--Simcoe/York--Simcoe"," 104","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°105,,,,,,268
35119,"York--Simcoe/York--Simcoe"," 105","Bradford West Gwillimbury",160,34,66,24,6,290,561
35119,"York--Simcoe/York--Simcoe"," 106","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°107,,,,,,198
35119,"York--Simcoe/York--Simcoe"," 107","Bradford West Gwillimbury",196,33,71,28,4,332,474
35119,"York--Simcoe/York--Simcoe"," 108","Bradford West Gwillimbury",169,43,128,24,3,367,741
35119,"York--Simcoe/York--Simcoe"," 109","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°108,,,,,,514
35119,"York--Simcoe/York--Simcoe"," 110","Bradford West Gwillimbury",93,23,60,6,3,185,595
35119,"York--Simcoe/York--Simcoe"," 111","Bradford West Gwillimbury",74,26,85,13,1,199,579
35119,"York--Simcoe/York--Simcoe"," 112","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°107,,,,,,385
35119,"York--Simcoe/York--Simcoe"," 113","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°119,,,,,,446
35119,"York--Simcoe/York--Simcoe"," 114","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°121,,,,,,652
35119,"York--Simcoe/York--Simcoe"," 115","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°117,,,,,,524
35119,"York--Simcoe/York--Simcoe"," 116","Bradford West Gwillimbury",171,59,121,25,5,381,597
35119,"York--Simcoe/York--Simcoe"," 117","Bradford West Gwillimbury",147,63,103,20,1,334,683
35119,"York--Simcoe/York--Simcoe"," 118","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°116,,,,,,543
35119,"York--Simcoe/York--Simcoe"," 119","Bradford West Gwillimbury",182,78,119,34,3,416,842
35119,"York--Simcoe/York--Simcoe"," 120","Bradford West Gwillimbury",137,63,103,19,4,326,770
35119,"York--Simcoe/York--Simcoe"," 121","Bradford West Gwillimbury",166,64,112,23,6,371,662
35119,"York--Simcoe/York--Simcoe"," 122","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°126,,,,,,535
35119,"York--Simcoe/York--Simcoe"," 123","Bradford West Gwillimbury",125,36,123,11,7,302,1003
35119,"York--Simcoe/York--Simcoe"," 124","Bradford West Gwillimbury",125,31,93,21,3,273,824
35119,"York--Simcoe/York--Simcoe"," 125","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°120,,,,,,458
35119,"York--Simcoe/York--Simcoe"," 126","Bradford West Gwillimbury",147,45,149,19,5,365,660
35119,"York--Simcoe/York--Simcoe"," 127","Bradford West Gwillimbury",135,28,78,17,3,261,928
35119,"York--Simcoe/York--Simcoe"," 128","Bradford West Gwillimbury",89,24,106,13,2,234,750
35119,"York--Simcoe/York--Simcoe"," 129","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°130,,,,,,461
35119,"York--Simcoe/York--Simcoe"," 130","Bradford West Gwillimbury",154,55,118,25,2,354,511
35119,"York--Simcoe/York--Simcoe"," 131","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°132,,,,,,548
35119,"York--Simcoe/York--Simcoe"," 132","Bradford West Gwillimbury",167,65,123,19,2,376,611
35119,"York--Simcoe/York--Simcoe"," 133","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°136,,,,,,444
35119,"York--Simcoe/York--Simcoe"," 134","Bradford West Gwillimbury",176,56,123,24,0,379,756
35119,"York--Simcoe/York--Simcoe"," 135","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°134,,,,,,548
35119,"York--Simcoe/York--Simcoe"," 136","Bradford West Gwillimbury",145,38,79,19,3,284,730
35119,"York--Simcoe/York--Simcoe"," 137","Bradford West Gwillimbury",98,38,76,17,2,231,836
35119,"York--Simcoe/York--Simcoe"," 138","Bradford West Gwillimbury",98,47,67,22,3,237,772
35119,"York--Simcoe/York--Simcoe"," 139","Bradford West Gwillimbury",132,76,98,30,2,338,587
35119,"York--Simcoe/York--Simcoe"," 140","Bradford West Gwillimbury",150,94,84,36,5,369,634
35119,"York--Simcoe/York--Simcoe"," 141","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°140,,,,,,463
35119,"York--Simcoe/York--Simcoe"," 142","Bradford West Gwillimbury",178,45,93,27,3,346,755
35119,"York--Simcoe/York--Simcoe"," 143","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°139,,,,,,525
35119,"York--Simcoe/York--Simcoe"," 144","Bradford West Gwillimbury",99,20,78,21,1,219,627
35119,"York--Simcoe/York--Simcoe"," 145","Bradford West Gwillimbury",151,35,112,20,3,321,817
35119,"York--Simcoe/York--Simcoe"," 146","Bradford West Gwillimbury",178,40,102,41,0,361,740
35119,"York--Simcoe/York--Simcoe"," 147","Bradford West Gwillimbury",178,33,157,16,4,388,841
35119,"York--Simcoe/York--Simcoe"," 148","Bradford West Gwillimbury",181,28,126,18,5,358,823
35119,"York--Simcoe/York--Simcoe"," 149","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°148,,,,,,471
35119,"York--Simcoe/York--Simcoe"," 150","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°147,,,,,,423
35119,"York--Simcoe/York--Simcoe"," 151","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°142,,,,,,403
35119,"York--Simcoe/York--Simcoe"," 152","Bradford West Gwillimbury",Merged with No./Fusionné avec le n°146,,,,,,526
35119,"York--Simcoe/York--Simcoe"," 153","King",Merged with No./Fusionné avec le n°154,,,,,,314
35119,"York--Simcoe/York--Simcoe"," 154","King",248,47,103,41,4,443,638
35119,"York--Simcoe/York--Simcoe"," 400","Mobile poll/Bureau itinérant",39,21,17,6,7,90,152
35119,"York--Simcoe/York--Simcoe"," 401","Mobile poll/Bureau itinérant",22,4,21,1,1,49,116
35119,"York--Simcoe/York--Simcoe"," 402","Mobile poll/Bureau itinérant",21,8,25,1,2,57,116
35119,"York--Simcoe/York--Simcoe"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°13,,,,,,38
35119,"York--Simcoe/York--Simcoe"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°65,,,,,,27
35119,"York--Simcoe/York--Simcoe"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°19,,,,,,26
35119,"York--Simcoe/York--Simcoe"," 503","Mobile poll/Bureau itinérant",11,2,7,2,1,23,50
35119,"York--Simcoe/York--Simcoe"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°11,,,,,,21
35119,"York--Simcoe/York--Simcoe"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°28,,,,,,37
35119,"York--Simcoe/York--Simcoe"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°43,,,,,,18
35119,"York--Simcoe/York--Simcoe"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°93,,,,,,32
35119,"York--Simcoe/York--Simcoe"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°72,,,,,,23
35119,"York--Simcoe/York--Simcoe"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92,,,,,,34
35119,"York--Simcoe/York--Simcoe"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92,,,,,,60
35119,"York--Simcoe/York--Simcoe"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°81,,,,,,19
35119,"York--Simcoe/York--Simcoe"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,23
35119,"York--Simcoe/York--Simcoe"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°86,,,,,,22
35119,"York--Simcoe/York--Simcoe"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°102,,,,,,41
35119,"York--Simcoe/York--Simcoe"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°83,,,,,,19
35119,"York--Simcoe/York--Simcoe"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°80,,,,,,32
35119,"York--Simcoe/York--Simcoe"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°119,,,,,,29
35119,"York--Simcoe/York--Simcoe"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°119,,,,,,20
35119,"York--Simcoe/York--Simcoe"," 600","Georgina",605,122,258,66,7,1058,
35119,"York--Simcoe/York--Simcoe"," 601","Georgina",416,83,189,91,3,782,
35119,"York--Simcoe/York--Simcoe"," 602","Georgina",455,91,147,58,2,753,
35119,"York--Simcoe/York--Simcoe"," 603","Georgina",336,56,124,50,0,566,
35119,"York--Simcoe/York--Simcoe"," 604","Georgina",506,67,176,66,1,816,
35119,"York--Simcoe/York--Simcoe"," 605","Georgina",558,97,255,83,4,997,
35119,"York--Simcoe/York--Simcoe"," 606","Georgina",466,122,232,75,8,903,
35119,"York--Simcoe/York--Simcoe"," 607","Georgina",368,84,189,42,5,688,
35119,"York--Simcoe/York--Simcoe"," 608","Georgina",363,97,145,50,2,657,
35119,"York--Simcoe/York--Simcoe"," 609","Georgina",387,96,218,47,6,754,
35119,"York--Simcoe/York--Simcoe"," 610","Bradford West Gwillimbury",377,63,259,53,2,754,
35119,"York--Simcoe/York--Simcoe"," 611","Bradford West Gwillimbury",509,75,205,80,15,884,
35119,"York--Simcoe/York--Simcoe"," 612","Bradford West Gwillimbury",435,86,285,87,5,898,
35119,"York--Simcoe/York--Simcoe"," 613","Bradford West Gwillimbury",418,58,294,86,2,858,
35119,"York--Simcoe/York--Simcoe"," 614","Bradford West Gwillimbury",370,106,238,60,3,777,
35119,"York--Simcoe/York--Simcoe"," 615","Bradford West Gwillimbury",413,96,238,55,4,806,
35119,"York--Simcoe/York--Simcoe"," 616","Bradford West Gwillimbury",339,91,205,54,1,690,
35119,"York--Simcoe/York--Simcoe"," 617","Bradford West Gwillimbury",381,105,202,61,7,756,
35119,"York--Simcoe/York--Simcoe"," 618","East Gwillimbury",351,43,205,43,1,643,
35119,"York--Simcoe/York--Simcoe"," 619","East Gwillimbury",415,88,298,76,7,884,
35119,"York--Simcoe/York--Simcoe"," 620","East Gwillimbury",579,83,330,81,12,1085,
35119,"York--Simcoe/York--Simcoe"," 621","East Gwillimbury",499,58,236,48,4,845,
35119,"York--Simcoe/York--Simcoe"," 622","East Gwillimbury",470,70,223,75,4,842,
35119,"York--Simcoe/York--Simcoe"," 623","East Gwillimbury",465,133,305,60,12,975,
35119,"York--Simcoe/York--Simcoe",,Group 1/Groupe 1, 113,90,115,22,33,373,102
35119,"York--Simcoe/York--Simcoe",,Group 2/Groupe 2, 686,269,621,84,86,1746,
