Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Valérie Beauséjour,Julius Bute,Luc Desilets,Michael Dionne,Marc Duffy-Vincelette,Joseph Hakizimana,Linda Lapointe,Hans Roker Jr,Alec Ware,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 123","Saint-Eustache",0,0,61,1,10,12,29,6,4,2,125,362
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 124","Saint-Eustache",2,0,51,1,23,12,69,2,0,7,167,436
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 125","Saint-Eustache",1,0,69,2,15,7,48,7,4,5,158,401
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 126","Saint-Eustache",3,3,89,1,15,15,47,5,4,4,186,398
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 127","Saint-Eustache",3,0,79,1,14,16,48,9,7,3,180,392
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 128","Saint-Eustache",3,1,94,1,14,21,45,6,2,2,189,349
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 129","Saint-Eustache",8,1,63,0,14,21,31,4,6,3,151,384
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 130","Saint-Eustache",2,0,66,1,8,10,43,11,1,4,146,372
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 131","Saint-Eustache",1,0,57,0,8,11,28,7,0,4,116,380
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 132","Saint-Eustache",1,0,78,1,15,18,56,10,1,6,186,421
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 133","Saint-Eustache",3,1,40,4,11,9,29,5,0,4,106,325
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 134","Saint-Eustache",1,0,32,3,14,17,30,7,4,3,111,381
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 135","Saint-Eustache",2,1,79,1,8,13,52,5,6,6,173,335
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 136","Saint-Eustache",1,1,81,1,19,8,57,9,4,10,191,393
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 137","Saint-Eustache",3,0,53,1,12,12,57,11,8,1,158,362
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 138","Saint-Eustache",2,1,49,1,20,13,60,8,3,3,160,393
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 139","Saint-Eustache",2,2,48,0,22,13,47,4,3,9,150,395
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 140A","Saint-Eustache",4,2,67,0,19,3,115,2,2,10,224,208
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 140B","Saint-Eustache",2,0,36,1,11,8,27,2,3,0,90,252
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 141","Saint-Eustache",3,0,81,0,13,9,42,0,1,2,151,295
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 142","Saint-Eustache",1,0,28,1,8,9,26,3,0,3,79,242
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 143A","Saint-Eustache",Merged with No./Fusionné avec le n°140A,,,,,,,,,,,136
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 143B","Saint-Eustache",4,0,33,2,9,8,29,4,3,1,93,245
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 144","Saint-Eustache",3,0,78,1,13,13,54,9,1,6,178,387
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 145","Saint-Eustache",3,1,60,2,12,7,47,9,3,2,146,387
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 146","Saint-Eustache",2,2,78,1,23,6,48,3,4,6,173,463
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 147","Saint-Eustache",0,0,74,0,22,23,53,6,5,11,194,412
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 148","Deux-Montagnes",6,0,54,0,10,19,58,6,4,3,160,396
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 149","Deux-Montagnes",3,0,46,0,17,15,52,9,4,5,151,379
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 150","Saint-Eustache",4,0,61,1,14,15,45,10,6,4,160,438
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 151","Saint-Eustache",2,1,45,1,4,12,23,5,3,3,99,357
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 152","Saint-Eustache",1,0,45,3,7,5,36,3,2,0,102,362
