Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jacques Y Boudreau,Rob Flack,Arielle Kayabaga,Shawna Lewkowitz,Mike McMullen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35053,"London West/London-Ouest"," 26","London",3,62,108,45,6,7,231,466
35053,"London West/London-Ouest"," 27","London",6,51,82,36,12,3,190,494
35053,"London West/London-Ouest"," 28","London",2,86,87,66,13,3,257,648
35053,"London West/London-Ouest"," 29","London",1,16,34,25,6,1,83,288
35053,"London West/London-Ouest"," 30","London",0,58,49,62,14,0,183,485
35053,"London West/London-Ouest"," 31","London",2,32,62,74,9,1,180,497
35053,"London West/London-Ouest"," 32","London",2,43,61,48,12,0,166,442
35053,"London West/London-Ouest"," 33","London",1,38,59,58,4,0,160,515
35053,"London West/London-Ouest"," 34","London",1,35,42,53,15,5,151,480
35053,"London West/London-Ouest"," 35","London",4,56,69,46,12,1,188,512
35053,"London West/London-Ouest"," 36","London",0,78,96,66,4,0,244,528
35053,"London West/London-Ouest"," 37","London",4,46,72,48,6,1,177,287
35053,"London West/London-Ouest"," 38","London",6,65,142,88,12,5,318,808
35053,"London West/London-Ouest"," 39","London",1,44,105,67,9,1,227,592
35053,"London West/London-Ouest"," 40","London",7,62,106,65,9,0,249,587
35053,"London West/London-Ouest"," 41","London",1,49,64,47,10,3,174,539
35053,"London West/London-Ouest"," 42","London",4,71,111,49,3,5,243,600
35053,"London West/London-Ouest"," 43","London",7,58,78,38,11,0,192,558
35053,"London West/London-Ouest"," 44","London",2,47,75,60,11,5,200,532
35053,"London West/London-Ouest"," 45","London",6,58,92,50,16,3,225,548
35053,"London West/London-Ouest"," 46","London",Void/Supprimé,,,,,,,
35053,"London West/London-Ouest"," 47","London",2,53,83,42,9,0,189,395
35053,"London West/London-Ouest"," 48","London",3,51,99,55,19,0,227,621
35053,"London West/London-Ouest"," 49","London",6,78,84,47,5,2,222,388
35053,"London West/London-Ouest"," 50","London",Merged with No./Fusionné avec le n°53,,,,,,,311
35053,"London West/London-Ouest"," 51","London",3,66,99,51,10,1,230,631
35053,"London West/London-Ouest"," 52","London",7,91,97,52,7,2,256,666
35053,"London West/London-Ouest"," 53","London",3,76,110,36,7,0,232,320
35053,"London West/London-Ouest"," 54","London",Merged with No./Fusionné avec le n°55,,,,,,,483
35053,"London West/London-Ouest"," 55","London",1,152,111,51,12,2,329,507
35053,"London West/London-Ouest"," 56","London",1,19,50,96,7,1,174,420
35053,"London West/London-Ouest"," 57","London",0,15,53,65,7,0,140,392
35053,"London West/London-Ouest"," 58","London",1,27,58,67,13,2,168,395
35053,"London West/London-Ouest"," 59","London",5,53,95,69,4,1,227,341
35053,"London West/London-Ouest"," 60","London",2,49,54,44,5,0,154,423
35053,"London West/London-Ouest"," 61","London",0,72,68,53,0,2,195,459
35053,"London West/London-Ouest"," 62","London",2,68,77,59,18,0,224,450
35053,"London West/London-Ouest"," 63","London",2,33,69,76,14,0,194,470
35053,"London West/London-Ouest"," 64","London",2,31,42,74,12,0,161,390
35053,"London West/London-Ouest"," 65","London",3,25,59,90,10,1,188,417
35053,"London West/London-Ouest"," 66","London",1,59,52,38,13,3,166,497
35053,"London West/London-Ouest"," 67","London",1,80,77,65,5,0,228,479
35053,"London West/London-Ouest"," 68","London",4,75,90,57,7,0,233,516
35053,"London West/London-Ouest"," 69","London",2,16,44,77,12,4,155,457
35053,"London West/London-Ouest"," 70","London",1,37,64,96,9,0,207,460
35053,"London West/London-Ouest"," 71","London",4,42,59,77,2,0,184,414
35053,"London West/London-Ouest"," 72","London",3,30,35,47,14,2,131,346
35053,"London West/London-Ouest"," 73","London",0,20,26,76,19,0,141,462
35053,"London West/London-Ouest"," 74","London",0,47,65,70,14,2,198,499
35053,"London West/London-Ouest"," 75","London",1,29,29,46,9,2,116,425
35053,"London West/London-Ouest"," 76","London",6,48,54,44,11,0,163,397
35053,"London West/London-Ouest"," 77","London",1,65,100,42,7,0,215,509
35053,"London West/London-Ouest"," 78","London",2,54,49,58,9,1,173,400
35053,"London West/London-Ouest"," 79","London",1,60,58,44,11,3,177,538
35053,"London West/London-Ouest"," 80","London",4,51,74,49,9,1,188,550
35053,"London West/London-Ouest"," 81","London",8,43,51,48,16,1,167,470
35053,"London West/London-Ouest"," 82","London",3,74,75,91,21,2,266,560
35053,"London West/London-Ouest"," 83","London",1,37,81,83,9,1,212,510
35053,"London West/London-Ouest"," 84","London",Merged with No./Fusionné avec le n°87,,,,,,,320
35053,"London West/London-Ouest"," 85","London",5,46,96,99,6,3,255,466
35053,"London West/London-Ouest"," 86","London",2,28,113,82,7,2,234,447
35053,"London West/London-Ouest"," 87","London",5,75,114,131,25,0,350,433
35053,"London West/London-Ouest"," 88","London",3,120,87,17,0,0,227,404
35053,"London West/London-Ouest"," 89","London",0,103,76,11,2,0,192,356
35053,"London West/London-Ouest"," 90","London",1,43,67,87,15,1,214,458
35053,"London West/London-Ouest"," 91","London",0,52,76,77,6,4,215,470
35053,"London West/London-Ouest"," 92","London",0,44,95,81,7,2,229,475
35053,"London West/London-Ouest"," 93","London",2,43,64,62,7,0,178,475
35053,"London West/London-Ouest"," 94","London",2,32,56,53,14,1,158,367
35053,"London West/London-Ouest"," 95","London",0,49,67,83,11,2,212,438
35053,"London West/London-Ouest"," 96","London",4,33,35,68,4,0,144,400
35053,"London West/London-Ouest"," 97","London",1,20,32,60,11,1,125,425
35053,"London West/London-Ouest"," 98","London",1,27,43,45,7,3,126,367
35053,"London West/London-Ouest"," 99","London",Merged with No./Fusionné avec le n°117,,,,,,,344
35053,"London West/London-Ouest"," 100","London",0,19,47,61,13,0,140,422
35053,"London West/London-Ouest"," 101","London",1,38,46,77,9,0,171,400
35053,"London West/London-Ouest"," 102","London",3,30,34,46,11,0,124,392
35053,"London West/London-Ouest"," 103","London",3,60,52,100,23,2,240,652
35053,"London West/London-Ouest"," 104","London",3,49,57,56,11,4,180,440
35053,"London West/London-Ouest"," 105","London",8,49,46,64,2,0,169,390
35053,"London West/London-Ouest"," 106","London",3,41,44,42,3,0,133,367
35053,"London West/London-Ouest"," 107","London",3,129,106,42,14,1,295,393
35053,"London West/London-Ouest"," 108","London",Merged with No./Fusionné avec le n°107,,,,,,,346
35053,"London West/London-Ouest"," 109","London",2,78,97,54,14,1,246,526
35053,"London West/London-Ouest"," 110","London",2,41,57,33,6,0,139,367
35053,"London West/London-Ouest"," 111","London",4,46,81,51,3,2,187,441
35053,"London West/London-Ouest"," 112","London",0,46,72,36,5,1,160,403
35053,"London West/London-Ouest"," 113","London",3,56,52,45,6,0,162,487
35053,"London West/London-Ouest"," 114","London",4,64,60,44,9,3,184,534
35053,"London West/London-Ouest"," 115","London",2,63,97,39,17,1,219,521
35053,"London West/London-Ouest"," 116","London",0,41,68,37,7,2,155,408
35053,"London West/London-Ouest"," 117","London",5,87,104,52,13,0,261,422
35053,"London West/London-Ouest"," 118","London",2,41,24,51,5,0,123,368
35053,"London West/London-Ouest"," 119","London",0,42,17,74,9,1,143,357
35053,"London West/London-Ouest"," 120","London",4,35,58,64,15,4,180,500
35053,"London West/London-Ouest"," 121","London",0,85,108,47,10,0,250,540
35053,"London West/London-Ouest"," 122","London",1,55,49,17,4,1,127,399
35053,"London West/London-Ouest"," 123","London",2,106,51,29,4,1,193,504
35053,"London West/London-Ouest"," 124","London",1,77,79,37,6,1,201,497
35053,"London West/London-Ouest"," 125","London",2,38,39,42,12,0,133,446
35053,"London West/London-Ouest"," 126","London",5,53,62,36,12,0,168,528
35053,"London West/London-Ouest"," 127","London",2,34,45,64,12,1,158,474
35053,"London West/London-Ouest"," 128","London",4,61,72,85,23,0,245,567
35053,"London West/London-Ouest"," 129","London",5,40,46,50,6,1,148,491
35053,"London West/London-Ouest"," 130","London",6,44,54,64,16,2,186,548
35053,"London West/London-Ouest"," 131","London",6,37,50,58,13,0,164,346
35053,"London West/London-Ouest"," 132","London",3,31,29,28,12,0,103,461
35053,"London West/London-Ouest"," 133","London",3,73,86,30,11,1,204,482
35053,"London West/London-Ouest"," 134","London",7,42,69,57,10,3,188,359
35053,"London West/London-Ouest"," 135","London",1,42,51,36,8,0,138,559
35053,"London West/London-Ouest"," 136","London",4,51,76,68,7,4,210,456
35053,"London West/London-Ouest"," 137","London",3,51,47,50,15,1,167,431
35053,"London West/London-Ouest"," 138","London",2,54,72,41,16,0,185,415
35053,"London West/London-Ouest"," 139","London",0,92,100,41,9,1,243,526
35053,"London West/London-Ouest"," 140","London",2,89,80,34,7,4,216,590
35053,"London West/London-Ouest"," 141","London",2,68,94,34,8,7,213,633
35053,"London West/London-Ouest"," 142","London",1,42,42,37,10,0,132,516
35053,"London West/London-Ouest"," 143","London",1,68,51,60,2,3,185,364
35053,"London West/London-Ouest"," 144","London",3,67,78,72,13,4,237,558
35053,"London West/London-Ouest"," 145","London",3,57,86,76,17,3,242,503
35053,"London West/London-Ouest"," 146","London",4,38,47,53,10,2,154,424
35053,"London West/London-Ouest"," 147","London",Merged with No./Fusionné avec le n°181,,,,,,,335
35053,"London West/London-Ouest"," 148","London",2,43,51,44,9,1,150,363
35053,"London West/London-Ouest"," 149","London",1,98,84,38,5,1,227,553
35053,"London West/London-Ouest"," 150","London",1,39,42,38,13,1,134,311
35053,"London West/London-Ouest"," 151","London",10,78,123,118,23,5,357,744
35053,"London West/London-Ouest"," 152","London",0,41,36,46,12,0,135,334
35053,"London West/London-Ouest"," 153","London",8,61,95,75,15,3,257,348
35053,"London West/London-Ouest"," 154","London",Merged with No./Fusionné avec le n°153,,,,,,,336
35053,"London West/London-Ouest"," 155","London",5,40,71,61,8,1,186,370
35053,"London West/London-Ouest"," 156","London",Merged with No./Fusionné avec le n°157,,,,,,,327
35053,"London West/London-Ouest"," 157","London",3,54,60,71,8,2,198,337
35053,"London West/London-Ouest"," 158","London",2,45,58,35,9,0,149,362
35053,"London West/London-Ouest"," 159","London",1,70,69,51,5,1,197,517
35053,"London West/London-Ouest"," 160","London",Merged with No./Fusionné avec le n°192,,,,,,,332
35053,"London West/London-Ouest"," 161","London",4,68,61,36,9,0,178,452
35053,"London West/London-Ouest"," 162","London",0,67,65,36,8,4,180,451
35053,"London West/London-Ouest"," 163","London",2,42,78,62,7,2,193,418
35053,"London West/London-Ouest"," 164","London",5,37,48,42,12,1,145,402
35053,"London West/London-Ouest"," 165","London",3,67,75,50,17,3,215,456
35053,"London West/London-Ouest"," 166","London",0,50,72,41,14,1,178,501
35053,"London West/London-Ouest"," 167","London",1,44,55,29,8,1,138,351
35053,"London West/London-Ouest"," 168","London",3,69,70,61,14,1,218,559
35053,"London West/London-Ouest"," 169","London",0,85,73,39,18,0,215,529
35053,"London West/London-Ouest"," 170","London",0,64,66,33,4,0,167,433
35053,"London West/London-Ouest"," 171","London",2,47,80,59,14,1,203,440
35053,"London West/London-Ouest"," 172","London",7,56,89,52,8,2,214,512
35053,"London West/London-Ouest"," 173","London",3,50,56,52,14,2,177,402
35053,"London West/London-Ouest"," 174","London",6,73,75,30,11,1,196,425
35053,"London West/London-Ouest"," 175","London",1,46,53,65,4,0,169,395
35053,"London West/London-Ouest"," 176","London",1,66,75,61,25,2,230,342
35053,"London West/London-Ouest"," 177","London",2,61,57,72,16,3,211,493
35053,"London West/London-Ouest"," 178","London",5,110,100,40,5,1,261,654
35053,"London West/London-Ouest"," 179","London",5,86,84,44,10,0,229,642
35053,"London West/London-Ouest"," 180A","London",2,76,90,39,12,2,221,518
35053,"London West/London-Ouest"," 180B","London",1,68,89,42,15,1,216,453
35053,"London West/London-Ouest"," 181","London",1,78,86,73,16,1,255,450
35053,"London West/London-Ouest"," 182","London",4,136,124,46,11,1,322,978
35053,"London West/London-Ouest"," 183","London",4,101,76,19,7,1,208,528
35053,"London West/London-Ouest"," 184","London",1,64,85,33,5,1,189,410
35053,"London West/London-Ouest"," 185","London",5,143,144,42,4,0,338,734
35053,"London West/London-Ouest"," 186","London",0,41,60,43,15,0,159,439
35053,"London West/London-Ouest"," 187","London",4,50,63,17,8,0,142,439
35053,"London West/London-Ouest"," 188","London",1,63,80,26,6,1,177,388
35053,"London West/London-Ouest"," 189","London",2,60,91,40,8,1,202,443
35053,"London West/London-Ouest"," 190","London",3,64,49,34,7,0,157,428
35053,"London West/London-Ouest"," 191","London",2,56,58,45,7,1,169,348
35053,"London West/London-Ouest"," 192","London",2,93,124,46,15,1,281,374
35053,"London West/London-Ouest"," 193","London",2,69,59,22,7,0,159,320
35053,"London West/London-Ouest"," 194","London",3,79,77,39,7,2,207,458
35053,"London West/London-Ouest"," 195","London",0,55,57,51,2,1,166,461
35053,"London West/London-Ouest"," 196","London",2,88,101,42,8,2,243,556
35053,"London West/London-Ouest"," 197","London",Merged with No./Fusionné avec le n°213,,,,,,,343
35053,"London West/London-Ouest"," 198","London",Merged with No./Fusionné avec le n°176,,,,,,,333
35053,"London West/London-Ouest"," 199","London",6,59,73,24,9,1,172,468
35053,"London West/London-Ouest"," 200","London",4,44,51,58,22,6,185,581
35053,"London West/London-Ouest"," 201","London",2,17,32,60,12,0,123,367
35053,"London West/London-Ouest"," 202","London",1,58,82,27,9,2,179,510
35053,"London West/London-Ouest"," 203","London",3,48,79,76,24,1,231,594
35053,"London West/London-Ouest"," 204","London",6,91,76,37,0,4,214,589
35053,"London West/London-Ouest"," 205","London",4,30,41,66,11,3,155,428
35053,"London West/London-Ouest"," 206","London",3,63,69,51,7,0,193,410
35053,"London West/London-Ouest"," 207","London",0,56,71,65,12,1,205,550
35053,"London West/London-Ouest"," 208","London",2,88,77,30,5,1,203,528
35053,"London West/London-Ouest"," 209","London",2,88,97,39,7,5,238,616
35053,"London West/London-Ouest"," 210","London",1,76,56,30,7,0,170,342
35053,"London West/London-Ouest"," 211","London",1,89,82,56,6,0,234,527
35053,"London West/London-Ouest"," 212","London",3,64,65,44,11,0,187,389
35053,"London West/London-Ouest"," 213","London",4,96,101,59,10,1,271,340
35053,"London West/London-Ouest"," 214","London",3,75,69,43,5,0,195,375
35053,"London West/London-Ouest"," 400","London",Merged with No./Fusionné avec le n°49,,,,,,,259
35053,"London West/London-Ouest"," 401","London",2,60,64,16,7,0,149,234
35053,"London West/London-Ouest"," 402","London",3,27,52,18,3,5,108,171
35053,"London West/London-Ouest"," 403","London",Merged with No./Fusionné avec le n°163,,,,,,,237
35053,"London West/London-Ouest"," 500","Mobile poll/Bureau itinérant",1,8,14,8,1,1,33,146
35053,"London West/London-Ouest"," 501","Mobile poll/Bureau itinérant",3,23,12,5,0,2,45,101
35053,"London West/London-Ouest"," 502","Mobile poll/Bureau itinérant",2,11,20,8,4,2,47,161
35053,"London West/London-Ouest"," 503","Mobile poll/Bureau itinérant",5,41,30,6,2,5,89,121
35053,"London West/London-Ouest"," 504","Mobile poll/Bureau itinérant",5,8,13,6,3,1,36,70
35053,"London West/London-Ouest"," 505","Mobile poll/Bureau itinérant",2,9,15,5,2,2,35,54
35053,"London West/London-Ouest"," 506","Mobile poll/Bureau itinérant",2,14,18,7,1,1,43,66
35053,"London West/London-Ouest"," 507","Mobile poll/Bureau itinérant",5,52,47,13,1,0,118,145
35053,"London West/London-Ouest"," 508","Mobile poll/Bureau itinérant",3,40,22,11,1,0,77,99
35053,"London West/London-Ouest"," 509","Mobile poll/Bureau itinérant",0,26,37,5,0,1,69,98
35053,"London West/London-Ouest"," 600","London",13,346,403,186,57,7,1012,
35053,"London West/London-Ouest"," 601","London",11,452,504,262,84,10,1323,
35053,"London West/London-Ouest"," 602","London",12,317,365,253,63,8,1018,
35053,"London West/London-Ouest"," 603","London",8,586,535,227,67,4,1427,
35053,"London West/London-Ouest"," 604","London",4,368,229,82,22,0,705,
35053,"London West/London-Ouest"," 605","London",3,517,493,195,60,1,1269,
35053,"London West/London-Ouest"," 606","London",13,371,534,289,77,5,1289,
35053,"London West/London-Ouest"," 607","London",3,601,586,284,64,5,1543,
35053,"London West/London-Ouest"," 608","London",7,691,557,220,47,9,1531,
35053,"London West/London-Ouest"," 609","London",7,496,468,175,60,4,1210,
35053,"London West/London-Ouest"," 610","London",10,536,502,211,68,5,1332,
35053,"London West/London-Ouest"," 611","London",10,616,545,208,52,9,1440,
35053,"London West/London-Ouest"," 612","London",7,291,304,247,62,4,915,
35053,"London West/London-Ouest"," 613","London",3,202,456,432,36,3,1132,
35053,"London West/London-Ouest"," 614","London",12,219,323,376,79,6,1015,
35053,"London West/London-Ouest"," 615","London",5,270,462,299,45,6,1087,
35053,"London West/London-Ouest"," 616","London",11,260,204,244,59,7,785,
35053,"London West/London-Ouest"," 617","London",13,325,375,268,73,13,1067,
35053,"London West/London-Ouest"," 618","London",7,439,469,279,68,4,1266,
35053,"London West/London-Ouest"," 619","London",5,301,322,224,61,5,918,
35053,"London West/London-Ouest"," 620","London",4,513,370,117,35,5,1044,
35053,"London West/London-Ouest",,Group 1/Groupe 1, 6,160,233,167,21,30,617,303
35053,"London West/London-Ouest",,Group 2/Groupe 2, 11,1352,1507,873,91,67,3901,
