Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Giancola,Brian Masse,Anthony Orlando,Sandra Pupatello,Margaret Villamizar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35117,"Windsor West/Windsor-Ouest"," 33","Windsor",13,61,18,26,1,1,120,461
35117,"Windsor West/Windsor-Ouest"," 34","Windsor",18,71,28,36,1,4,158,473
35117,"Windsor West/Windsor-Ouest"," 35","Windsor",11,60,29,33,2,5,140,410
35117,"Windsor West/Windsor-Ouest"," 36","Windsor",24,74,30,52,0,1,181,475
35117,"Windsor West/Windsor-Ouest"," 37","Windsor",10,34,8,7,0,1,60,303
35117,"Windsor West/Windsor-Ouest"," 38","Windsor",15,76,34,31,0,1,157,499
35117,"Windsor West/Windsor-Ouest"," 39","Windsor",7,61,16,32,0,2,118,453
35117,"Windsor West/Windsor-Ouest"," 40","Windsor",14,81,24,27,1,3,150,510
35117,"Windsor West/Windsor-Ouest"," 41","Windsor",14,70,24,20,0,1,129,414
35117,"Windsor West/Windsor-Ouest"," 42","Windsor",9,77,37,30,1,0,154,260
35117,"Windsor West/Windsor-Ouest"," 43","Windsor",10,39,15,16,2,3,85,368
35117,"Windsor West/Windsor-Ouest"," 44","Windsor",19,110,34,34,2,0,199,519
35117,"Windsor West/Windsor-Ouest"," 45","Windsor",11,54,23,28,0,0,116,359
35117,"Windsor West/Windsor-Ouest"," 46","Windsor",8,76,25,22,1,0,132,421
35117,"Windsor West/Windsor-Ouest"," 47","Windsor",13,75,16,28,1,0,133,464
35117,"Windsor West/Windsor-Ouest"," 48","Windsor",13,77,27,32,0,0,149,407
35117,"Windsor West/Windsor-Ouest"," 49","Windsor",14,72,29,41,0,0,156,515
35117,"Windsor West/Windsor-Ouest"," 50","Windsor",19,56,31,33,0,0,139,462
35117,"Windsor West/Windsor-Ouest"," 51","Windsor",16,75,16,27,0,2,136,436
35117,"Windsor West/Windsor-Ouest"," 52","Windsor",17,100,40,48,0,0,205,487
35117,"Windsor West/Windsor-Ouest"," 53","Windsor",14,102,31,44,0,0,191,467
35117,"Windsor West/Windsor-Ouest"," 54","Windsor",18,69,43,25,1,0,156,382
35117,"Windsor West/Windsor-Ouest"," 55","Windsor",17,86,33,42,0,0,178,466
35117,"Windsor West/Windsor-Ouest"," 56","Windsor",14,53,43,44,0,0,154,403
35117,"Windsor West/Windsor-Ouest"," 57","Windsor",18,52,30,27,1,1,129,385
35117,"Windsor West/Windsor-Ouest"," 58","Windsor",18,62,30,24,0,3,137,511
35117,"Windsor West/Windsor-Ouest"," 59","Windsor",15,86,26,26,0,2,155,407
35117,"Windsor West/Windsor-Ouest"," 60","Windsor",18,89,36,23,0,0,166,488
35117,"Windsor West/Windsor-Ouest"," 61","Windsor",10,84,21,21,1,0,137,389
35117,"Windsor West/Windsor-Ouest"," 62","Windsor",9,60,20,25,0,0,114,381
35117,"Windsor West/Windsor-Ouest"," 63","Windsor",18,88,22,31,1,1,161,348
35117,"Windsor West/Windsor-Ouest"," 64","Windsor",22,73,29,17,0,1,142,447
35117,"Windsor West/Windsor-Ouest"," 65","Windsor",21,48,30,22,0,2,123,424
35117,"Windsor West/Windsor-Ouest"," 66","Windsor",22,101,48,52,1,1,225,460
35117,"Windsor West/Windsor-Ouest"," 67","Windsor",10,87,32,25,1,3,158,458
35117,"Windsor West/Windsor-Ouest"," 68","Windsor",14,96,27,26,0,5,168,463
35117,"Windsor West/Windsor-Ouest"," 69","Windsor",6,68,14,22,2,0,112,378
35117,"Windsor West/Windsor-Ouest"," 70","Windsor",7,53,17,20,1,0,98,429
35117,"Windsor West/Windsor-Ouest"," 71","Windsor",2,32,17,17,0,2,70,322
35117,"Windsor West/Windsor-Ouest"," 72","Windsor",11,70,22,25,0,2,130,469
35117,"Windsor West/Windsor-Ouest"," 73","Windsor",16,83,28,27,0,4,158,452
35117,"Windsor West/Windsor-Ouest"," 74","Windsor",18,60,33,31,0,2,144,460
35117,"Windsor West/Windsor-Ouest"," 75","Windsor",11,46,23,10,0,2,92,396
35117,"Windsor West/Windsor-Ouest"," 76","Windsor",13,66,22,28,2,0,131,408
35117,"Windsor West/Windsor-Ouest"," 77","Windsor",22,38,29,11,1,1,102,433
35117,"Windsor West/Windsor-Ouest"," 78","Windsor",17,81,19,42,0,2,161,471
35117,"Windsor West/Windsor-Ouest"," 79","Windsor",25,93,11,24,0,0,153,509
35117,"Windsor West/Windsor-Ouest"," 80","Windsor",13,78,25,16,0,1,133,495
35117,"Windsor West/Windsor-Ouest"," 81","Windsor",13,77,18,18,1,1,128,370
35117,"Windsor West/Windsor-Ouest"," 82","Windsor",18,56,40,67,2,1,184,530
35117,"Windsor West/Windsor-Ouest"," 83","Windsor",14,62,22,52,0,1,151,388
35117,"Windsor West/Windsor-Ouest"," 84","Windsor",16,62,42,50,0,3,173,420
35117,"Windsor West/Windsor-Ouest"," 85","Windsor",24,94,42,33,0,0,193,465
35117,"Windsor West/Windsor-Ouest"," 86","Windsor",21,74,39,49,0,1,184,415
35117,"Windsor West/Windsor-Ouest"," 87","Windsor",13,54,20,36,0,0,123,388
35117,"Windsor West/Windsor-Ouest"," 88","Windsor",14,59,35,57,0,3,168,379
35117,"Windsor West/Windsor-Ouest"," 89","Windsor",10,53,29,68,0,0,160,388
35117,"Windsor West/Windsor-Ouest"," 90","Windsor",8,55,22,27,1,0,113,558
35117,"Windsor West/Windsor-Ouest"," 91","Windsor",14,65,18,39,0,5,141,533
35117,"Windsor West/Windsor-Ouest"," 92","Windsor",11,67,38,36,2,1,155,472
35117,"Windsor West/Windsor-Ouest"," 93","Windsor",23,83,46,42,0,3,197,528
35117,"Windsor West/Windsor-Ouest"," 94","Windsor",27,66,38,21,0,2,154,456
35117,"Windsor West/Windsor-Ouest"," 95","Windsor",32,91,41,43,0,4,211,539
35117,"Windsor West/Windsor-Ouest"," 96","Windsor",11,61,21,63,0,5,161,367
35117,"Windsor West/Windsor-Ouest"," 97","Windsor",6,65,38,59,0,2,170,444
35117,"Windsor West/Windsor-Ouest"," 98","Windsor",4,87,41,124,1,3,260,776
35117,"Windsor West/Windsor-Ouest"," 99","Windsor",11,68,26,36,1,1,143,478
35117,"Windsor West/Windsor-Ouest"," 100","Windsor",5,70,23,70,0,2,170,585
35117,"Windsor West/Windsor-Ouest"," 101","Windsor",7,95,33,95,2,4,236,590
35117,"Windsor West/Windsor-Ouest"," 102","Windsor",15,97,48,73,0,4,237,530
35117,"Windsor West/Windsor-Ouest"," 103","Windsor",18,96,41,89,1,5,250,451
35117,"Windsor West/Windsor-Ouest"," 104","Windsor",5,96,27,76,0,5,209,466
35117,"Windsor West/Windsor-Ouest"," 105","Windsor",14,90,47,40,2,1,194,451
35117,"Windsor West/Windsor-Ouest"," 106","Windsor",25,98,55,36,0,3,217,434
35117,"Windsor West/Windsor-Ouest"," 107","Windsor",13,73,20,36,1,0,143,385
35117,"Windsor West/Windsor-Ouest"," 108","Windsor",5,63,40,50,0,0,158,397
35117,"Windsor West/Windsor-Ouest"," 109","Windsor",11,41,11,10,1,2,76,351
35117,"Windsor West/Windsor-Ouest"," 110","Windsor",7,45,11,34,0,2,99,392
35117,"Windsor West/Windsor-Ouest"," 111","Windsor",8,27,15,15,0,0,65,454
35117,"Windsor West/Windsor-Ouest"," 112","Windsor",8,51,14,22,0,1,96,412
35117,"Windsor West/Windsor-Ouest"," 113","Windsor",9,20,11,19,2,0,61,394
35117,"Windsor West/Windsor-Ouest"," 114","Windsor",11,80,39,36,1,0,167,435
35117,"Windsor West/Windsor-Ouest"," 115","Windsor",8,79,37,18,1,1,144,426
35117,"Windsor West/Windsor-Ouest"," 116","Windsor",7,86,34,19,0,4,150,387
35117,"Windsor West/Windsor-Ouest"," 117","Windsor",13,87,31,44,1,1,177,413
35117,"Windsor West/Windsor-Ouest"," 118","Windsor",11,90,18,24,0,2,145,431
35117,"Windsor West/Windsor-Ouest"," 119","Windsor",11,82,30,29,0,0,152,346
35117,"Windsor West/Windsor-Ouest"," 120","Windsor",13,98,39,34,2,0,186,432
35117,"Windsor West/Windsor-Ouest"," 121","Windsor",18,90,27,31,0,0,166,393
35117,"Windsor West/Windsor-Ouest"," 122","Windsor",6,53,22,84,0,2,167,492
35117,"Windsor West/Windsor-Ouest"," 123","Windsor",3,59,20,107,0,0,189,446
35117,"Windsor West/Windsor-Ouest"," 124","Windsor",12,99,28,77,0,0,216,535
35117,"Windsor West/Windsor-Ouest"," 125","Windsor",8,70,28,74,1,1,182,476
35117,"Windsor West/Windsor-Ouest"," 126","Windsor",2,70,18,74,0,5,169,483
35117,"Windsor West/Windsor-Ouest"," 127","Windsor",5,69,12,60,0,0,146,409
35117,"Windsor West/Windsor-Ouest"," 128","Windsor",15,85,25,12,0,0,137,397
35117,"Windsor West/Windsor-Ouest"," 129","Windsor",18,78,38,43,0,0,177,412
35117,"Windsor West/Windsor-Ouest"," 130","Windsor",21,64,18,27,0,0,130,388
35117,"Windsor West/Windsor-Ouest"," 131","Windsor",36,93,50,27,1,0,207,482
35117,"Windsor West/Windsor-Ouest"," 132","Windsor",19,79,31,27,2,2,160,388
35117,"Windsor West/Windsor-Ouest"," 133","Windsor",13,84,45,42,1,2,187,587
35117,"Windsor West/Windsor-Ouest"," 134","Windsor",13,79,47,54,1,0,194,402
35117,"Windsor West/Windsor-Ouest"," 135","Windsor",10,90,38,43,0,1,182,398
35117,"Windsor West/Windsor-Ouest"," 136","Windsor",16,77,38,51,1,2,185,492
35117,"Windsor West/Windsor-Ouest"," 137","Windsor",14,90,34,45,0,1,184,407
35117,"Windsor West/Windsor-Ouest"," 138","Windsor",15,80,37,52,0,0,184,423
35117,"Windsor West/Windsor-Ouest"," 139","Windsor",14,62,20,46,0,0,142,332
35117,"Windsor West/Windsor-Ouest"," 140","Windsor",12,76,61,63,0,0,212,539
35117,"Windsor West/Windsor-Ouest"," 141","Windsor",11,66,51,52,1,0,181,398
35117,"Windsor West/Windsor-Ouest"," 142","Windsor",4,80,33,50,0,2,169,442
35117,"Windsor West/Windsor-Ouest"," 143","Windsor",6,75,31,49,0,0,161,506
35117,"Windsor West/Windsor-Ouest"," 144","Windsor",12,61,46,77,0,2,198,555
35117,"Windsor West/Windsor-Ouest"," 145","Windsor",9,93,39,52,0,1,194,441
35117,"Windsor West/Windsor-Ouest"," 146","Windsor",12,65,33,42,1,1,154,489
35117,"Windsor West/Windsor-Ouest"," 147","Windsor",9,32,25,55,1,0,122,421
35117,"Windsor West/Windsor-Ouest"," 148","Windsor",17,60,43,63,0,0,183,464
35117,"Windsor West/Windsor-Ouest"," 149","Windsor",14,54,36,49,0,9,162,469
35117,"Windsor West/Windsor-Ouest"," 150","Windsor",12,58,62,43,0,2,177,534
35117,"Windsor West/Windsor-Ouest"," 151","Windsor",12,65,45,38,0,0,160,353
35117,"Windsor West/Windsor-Ouest"," 152","Windsor",15,69,60,46,0,2,192,389
35117,"Windsor West/Windsor-Ouest"," 153","Windsor",14,78,57,52,0,1,202,455
35117,"Windsor West/Windsor-Ouest"," 154","Windsor",21,74,39,54,1,3,192,474
35117,"Windsor West/Windsor-Ouest"," 155","Windsor",8,77,25,31,0,0,141,365
35117,"Windsor West/Windsor-Ouest"," 156","Windsor",18,76,50,31,0,0,175,411
35117,"Windsor West/Windsor-Ouest"," 157","Windsor",13,54,22,34,0,1,124,334
35117,"Windsor West/Windsor-Ouest"," 158","Windsor",15,70,20,27,0,0,132,359
35117,"Windsor West/Windsor-Ouest"," 159","Windsor",6,50,45,38,0,0,139,342
35117,"Windsor West/Windsor-Ouest"," 160","Windsor",18,93,31,53,2,1,198,436
35117,"Windsor West/Windsor-Ouest"," 161","Windsor",11,66,25,24,1,1,128,334
35117,"Windsor West/Windsor-Ouest"," 162","Windsor",13,70,32,39,0,0,154,466
35117,"Windsor West/Windsor-Ouest"," 163","Windsor",16,74,40,47,2,0,179,455
35117,"Windsor West/Windsor-Ouest"," 164","Windsor",16,53,24,48,2,1,144,397
35117,"Windsor West/Windsor-Ouest"," 165","Windsor",12,61,42,66,0,1,182,487
35117,"Windsor West/Windsor-Ouest"," 166","Windsor",9,61,31,29,0,1,131,393
35117,"Windsor West/Windsor-Ouest"," 167","Windsor",19,42,36,35,0,0,132,344
35117,"Windsor West/Windsor-Ouest"," 168","Windsor",15,62,41,46,0,1,165,442
35117,"Windsor West/Windsor-Ouest"," 169","Windsor",27,140,74,67,0,2,310,723
35117,"Windsor West/Windsor-Ouest"," 170","Windsor",19,111,59,52,1,1,243,517
35117,"Windsor West/Windsor-Ouest"," 171","Windsor",11,31,39,49,0,1,131,393
35117,"Windsor West/Windsor-Ouest"," 172","Windsor",10,64,31,59,0,2,166,494
35117,"Windsor West/Windsor-Ouest"," 173","Windsor",4,84,32,44,0,1,165,365
35117,"Windsor West/Windsor-Ouest"," 174","Windsor",6,70,31,43,0,0,150,423
35117,"Windsor West/Windsor-Ouest"," 175","Windsor",6,66,23,50,1,1,147,377
35117,"Windsor West/Windsor-Ouest"," 176","Windsor",5,42,33,40,1,0,121,368
35117,"Windsor West/Windsor-Ouest"," 177","Windsor",34,140,102,174,0,4,454,1079
35117,"Windsor West/Windsor-Ouest"," 178","Windsor",4,34,69,74,0,1,182,451
35117,"Windsor West/Windsor-Ouest"," 179","Windsor",5,43,27,40,1,4,120,325
35117,"Windsor West/Windsor-Ouest"," 180","Windsor",13,78,58,56,1,4,210,628
35117,"Windsor West/Windsor-Ouest"," 181","Windsor",19,86,88,74,0,3,270,653
35117,"Windsor West/Windsor-Ouest"," 182","Windsor",7,36,30,25,0,1,99,408
35117,"Windsor West/Windsor-Ouest"," 183","Windsor",7,59,29,43,0,1,139,407
35117,"Windsor West/Windsor-Ouest"," 184","Windsor",18,69,47,65,0,1,200,448
35117,"Windsor West/Windsor-Ouest"," 185","Windsor",10,72,71,65,0,1,219,448
35117,"Windsor West/Windsor-Ouest"," 186","Windsor",10,108,41,82,0,0,241,598
35117,"Windsor West/Windsor-Ouest"," 187","Windsor",16,80,32,40,0,3,171,446
35117,"Windsor West/Windsor-Ouest"," 188","Windsor",6,83,54,64,0,1,208,486
35117,"Windsor West/Windsor-Ouest"," 189","Windsor",3,54,19,32,1,1,110,381
35117,"Windsor West/Windsor-Ouest"," 190","Windsor",4,31,19,17,0,0,71,232
35117,"Windsor West/Windsor-Ouest"," 191","Windsor",18,103,55,72,0,4,252,465
35117,"Windsor West/Windsor-Ouest"," 192","Windsor",15,74,37,66,0,4,196,486
35117,"Windsor West/Windsor-Ouest"," 193","Windsor",5,78,24,59,0,2,168,458
35117,"Windsor West/Windsor-Ouest"," 194","Windsor",16,99,73,64,0,2,254,522
35117,"Windsor West/Windsor-Ouest"," 195","Windsor",11,60,70,62,1,1,205,403
35117,"Windsor West/Windsor-Ouest"," 196","Windsor",2,49,52,60,0,0,163,436
35117,"Windsor West/Windsor-Ouest"," 197","Windsor",11,90,53,79,0,0,233,493
35117,"Windsor West/Windsor-Ouest"," 198","Windsor",7,69,60,67,0,3,206,505
35117,"Windsor West/Windsor-Ouest"," 199","Windsor",11,42,39,72,0,1,165,415
35117,"Windsor West/Windsor-Ouest"," 200","Windsor",7,72,43,65,0,0,187,476
35117,"Windsor West/Windsor-Ouest"," 400","Windsor",6,45,9,42,1,10,113,250
35117,"Windsor West/Windsor-Ouest"," 401","Windsor",5,39,17,45,0,0,106,192
35117,"Windsor West/Windsor-Ouest"," 402","Windsor",8,37,19,50,1,2,117,191
35117,"Windsor West/Windsor-Ouest"," 403","Windsor",15,72,21,61,1,0,170,379
35117,"Windsor West/Windsor-Ouest"," 404","Mobile poll/Bureau itinérant",1,23,3,18,2,3,50,113
35117,"Windsor West/Windsor-Ouest"," 405","Windsor",13,52,13,49,2,3,132,265
35117,"Windsor West/Windsor-Ouest"," 406","Windsor",10,53,26,43,1,1,134,314
35117,"Windsor West/Windsor-Ouest"," 407","Windsor",3,21,8,30,3,0,65,99
35117,"Windsor West/Windsor-Ouest"," 408","Windsor",3,32,10,35,0,3,83,115
35117,"Windsor West/Windsor-Ouest"," 409","Mobile poll/Bureau itinérant",0,15,9,16,0,4,44,107
35117,"Windsor West/Windsor-Ouest"," 500","Mobile poll/Bureau itinérant",0,11,2,2,0,1,16,26
35117,"Windsor West/Windsor-Ouest"," 501","Mobile poll/Bureau itinérant",1,21,4,15,0,2,43,65
35117,"Windsor West/Windsor-Ouest"," 502","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,22
35117,"Windsor West/Windsor-Ouest"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°5,,,,,,,73
35117,"Windsor West/Windsor-Ouest"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°6,,,,,,,86
35117,"Windsor West/Windsor-Ouest"," 505","Mobile poll/Bureau itinérant",1,5,4,5,1,0,16,28
35117,"Windsor West/Windsor-Ouest"," 506","Mobile poll/Bureau itinérant",1,20,5,17,1,2,46,131
35117,"Windsor West/Windsor-Ouest"," 507","Mobile poll/Bureau itinérant",0,18,4,7,0,2,31,59
35117,"Windsor West/Windsor-Ouest"," 508","Windsor",Merged with No./Fusionné avec le n°39,,,,,,,1
35117,"Windsor West/Windsor-Ouest"," 509","Mobile poll/Bureau itinérant",1,7,2,8,1,1,20,32
35117,"Windsor West/Windsor-Ouest"," 510","Mobile poll/Bureau itinérant",1,11,10,11,0,0,33,56
35117,"Windsor West/Windsor-Ouest"," 511","Mobile poll/Bureau itinérant",1,16,4,24,1,0,46,97
35117,"Windsor West/Windsor-Ouest"," 512","Mobile poll/Bureau itinérant",0,12,4,16,0,1,33,104
35117,"Windsor West/Windsor-Ouest"," 600","Windsor",55,247,72,135,1,9,519,
35117,"Windsor West/Windsor-Ouest"," 601","Windsor",87,352,98,211,1,7,756,
35117,"Windsor West/Windsor-Ouest"," 602","Windsor",93,577,165,226,2,11,1074,
35117,"Windsor West/Windsor-Ouest"," 603","Windsor",91,406,123,249,4,0,873,
35117,"Windsor West/Windsor-Ouest"," 604","Windsor",72,357,108,152,4,9,702,
35117,"Windsor West/Windsor-Ouest"," 605","Windsor",120,391,116,145,2,5,779,
35117,"Windsor West/Windsor-Ouest"," 606","Windsor",87,389,165,281,3,5,930,
35117,"Windsor West/Windsor-Ouest"," 607","Windsor",128,629,218,315,3,0,1293,
35117,"Windsor West/Windsor-Ouest"," 608","Windsor",95,291,154,149,2,4,695,
35117,"Windsor West/Windsor-Ouest"," 609","Windsor",86,485,195,360,1,4,1131,
35117,"Windsor West/Windsor-Ouest"," 610","Windsor",104,598,244,411,2,9,1368,
35117,"Windsor West/Windsor-Ouest"," 611","Windsor",94,456,306,460,1,6,1323,
35117,"Windsor West/Windsor-Ouest"," 612","Windsor",108,338,213,218,3,3,883,
35117,"Windsor West/Windsor-Ouest"," 613","Windsor",66,325,266,415,2,6,1080,
35117,"Windsor West/Windsor-Ouest",,Group 1/Groupe 1, 13,161,58,146,3,28,409,266
35117,"Windsor West/Windsor-Ouest",,Group 2/Groupe 2, 99,1096,363,721,11,84,2374,
