Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Junior Cléroux,Michael Hartnett,Jessica Joanis,Marie-France Lalonde,Spencer Oklobdzija,Mary-Elsie Wolfe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35076,"Orléans/Orléans"," 32","Ottawa",0,3,52,156,7,62,6,286,533
35076,"Orléans/Orléans"," 33","Ottawa",1,6,55,123,10,87,1,283,437
35076,"Orléans/Orléans"," 34","Ottawa",1,7,36,137,10,47,0,238,599
35076,"Orléans/Orléans"," 35","Ottawa",Merged with No./Fusionné avec le n°70,,,,,,,,313
35076,"Orléans/Orléans"," 36","Ottawa",0,5,27,108,5,62,1,208,522
35076,"Orléans/Orléans"," 37","Ottawa",Merged with No./Fusionné avec le n°38,,,,,,,,387
35076,"Orléans/Orléans"," 38","Ottawa",0,8,58,154,29,85,3,337,436
35076,"Orléans/Orléans"," 39","Ottawa",0,5,62,115,10,70,12,274,422
35076,"Orléans/Orléans"," 40","Ottawa",1,6,47,166,7,87,1,315,557
35076,"Orléans/Orléans"," 41","Ottawa",0,5,37,74,3,53,1,173,424
35076,"Orléans/Orléans"," 42","Ottawa",0,6,42,176,7,91,1,323,439
35076,"Orléans/Orléans"," 43","Ottawa",0,4,22,78,4,46,0,154,404
35076,"Orléans/Orléans"," 44","Ottawa",1,3,34,105,1,66,2,212,449
35076,"Orléans/Orléans"," 45","Ottawa",0,4,21,140,7,63,2,237,552
35076,"Orléans/Orléans"," 46","Ottawa",1,4,36,95,6,64,4,210,538
35076,"Orléans/Orléans"," 47","Ottawa",1,3,45,96,2,49,2,198,433
35076,"Orléans/Orléans"," 48","Ottawa",Merged with No./Fusionné avec le n°14,,,,,,,,362
35076,"Orléans/Orléans"," 49","Ottawa",4,5,56,167,17,102,4,355,413
35076,"Orléans/Orléans"," 50","Ottawa",0,5,43,106,6,66,0,226,528
35076,"Orléans/Orléans"," 51","Ottawa",0,3,34,97,6,64,3,207,436
35076,"Orléans/Orléans"," 52","Ottawa",Merged with No./Fusionné avec le n°54,,,,,,,,363
35076,"Orléans/Orléans"," 53","Ottawa",4,4,43,169,16,100,4,340,402
35076,"Orléans/Orléans"," 54","Ottawa",0,5,57,128,10,107,2,309,407
35076,"Orléans/Orléans"," 55","Ottawa",0,0,31,131,3,63,1,229,513
35076,"Orléans/Orléans"," 56","Ottawa",0,2,39,104,7,50,0,202,544
35076,"Orléans/Orléans"," 57","Ottawa",Merged with No./Fusionné avec le n°77,,,,,,,,408
35076,"Orléans/Orléans"," 58","Ottawa",0,2,32,77,1,59,1,172,460
35076,"Orléans/Orléans"," 59","Ottawa",Merged with No./Fusionné avec le n°33,,,,,,,,357
35076,"Orléans/Orléans"," 60","Ottawa",Merged with No./Fusionné avec le n°61,,,,,,,,337
35076,"Orléans/Orléans"," 61","Ottawa",3,12,84,132,11,56,4,302,515
35076,"Orléans/Orléans"," 62","Ottawa",0,1,56,123,9,92,0,281,410
35076,"Orléans/Orléans"," 63","Ottawa",1,6,35,95,3,40,2,182,501
35076,"Orléans/Orléans"," 64","Ottawa",Merged with No./Fusionné avec le n°39,,,,,,,,396
35076,"Orléans/Orléans"," 65","Ottawa",Merged with No./Fusionné avec le n°66,,,,,,,,409
35076,"Orléans/Orléans"," 66","Ottawa",1,6,70,162,16,87,0,342,421
35076,"Orléans/Orléans"," 67","Ottawa",Merged with No./Fusionné avec le n°68,,,,,,,,409
35076,"Orléans/Orléans"," 68","Ottawa",0,7,59,162,12,93,2,335,514
35076,"Orléans/Orléans"," 69","Mobile poll/Bureau itinérant",0,1,5,122,5,39,3,175,461
35076,"Orléans/Orléans"," 70","Ottawa",0,6,49,145,9,83,1,293,530
35076,"Orléans/Orléans"," 71","Ottawa",1,4,79,140,10,65,1,300,430
35076,"Orléans/Orléans"," 72","Ottawa",Merged with No./Fusionné avec le n°71,,,,,,,,414
35076,"Orléans/Orléans"," 73","Ottawa",Merged with No./Fusionné avec le n°40,,,,,,,,388
35076,"Orléans/Orléans"," 74","Ottawa",1,9,47,137,6,60,0,260,652
35076,"Orléans/Orléans"," 75","Ottawa",1,6,33,111,9,83,0,243,623
35076,"Orléans/Orléans"," 76","Ottawa",1,4,64,170,6,93,3,341,433
35076,"Orléans/Orléans"," 77","Ottawa",2,5,57,167,9,85,1,326,450
35076,"Orléans/Orléans"," 78","Ottawa",Merged with No./Fusionné avec le n°76,,,,,,,,356
35076,"Orléans/Orléans"," 79","Ottawa",0,2,31,160,8,68,1,270,405
35076,"Orléans/Orléans"," 80","Ottawa",Merged with No./Fusionné avec le n°79,,,,,,,,365
35076,"Orléans/Orléans"," 81","Ottawa",Merged with No./Fusionné avec le n°82,,,,,,,,378
35076,"Orléans/Orléans"," 82","Ottawa",0,5,34,111,4,48,1,203,380
35076,"Orléans/Orléans"," 83","Ottawa",0,0,18,55,0,55,1,129,320
35076,"Orléans/Orléans"," 84","Ottawa",0,5,35,66,6,40,3,155,397
35076,"Orléans/Orléans"," 85","Ottawa",2,2,42,90,3,31,1,171,405
35076,"Orléans/Orléans"," 86","Ottawa",3,3,38,103,0,60,0,207,483
35076,"Orléans/Orléans"," 87","Ottawa",1,7,22,85,3,42,0,160,385
35076,"Orléans/Orléans"," 88","Ottawa",0,3,30,76,5,34,0,148,321
35076,"Orléans/Orléans"," 89","Ottawa",1,1,20,81,6,49,0,158,274
35076,"Orléans/Orléans"," 90","Ottawa",1,5,32,102,6,48,1,195,381
35076,"Orléans/Orléans"," 91","Ottawa",0,9,53,97,4,34,1,198,394
35076,"Orléans/Orléans"," 92","Ottawa",0,4,30,70,8,62,0,174,348
35076,"Orléans/Orléans"," 93","Ottawa",0,9,35,89,12,52,1,198,417
35076,"Orléans/Orléans"," 94","Ottawa",0,13,32,92,7,44,2,190,382
35076,"Orléans/Orléans"," 95","Ottawa",0,4,23,79,9,51,2,168,493
35076,"Orléans/Orléans"," 96","Ottawa",3,2,32,86,6,60,1,190,505
35076,"Orléans/Orléans"," 97","Ottawa",0,9,37,96,8,60,1,211,472
35076,"Orléans/Orléans"," 98","Ottawa",0,5,46,81,5,58,0,195,451
35076,"Orléans/Orléans"," 99","Ottawa",1,0,28,104,10,39,0,182,491
35076,"Orléans/Orléans"," 100","Ottawa",2,2,31,136,6,52,0,229,525
35076,"Orléans/Orléans"," 101","Ottawa",1,1,26,98,7,39,0,172,392
35076,"Orléans/Orléans"," 102","Ottawa",0,3,31,106,7,53,0,200,505
35076,"Orléans/Orléans"," 103","Ottawa",0,0,28,126,7,50,1,212,583
35076,"Orléans/Orléans"," 104","Ottawa",1,5,33,95,6,43,1,184,572
35076,"Orléans/Orléans"," 105","Mobile poll/Bureau itinérant",0,1,2,32,2,15,0,52,120
35076,"Orléans/Orléans"," 106","Ottawa",1,6,38,78,8,66,1,198,507
35076,"Orléans/Orléans"," 107","Ottawa",1,5,25,52,4,43,1,131,371
35076,"Orléans/Orléans"," 108","Ottawa",0,0,23,82,4,65,0,174,459
35076,"Orléans/Orléans"," 109","Ottawa",Merged with No./Fusionné avec le n°123,,,,,,,,338
35076,"Orléans/Orléans"," 110","Ottawa",Merged with No./Fusionné avec le n°62,,,,,,,,371
35076,"Orléans/Orléans"," 111","Ottawa",Merged with No./Fusionné avec le n°118,,,,,,,,355
35076,"Orléans/Orléans"," 112","Ottawa",0,3,22,85,1,47,2,160,365
35076,"Orléans/Orléans"," 113","Ottawa",0,3,30,98,6,75,1,213,480
35076,"Orléans/Orléans"," 114","Ottawa",1,4,15,101,5,54,0,180,438
35076,"Orléans/Orléans"," 115","Ottawa",1,3,33,132,2,79,2,252,313
35076,"Orléans/Orléans"," 116","Ottawa",1,4,21,79,6,49,2,162,343
35076,"Orléans/Orléans"," 117","Ottawa",Merged with No./Fusionné avec le n°115,,,,,,,,287
35076,"Orléans/Orléans"," 118","Ottawa",2,6,56,124,14,89,1,292,382
35076,"Orléans/Orléans"," 119","Ottawa",0,6,46,102,8,55,0,217,564
35076,"Orléans/Orléans"," 120","Ottawa",0,6,34,64,10,72,0,186,538
35076,"Orléans/Orléans"," 121","Ottawa",Merged with No./Fusionné avec le n°122,,,,,,,,359
35076,"Orléans/Orléans"," 122","Ottawa",1,5,35,140,16,79,3,279,447
35076,"Orléans/Orléans"," 123","Ottawa",1,4,63,142,3,85,0,298,434
35076,"Orléans/Orléans"," 124","Ottawa",0,3,26,58,5,17,9,118,360
35076,"Orléans/Orléans"," 125","Ottawa",0,2,31,70,12,59,2,176,506
35076,"Orléans/Orléans"," 126","Ottawa",0,3,13,68,1,45,2,132,383
35076,"Orléans/Orléans"," 127","Ottawa",1,5,30,47,6,40,0,129,343
35076,"Orléans/Orléans"," 128","Ottawa",2,1,31,94,7,50,4,189,476
35076,"Orléans/Orléans"," 129","Ottawa",0,3,33,79,5,42,2,164,462
35076,"Orléans/Orléans"," 130","Ottawa",1,1,29,101,4,48,1,185,444
35076,"Orléans/Orléans"," 131","Ottawa",0,2,38,103,5,51,1,200,540
35076,"Orléans/Orléans"," 132","Ottawa",0,1,49,103,14,35,1,203,498
35076,"Orléans/Orléans"," 133","Ottawa",0,3,31,118,4,50,2,208,479
35076,"Orléans/Orléans"," 134","Ottawa",1,3,23,116,5,32,2,182,468
35076,"Orléans/Orléans"," 135","Ottawa",0,5,46,62,3,37,0,153,429
35076,"Orléans/Orléans"," 136","Ottawa",0,3,45,118,7,47,1,221,476
35076,"Orléans/Orléans"," 137","Ottawa",3,1,37,109,6,56,1,213,499
35076,"Orléans/Orléans"," 138","Ottawa",0,2,34,94,4,49,1,184,514
35076,"Orléans/Orléans"," 139","Ottawa",1,3,35,119,6,66,0,230,594
35076,"Orléans/Orléans"," 140","Ottawa",0,7,33,108,8,64,0,220,522
35076,"Orléans/Orléans"," 141","Ottawa",1,0,23,133,3,58,2,220,542
35076,"Orléans/Orléans"," 142","Ottawa",Merged with No./Fusionné avec le n°167,,,,,,,,373
35076,"Orléans/Orléans"," 143","Ottawa",0,1,24,123,4,39,0,191,601
35076,"Orléans/Orléans"," 144","Ottawa",0,5,29,58,9,36,0,137,335
35076,"Orléans/Orléans"," 145","Ottawa",1,6,17,61,10,52,0,147,360
35076,"Orléans/Orléans"," 146","Ottawa",1,3,33,63,3,48,0,151,386
35076,"Orléans/Orléans"," 147","Ottawa",0,2,26,68,5,45,0,146,369
35076,"Orléans/Orléans"," 148","Ottawa",3,3,17,69,6,33,0,131,346
35076,"Orléans/Orléans"," 149","Ottawa",1,4,25,65,7,48,1,151,372
35076,"Orléans/Orléans"," 150","Ottawa",1,0,34,86,10,58,1,190,441
35076,"Orléans/Orléans"," 151","Ottawa",0,5,40,94,4,57,1,201,431
35076,"Orléans/Orléans"," 152","Ottawa",1,5,29,71,2,46,1,155,404
35076,"Orléans/Orléans"," 153","Ottawa",1,2,29,92,3,43,1,171,406
35076,"Orléans/Orléans"," 154","Ottawa",0,6,19,77,5,34,0,141,333
35076,"Orléans/Orléans"," 155","Ottawa",1,2,29,114,5,46,6,203,444
35076,"Orléans/Orléans"," 156","Ottawa",1,6,39,77,11,67,2,203,522
35076,"Orléans/Orléans"," 157","Ottawa",0,2,34,89,6,41,0,172,404
35076,"Orléans/Orléans"," 158","Ottawa",0,1,18,59,13,28,1,120,424
35076,"Orléans/Orléans"," 159","Ottawa",0,3,26,53,1,33,0,116,304
35076,"Orléans/Orléans"," 160","Ottawa",1,5,28,87,2,55,1,179,411
35076,"Orléans/Orléans"," 161","Ottawa",1,1,26,93,5,65,0,191,458
35076,"Orléans/Orléans"," 162","Ottawa",0,3,30,73,3,37,2,148,363
35076,"Orléans/Orléans"," 163","Ottawa",0,6,35,119,2,38,6,206,546
35076,"Orléans/Orléans"," 164","Ottawa",2,5,31,110,1,29,0,178,436
35076,"Orléans/Orléans"," 165","Ottawa",0,4,19,136,1,43,0,203,473
35076,"Orléans/Orléans"," 166","Ottawa",3,0,28,97,9,32,4,173,467
35076,"Orléans/Orléans"," 167","Ottawa",1,3,38,198,9,77,5,331,410
35076,"Orléans/Orléans"," 168","Ottawa",2,2,29,108,4,28,1,174,438
35076,"Orléans/Orléans"," 169","Ottawa",0,0,41,115,3,32,3,194,472
35076,"Orléans/Orléans"," 170","Ottawa",2,7,32,78,3,47,2,171,449
35076,"Orléans/Orléans"," 171","Ottawa",4,2,18,52,8,31,2,117,313
35076,"Orléans/Orléans"," 172","Ottawa",0,2,8,89,4,43,1,147,408
35076,"Orléans/Orléans"," 173","Ottawa",0,3,41,65,3,50,2,164,409
35076,"Orléans/Orléans"," 174","Ottawa",1,9,51,96,10,39,3,209,572
35076,"Orléans/Orléans"," 175","Ottawa",0,4,33,73,10,46,1,167,402
35076,"Orléans/Orléans"," 176","Ottawa",0,1,33,71,8,27,0,140,394
35076,"Orléans/Orléans"," 177","Ottawa",0,3,19,81,7,39,0,149,377
35076,"Orléans/Orléans"," 178","Ottawa",5,4,40,158,16,71,0,294,744
35076,"Orléans/Orléans"," 179","Ottawa",2,7,40,136,3,72,1,261,642
35076,"Orléans/Orléans"," 180A","Ottawa",0,4,52,203,6,70,3,338,706
35076,"Orléans/Orléans"," 180B","Ottawa",1,2,39,135,9,66,0,252,627
35076,"Orléans/Orléans"," 181","Ottawa",0,3,49,165,8,70,0,295,650
35076,"Orléans/Orléans"," 182","Ottawa",0,5,28,108,6,49,2,198,545
35076,"Orléans/Orléans"," 183","Ottawa",1,1,35,139,7,87,0,270,483
35076,"Orléans/Orléans"," 184","Ottawa",Merged with No./Fusionné avec le n°183,,,,,,,,242
35076,"Orléans/Orléans"," 185","Ottawa",0,2,23,143,2,64,1,235,611
35076,"Orléans/Orléans"," 186","Ottawa",0,6,28,136,2,39,1,212,484
35076,"Orléans/Orléans"," 187A","Ottawa",1,2,45,149,5,62,2,266,585
35076,"Orléans/Orléans"," 187B","Ottawa",1,4,39,153,6,65,0,268,569
35076,"Orléans/Orléans"," 188","Ottawa",3,4,29,148,1,42,1,228,545
35076,"Orléans/Orléans"," 189","Ottawa",0,0,35,101,6,45,0,187,430
35076,"Orléans/Orléans"," 190A","Ottawa",2,6,39,164,9,84,2,306,666
35076,"Orléans/Orléans"," 190B","Ottawa",2,2,45,163,4,73,2,291,660
35076,"Orléans/Orléans"," 191","Ottawa",1,2,23,53,2,15,2,98,369
35076,"Orléans/Orléans"," 192","Ottawa",1,2,45,56,9,19,4,136,320
35076,"Orléans/Orléans"," 193","Ottawa",3,5,32,76,5,55,3,179,437
35076,"Orléans/Orléans"," 194","Ottawa",2,7,32,102,6,53,0,202,460
35076,"Orléans/Orléans"," 195","Ottawa",0,1,32,73,4,32,0,142,339
35076,"Orléans/Orléans"," 196","Ottawa",1,1,24,68,5,38,0,137,351
35076,"Orléans/Orléans"," 197","Ottawa",0,2,37,125,9,59,1,233,535
35076,"Orléans/Orléans"," 198","Ottawa",0,4,23,102,2,61,1,193,385
35076,"Orléans/Orléans"," 199","Ottawa",0,2,34,116,3,67,2,224,481
35076,"Orléans/Orléans"," 200","Ottawa",Merged with No./Fusionné avec le n°202,,,,,,,,446
35076,"Orléans/Orléans"," 201","Ottawa",Merged with No./Fusionné avec le n°215,,,,,,,,429
35076,"Orléans/Orléans"," 202","Ottawa",0,7,70,136,17,68,2,300,534
35076,"Orléans/Orléans"," 203","Ottawa",1,5,60,106,16,47,5,240,504
35076,"Orléans/Orléans"," 204","Ottawa",0,2,29,58,6,45,1,141,418
35076,"Orléans/Orléans"," 205","Ottawa",Merged with No./Fusionné avec le n°216,,,,,,,,483
35076,"Orléans/Orléans"," 206","Ottawa",3,2,57,82,5,59,0,208,588
35076,"Orléans/Orléans"," 207","Ottawa",2,9,49,88,9,60,5,222,426
35076,"Orléans/Orléans"," 208","Ottawa",Merged with No./Fusionné avec le n°207,,,,,,,,371
35076,"Orléans/Orléans"," 209","Ottawa",Merged with No./Fusionné avec le n°206,,,,,,,,328
35076,"Orléans/Orléans"," 210","Ottawa",0,3,26,90,2,40,2,163,413
35076,"Orléans/Orléans"," 211","Ottawa",1,9,26,100,2,47,0,185,477
35076,"Orléans/Orléans"," 212","Ottawa",0,3,24,68,1,21,0,117,304
35076,"Orléans/Orléans"," 213","Ottawa",0,2,42,105,5,61,0,215,492
35076,"Orléans/Orléans"," 214","Ottawa",1,0,37,137,9,76,1,261,578
35076,"Orléans/Orléans"," 215","Ottawa",1,11,37,146,12,87,4,298,471
35076,"Orléans/Orléans"," 216","Ottawa",1,7,47,159,7,102,3,326,496
35076,"Orléans/Orléans"," 217","Ottawa",1,2,34,51,9,53,3,153,507
35076,"Orléans/Orléans"," 218","Ottawa",Merged with No./Fusionné avec le n°220,,,,,,,,367
35076,"Orléans/Orléans"," 219","Ottawa",Merged with No./Fusionné avec le n°203,,,,,,,,411
35076,"Orléans/Orléans"," 220","Ottawa",1,1,61,91,8,57,0,219,445
35076,"Orléans/Orléans"," 221","Ottawa",0,3,21,56,9,55,0,144,373
35076,"Orléans/Orléans"," 222","Ottawa",0,4,31,77,7,38,0,157,400
35076,"Orléans/Orléans"," 223","Ottawa",0,3,31,106,6,46,0,192,441
35076,"Orléans/Orléans"," 224","Ottawa",0,5,22,118,8,55,1,209,465
35076,"Orléans/Orléans"," 225","Ottawa",0,2,53,165,3,63,0,286,739
35076,"Orléans/Orléans"," 226","Ottawa",3,5,37,165,11,69,6,296,744
35076,"Orléans/Orléans"," 227A","Ottawa",0,1,22,87,2,32,1,145,377
35076,"Orléans/Orléans"," 227B","Ottawa",0,1,13,78,4,44,1,141,389
35076,"Orléans/Orléans"," 228","Ottawa",0,6,41,68,17,86,1,219,400
35076,"Orléans/Orléans"," 229","Ottawa",2,3,23,62,14,44,1,149,384
35076,"Orléans/Orléans"," 230","Ottawa",1,4,33,45,13,85,2,183,350
35076,"Orléans/Orléans"," 231","Ottawa",4,6,18,67,12,94,3,204,429
35076,"Orléans/Orléans"," 232","Ottawa",1,2,11,84,12,89,1,200,369
35076,"Orléans/Orléans"," 400","Mobile poll/Bureau itinérant",0,0,3,37,1,20,3,64,141
35076,"Orléans/Orléans"," 500","Mobile poll/Bureau itinérant",0,0,1,42,2,25,2,72,88
35076,"Orléans/Orléans"," 501","Mobile poll/Bureau itinérant",0,0,2,16,2,10,4,34,51
35076,"Orléans/Orléans"," 502","Mobile poll/Bureau itinérant",1,0,0,17,0,9,2,29,110
35076,"Orléans/Orléans"," 503","Mobile poll/Bureau itinérant",1,0,1,75,2,11,2,92,102
35076,"Orléans/Orléans"," 504","Mobile poll/Bureau itinérant",1,0,4,59,0,9,2,75,96
35076,"Orléans/Orléans"," 505","Mobile poll/Bureau itinérant",0,0,4,12,0,6,1,23,96
35076,"Orléans/Orléans"," 506","Mobile poll/Bureau itinérant",0,0,1,12,0,7,0,20,39
35076,"Orléans/Orléans"," 507","Mobile poll/Bureau itinérant",1,1,1,28,0,14,0,45,73
35076,"Orléans/Orléans"," 508","Mobile poll/Bureau itinérant",1,0,1,22,0,9,1,34,21
35076,"Orléans/Orléans"," 600","Ottawa",8,28,189,704,36,422,10,1397,
35076,"Orléans/Orléans"," 601","Ottawa",1,9,127,611,27,331,8,1114,
35076,"Orléans/Orléans"," 602","Ottawa",3,22,158,701,33,456,4,1377,
35076,"Orléans/Orléans"," 603","Ottawa",2,27,156,507,18,364,8,1082,
35076,"Orléans/Orléans"," 604","Ottawa",0,7,123,527,33,471,26,1187,
35076,"Orléans/Orléans"," 605","Ottawa",2,13,152,672,37,348,12,1236,
35076,"Orléans/Orléans"," 606","Ottawa",2,22,149,452,25,340,6,996,
35076,"Orléans/Orléans"," 607","Ottawa",1,23,110,518,29,384,4,1069,
35076,"Orléans/Orléans"," 608","Ottawa",1,23,123,666,28,386,6,1233,
35076,"Orléans/Orléans"," 609","Ottawa",4,21,224,501,24,266,9,1049,
35076,"Orléans/Orléans"," 610","Ottawa",0,21,132,856,10,448,7,1474,
35076,"Orléans/Orléans"," 611","Ottawa",1,20,154,823,21,468,8,1495,
35076,"Orléans/Orléans"," 612","Ottawa",3,16,149,620,26,393,6,1213,
35076,"Orléans/Orléans"," 613","Ottawa",4,12,148,665,24,454,6,1313,
35076,"Orléans/Orléans"," 614","Ottawa",0,15,94,510,20,330,2,971,
35076,"Orléans/Orléans"," 615","Ottawa",5,15,126,787,30,462,8,1433,
35076,"Orléans/Orléans"," 616","Ottawa",2,15,108,548,22,313,7,1015,
35076,"Orléans/Orléans"," 617","Ottawa",0,17,129,625,26,273,2,1072,
35076,"Orléans/Orléans"," 618","Ottawa",4,8,83,553,31,211,1,891,
35076,"Orléans/Orléans"," 619","Ottawa",5,15,134,750,29,373,8,1314,
35076,"Orléans/Orléans"," 620","Ottawa",2,13,132,611,27,349,17,1151,
35076,"Orléans/Orléans"," 621","Ottawa",1,7,96,506,41,324,8,983,
35076,"Orléans/Orléans",,Group 1/Groupe 1, 2,21,197,552,23,380,34,1209,428
35076,"Orléans/Orléans",,Group 2/Groupe 2, 14,77,834,3899,88,1952,157,7021,
