Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Charity DiPaola,Majid Jowhari,Angelika Keller,Costas Menegakis,Igor Tvorogov,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Richmond Hill/Richmond Hill"," 54","Richmond Hill",21,1,55,0,61,8,1,147,438
35087,"Richmond Hill/Richmond Hill"," 55","Richmond Hill",22,1,75,1,49,9,0,157,454
35087,"Richmond Hill/Richmond Hill"," 56","Richmond Hill",26,1,57,1,32,9,0,126,376
35087,"Richmond Hill/Richmond Hill"," 57","Richmond Hill",8,1,76,0,57,2,3,147,397
35087,"Richmond Hill/Richmond Hill"," 58","Richmond Hill",24,4,50,1,49,7,2,137,409
35087,"Richmond Hill/Richmond Hill"," 59","Richmond Hill",12,1,88,0,86,2,1,190,501
35087,"Richmond Hill/Richmond Hill"," 60","Richmond Hill",9,0,72,0,86,4,0,171,407
35087,"Richmond Hill/Richmond Hill"," 61","Richmond Hill",13,0,50,0,68,1,0,132,385
35087,"Richmond Hill/Richmond Hill"," 62","Richmond Hill",7,0,49,0,61,5,0,122,372
35087,"Richmond Hill/Richmond Hill"," 63","Richmond Hill",18,1,49,1,44,3,0,116,354
35087,"Richmond Hill/Richmond Hill"," 64","Richmond Hill",11,1,30,0,44,0,0,86,305
35087,"Richmond Hill/Richmond Hill"," 65","Richmond Hill",12,2,65,0,66,2,3,150,425
35087,"Richmond Hill/Richmond Hill"," 66","Richmond Hill",5,2,80,0,65,1,1,154,570
35087,"Richmond Hill/Richmond Hill"," 67","Richmond Hill",9,1,55,0,39,0,1,105,407
35087,"Richmond Hill/Richmond Hill"," 68","Richmond Hill",3,0,49,0,40,1,0,93,394
35087,"Richmond Hill/Richmond Hill"," 69","Richmond Hill",15,2,96,2,69,4,0,188,521
35087,"Richmond Hill/Richmond Hill"," 70","Richmond Hill",5,0,68,0,71,0,3,147,500
35087,"Richmond Hill/Richmond Hill"," 71","Richmond Hill",10,1,39,0,39,5,1,95,337
35087,"Richmond Hill/Richmond Hill"," 72","Richmond Hill",11,0,58,0,50,4,2,125,445
35087,"Richmond Hill/Richmond Hill"," 73","Richmond Hill",5,2,41,0,42,7,0,97,378
35087,"Richmond Hill/Richmond Hill"," 74","Richmond Hill",13,0,64,0,38,0,0,115,341
35087,"Richmond Hill/Richmond Hill"," 75","Richmond Hill",14,1,52,1,46,10,4,128,446
35087,"Richmond Hill/Richmond Hill"," 76","Richmond Hill",20,6,87,1,76,4,1,195,451
35087,"Richmond Hill/Richmond Hill"," 77","Richmond Hill",13,1,67,0,46,9,1,137,530
35087,"Richmond Hill/Richmond Hill"," 78","Richmond Hill",10,4,91,0,77,4,1,187,532
35087,"Richmond Hill/Richmond Hill"," 79","Richmond Hill",19,1,58,0,35,12,2,127,447
35087,"Richmond Hill/Richmond Hill"," 80","Richmond Hill",19,0,48,0,25,4,0,96,344
35087,"Richmond Hill/Richmond Hill"," 81","Richmond Hill",9,2,53,0,39,2,0,105,369
35087,"Richmond Hill/Richmond Hill"," 82","Richmond Hill",2,1,29,0,16,2,3,53,374
35087,"Richmond Hill/Richmond Hill"," 83","Richmond Hill",2,0,30,0,24,4,0,60,364
