Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bailey Bedard,Bob Benzen,Mark Dejewski,Scott Forsyth,Annelise Freeman,Kathleen M. Johnson,Malka Labell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48007,"Calgary Heritage/Calgary Heritage"," 84","Calgary",22,70,1,25,2,31,3,1,155,442
48007,"Calgary Heritage/Calgary Heritage"," 85","Calgary",5,74,0,34,0,46,6,0,165,452
48007,"Calgary Heritage/Calgary Heritage"," 86","Calgary",19,82,2,29,0,49,1,1,183,466
48007,"Calgary Heritage/Calgary Heritage"," 87","Calgary",11,119,1,28,6,37,2,0,204,490
48007,"Calgary Heritage/Calgary Heritage"," 88","Calgary",14,70,0,28,1,36,2,0,151,392
48007,"Calgary Heritage/Calgary Heritage"," 89","Calgary",8,114,0,31,6,43,5,1,208,505
48007,"Calgary Heritage/Calgary Heritage"," 90","Calgary",10,107,1,35,0,36,1,3,193,488
48007,"Calgary Heritage/Calgary Heritage"," 91","Calgary",8,89,1,28,2,16,5,0,149,419
48007,"Calgary Heritage/Calgary Heritage"," 92","Calgary",11,88,0,24,4,53,6,0,186,472
48007,"Calgary Heritage/Calgary Heritage"," 93","Calgary",18,83,1,23,1,43,2,3,174,470
48007,"Calgary Heritage/Calgary Heritage"," 94","Calgary",13,73,0,33,1,27,3,1,151,422
48007,"Calgary Heritage/Calgary Heritage"," 95","Calgary",8,114,0,41,2,24,4,0,193,467
48007,"Calgary Heritage/Calgary Heritage"," 96","Calgary",10,91,3,32,2,33,2,0,173,582
48007,"Calgary Heritage/Calgary Heritage"," 97","Calgary",7,61,0,18,3,20,2,0,111,465
48007,"Calgary Heritage/Calgary Heritage"," 98","Calgary",17,74,2,27,1,50,0,0,171,458
48007,"Calgary Heritage/Calgary Heritage"," 99","Calgary",6,84,0,37,1,43,5,1,177,414
48007,"Calgary Heritage/Calgary Heritage"," 100","Calgary",Merged with No./Fusionné avec le n°102,,,,,,,,,403
48007,"Calgary Heritage/Calgary Heritage"," 101","Calgary",16,87,1,22,2,24,1,0,153,393
48007,"Calgary Heritage/Calgary Heritage"," 102","Calgary",18,181,1,38,5,62,6,1,312,409
48007,"Calgary Heritage/Calgary Heritage"," 103","Calgary",17,105,3,37,3,26,1,0,192,436
48007,"Calgary Heritage/Calgary Heritage"," 104","Calgary",15,91,1,16,5,25,3,1,157,479
48007,"Calgary Heritage/Calgary Heritage"," 105","Calgary",5,78,1,24,2,15,3,0,128,390
48007,"Calgary Heritage/Calgary Heritage"," 106","Calgary",11,112,1,22,3,17,1,0,167,436
48007,"Calgary Heritage/Calgary Heritage"," 107","Calgary",9,99,1,31,2,30,3,0,175,398
48007,"Calgary Heritage/Calgary Heritage"," 108","Calgary",16,65,1,21,3,38,6,2,152,411
48007,"Calgary Heritage/Calgary Heritage"," 109","Calgary",10,127,0,26,5,38,4,0,210,468
48007,"Calgary Heritage/Calgary Heritage"," 110","Calgary",19,86,0,24,0,44,1,0,174,439
48007,"Calgary Heritage/Calgary Heritage"," 111","Calgary",11,84,2,34,6,53,8,0,198,474
48007,"Calgary Heritage/Calgary Heritage"," 112","Calgary",11,117,0,39,3,61,4,0,235,509
48007,"Calgary Heritage/Calgary Heritage"," 113","Calgary",3,148,2,55,2,41,3,0,254,568
48007,"Calgary Heritage/Calgary Heritage"," 114","Calgary",14,172,1,33,5,54,5,0,284,624
48007,"Calgary Heritage/Calgary Heritage"," 115","Calgary",8,104,1,44,3,27,2,0,189,499
48007,"Calgary Heritage/Calgary Heritage"," 116","Calgary",9,77,0,32,3,44,4,0,169,549
48007,"Calgary Heritage/Calgary Heritage"," 117","Calgary",18,111,0,28,6,37,1,0,201,504
48007,"Calgary Heritage/Calgary Heritage"," 118","Calgary",7,79,0,30,4,34,1,1,156,483
48007,"Calgary Heritage/Calgary Heritage"," 119","Calgary",6,85,1,32,1,40,1,0,166,502
48007,"Calgary Heritage/Calgary Heritage"," 120","Calgary",2,115,0,43,4,49,2,0,215,473
48007,"Calgary Heritage/Calgary Heritage"," 121","Calgary",13,90,1,37,1,39,3,0,184,415
48007,"Calgary Heritage/Calgary Heritage"," 122","Calgary",17,68,2,25,2,44,4,0,162,388
48007,"Calgary Heritage/Calgary Heritage"," 123","Calgary",7,115,1,24,1,39,4,0,191,504
48007,"Calgary Heritage/Calgary Heritage"," 124","Calgary",12,64,2,20,6,38,2,0,144,331
48007,"Calgary Heritage/Calgary Heritage"," 125","Calgary",6,99,0,21,0,11,1,0,138,424
48007,"Calgary Heritage/Calgary Heritage"," 126","Calgary",3,72,0,29,2,15,1,0,122,368
48007,"Calgary Heritage/Calgary Heritage"," 127","Calgary",5,101,0,18,2,14,0,1,141,487
48007,"Calgary Heritage/Calgary Heritage"," 128","Calgary",5,87,0,18,0,27,4,0,141,464
48007,"Calgary Heritage/Calgary Heritage"," 129","Calgary",9,100,1,24,1,15,3,1,154,587
48007,"Calgary Heritage/Calgary Heritage"," 130","Calgary",5,76,0,24,1,10,8,4,128,423
48007,"Calgary Heritage/Calgary Heritage"," 131","Calgary",7,70,1,29,1,21,4,1,134,424
48007,"Calgary Heritage/Calgary Heritage"," 132","Calgary",14,87,0,18,0,15,2,0,136,351
48007,"Calgary Heritage/Calgary Heritage"," 133","Calgary",4,121,0,20,2,39,1,1,188,462
48007,"Calgary Heritage/Calgary Heritage"," 134","Calgary",4,79,0,20,0,25,2,1,131,411
48007,"Calgary Heritage/Calgary Heritage"," 135","Calgary",8,120,0,36,2,30,0,0,196,501
48007,"Calgary Heritage/Calgary Heritage"," 136","Calgary",3,84,0,38,3,22,1,0,151,411
48007,"Calgary Heritage/Calgary Heritage"," 137","Calgary",18,181,1,42,4,42,4,2,294,788
48007,"Calgary Heritage/Calgary Heritage"," 138","Calgary",4,114,0,20,2,17,1,0,158,538
48007,"Calgary Heritage/Calgary Heritage"," 139","Calgary",7,61,2,29,3,35,4,4,145,477
48007,"Calgary Heritage/Calgary Heritage"," 140","Calgary",14,103,0,34,2,25,0,1,179,465
48007,"Calgary Heritage/Calgary Heritage"," 141","Calgary",16,82,1,30,2,28,4,0,163,418
48007,"Calgary Heritage/Calgary Heritage"," 142","Calgary",3,67,2,28,2,29,3,2,136,368
48007,"Calgary Heritage/Calgary Heritage"," 143","Calgary",7,158,1,66,0,44,4,2,282,676
48007,"Calgary Heritage/Calgary Heritage"," 144","Calgary",17,117,1,55,4,33,11,0,238,578
48007,"Calgary Heritage/Calgary Heritage"," 145","Calgary",11,133,0,45,1,35,0,1,226,566
48007,"Calgary Heritage/Calgary Heritage"," 146","Calgary",4,98,2,28,1,30,3,1,167,481
48007,"Calgary Heritage/Calgary Heritage"," 147","Calgary",4,90,1,16,1,28,0,1,141,484
48007,"Calgary Heritage/Calgary Heritage"," 148","Calgary",5,97,0,35,0,44,2,0,183,446
48007,"Calgary Heritage/Calgary Heritage"," 149","Calgary",10,114,1,32,5,58,1,6,227,503
48007,"Calgary Heritage/Calgary Heritage"," 150","Calgary",14,104,0,26,1,41,1,3,190,449
48007,"Calgary Heritage/Calgary Heritage"," 151","Calgary",15,117,1,36,1,35,6,1,212,519
48007,"Calgary Heritage/Calgary Heritage"," 152","Calgary",8,95,1,42,4,43,3,0,196,496
48007,"Calgary Heritage/Calgary Heritage"," 153","Calgary",14,85,1,16,1,31,3,1,152,472
48007,"Calgary Heritage/Calgary Heritage"," 154","Calgary",4,60,0,25,0,23,0,1,113,475
48007,"Calgary Heritage/Calgary Heritage"," 155","Calgary",4,99,0,32,1,37,0,1,174,472
48007,"Calgary Heritage/Calgary Heritage"," 156","Calgary",14,107,0,33,0,28,2,0,184,467
48007,"Calgary Heritage/Calgary Heritage"," 157","Calgary",18,99,1,34,0,34,2,1,189,454
48007,"Calgary Heritage/Calgary Heritage"," 158","Calgary",11,144,0,44,5,28,5,0,237,589
48007,"Calgary Heritage/Calgary Heritage"," 159","Calgary",18,97,0,30,2,38,2,1,188,455
48007,"Calgary Heritage/Calgary Heritage"," 160","Calgary",5,127,1,35,1,44,0,0,213,616
48007,"Calgary Heritage/Calgary Heritage"," 161","Calgary",19,78,2,21,0,29,1,0,150,552
48007,"Calgary Heritage/Calgary Heritage"," 162","Calgary",11,111,1,27,2,32,2,2,188,503
48007,"Calgary Heritage/Calgary Heritage"," 163","Calgary",16,92,2,19,1,41,3,1,175,462
48007,"Calgary Heritage/Calgary Heritage"," 164","Calgary",6,85,1,21,0,45,6,1,165,408
48007,"Calgary Heritage/Calgary Heritage"," 165","Calgary",18,99,2,29,2,27,5,3,185,426
48007,"Calgary Heritage/Calgary Heritage"," 166","Calgary",19,119,0,61,4,33,0,1,237,599
48007,"Calgary Heritage/Calgary Heritage"," 167","Calgary",15,136,1,46,0,40,6,0,244,539
48007,"Calgary Heritage/Calgary Heritage"," 168","Calgary",7,93,1,26,3,39,2,0,171,431
48007,"Calgary Heritage/Calgary Heritage"," 169","Calgary",12,125,1,49,1,53,5,2,248,519
48007,"Calgary Heritage/Calgary Heritage"," 170","Calgary",10,118,1,24,0,40,4,1,198,466
48007,"Calgary Heritage/Calgary Heritage"," 171","Calgary",17,130,3,43,0,37,4,4,238,563
48007,"Calgary Heritage/Calgary Heritage"," 172","Calgary",20,112,1,45,2,50,3,1,234,579
48007,"Calgary Heritage/Calgary Heritage"," 400","Calgary",9,48,0,22,0,21,0,0,100,351
48007,"Calgary Heritage/Calgary Heritage"," 500","Mobile poll/Bureau itinérant",1,36,0,11,2,10,1,0,61,233
48007,"Calgary Heritage/Calgary Heritage"," 501","Mobile poll/Bureau itinérant",4,54,0,19,0,8,5,3,93,157
48007,"Calgary Heritage/Calgary Heritage"," 502","Calgary",Merged with No./Fusionné avec le n°20,,,,,,,,,4
48007,"Calgary Heritage/Calgary Heritage"," 503","Mobile poll/Bureau itinérant",1,13,0,11,0,1,0,1,27,119
48007,"Calgary Heritage/Calgary Heritage"," 504","Mobile poll/Bureau itinérant",1,19,1,5,0,0,2,2,30,205
48007,"Calgary Heritage/Calgary Heritage"," 505","Mobile poll/Bureau itinérant",2,102,1,14,0,5,1,1,126,241
48007,"Calgary Heritage/Calgary Heritage"," 506","Mobile poll/Bureau itinérant",1,31,0,17,0,4,2,1,56,144
48007,"Calgary Heritage/Calgary Heritage"," 507","Mobile poll/Bureau itinérant",0,47,0,9,0,2,0,0,58,122
48007,"Calgary Heritage/Calgary Heritage"," 508","Mobile poll/Bureau itinérant",5,34,0,5,1,5,4,0,54,65
48007,"Calgary Heritage/Calgary Heritage"," 509","Mobile poll/Bureau itinérant",0,33,1,10,0,9,0,0,53,78
48007,"Calgary Heritage/Calgary Heritage"," 600","Calgary",51,813,5,207,32,149,11,3,1271,
48007,"Calgary Heritage/Calgary Heritage"," 601","Calgary",30,714,2,200,28,153,10,2,1139,
48007,"Calgary Heritage/Calgary Heritage"," 602","Calgary",47,500,10,171,15,144,8,1,896,
48007,"Calgary Heritage/Calgary Heritage"," 603","Calgary",43,911,9,174,22,125,24,3,1311,
48007,"Calgary Heritage/Calgary Heritage"," 604","Calgary",69,581,5,180,10,157,11,1,1014,
48007,"Calgary Heritage/Calgary Heritage"," 605","Calgary",42,476,1,105,21,153,11,5,814,
48007,"Calgary Heritage/Calgary Heritage"," 606","Calgary",39,695,8,170,16,200,16,4,1148,
48007,"Calgary Heritage/Calgary Heritage"," 607","Calgary",59,622,2,184,16,169,20,1,1073,
48007,"Calgary Heritage/Calgary Heritage"," 608","Calgary",36,757,4,163,21,101,7,3,1092,
48007,"Calgary Heritage/Calgary Heritage"," 609","Calgary",51,803,4,198,27,163,8,0,1254,
48007,"Calgary Heritage/Calgary Heritage"," 610","Calgary",58,954,2,201,44,169,14,4,1446,
48007,"Calgary Heritage/Calgary Heritage"," 611","Calgary",57,580,2,143,9,173,13,2,979,
48007,"Calgary Heritage/Calgary Heritage"," 612","Calgary",60,1144,3,177,25,114,9,8,1540,
48007,"Calgary Heritage/Calgary Heritage"," 613","Calgary",47,630,0,154,11,108,5,3,958,
48007,"Calgary Heritage/Calgary Heritage"," 614","Calgary",39,740,1,178,19,116,10,6,1109,
48007,"Calgary Heritage/Calgary Heritage"," 615","Calgary",55,554,3,132,4,145,4,0,897,
48007,"Calgary Heritage/Calgary Heritage"," 616","Calgary",52,542,4,92,11,128,3,1,833,
48007,"Calgary Heritage/Calgary Heritage",,Group 1/Groupe 1, 33,462,2,152,10,124,15,51,849,287
48007,"Calgary Heritage/Calgary Heritage",,Group 2/Groupe 2, 44,1168,12,541,18,416,21,94,2314,
