Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Hatch,Dan Muys,Lorne Newick,Bill Panchyshyn,Vito Sgro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 144","Hamilton",9,137,63,3,217,8,437,348
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 145","Hamilton",Merged with No./Fusionné avec le n°144,,,,,,,336
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 146","Hamilton",5,51,43,6,57,0,162,336
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 147","Hamilton",Merged with No./Fusionné avec le n°146,,,,,,,270
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 148","Hamilton",9,122,90,21,121,1,364,399
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 149","Hamilton",Merged with No./Fusionné avec le n°148,,,,,,,336
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 150","Hamilton",8,102,89,21,192,5,417,389
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 151","Hamilton",3,118,62,15,98,1,297,519
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 152","Hamilton",6,112,43,23,82,1,267,587
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 153","Hamilton",Merged with No./Fusionné avec le n°131,,,,,,,443
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 154","Hamilton",1,91,50,22,94,5,263,760
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 155","Hamilton",6,61,48,10,105,0,230,553
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 156","Hamilton",8,76,40,16,130,1,271,761
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 157","Hamilton",2,79,38,14,125,0,258,403
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 158","Hamilton",Merged with No./Fusionné avec le n°157,,,,,,,373
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 159","Hamilton",2,118,46,14,100,5,285,450
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 160A","Hamilton",6,65,34,13,102,3,223,616
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 160B","Hamilton",4,97,31,13,86,3,234,613
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 161","Hamilton",8,131,41,23,42,0,245,511
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 162","Hamilton",9,112,28,9,49,0,207,475
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 163","Hamilton",3,82,10,12,29,0,136,340
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 164","Hamilton",Merged with No./Fusionné avec le n°166,,,,,,,357
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 165","Hamilton",Merged with No./Fusionné avec le n°159,,,,,,,389
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 166","Hamilton",3,122,36,30,60,0,251,373
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 167","Hamilton",Merged with No./Fusionné avec le n°168,,,,,,,320
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 168","Hamilton",9,130,61,29,68,3,300,457
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 169","Hamilton",4,131,22,15,77,0,249,583
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 170","Hamilton",3,80,22,22,52,0,179,435
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 171","Hamilton",7,115,38,24,51,1,236,492
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 172","Hamilton",4,59,35,23,57,0,178,445
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 173","Hamilton",5,85,61,23,76,0,250,568
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 174","Hamilton",4,84,29,12,46,0,175,415
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 175","Hamilton",7,123,69,27,100,4,330,414
