Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vassif Aliev,Rachid Bandou,Rima El-Helou,Annie Koutrakis,Alejandro Morales-Loaiza,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24078,"Vimy/Vimy"," 124","Laval",23,27,31,86,11,3,181,433
24078,"Vimy/Vimy"," 125A","Laval",13,21,13,53,6,1,107,348
24078,"Vimy/Vimy"," 125B","Mobile poll/Bureau itinérant",3,18,5,34,1,10,71,109
24078,"Vimy/Vimy"," 125C","Mobile poll/Bureau itinérant",4,8,8,28,1,2,51,119
24078,"Vimy/Vimy"," 125D","Mobile poll/Bureau itinérant",1,21,4,38,3,5,72,88
24078,"Vimy/Vimy"," 126","Laval",12,8,10,46,10,3,89,328
24078,"Vimy/Vimy"," 127","Laval",29,44,13,54,9,3,152,338
24078,"Vimy/Vimy"," 128","Laval",25,56,14,74,5,6,180,413
24078,"Vimy/Vimy"," 129","Laval",23,35,15,70,4,4,151,381
24078,"Vimy/Vimy"," 130","Laval",34,54,22,113,11,3,237,437
24078,"Vimy/Vimy"," 131","Laval",18,46,20,47,6,7,144,325
24078,"Vimy/Vimy"," 132","Laval",20,36,22,74,11,5,168,375
24078,"Vimy/Vimy"," 133","Laval",24,44,33,67,8,1,177,442
24078,"Vimy/Vimy"," 134","Laval",22,27,19,97,5,3,173,419
24078,"Vimy/Vimy"," 135","Laval",15,22,19,87,14,0,157,393
24078,"Vimy/Vimy"," 136","Laval",6,15,23,75,8,0,127,427
24078,"Vimy/Vimy"," 137","Laval",21,14,34,118,9,4,200,510
24078,"Vimy/Vimy"," 138","Laval",16,9,26,138,17,0,206,485
24078,"Vimy/Vimy"," 139","Laval",23,6,33,104,21,1,188,451
24078,"Vimy/Vimy"," 140","Laval",12,10,25,74,11,2,134,412
24078,"Vimy/Vimy"," 141","Laval",8,15,13,97,10,1,144,451
24078,"Vimy/Vimy"," 142","Laval",8,21,18,58,9,3,117,385
24078,"Vimy/Vimy"," 143","Laval",10,15,23,81,11,7,147,402
24078,"Vimy/Vimy"," 144","Laval",12,17,32,93,4,0,158,447
24078,"Vimy/Vimy"," 145","Laval",9,6,31,61,3,6,116,445
24078,"Vimy/Vimy"," 146A","Laval",Merged with No./Fusionné avec le n°135,,,,,,,111
24078,"Vimy/Vimy"," 146B","Laval",3,54,13,87,5,9,171,309
24078,"Vimy/Vimy"," 147","Laval",12,23,26,89,12,6,168,421
24078,"Vimy/Vimy"," 148A","Laval",10,21,17,62,7,4,121,317
24078,"Vimy/Vimy"," 148B","Mobile poll/Bureau itinérant",0,6,5,20,0,8,39,56
24078,"Vimy/Vimy"," 148C","Mobile poll/Bureau itinérant",10,13,11,37,1,2,74,125
24078,"Vimy/Vimy"," 149","Laval",14,19,27,83,3,0,146,367
24078,"Vimy/Vimy"," 150","Laval",9,19,10,73,3,6,120,358
24078,"Vimy/Vimy"," 151","Laval",15,16,20,105,6,3,165,424
24078,"Vimy/Vimy"," 152","Laval",16,20,15,67,7,4,129,320
24078,"Vimy/Vimy"," 153","Laval",10,20,12,53,3,0,98,331
24078,"Vimy/Vimy"," 154","Laval",6,23,4,71,4,9,117,326
24078,"Vimy/Vimy"," 155","Laval",9,16,11,88,6,2,132,455
24078,"Vimy/Vimy"," 156","Laval",16,21,32,111,12,3,195,417
24078,"Vimy/Vimy"," 157","Laval",21,10,30,67,6,3,137,395
24078,"Vimy/Vimy"," 158","Laval",12,15,19,72,6,1,125,459
24078,"Vimy/Vimy"," 159","Laval",21,52,27,70,16,4,190,642
24078,"Vimy/Vimy"," 160","Laval",9,10,31,116,11,2,179,492
24078,"Vimy/Vimy"," 161","Laval",15,11,32,94,4,1,157,474
24078,"Vimy/Vimy"," 162","Laval",10,17,25,86,9,6,153,445
24078,"Vimy/Vimy"," 163","Laval",18,19,42,101,12,3,195,474
24078,"Vimy/Vimy"," 164","Laval",9,15,34,80,7,4,149,399
24078,"Vimy/Vimy"," 165","Laval",13,9,29,72,9,2,134,346
24078,"Vimy/Vimy"," 166","Laval",27,19,24,110,11,2,193,485
24078,"Vimy/Vimy"," 167","Laval",19,11,79,101,7,5,222,586
24078,"Vimy/Vimy"," 168","Laval",13,9,42,61,18,4,147,483
24078,"Vimy/Vimy"," 169","Laval",18,13,73,129,18,3,254,636
24078,"Vimy/Vimy"," 170","Laval",26,8,65,175,20,10,304,671
24078,"Vimy/Vimy"," 171","Laval",9,17,11,95,6,1,139,374
24078,"Vimy/Vimy"," 172","Laval",26,11,26,81,12,8,164,444
24078,"Vimy/Vimy"," 173","Laval",18,15,21,90,7,4,155,470
24078,"Vimy/Vimy"," 174","Laval",16,25,12,88,14,1,156,436
24078,"Vimy/Vimy"," 175A","Laval",15,9,30,102,5,3,164,250
24078,"Vimy/Vimy"," 175B","Laval",15,12,38,91,13,4,173,260
24078,"Vimy/Vimy"," 176A","Laval",Merged with No./Fusionné avec le n°175A,,,,,,,180
24078,"Vimy/Vimy"," 176B","Laval",Merged with No./Fusionné avec le n°175B,,,,,,,195
24078,"Vimy/Vimy"," 177","Laval",16,13,31,102,17,6,185,432
24078,"Vimy/Vimy"," 178","Laval",9,27,36,102,7,6,187,448
24078,"Vimy/Vimy"," 179","Laval",5,12,29,93,8,4,151,352
24078,"Vimy/Vimy"," 180","Laval",17,35,21,87,14,4,178,418
24078,"Vimy/Vimy"," 181","Laval",15,11,36,110,11,3,186,443
24078,"Vimy/Vimy"," 182","Laval",12,12,38,88,14,2,166,413
24078,"Vimy/Vimy"," 183A","Laval",Merged with No./Fusionné avec le n°184A,,,,,,,176
24078,"Vimy/Vimy"," 183B","Laval",Merged with No./Fusionné avec le n°184B,,,,,,,166
24078,"Vimy/Vimy"," 184A","Laval",26,18,45,118,14,2,223,295
24078,"Vimy/Vimy"," 184B","Laval",14,24,40,98,11,2,189,326
24078,"Vimy/Vimy"," 185","Laval",13,10,10,68,3,10,114,304
24078,"Vimy/Vimy"," 186A","Laval",11,17,19,120,10,4,181,472
24078,"Vimy/Vimy"," 186B","Mobile poll/Bureau itinérant",1,10,6,28,0,2,47,85
24078,"Vimy/Vimy"," 187","Laval",15,25,19,98,12,2,171,411
24078,"Vimy/Vimy"," 188","Laval",23,27,27,95,9,4,185,513
24078,"Vimy/Vimy"," 189A","Laval",16,27,20,103,14,7,187,433
24078,"Vimy/Vimy"," 189B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,4
24078,"Vimy/Vimy"," 190","Laval",10,10,19,69,6,5,119,357
24078,"Vimy/Vimy"," 400","Laval",Merged with No./Fusionné avec le n°11,,,,,,,167
24078,"Vimy/Vimy"," 401","Laval",1,30,4,47,2,1,85,262
24078,"Vimy/Vimy"," 402","Laval",Merged with No./Fusionné avec le n°401,,,,,,,153
24078,"Vimy/Vimy"," 403","Laval",2,6,4,17,0,0,29,247
24078,"Vimy/Vimy"," 404","Laval",8,97,28,223,0,24,380,619
24078,"Vimy/Vimy"," 405","Laval",1,25,6,43,1,4,80,219
24078,"Vimy/Vimy"," 406","Laval",0,18,5,39,1,0,63,283
24078,"Vimy/Vimy"," 407","Laval",5,11,9,38,5,1,69,213
24078,"Vimy/Vimy"," 408","Laval",0,14,1,25,1,4,45,232
24078,"Vimy/Vimy"," 409","Laval",2,47,13,97,0,11,170,472
24078,"Vimy/Vimy"," 410","Laval",0,9,2,12,1,2,26,165
24078,"Vimy/Vimy"," 411","Laval",0,52,11,87,0,6,156,224
24078,"Vimy/Vimy"," 412","Laval",2,51,22,95,0,4,174,250
24078,"Vimy/Vimy"," 413","Laval",4,31,4,81,2,1,123,186
24078,"Vimy/Vimy"," 414","Laval",4,47,20,101,0,0,172,238
24078,"Vimy/Vimy"," 415","Laval",3,20,14,66,0,6,109,257
24078,"Vimy/Vimy"," 416","Laval",1,11,7,33,5,1,58,229
24078,"Vimy/Vimy"," 417","Laval",10,18,5,34,8,0,75,335
24078,"Vimy/Vimy"," 418","Laval",9,17,15,52,3,2,98,357
24078,"Vimy/Vimy"," 419","Laval",0,17,5,50,2,4,78,157
24078,"Vimy/Vimy"," 500","Mobile poll/Bureau itinérant",3,4,0,12,0,1,20,29
24078,"Vimy/Vimy"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°94,,,,,,,160
24078,"Vimy/Vimy"," 502","Mobile poll/Bureau itinérant",0,24,7,29,3,3,66,110
24078,"Vimy/Vimy"," 503","Mobile poll/Bureau itinérant",0,9,2,17,0,0,28,99
24078,"Vimy/Vimy"," 504","Mobile poll/Bureau itinérant",4,33,5,46,1,3,92,128
24078,"Vimy/Vimy"," 505","Laval",Merged with No./Fusionné avec le n°148A,,,,,,,127
24078,"Vimy/Vimy"," 506","Mobile poll/Bureau itinérant",2,3,2,12,0,0,19,46
24078,"Vimy/Vimy"," 507","Mobile poll/Bureau itinérant",0,3,4,14,0,1,22,32
24078,"Vimy/Vimy"," 508","Laval",Merged with No./Fusionné avec le n°190,,,,,,,35
24078,"Vimy/Vimy"," 600","Laval",74,392,114,423,20,22,1045,
24078,"Vimy/Vimy"," 601","Laval",62,373,84,410,29,20,978,
24078,"Vimy/Vimy"," 602","Laval",36,254,61,270,25,7,653,
24078,"Vimy/Vimy"," 603","Laval",79,278,82,360,30,18,847,
24078,"Vimy/Vimy"," 604","Laval",82,330,145,482,22,19,1080,
24078,"Vimy/Vimy"," 605","Laval",41,241,94,333,25,8,742,
24078,"Vimy/Vimy"," 606","Laval",28,147,64,231,11,7,488,
24078,"Vimy/Vimy"," 607","Laval",74,228,100,394,28,16,840,
24078,"Vimy/Vimy"," 608","Laval",78,260,75,293,25,16,747,
24078,"Vimy/Vimy"," 609","Laval",87,316,103,393,20,10,929,
24078,"Vimy/Vimy"," 610","Laval",42,183,308,74,31,14,652,
24078,"Vimy/Vimy"," 611","Laval",42,230,137,477,32,14,932,
24078,"Vimy/Vimy"," 612","Laval",32,108,46,218,25,14,443,
24078,"Vimy/Vimy"," 613","Laval",35,245,115,469,24,23,911,
24078,"Vimy/Vimy"," 614","Laval",44,333,141,511,22,17,1068,
24078,"Vimy/Vimy"," 615","Laval",59,245,139,561,50,18,1072,
24078,"Vimy/Vimy"," 616","Laval",41,141,111,440,33,14,780,
24078,"Vimy/Vimy"," 617","Laval",52,148,188,459,46,9,902,
24078,"Vimy/Vimy",,Group 1/Groupe 1, 39,108,50,236,8,38,479,119
24078,"Vimy/Vimy",,Group 2/Groupe 2, 194,748,331,1406,62,89,2830,
