Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Marie Anonsen,Linda Hogan,Churence Rogers,Sharon Vokey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 59","Upper Amherst Cove--Middle Amherst Cove",4,5,45,21,0,75,171
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 60","Duntara--Keels",2,2,19,13,1,37,81
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 61","Bonavista",5,5,34,32,1,77,292
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 62","Bonavista",5,5,25,23,0,58,242
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 63","Bonavista",6,8,70,46,1,131,441
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 64","Bonavista",6,3,17,21,1,48,178
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 65","Bonavista",7,5,38,43,0,93,392
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 66","Bonavista",8,9,40,24,3,84,275
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 67","Bonavista",13,2,45,45,0,105,358
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 68","Bonavista",1,3,33,39,1,77,287
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 69","Bonavista",6,6,55,40,0,107,308
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 70","Elliston",11,6,28,27,4,76,261
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 71","Little Catalina",10,9,85,26,0,130,344
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 72","Catalina",3,3,30,25,0,61,204
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 73","Catalina",12,12,49,56,0,129,421
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 74","Port Union",8,12,33,53,0,106,299
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 75","Melrose",4,4,27,41,5,81,189
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 76","English Harbour--Champney's West",2,0,5,21,0,28,47
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 77","Trinity East--Port Rexton",12,3,47,101,0,163,308
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 78","Port Rexton--Champney's Arm",2,0,14,33,0,49,72
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 79","Trinity--Lockston",6,1,19,68,0,94,186
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 80","Goose Cove--Dunfield",2,1,23,55,1,82,110
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 81","Old Bonaventure--New Bonaventure--Trouty",1,0,21,46,0,68,76
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 82","Burgoynes Cove--New Burnt Cove--Clifton",2,3,12,26,0,43,83
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 83","Harcourt--Barton--Monroe",7,0,46,47,1,101,194
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 84A","Milton--George's Brook",9,8,41,44,0,102,298
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 84B","Milton--George's Brook",10,5,32,36,0,83,310
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 85","Elliott's Cove--Aspey Brook--Snooks Harbour--Random Heights",9,4,31,38,1,83,139
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 86","Hickman's Harbour",2,1,53,24,2,82,250
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 87","Lady Cove--Robinson Bight--Weybridge",9,9,36,42,0,96,144
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 88","Britannia--Lower Lance Cove",4,2,28,17,1,52,129
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 89","Petley",0,1,7,21,0,29,78
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 90","Shoal Harbour",9,4,46,52,3,114,408
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 91","Clarenville",20,4,59,59,0,142,454
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 92","Shoal Harbour",23,12,65,83,1,184,554
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 93","Shoal Harbour",27,8,53,45,2,135,417
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 94","Clarenville",17,4,49,28,1,99,368
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 95","Clarenville",17,2,52,76,0,147,467
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 96","Clarenville",17,9,60,29,0,115,411
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 97","Clarenville",12,5,48,68,0,133,446
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 98","Clarenville",18,2,49,58,1,128,375
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 99","Clarenville",15,3,70,44,0,132,445
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 100","Clarenville",12,6,51,59,0,128,479
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 101","Clarenville",17,4,33,31,1,86,378
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 102","Adeytown--Deep Bight",11,4,34,31,0,80,174
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 103","Hillview",11,1,40,59,1,112,233
