Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nabila Ben Youssef,Christian Boutin,Garnet Colly,Alain Lepine,Raymond Martin,Christine Paré,Julio Rivera,Justin Trudeau,Béatrice Zako,Above Znoneofthe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Papineau/Papineau"," 60","Montréal",46,2,0,4,2,63,10,87,1,4,4,223,494
24055,"Papineau/Papineau"," 61","Montréal",30,7,1,5,1,25,9,73,0,2,6,159,422
24055,"Papineau/Papineau"," 62","Montréal",18,4,1,8,0,36,4,103,0,0,2,176,401
24055,"Papineau/Papineau"," 63","Montréal",24,1,0,9,1,42,7,83,1,7,6,181,337
24055,"Papineau/Papineau"," 64","Montréal",19,6,1,11,1,44,12,128,1,2,3,228,450
24055,"Papineau/Papineau"," 65","Montréal",19,4,0,8,0,46,5,78,2,2,5,169,413
24055,"Papineau/Papineau"," 66","Montréal",27,4,1,8,1,76,9,97,1,2,2,228,455
24055,"Papineau/Papineau"," 67","Montréal",38,2,0,3,1,46,5,98,2,3,2,200,471
24055,"Papineau/Papineau"," 68","Montréal",20,6,0,2,0,28,9,93,2,1,0,161,411
24055,"Papineau/Papineau"," 69","Montréal",46,4,0,3,0,39,12,91,0,4,1,200,395
24055,"Papineau/Papineau"," 70","Montréal",34,5,0,13,1,46,10,78,0,1,1,189,386
24055,"Papineau/Papineau"," 71","Montréal",55,0,0,8,0,64,10,103,1,3,2,246,429
24055,"Papineau/Papineau"," 72","Montréal",51,1,1,11,1,68,3,62,0,5,3,206,437
24055,"Papineau/Papineau"," 73","Montréal",38,2,0,6,1,48,6,68,0,3,8,180,436
24055,"Papineau/Papineau"," 74","Montréal",30,7,0,8,2,63,4,72,0,3,2,191,437
24055,"Papineau/Papineau"," 75","Montréal",31,5,1,7,0,51,11,65,1,2,1,175,419
24055,"Papineau/Papineau"," 76","Montréal",42,5,0,7,0,75,7,52,1,2,2,193,372
24055,"Papineau/Papineau"," 77","Montréal",36,5,1,9,0,65,6,64,1,3,2,192,440
24055,"Papineau/Papineau"," 78","Montréal",20,4,1,13,1,47,4,68,1,7,3,169,417
24055,"Papineau/Papineau"," 79","Montréal",32,3,1,7,0,84,5,74,0,0,4,210,435
24055,"Papineau/Papineau"," 80","Montréal",36,4,0,10,0,58,2,51,1,3,6,171,445
24055,"Papineau/Papineau"," 81A","Montréal",25,0,1,5,1,71,7,72,1,2,1,186,431
24055,"Papineau/Papineau"," 81B","Montréal",35,3,1,11,1,66,5,61,0,2,6,191,427
24055,"Papineau/Papineau"," 82","Montréal",52,5,0,8,0,70,7,106,0,3,2,253,459
24055,"Papineau/Papineau"," 83","Montréal",58,6,1,7,0,58,4,88,1,5,3,231,449
24055,"Papineau/Papineau"," 84","Montréal",51,1,1,2,1,57,10,54,1,1,2,181,374
24055,"Papineau/Papineau"," 85","Montréal",58,7,0,14,0,56,5,69,0,9,3,221,394
24055,"Papineau/Papineau"," 86","Montréal",42,5,0,9,0,59,3,66,0,3,8,195,401
24055,"Papineau/Papineau"," 87","Montréal",38,2,0,8,0,82,2,52,0,6,2,192,420
24055,"Papineau/Papineau"," 88","Montréal",51,1,0,13,1,69,9,59,0,4,2,209,395
24055,"Papineau/Papineau"," 89","Montréal",45,9,1,9,0,43,7,87,0,0,2,203,448
24055,"Papineau/Papineau"," 90","Montréal",30,4,1,11,1,43,1,29,0,2,4,126,249
24055,"Papineau/Papineau"," 91","Montréal",62,5,0,9,0,78,5,100,0,2,1,262,434
24055,"Papineau/Papineau"," 92","Montréal",45,1,0,7,0,81,5,71,0,6,6,222,435
24055,"Papineau/Papineau"," 93","Montréal",39,0,0,4,1,67,1,63,1,5,6,187,444
24055,"Papineau/Papineau"," 94","Montréal",24,1,2,7,0,81,8,60,1,3,3,190,424
24055,"Papineau/Papineau"," 95","Montréal",25,2,1,7,0,71,2,46,0,2,0,156,401
24055,"Papineau/Papineau"," 96","Montréal",30,1,0,9,0,64,4,58,0,4,7,177,434
24055,"Papineau/Papineau"," 97","Montréal",37,2,1,11,0,65,2,62,0,3,5,188,406
24055,"Papineau/Papineau"," 98","Montréal",34,7,1,10,1,53,10,84,0,3,2,205,538
24055,"Papineau/Papineau"," 99","Montréal",29,3,0,4,0,60,8,67,0,3,2,176,404
24055,"Papineau/Papineau"," 100","Montréal",20,4,0,8,0,45,8,52,0,1,0,138,432
24055,"Papineau/Papineau"," 101","Montréal",35,1,0,14,0,83,3,60,0,2,0,198,427
24055,"Papineau/Papineau"," 102","Montréal",20,3,0,5,0,46,9,65,0,1,4,153,413
24055,"Papineau/Papineau"," 103","Montréal",37,2,0,13,0,69,0,53,0,0,1,175,425
24055,"Papineau/Papineau"," 104","Montréal",33,4,0,19,0,88,5,48,0,7,3,207,384
24055,"Papineau/Papineau"," 105","Montréal",34,3,1,14,0,86,5,66,0,9,0,218,422
24055,"Papineau/Papineau"," 106","Montréal",33,3,0,7,0,76,2,70,0,2,5,198,412
24055,"Papineau/Papineau"," 107","Montréal",32,2,0,17,0,78,10,61,0,5,13,218,436
24055,"Papineau/Papineau"," 108","Montréal",36,3,1,7,0,59,7,54,1,3,1,172,417
24055,"Papineau/Papineau"," 109","Montréal",29,8,0,6,0,72,0,43,0,1,1,160,437
24055,"Papineau/Papineau"," 110","Montréal",36,4,1,8,0,68,2,62,1,3,2,187,411
24055,"Papineau/Papineau"," 111","Montréal",30,7,1,12,0,58,15,62,0,1,6,192,454
24055,"Papineau/Papineau"," 112","Montréal",39,2,2,9,0,51,2,65,0,1,6,177,400
24055,"Papineau/Papineau"," 113","Montréal",41,4,3,8,0,67,6,79,0,6,7,221,445
24055,"Papineau/Papineau"," 114","Montréal",27,3,0,12,0,67,11,73,0,2,5,200,393
24055,"Papineau/Papineau"," 115","Montréal",30,6,0,12,0,61,11,92,0,6,4,222,476
24055,"Papineau/Papineau"," 116","Montréal",37,2,1,10,0,90,5,68,0,0,2,215,411
24055,"Papineau/Papineau"," 117","Montréal",40,3,2,14,1,60,8,81,0,7,1,217,455
24055,"Papineau/Papineau"," 118","Montréal",31,1,0,28,0,70,1,79,1,0,5,216,441
24055,"Papineau/Papineau"," 119","Montréal",27,3,1,8,0,41,6,86,0,0,3,175,358
24055,"Papineau/Papineau"," 120","Montréal",37,1,2,9,1,53,5,86,0,1,6,201,399
24055,"Papineau/Papineau"," 121","Montréal",40,1,0,13,1,62,4,99,0,4,3,227,404
24055,"Papineau/Papineau"," 122","Montréal",24,2,0,8,1,57,5,53,0,2,5,157,374
24055,"Papineau/Papineau"," 123","Montréal",26,8,0,2,0,35,8,66,1,3,3,152,416
24055,"Papineau/Papineau"," 124","Montréal",31,6,0,6,1,51,14,85,0,1,1,196,428
24055,"Papineau/Papineau"," 125","Montréal",22,5,0,6,0,56,8,75,0,4,3,179,398
24055,"Papineau/Papineau"," 126","Montréal",31,8,0,3,0,41,11,94,0,1,3,192,398
24055,"Papineau/Papineau"," 127","Montréal",29,6,1,10,0,24,13,120,0,0,3,206,393
24055,"Papineau/Papineau"," 128","Montréal",28,2,0,6,0,54,6,116,1,6,2,221,415
24055,"Papineau/Papineau"," 129A","Montréal",28,1,0,3,0,36,10,76,1,5,1,161,378
24055,"Papineau/Papineau"," 129B","Montréal",15,2,0,4,0,34,5,53,0,1,2,116,334
24055,"Papineau/Papineau"," 130A","Montréal",30,1,0,7,0,20,5,44,1,0,3,111,315
24055,"Papineau/Papineau"," 130B","Montréal",18,1,0,3,0,15,9,49,0,2,2,99,323
24055,"Papineau/Papineau"," 131","Montréal",10,2,1,2,1,41,5,87,0,1,2,152,425
24055,"Papineau/Papineau"," 132","Montréal",2,4,0,1,1,16,8,118,0,1,1,152,413
24055,"Papineau/Papineau"," 133","Montréal",3,2,0,1,0,7,5,56,0,0,1,75,341
24055,"Papineau/Papineau"," 134","Montréal",8,1,2,5,0,44,3,74,0,0,2,139,365
24055,"Papineau/Papineau"," 135","Montréal",6,7,0,5,0,31,15,86,0,0,2,152,346
24055,"Papineau/Papineau"," 136","Montréal",6,5,0,2,0,40,1,55,0,2,1,112,335
24055,"Papineau/Papineau"," 137A","Montréal",2,5,0,2,0,29,9,68,0,0,3,118,307
24055,"Papineau/Papineau"," 137B","Montréal",8,8,0,2,0,26,7,61,0,0,0,112,318
24055,"Papineau/Papineau"," 138","Montréal",6,10,1,0,1,9,14,121,0,1,3,166,389
24055,"Papineau/Papineau"," 139","Montréal",9,5,1,2,0,23,10,74,1,2,2,129,427
24055,"Papineau/Papineau"," 140","Montréal",0,9,0,4,1,25,12,88,2,0,1,142,466
24055,"Papineau/Papineau"," 141","Montréal",4,5,0,5,1,18,7,99,1,1,4,145,419
24055,"Papineau/Papineau"," 142","Montréal",7,13,0,2,1,25,16,102,0,0,3,169,390
24055,"Papineau/Papineau"," 143","Montréal",10,1,0,2,0,24,6,83,0,0,2,128,355
24055,"Papineau/Papineau"," 144","Montréal",32,4,3,4,0,54,10,128,2,4,6,247,465
24055,"Papineau/Papineau"," 145","Montréal",2,2,0,0,0,29,7,79,1,0,4,124,357
24055,"Papineau/Papineau"," 146","Montréal",2,2,1,3,1,16,5,68,0,1,2,101,312
24055,"Papineau/Papineau"," 147","Montréal",2,5,0,0,1,18,2,69,1,0,1,99,307
24055,"Papineau/Papineau"," 148","Montréal",6,5,0,3,2,35,11,70,1,0,9,142,409
24055,"Papineau/Papineau"," 149","Montréal",6,4,1,5,0,40,9,62,0,0,6,133,361
24055,"Papineau/Papineau"," 150","Montréal",2,5,1,3,0,20,10,104,0,0,4,149,406
24055,"Papineau/Papineau"," 151","Montréal",1,3,0,6,0,15,7,82,2,0,3,119,304
24055,"Papineau/Papineau"," 152","Montréal",0,5,0,2,0,9,7,96,0,1,1,121,298
24055,"Papineau/Papineau"," 153","Montréal",1,7,1,2,0,17,8,127,0,0,3,166,382
24055,"Papineau/Papineau"," 154","Montréal",1,9,0,1,0,20,13,130,0,0,8,182,397
24055,"Papineau/Papineau"," 155","Montréal",3,5,1,0,1,8,14,132,0,0,3,167,397
24055,"Papineau/Papineau"," 156","Montréal",8,1,0,2,0,38,11,73,0,0,1,134,332
24055,"Papineau/Papineau"," 157","Montréal",2,8,2,1,1,28,12,93,0,1,2,150,332
24055,"Papineau/Papineau"," 158","Montréal",4,3,1,2,0,20,14,118,1,0,2,165,358
24055,"Papineau/Papineau"," 159","Montréal",4,9,0,0,1,18,18,98,0,1,2,151,406
24055,"Papineau/Papineau"," 160","Montréal",2,9,0,2,0,19,10,85,0,0,2,129,331
24055,"Papineau/Papineau"," 161","Montréal",3,8,0,4,0,23,15,115,3,0,5,176,374
24055,"Papineau/Papineau"," 162","Montréal",2,1,2,5,1,16,16,110,1,0,1,155,398
24055,"Papineau/Papineau"," 163","Montréal",0,3,0,1,1,14,6,102,0,0,3,130,405
24055,"Papineau/Papineau"," 164","Montréal",2,3,1,1,1,19,12,111,0,0,5,155,339
24055,"Papineau/Papineau"," 165","Montréal",1,4,0,3,0,17,4,72,0,2,0,103,361
24055,"Papineau/Papineau"," 166","Montréal",4,0,1,7,0,24,10,77,0,1,2,126,422
24055,"Papineau/Papineau"," 167","Montréal",3,5,2,2,0,10,4,78,0,0,0,104,383
24055,"Papineau/Papineau"," 168","Montréal",3,4,0,1,0,37,16,98,0,1,2,162,448
24055,"Papineau/Papineau"," 169","Montréal",1,7,0,2,0,28,16,72,0,0,1,127,400
24055,"Papineau/Papineau"," 170A","Montréal",4,10,0,6,0,27,6,76,0,0,0,129,390
24055,"Papineau/Papineau"," 170B","Montréal",0,2,0,0,0,23,12,91,0,0,2,130,411
24055,"Papineau/Papineau"," 500","Mobile poll/Bureau itinérant",0,0,0,0,0,0,1,23,0,0,4,28,70
24055,"Papineau/Papineau"," 501","Mobile poll/Bureau itinérant",6,1,0,2,0,2,3,63,0,0,5,82,109
24055,"Papineau/Papineau"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°30,,,,,,,,,,,,59
24055,"Papineau/Papineau"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°66,,,,,,,,,,,,9
24055,"Papineau/Papineau"," 504","Montréal",Merged with No./Fusionné avec le n°101,,,,,,,,,,,,91
24055,"Papineau/Papineau"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°114,,,,,,,,,,,,91
24055,"Papineau/Papineau"," 506","Montréal",Merged with No./Fusionné avec le n°146,,,,,,,,,,,,64
24055,"Papineau/Papineau"," 600","Montréal",114,14,1,8,3,86,46,330,1,2,15,620,
24055,"Papineau/Papineau"," 601","Montréal",136,12,2,10,1,65,49,522,2,5,27,831,
24055,"Papineau/Papineau"," 602","Montréal",174,15,1,20,0,123,56,455,7,10,12,873,
24055,"Papineau/Papineau"," 603","Montréal",91,17,1,6,2,91,29,385,1,3,17,643,
24055,"Papineau/Papineau"," 604","Montréal",224,18,1,31,3,225,41,475,1,8,19,1046,
24055,"Papineau/Papineau"," 605","Montréal",168,15,1,12,3,119,26,329,0,3,2,678,
24055,"Papineau/Papineau"," 606","Montréal",296,22,0,51,2,336,57,532,2,12,21,1331,
24055,"Papineau/Papineau"," 607","Montréal",200,10,3,24,1,202,17,270,0,8,2,737,
24055,"Papineau/Papineau"," 608","Montréal",340,12,1,49,6,331,29,464,0,14,17,1263,
24055,"Papineau/Papineau"," 609","Montréal",163,8,2,26,2,194,36,351,3,8,24,817,
24055,"Papineau/Papineau"," 610","Montréal",296,18,1,35,2,256,42,490,1,10,8,1159,
24055,"Papineau/Papineau"," 611","Montréal",231,18,2,41,1,258,33,313,1,10,16,924,
24055,"Papineau/Papineau"," 612","Montréal",16,29,2,12,6,51,68,688,2,1,28,903,
24055,"Papineau/Papineau"," 613","Montréal",36,14,5,8,2,83,42,425,1,2,18,636,
24055,"Papineau/Papineau"," 614","Montréal",32,44,4,19,1,131,66,690,4,4,26,1021,
24055,"Papineau/Papineau"," 615","Montréal",35,23,3,9,1,116,31,444,2,0,14,678,
24055,"Papineau/Papineau"," 616","Montréal",Merged with no. 600/Fusionné avec le n° 600,,,,,,,,,,,,
24055,"Papineau/Papineau"," 617","Montréal",Merged with no. 601/Fusionné avec le n° 601,,,,,,,,,,,,
24055,"Papineau/Papineau"," 618","Montréal",Merged with no. 602/Fusionné avec le n° 602,,,,,,,,,,,,
24055,"Papineau/Papineau"," 619","Montréal",Merged with no. 603/Fusionné avec le n° 603,,,,,,,,,,,,
24055,"Papineau/Papineau"," 620","Montréal",Merged with no. 604/Fusionné avec le n° 604,,,,,,,,,,,,
24055,"Papineau/Papineau"," 621","Montréal",Merged with no. 605/Fusionné avec le n° 605,,,,,,,,,,,,
24055,"Papineau/Papineau"," 622","Montréal",Merged with no. 606/Fusionné avec le n° 606,,,,,,,,,,,,
24055,"Papineau/Papineau"," 623","Montréal",Merged with no. 607/Fusionné avec le n° 607,,,,,,,,,,,,
24055,"Papineau/Papineau"," 624","Montréal",Merged with no. 608/Fusionné avec le n° 608,,,,,,,,,,,,
24055,"Papineau/Papineau"," 625","Montréal",Merged with no. 609/Fusionné avec le n° 609,,,,,,,,,,,,
24055,"Papineau/Papineau"," 626","Montréal",Merged with no. 610/Fusionné avec le n° 610,,,,,,,,,,,,
24055,"Papineau/Papineau"," 627","Montréal",Merged with no. 611/Fusionné avec le n° 611,,,,,,,,,,,,
24055,"Papineau/Papineau"," 628","Montréal",Merged with no. 612/Fusionné avec le n° 612,,,,,,,,,,,,
24055,"Papineau/Papineau"," 629","Montréal",Merged with no. 613/Fusionné avec le n° 613,,,,,,,,,,,,
24055,"Papineau/Papineau"," 630","Montréal",Merged with no. 614/Fusionné avec le n° 614,,,,,,,,,,,,
24055,"Papineau/Papineau"," 631","Montréal",Merged with no. 615/Fusionné avec le n° 615,,,,,,,,,,,,
24055,"Papineau/Papineau",,Group 1/Groupe 1, 53,8,1,14,0,105,15,128,0,2,14,340,210
24055,"Papineau/Papineau",,Group 2/Groupe 2, 188,25,1,53,1,256,47,616,2,5,51,1245,
